,QUARTER,TIME_REMAINING,BOSTON_ACTION,DETROIT_ACTION,BOSTON_SCORE,DETROIT_SCORE
0,1,11:40.0,,B. Griffin misses 2-pt hook shot from 5 ft,0,0
1,1,11:37.0,,Offensive rebound by B. Griffin,0,0
2,1,11:30.0,,A. Drummond misses 2-pt jump shot from 13 ft,0,0
3,1,11:28.0,Defensive rebound by M. Smart,,0,0
4,1,11:18.0,K. Irving misses 2-pt jump shot from 8 ft (block by A. Drummond),,0,0
5,1,11:15.0,,Defensive rebound by A. Drummond,0,0
6,1,11:10.0,,Turnover by R. Bullock (bad pass; steal by M. Morris),0,0
7,1,10:55.0,K. Irving makes 2-pt layup from 2 ft (assist by M. Morris),,2,0
8,1,10:43.0,,A. Drummond makes 2-pt dunk from 1 ft (assist by R. Bullock),2,2
9,1,10:29.0,A. Baynes makes 2-pt layup from 1 ft (assist by M. Morris),,4,2
10,1,10:22.0,,Offensive foul by A. Drummond (drawn by K. Irving),4,2
11,1,10:22.0,,Turnover by A. Drummond (offensive foul),4,2
12,1,10:15.0,A. Baynes makes 2-pt dunk at rim (assist by M. Morris),,6,2
13,1,9:51.0,,L. Kennard makes 3-pt jump shot from 24 ft (assist by A. Drummond),6,5
14,1,9:38.0,J. Tatum misses 2-pt jump shot from 14 ft,,6,5
15,1,9:33.0,,Defensive rebound by B. Griffin,6,5
16,1,9:28.0,,R. Jackson makes 2-pt jump shot from 19 ft,6,7
17,1,9:15.0,K. Irving misses 2-pt layup from 1 ft,,6,7
18,1,9:12.0,Offensive rebound by A. Baynes,,6,7
19,1,9:10.0,A. Baynes makes 2-pt hook shot from 4 ft,,8,7
20,1,8:54.0,,A. Drummond misses 2-pt hook shot from 8 ft,8,7
21,1,8:52.0,Defensive rebound by A. Baynes,,8,7
22,1,8:48.0,K. Irving misses 3-pt jump shot from 28 ft,,8,7
23,1,8:44.0,Offensive rebound by K. Irving,,8,7
24,1,8:41.0,M. Morris misses 3-pt jump shot from 26 ft,,8,7
25,1,8:39.0,,Defensive rebound by B. Griffin,8,7
26,1,8:28.0,,Shooting foul by M. Smart (drawn by R. Bullock),8,7
27,1,8:28.0,,R. Bullock misses free throw 1 of 2,8,7
28,1,8:28.0,,Offensive rebound by Team,8,7
29,1,8:28.0,,R. Bullock makes free throw 2 of 2,8,8
30,1,8:13.0,Turnover by K. Irving (3 sec),,8,8
31,1,7:55.0,,R. Bullock makes 3-pt jump shot from 23 ft (assist by B. Griffin),8,11
32,1,7:43.0,M. Smart makes 3-pt jump shot from 25 ft,,11,11
33,1,7:24.0,,Shooting foul by K. Irving (drawn by B. Griffin),11,11
34,1,7:24.0,,B. Griffin makes free throw 1 of 2,11,12
35,1,7:24.0,,B. Griffin misses free throw 2 of 2,11,12
36,1,7:22.0,Defensive rebound by K. Irving,,11,12
37,1,7:06.0,J. Tatum makes 2-pt jump shot from 18 ft,,13,12
38,1,6:57.0,,A. Drummond makes 2-pt hook shot from 4 ft (assist by R. Jackson),13,14
39,1,6:43.0,J. Tatum misses 3-pt jump shot from 26 ft,,13,14
40,1,6:40.0,,Defensive rebound by A. Drummond,13,14
41,1,6:32.0,,Personal foul by M. Smart (drawn by B. Griffin),13,14
42,1,6:32.0,,Detroit full timeout,13,14
43,1,6:32.0,G. Hayward enters the game for J. Tatum,,13,14
44,1,6:22.0,,R. Bullock makes 3-pt jump shot from 25 ft (assist by R. Jackson),13,17
45,1,6:04.0,Shooting foul by A. Drummond (drawn by M. Morris),,13,17
46,1,6:04.0,M. Morris misses free throw 1 of 2,,13,17
47,1,6:04.0,Offensive rebound by Team,,13,17
48,1,6:04.0,D. Theis enters the game for A. Baynes,,13,17
49,1,6:04.0,,J. Leuer enters the game for A. Drummond,13,17
50,1,6:04.0,M. Morris makes free throw 2 of 2,,14,17
51,1,5:49.0,,R. Jackson makes 2-pt dunk from 1 ft (assist by L. Kennard),14,19
52,1,5:39.0,K. Irving makes 3-pt jump shot from 26 ft (assist by M. Smart),,17,19
53,1,5:26.0,,R. Bullock misses 3-pt jump shot from 25 ft,17,19
54,1,5:23.0,Defensive rebound by K. Irving,,17,19
55,1,5:18.0,D. Theis makes 3-pt jump shot from 26 ft (assist by K. Irving),,20,19
56,1,5:01.0,,L. Kennard makes 2-pt jump shot from 16 ft (assist by B. Griffin),20,21
57,1,4:40.0,K. Irving makes 2-pt jump shot from 10 ft,,22,21
58,1,4:30.0,,R. Bullock misses 3-pt jump shot from 25 ft,22,21
59,1,4:28.0,,Offensive rebound by J. Leuer,22,21
60,1,4:25.0,,Turnover by J. Leuer (bad pass; steal by M. Smart),22,21
61,1,4:23.0,Offensive foul by M. Smart (drawn by R. Bullock),,22,21
62,1,4:23.0,Turnover by M. Smart (offensive foul),,22,21
63,1,4:23.0,J. Brown enters the game for M. Smart,,22,21
64,1,4:23.0,,J. Calderón enters the game for R. Jackson,22,21
65,1,4:13.0,,B. Griffin makes 3-pt jump shot from 25 ft (assist by J. Calderón),22,24
66,1,3:54.0,G. Hayward misses 2-pt jump shot from 21 ft,,22,24
67,1,3:50.0,,Defensive rebound by L. Kennard,22,24
68,1,3:35.0,,J. Leuer makes 2-pt jump shot from 11 ft,22,26
69,1,3:24.0,K. Irving makes 2-pt layup from 1 ft,,24,26
70,1,3:18.0,,Personal foul by J. Brown (drawn by B. Griffin),24,26
71,1,3:08.0,,B. Griffin misses 2-pt layup from 5 ft,24,26
72,1,3:04.0,Defensive rebound by G. Hayward,,24,26
73,1,3:00.0,Shooting foul by L. Kennard (drawn by M. Morris),,24,26
74,1,3:00.0,M. Morris makes free throw 1 of 2,,25,26
75,1,3:00.0,,L. Galloway enters the game for R. Bullock,25,26
76,1,3:00.0,M. Morris makes free throw 2 of 2,,26,26
77,1,2:49.0,,B. Griffin misses 2-pt layup from 3 ft,26,26
78,1,2:47.0,Defensive rebound by K. Irving,,26,26
