,QUARTER,TIME_REMAINING,UTAH_ACTION,DALLAS_ACTION,UTAH_SCORE,DALLAS_SCORE
0,1,11:44.0,J. Crowder misses 3-pt jump shot from 25 ft,,0,0
1,1,11:42.0,,Defensive rebound by D. Jordan,0,0
2,1,11:32.0,,H. Barnes misses 3-pt jump shot from 26 ft,0,0
3,1,11:28.0,Defensive rebound by R. Gobert,,0,0
4,1,11:17.0,R. Rubio misses 2-pt layup from 1 ft,,0,0
5,1,11:16.0,,Defensive rebound by D. Jordan,0,0
6,1,11:08.0,,D. Smith misses 2-pt jump shot from 17 ft,0,0
7,1,11:05.0,Defensive rebound by R. Gobert,,0,0
8,1,10:49.0,R. Gobert misses 2-pt jump shot from 11 ft (block by D. Jordan),,0,0
9,1,10:46.0,,Defensive rebound by D. Jordan,0,0
10,1,10:36.0,,W. Matthews misses 2-pt jump shot from 11 ft (block by D. Mitchell),0,0
11,1,10:34.0,,Offensive rebound by W. Matthews,0,0
12,1,10:32.0,,W. Matthews misses 2-pt layup from 3 ft,0,0
13,1,10:30.0,Defensive rebound by R. Gobert,,0,0
14,1,10:23.0,D. Mitchell makes 2-pt layup at rim,,2,0
15,1,10:05.0,,L. Dončić makes 2-pt layup from 1 ft (assist by W. Matthews),2,2
16,1,9:47.0,J. Ingles misses 2-pt jump shot from 8 ft,,2,2
17,1,9:46.0,Offensive rebound by R. Gobert,,2,2
18,1,9:45.0,R. Gobert makes 2-pt layup from 1 ft,,4,2
19,1,9:21.0,,D. Jordan misses 2-pt jump shot from 20 ft,4,2
20,1,9:18.0,Defensive rebound by J. Ingles,,4,2
21,1,9:09.0,J. Crowder makes 2-pt layup from 1 ft (assist by J. Ingles),,6,2
22,1,8:55.0,,Turnover by D. Smith (bad pass),6,2
23,1,8:47.0,D. Mitchell misses 3-pt jump shot from 26 ft,,6,2
24,1,8:44.0,,Defensive rebound by L. Dončić,6,2
25,1,8:34.0,,D. Smith misses 2-pt jump shot from 11 ft,6,2
26,1,8:32.0,Defensive rebound by R. Gobert,,6,2
27,1,8:25.0,Turnover by R. Rubio (bad pass; steal by H. Barnes),,6,2
28,1,8:20.0,,L. Dončić misses 2-pt layup from 2 ft,6,2
