,QUARTER,TIME_REMAINING,NEW YORK_ACTION,PHOENIX_ACTION,NEW YORK_SCORE,PHOENIX_SCORE
0,1,11:42.0,K. Knox makes 2-pt hook shot from 6 ft,,2,0
1,1,11:19.0,,D. Ayton misses 2-pt hook shot from 5 ft (block by D. Jordan),2,0
2,1,11:17.0,Defensive rebound by D. Jordan,,2,0
3,1,11:03.0,N. Vonleh makes 2-pt hook shot from 2 ft,,4,0
4,1,10:43.0,,D. Booker misses 3-pt jump shot from 24 ft,4,0
5,1,10:41.0,Defensive rebound by D. Dotson,,4,0
6,1,10:25.0,Turnover by D. Smith (bad pass; steal by K. Oubre),,4,0
7,1,10:19.0,,K. Oubre misses 2-pt layup from 1 ft,4,0
8,1,10:19.0,Defensive rebound by Team,,4,0
9,1,10:08.0,Personal foul by K. Oubre (drawn by K. Knox),,4,0
10,1,9:53.0,N. Vonleh misses 2-pt jump shot from 3 ft (block by D. Booker),,4,0
11,1,9:53.0,Offensive rebound by D. Dotson,,4,0
12,1,9:49.0,Turnover by Team (shot clock),,4,0
13,1,9:48.0,,D. Booker makes 2-pt layup from 5 ft,4,2
14,1,9:48.0,,Shooting foul by D. Dotson (drawn by D. Booker),4,2
15,1,9:48.0,,D. Booker makes free throw 1 of 1,4,3
16,1,9:36.0,Personal foul by K. Oubre (drawn by K. Knox),,4,3
17,1,9:21.0,D. Jordan makes 2-pt hook shot from 5 ft,,6,3
18,1,9:02.0,,T. Johnson misses 3-pt jump shot from 23 ft,6,3
19,1,8:59.0,Defensive rebound by D. Jordan,,6,3
20,1,8:51.0,Personal foul by D. Ayton (drawn by D. Smith),,6,3
21,1,8:41.0,D. Dotson makes 2-pt jump shot from 20 ft (assist by D. Smith),,8,3
22,1,8:21.0,,K. Oubre misses 2-pt dunk from 1 ft,8,3
23,1,8:21.0,Defensive rebound by Team,,8,3
24,1,8:18.0,Turnover by D. Smith (bad pass; steal by D. Booker),,8,3
25,1,8:18.0,,Personal take foul by D. Smith (drawn by D. Booker),8,3
26,1,8:08.0,,Turnover by D. Booker (bad pass; steal by D. Jordan),8,3
27,1,8:02.0,D. Dotson misses 2-pt layup from 2 ft,,8,3
28,1,8:01.0,,Defensive rebound by D. Booker,8,3
29,1,7:56.0,,D. Booker misses 3-pt jump shot from 23 ft,8,3
30,1,7:53.0,,Offensive rebound by D. Booker,8,3
31,1,7:50.0,,K. Oubre misses 3-pt jump shot from 24 ft,8,3
32,1,7:48.0,Defensive rebound by D. Jordan,,8,3
33,1,7:38.0,Turnover by N. Vonleh (traveling),,8,3
34,1,7:19.0,,Shooting foul by D. Jordan (drawn by K. Oubre),8,3
35,1,7:19.0,,K. Oubre makes free throw 1 of 2,8,4
36,1,7:19.0,,K. Oubre misses free throw 2 of 2,8,4
37,1,7:14.0,Defensive rebound by D. Jordan,,8,4
38,1,7:07.0,,Violation by Team (kicked ball),8,4
39,1,7:01.0,D. Jordan makes 2-pt dunk at rim (assist by D. Dotson),,10,4
40,1,7:01.0,,Phoenix full timeout,10,4
41,1,7:01.0,,M. Bridges enters the game for K. Oubre,10,4
42,1,6:41.0,,Turnover by M. Bridges (lost ball; steal by K. Knox),10,4
43,1,6:35.0,K. Knox misses 2-pt layup from 6 ft (block by M. Bridges),,10,4
44,1,6:35.0,Offensive rebound by Team,,10,4
45,1,6:35.0,,J. Jackson enters the game for D. Bender,10,4
46,1,6:25.0,Turnover by D. Jordan (bad pass; steal by M. Bridges),,10,4
47,1,6:16.0,,D. Booker makes 2-pt layup from 1 ft,10,6
48,1,6:00.0,Def 3 sec tech foul by Team,,10,6
49,1,6:00.0,D. Dotson makes technical free throw,,11,6
50,1,6:00.0,A. Trier enters the game for K. Knox,,11,6
51,1,5:50.0,D. Smith makes 2-pt hook shot from 2 ft,,13,6
52,1,5:43.0,,D. Booker misses 3-pt jump shot from 25 ft,13,6
53,1,5:40.0,Defensive rebound by A. Trier,,13,6
54,1,5:30.0,D. Dotson makes 2-pt jump shot from 12 ft,,15,6
55,1,5:28.0,,Phoenix full timeout,15,6
56,1,5:15.0,,T. Johnson misses 3-pt jump shot from 25 ft,15,6
57,1,5:10.0,Defensive rebound by D. Jordan,,15,6
58,1,4:53.0,Turnover by N. Vonleh (lost ball; steal by M. Bridges),,15,6
59,1,4:53.0,E. Mudiay enters the game for D. Smith,,15,6
60,1,4:39.0,,D. Ayton misses 2-pt layup at rim,15,6
61,1,4:39.0,,Offensive rebound by D. Ayton,15,6
62,1,4:39.0,,D. Ayton makes 2-pt layup from 1 ft,15,8
63,1,4:39.0,,Shooting foul by N. Vonleh (drawn by D. Ayton),15,8
64,1,4:39.0,,D. Ayton makes free throw 1 of 1,15,9
65,1,4:35.0,Turnover by D. Jordan (bad pass; steal by J. Jackson),,15,9
66,1,4:32.0,,J. Jackson misses 2-pt layup at rim,15,9
67,1,4:29.0,Defensive rebound by D. Jordan,,15,9
68,1,4:14.0,Turnover by D. Jordan (bad pass; steal by M. Bridges),,15,9
69,1,4:10.0,,Shooting foul by E. Mudiay (drawn by D. Ayton),15,9
70,1,4:10.0,,D. Ayton makes free throw 1 of 2,15,10
71,1,4:10.0,M. Robinson enters the game for D. Jordan,,15,10
72,1,4:10.0,L. Thomas enters the game for N. Vonleh,,15,10
73,1,4:10.0,,D. Ayton misses free throw 2 of 2,15,10
74,1,4:06.0,Defensive rebound by L. Thomas,,15,10
75,1,4:05.0,New York full timeout,,15,10
76,1,3:52.0,Shooting foul by M. Bridges (drawn by A. Trier),,15,10
77,1,3:52.0,A. Trier makes free throw 1 of 2,,16,10
78,1,3:52.0,A. Trier makes free throw 2 of 2,,17,10
79,1,3:34.0,,D. Ayton makes 2-pt hook shot from 5 ft (assist by M. Bridges),17,12
80,1,3:21.0,L. Thomas misses 2-pt hook shot from 4 ft,,17,12
81,1,3:19.0,,Defensive rebound by D. Ayton,17,12
82,1,3:09.0,,Turnover by J. Jackson (bad pass; steal by E. Mudiay),17,12
83,1,3:04.0,Offensive foul by E. Mudiay (drawn by J. Jackson),,17,12
84,1,3:04.0,Turnover by E. Mudiay (offensive foul),,17,12
85,1,3:04.0,K. Knox enters the game for D. Dotson,,17,12
86,1,3:04.0,,D. Melton enters the game for T. Johnson,17,12
87,1,2:51.0,,D. Booker makes 2-pt jump shot from 12 ft,17,14
88,1,2:39.0,Shooting foul by D. Ayton (drawn by A. Trier),,17,14
89,1,2:39.0,A. Trier misses free throw 1 of 2,,17,14
90,1,2:39.0,Offensive rebound by Team,,17,14
91,1,2:39.0,A. Trier makes free throw 2 of 2,,18,14
92,1,2:22.0,,D. Ayton misses 2-pt hook shot from 6 ft (block by M. Robinson),18,14
93,1,2:19.0,Defensive rebound by K. Knox,,18,14
94,1,2:03.0,E. Mudiay misses 2-pt jump shot from 13 ft,,18,14
95,1,1:58.0,,Defensive rebound by D. Ayton,18,14
96,1,1:57.0,,Offensive foul by D. Booker (drawn by A. Trier),18,14
97,1,1:57.0,,Turnover by D. Booker (offensive foul),18,14
98,1,1:57.0,,J. Crawford enters the game for D. Ayton,18,14
99,1,1:57.0,,R. Holmes enters the game for D. Booker,18,14
100,1,1:39.0,E. Mudiay makes 2-pt layup from 1 ft,,20,14
101,1,1:23.0,,M. Bridges misses 3-pt jump shot from 25 ft,20,14
102,1,1:20.0,Defensive rebound by M. Robinson,,20,14
