,QUARTER,TIME_REMAINING,DENVER_ACTION,OKLAHOMA CITY_ACTION,DENVER_SCORE,OKLAHOMA CITY_SCORE
0,1,11:46.0,Turnover by N. Jokić (bad pass; steal by R. Westbrook),,0,0
1,1,11:42.0,,S. Adams misses 2-pt jump shot from 10 ft,0,0
2,1,11:38.0,Defensive rebound by P. Millsap,,0,0
3,1,11:18.0,J. Hernangómez misses 2-pt jump shot from 20 ft,,0,0
4,1,11:14.0,Offensive rebound by T. Craig,,0,0
5,1,11:05.0,N. Jokić makes 2-pt jump shot from 6 ft (assist by P. Millsap),,2,0
6,1,10:44.0,,P. George misses 2-pt jump shot from 18 ft,2,0
7,1,10:41.0,Defensive rebound by P. Millsap,,2,0
8,1,10:35.0,Personal foul by S. Adams (drawn by N. Jokić),,2,0
9,1,10:27.0,P. Millsap misses 3-pt jump shot from 26 ft,,2,0
10,1,10:24.0,,Defensive rebound by Team,2,0
11,1,10:12.0,,Turnover by R. Westbrook (bad pass; steal by J. Hernangómez),2,0
12,1,9:51.0,Turnover by N. Jokić (lost ball; steal by P. George),,2,0
13,1,9:44.0,,J. Grant misses 3-pt jump shot from 23 ft,2,0
14,1,9:39.0,Defensive rebound by J. Hernangómez,,2,0
15,1,9:32.0,J. Murray misses 2-pt jump shot from 18 ft,,2,0
16,1,9:31.0,,Defensive rebound by Team,2,0
17,1,9:16.0,,P. George makes 2-pt layup from 4 ft,2,2
18,1,9:01.0,J. Murray makes 2-pt jump shot from 11 ft,,4,2
19,1,8:42.0,,Turnover by S. Adams (lost ball; steal by P. Millsap),4,2
20,1,8:30.0,T. Craig makes 2-pt layup from 2 ft (assist by J. Murray),,6,2
21,1,8:30.0,Shooting foul by R. Westbrook (drawn by T. Craig),,6,2
22,1,8:30.0,T. Craig misses free throw 1 of 1,,6,2
23,1,8:28.0,,Defensive rebound by T. Luwawu-Cabarrot,6,2
24,1,8:20.0,,Shooting foul by T. Craig (drawn by R. Westbrook),6,2
25,1,8:20.0,,R. Westbrook misses free throw 1 of 2,6,2
26,1,8:20.0,,Offensive rebound by Team,6,2
27,1,8:20.0,,R. Westbrook makes free throw 2 of 2,6,3
28,1,8:07.0,J. Murray misses 2-pt layup from 1 ft,,6,3
29,1,8:03.0,,Defensive rebound by S. Adams,6,3
30,1,8:01.0,,T. Luwawu-Cabarrot makes 3-pt jump shot from 23 ft (assist by R. Westbrook),6,6
31,1,7:47.0,N. Jokić misses 3-pt jump shot from 25 ft,,6,6
32,1,7:45.0,,Defensive rebound by J. Grant,6,6
33,1,7:42.0,,Turnover by P. George (bad pass),6,6
34,1,7:33.0,Personal foul by J. Grant (drawn by P. Millsap),,6,6
35,1,7:20.0,J. Hernangómez misses 3-pt jump shot from 23 ft,,6,6
36,1,7:18.0,Offensive rebound by Team,,6,6
37,1,7:18.0,Turnover by Team (shot clock),,6,6
38,1,7:06.0,,P. George misses 2-pt jump shot from 12 ft,6,6
39,1,7:04.0,Defensive rebound by Team,,6,6
40,1,6:55.0,N. Jokić misses 3-pt jump shot from 26 ft,,6,6
41,1,6:53.0,,Defensive rebound by R. Westbrook,6,6
42,1,6:49.0,,S. Adams misses 2-pt layup from 1 ft,6,6
43,1,6:46.0,,Offensive rebound by S. Adams,6,6
44,1,6:44.0,,T. Luwawu-Cabarrot misses 3-pt jump shot from 24 ft,6,6
45,1,6:42.0,,Offensive rebound by P. George,6,6
46,1,6:37.0,,J. Grant makes 2-pt dunk from 1 ft (assist by P. George),6,8
47,1,6:36.0,Denver full timeout,,6,8
48,1,6:21.0,N. Jokić misses 2-pt jump shot from 12 ft,,6,8
49,1,6:19.0,,Defensive rebound by R. Westbrook,6,8
50,1,6:12.0,,P. George misses 3-pt jump shot from 25 ft,6,8
51,1,6:09.0,Defensive rebound by J. Murray,,6,8
