,QUARTER,TIME_REMAINING,PORTLAND_ACTION,BROOKLYN_ACTION,PORTLAND_SCORE,BROOKLYN_SCORE
0,1,11:41.0,J. Nurkić misses 2-pt layup from 5 ft,,0,0
1,1,11:39.0,Offensive rebound by M. Harkless,,0,0
2,1,11:35.0,C. McCollum misses 2-pt layup from 10 ft,,0,0
3,1,11:31.0,,Defensive rebound by D. Russell,0,0
4,1,11:17.0,,C. LeVert misses 2-pt jump shot from 10 ft,0,0
5,1,11:15.0,Defensive rebound by J. Nurkić,,0,0
6,1,11:02.0,M. Harkless misses 3-pt jump shot from 25 ft,,0,0
7,1,10:56.0,,Defensive rebound by J. Allen,0,0
8,1,10:53.0,,D. Russell makes 2-pt jump shot from 12 ft,0,2
9,1,10:37.0,D. Lillard misses 3-pt jump shot from 25 ft,,0,2
10,1,10:34.0,,Defensive rebound by Team,0,2
11,1,10:23.0,,D. Russell misses 3-pt jump shot from 25 ft,0,2
12,1,10:18.0,Defensive rebound by C. McCollum,,0,2
13,1,10:13.0,D. Lillard misses 2-pt jump shot from 19 ft,,0,2
14,1,10:10.0,Offensive rebound by J. Nurkić,,0,2
15,1,10:06.0,J. Nurkić makes 2-pt hook shot from 5 ft,,2,2
16,1,9:56.0,,C. LeVert misses 2-pt jump shot from 11 ft,2,2
17,1,9:56.0,Defensive rebound by J. Nurkić,,2,2
18,1,9:43.0,Turnover by M. Harkless (out of bounds lost ball),,2,2
19,1,9:35.0,,C. LeVert makes 2-pt layup from 2 ft,2,4
20,1,9:18.0,C. McCollum misses 2-pt jump shot from 10 ft,,2,4
21,1,9:16.0,,Defensive rebound by J. Allen,2,4
22,1,9:06.0,,J. Allen makes 2-pt layup from 3 ft (assist by C. LeVert),2,6
23,1,8:53.0,J. Nurkić misses 2-pt jump shot from 20 ft,,2,6
24,1,8:50.0,,Defensive rebound by J. Allen,2,6
25,1,8:40.0,,T. Graham misses 3-pt jump shot from 26 ft,2,6
26,1,8:34.0,Defensive rebound by A. Aminu,,2,6
27,1,8:28.0,C. McCollum misses 2-pt jump shot from 15 ft,,2,6
28,1,8:26.0,,Defensive rebound by J. Allen,2,6
29,1,8:23.0,,Personal foul by D. Lillard (drawn by D. Russell),2,6
30,1,8:18.0,,D. Russell misses 2-pt jump shot from 16 ft,2,6
31,1,8:13.0,Defensive rebound by A. Aminu,,2,6
32,1,8:07.0,Shooting foul by J. Allen (drawn by J. Nurkić),,2,6
33,1,8:07.0,J. Nurkić makes free throw 1 of 2,,3,6
34,1,8:07.0,J. Nurkić makes free throw 2 of 2,,4,6
35,1,7:57.0,,J. Harris makes 2-pt layup from 2 ft (assist by D. Russell),4,8
36,1,7:41.0,M. Harkless makes 3-pt jump shot from 23 ft (assist by C. McCollum),,7,8
37,1,7:31.0,,J. Allen makes 2-pt dunk from 1 ft (assist by D. Russell),7,10
38,1,7:07.0,J. Nurkić makes 2-pt hook shot from 2 ft,,9,10
39,1,6:54.0,,D. Russell misses 3-pt jump shot from 25 ft,9,10
40,1,6:54.0,,Offensive rebound by T. Graham,9,10
41,1,6:48.0,,D. Russell makes 3-pt jump shot from 25 ft (assist by T. Graham),9,13
42,1,6:33.0,Shooting foul by C. LeVert (drawn by C. McCollum),,9,13
43,1,6:33.0,,Brooklyn full timeout,9,13
44,1,6:33.0,C. McCollum makes free throw 1 of 2,,10,13
45,1,6:33.0,C. McCollum makes free throw 2 of 2,,11,13
46,1,6:14.0,,J. Allen misses 2-pt layup from 5 ft (block by J. Nurkić),11,13
47,1,6:12.0,,Offensive rebound by J. Allen,11,13
48,1,6:10.0,,Turnover by J. Allen (back court),11,13
49,1,6:10.0,,A. Crabbe enters the game for T. Graham,11,13
50,1,6:10.0,,R. Hollis-Jefferson enters the game for C. LeVert,11,13
51,1,6:00.0,J. Nurkić misses 2-pt hook shot from 4 ft,,11,13
52,1,5:56.0,,Defensive rebound by J. Allen,11,13
53,1,5:46.0,,Personal foul by D. Lillard (drawn by R. Hollis-Jefferson),11,13
54,1,5:40.0,,J. Harris misses 3-pt jump shot from 26 ft (block by C. McCollum),11,13
55,1,5:35.0,Defensive rebound by J. Nurkić,,11,13
56,1,5:30.0,D. Lillard misses 2-pt layup from 1 ft,,11,13
57,1,5:26.0,Offensive rebound by M. Harkless,,11,13
58,1,5:26.0,M. Harkless misses 2-pt dunk from 1 ft,,11,13
59,1,5:25.0,Offensive rebound by D. Lillard,,11,13
60,1,5:25.0,D. Lillard makes 2-pt jump shot from 9 ft,,13,13
61,1,5:13.0,,D. Russell misses 2-pt jump shot from 15 ft,13,13
62,1,5:13.0,Defensive rebound by J. Nurkić,,13,13
63,1,5:03.0,C. McCollum makes 2-pt layup from 3 ft,,15,13
64,1,4:54.0,,A. Crabbe misses 3-pt jump shot from 25 ft,15,13
65,1,4:52.0,Defensive rebound by A. Aminu,,15,13
66,1,4:40.0,M. Harkless misses 3-pt jump shot from 24 ft,,15,13
67,1,4:35.0,,Defensive rebound by D. Russell,15,13
68,1,4:30.0,,J. Harris misses 3-pt jump shot from 25 ft,15,13
69,1,4:28.0,Defensive rebound by C. McCollum,,15,13
70,1,4:26.0,Personal foul by D. Russell (drawn by C. McCollum),,15,13
71,1,4:26.0,R. Hood enters the game for A. Aminu,,15,13
72,1,4:26.0,J. Layman enters the game for M. Harkless,,15,13
73,1,4:26.0,,D. Carroll enters the game for J. Allen,15,13
74,1,4:26.0,,E. Davis enters the game for J. Harris,15,13
75,1,4:26.0,,S. Napier enters the game for D. Russell,15,13
76,1,4:22.0,C. McCollum misses 3-pt jump shot from 25 ft,,15,13
77,1,4:19.0,,Defensive rebound by E. Davis,15,13
78,1,4:14.0,,R. Hollis-Jefferson misses 2-pt layup from 1 ft (block by J. Nurkić),15,13
79,1,4:11.0,Defensive rebound by J. Layman,,15,13
80,1,3:57.0,D. Lillard makes 2-pt layup from 2 ft,,17,13
81,1,3:44.0,,A. Crabbe makes 2-pt jump shot from 17 ft (assist by S. Napier),17,15
82,1,3:26.0,R. Hood misses 2-pt jump shot from 21 ft,,17,15
83,1,3:24.0,,Defensive rebound by R. Hollis-Jefferson,17,15
84,1,3:19.0,,R. Hollis-Jefferson misses 2-pt layup from 1 ft (block by J. Nurkić),17,15
85,1,3:17.0,Defensive rebound by J. Nurkić,,17,15
86,1,3:14.0,Turnover by J. Layman (traveling),,17,15
87,1,3:14.0,E. Freedom enters the game for C. McCollum,,17,15
88,1,3:14.0,E. Turner enters the game for J. Nurkić,,17,15
89,1,3:05.0,,Def 3 sec tech foul by Team,17,15
90,1,3:05.0,,A. Crabbe misses technical free throw,17,15
91,1,3:05.0,,Offensive rebound by Team,17,15
92,1,2:57.0,,E. Davis makes 2-pt jump shot from 9 ft (assist by S. Napier),17,17
93,1,2:39.0,D. Lillard misses 2-pt jump shot from 13 ft,,17,17
94,1,2:35.0,Offensive rebound by E. Freedom,,17,17
95,1,2:33.0,E. Turner misses 2-pt jump shot from 10 ft,,17,17
96,1,2:33.0,,Defensive rebound by E. Davis,17,17
97,1,2:21.0,,E. Davis makes 2-pt layup from 1 ft (assist by S. Napier),17,19
98,1,2:21.0,Portland full timeout,,17,19
99,1,2:02.0,E. Freedom makes 2-pt layup from 1 ft,,19,19
100,1,1:45.0,,R. Hollis-Jefferson misses 2-pt dunk from 1 ft,19,19
101,1,1:43.0,Defensive rebound by Team,,19,19
102,1,1:26.0,E. Freedom makes 2-pt layup from 2 ft,,21,19
103,1,1:11.0,,S. Napier misses 2-pt jump shot from 13 ft,21,19
104,1,1:04.0,Defensive rebound by D. Lillard,,21,19
105,1,0:51.0,R. Hood misses 2-pt jump shot from 9 ft (block by A. Crabbe),,21,19
106,1,0:48.0,,Defensive rebound by A. Crabbe,21,19
107,1,0:47.0,,Turnover by A. Crabbe (lost ball; steal by R. Hood),21,19
108,1,0:42.0,E. Turner misses 2-pt jump shot from 7 ft,,21,19
109,1,0:40.0,,Defensive rebound by R. Hollis-Jefferson,21,19
110,1,0:38.0,,S. Napier misses 3-pt jump shot from 25 ft,21,19
111,1,0:35.0,Defensive rebound by R. Hood,,21,19
112,1,0:33.0,R. Hood makes 2-pt layup from 1 ft,,23,19
113,1,0:20.0,,Shooting foul by E. Freedom (drawn by E. Davis),23,19
114,1,0:20.0,,E. Davis makes free throw 1 of 2,23,20
115,1,0:20.0,,E. Davis makes free throw 2 of 2,23,21
116,1,0:01.0,Turnover by R. Hood (step out of bounds),,23,21
117,2,11:48.0,,Offensive foul by E. Davis (drawn by J. Layman),23,21
118,2,11:48.0,,Turnover by E. Davis (offensive foul),23,21
119,2,11:38.0,R. Hood misses 3-pt jump shot from 26 ft,,23,21
120,2,11:34.0,,Defensive rebound by R. Hollis-Jefferson,23,21
121,2,11:31.0,,R. Hollis-Jefferson misses 2-pt layup from 4 ft (block by J. Layman),23,21
122,2,11:31.0,,Offensive rebound by Team,23,21
123,2,11:15.0,,E. Davis makes 2-pt layup from 2 ft (assist by D. Carroll),23,23
124,2,11:01.0,E. Turner misses 2-pt jump shot from 5 ft,,23,23
125,2,10:58.0,,Defensive rebound by E. Davis,23,23
126,2,10:55.0,,D. Carroll misses 3-pt jump shot from 25 ft,23,23
127,2,10:55.0,,Offensive rebound by E. Davis,23,23
128,2,10:49.0,,S. Napier misses 3-pt jump shot from 26 ft,23,23
129,2,10:45.0,,Offensive rebound by R. Hollis-Jefferson,23,23
130,2,10:37.0,,R. Hollis-Jefferson makes 2-pt layup from 2 ft (assist by S. Napier),23,25
131,2,10:37.0,,Violation by Team (delay of game),23,25
132,2,10:23.0,S. Curry misses 2-pt jump shot from 18 ft,,23,25
133,2,10:19.0,,Defensive rebound by A. Crabbe,23,25
134,2,10:06.0,,D. Carroll makes 2-pt layup from 1 ft (assist by S. Napier),23,27
135,2,9:45.0,J. Layman makes 2-pt dunk from 1 ft (assist by R. Hood),,25,27
136,2,9:45.0,Shooting foul by E. Davis (drawn by J. Layman),,25,27
137,2,9:45.0,J. Layman misses free throw 1 of 1,,25,27
138,2,9:42.0,,Defensive rebound by E. Davis,25,27
139,2,9:27.0,,D. Carroll misses 2-pt jump shot from 19 ft (block by R. Hood),25,27
140,2,9:23.0,Defensive rebound by E. Turner,,25,27
141,2,9:22.0,J. Layman misses 2-pt jump shot from 23 ft,,25,27
142,2,9:16.0,,Defensive rebound by D. Carroll,25,27
143,2,9:14.0,,Personal foul by J. Layman (drawn by S. Napier),25,27
144,2,9:14.0,,T. Graham enters the game for R. Hollis-Jefferson,25,27
145,2,9:07.0,,A. Crabbe makes 2-pt jump shot from 12 ft (assist by S. Napier),25,29
146,2,8:44.0,E. Turner misses 2-pt jump shot from 8 ft,,25,29
147,2,8:42.0,Offensive rebound by E. Freedom,,25,29
148,2,8:41.0,Turnover by E. Freedom (out of bounds lost ball),,25,29
149,2,8:32.0,,A. Crabbe makes 2-pt jump shot from 14 ft (assist by S. Napier),25,31
150,2,8:19.0,J. Layman misses 2-pt layup from 5 ft,,25,31
151,2,8:15.0,,Defensive rebound by D. Carroll,25,31
152,2,8:12.0,,A. Crabbe makes 3-pt jump shot from 25 ft (assist by S. Napier),25,34
153,2,8:10.0,Portland full timeout,,25,34
154,2,8:10.0,C. McCollum enters the game for J. Layman,,25,34
155,2,7:51.0,E. Turner misses 2-pt jump shot from 13 ft,,25,34
156,2,7:47.0,,Defensive rebound by D. Carroll,25,34
157,2,7:42.0,,Personal foul by E. Turner (drawn by D. Carroll),25,34
158,2,7:37.0,,Turnover by S. Napier (lost ball; steal by E. Freedom),25,34
159,2,7:33.0,S. Curry misses 3-pt jump shot from 25 ft,,25,34
160,2,7:29.0,,Defensive rebound by D. Carroll,25,34
161,2,7:14.0,,S. Napier misses 3-pt jump shot from 25 ft,25,34
162,2,7:12.0,Defensive rebound by E. Freedom,,25,34
163,2,7:05.0,C. McCollum makes 2-pt jump shot from 13 ft,,27,34
164,2,6:58.0,,Shooting foul by R. Hood (drawn by D. Carroll),27,34
165,2,6:58.0,A. Aminu enters the game for R. Hood,,27,34
166,2,6:58.0,M. Harkless enters the game for E. Turner,,27,34
167,2,6:58.0,,J. Allen enters the game for E. Davis,27,34
168,2,6:58.0,,D. Russell enters the game for S. Napier,27,34
169,2,6:58.0,,D. Carroll makes free throw 1 of 2,27,35
170,2,6:58.0,,D. Carroll misses free throw 2 of 2,27,35
171,2,6:55.0,,Offensive rebound by D. Carroll,27,35
172,2,6:52.0,,Turnover by D. Carroll (lost ball; steal by M. Harkless),27,35
173,2,6:52.0,Personal foul by D. Carroll (drawn by E. Freedom),,27,35
174,2,6:52.0,,J. Harris enters the game for D. Carroll,27,35
175,2,6:34.0,A. Aminu makes 3-pt jump shot from 23 ft (assist by C. McCollum),,30,35
176,2,6:19.0,,Turnover by D. Russell (bad pass; steal by S. Curry),30,35
177,2,6:05.0,M. Harkless misses 2-pt layup from 7 ft,,30,35
178,2,6:04.0,Offensive rebound by E. Freedom,,30,35
179,2,6:03.0,E. Freedom makes 2-pt layup from 2 ft,,32,35
180,2,6:03.0,,Brooklyn full timeout,32,35
181,2,6:03.0,J. Nurkić enters the game for E. Freedom,,32,35
182,2,6:03.0,,C. LeVert enters the game for A. Crabbe,32,35
183,2,5:51.0,,D. Russell makes 2-pt jump shot from 11 ft (assist by J. Allen),32,37
184,2,5:40.0,C. McCollum makes 2-pt jump shot from 14 ft,,34,37
185,2,5:25.0,,T. Graham misses 3-pt jump shot from 25 ft,34,37
186,2,5:21.0,Defensive rebound by M. Harkless,,34,37
187,2,5:16.0,Turnover by J. Nurkić (bad pass; steal by C. LeVert),,34,37
188,2,5:09.0,,T. Graham misses 3-pt jump shot from 26 ft,34,37
189,2,5:06.0,Defensive rebound by A. Aminu,,34,37
190,2,4:55.0,Turnover by J. Nurkić (bad pass; steal by C. LeVert),,34,37
191,2,4:51.0,,D. Russell misses 3-pt jump shot from 25 ft,34,37
192,2,4:49.0,,Offensive rebound by J. Allen,34,37
193,2,4:49.0,,Shooting foul by C. McCollum (drawn by J. Allen),34,37
194,2,4:49.0,,J. Allen makes free throw 1 of 2,34,38
195,2,4:49.0,D. Lillard enters the game for S. Curry,,34,38
196,2,4:49.0,,J. Allen makes free throw 2 of 2,34,39
197,2,4:39.0,M. Harkless makes 2-pt layup from 3 ft (assist by D. Lillard),,36,39
198,2,4:28.0,,Personal foul by J. Nurkić (drawn by C. LeVert),36,39
199,2,4:28.0,,C. LeVert misses free throw 1 of 2,36,39
200,2,4:28.0,,Offensive rebound by Team,36,39
201,2,4:28.0,,C. LeVert makes free throw 2 of 2,36,40
202,2,4:13.0,C. McCollum makes 2-pt jump shot from 17 ft (assist by M. Harkless),,38,40
203,2,4:01.0,,Personal foul by J. Nurkić (drawn by D. Russell),38,40
204,2,4:01.0,,D. Russell makes free throw 1 of 2,38,41
205,2,4:01.0,,D. Carroll enters the game for T. Graham,38,41
206,2,4:01.0,,D. Russell misses free throw 2 of 2,38,41
207,2,3:57.0,Defensive rebound by M. Harkless,,38,41
208,2,3:49.0,J. Nurkić makes 2-pt layup from 2 ft (assist by D. Lillard),,40,41
209,2,3:49.0,Shooting foul by J. Allen (drawn by J. Nurkić),,40,41
210,2,3:49.0,J. Nurkić makes free throw 1 of 1,,41,41
211,2,3:39.0,,Shooting foul by C. McCollum (drawn by C. LeVert),41,41
212,2,3:39.0,,C. LeVert makes free throw 1 of 2,41,42
213,2,3:39.0,,C. LeVert makes free throw 2 of 2,41,43
214,2,3:30.0,D. Lillard misses 2-pt jump shot from 19 ft,,41,43
215,2,3:26.0,,Defensive rebound by D. Russell,41,43
216,2,3:21.0,,J. Harris makes 2-pt layup from 1 ft (assist by D. Russell),41,45
217,2,3:14.0,Offensive foul by C. McCollum (drawn by C. LeVert),,41,45
218,2,3:14.0,Turnover by C. McCollum (offensive foul),,41,45
219,2,3:14.0,J. Layman enters the game for C. McCollum,,41,45
220,2,3:06.0,,Personal foul by J. Layman (drawn by J. Harris),41,45
221,2,3:06.0,,J. Harris misses free throw 1 of 2,41,45
222,2,3:06.0,,Offensive rebound by Team,41,45
223,2,3:06.0,,J. Harris makes free throw 2 of 2,41,46
224,2,2:56.0,M. Harkless makes 2-pt jump shot from 21 ft (assist by J. Nurkić),,43,46
225,2,2:46.0,,D. Russell misses 2-pt jump shot from 12 ft,43,46
226,2,2:42.0,Defensive rebound by D. Lillard,,43,46
227,2,2:30.0,Turnover by J. Nurkić (bad pass; steal by J. Allen),,43,46
