,QUARTER,TIME_REMAINING,PHILADELPHIA_ACTION,CHARLOTTE_ACTION,PHILADELPHIA_SCORE,CHARLOTTE_SCORE
0,1,11:36.0,J. Redick makes 3-pt jump shot from 25 ft (assist by A. Johnson),,3,0
1,1,11:07.0,,M. Bridges makes 2-pt hook shot from 3 ft,3,2
2,1,10:51.0,Shooting foul by K. Walker (drawn by B. Simmons),,3,2
3,1,10:51.0,B. Simmons makes free throw 1 of 2,,4,2
4,1,10:51.0,B. Simmons misses free throw 2 of 2,,4,2
5,1,10:48.0,,Defensive rebound by M. Bridges,4,2
6,1,10:44.0,,M. Bridges makes 2-pt layup from 1 ft (assist by K. Walker),4,4
7,1,10:33.0,Personal foul by K. Walker (drawn by B. Simmons),,4,4
8,1,10:18.0,J. Butler misses 2-pt jump shot from 17 ft,,4,4
9,1,10:14.0,,Defensive rebound by N. Batum,4,4
10,1,10:10.0,,M. Williams makes 3-pt jump shot from 27 ft (assist by N. Batum),4,7
11,1,9:52.0,J. Redick makes 3-pt jump shot from 25 ft (assist by J. Butler),,7,7
12,1,9:33.0,,M. Bridges misses 3-pt jump shot from 26 ft,7,7
13,1,9:31.0,Defensive rebound by J. Redick,,7,7
14,1,9:17.0,Turnover by J. Butler (bad pass; steal by K. Walker),,7,7
15,1,9:14.0,,Shooting foul by T. Harris (drawn by M. Williams),7,7
16,1,9:14.0,,M. Williams makes free throw 1 of 2,7,8
17,1,9:14.0,,M. Williams makes free throw 2 of 2,7,9
18,1,9:01.0,Shooting foul by M. Bridges (drawn by J. Butler),,7,9
19,1,9:01.0,J. Butler makes free throw 1 of 2,,8,9
20,1,9:01.0,J. Butler makes free throw 2 of 2,,9,9
21,1,8:49.0,,Turnover by N. Batum (bad pass; steal by J. Butler),9,9
22,1,8:47.0,Personal take foul by B. Biyombo (drawn by B. Simmons),,9,9
23,1,8:37.0,A. Johnson makes 2-pt layup from 2 ft (assist by J. Redick),,11,9
24,1,8:25.0,,K. Walker misses 3-pt jump shot from 26 ft,11,9
25,1,8:23.0,Defensive rebound by T. Harris,,11,9
26,1,8:17.0,T. Harris makes 2-pt dunk from 1 ft,,13,9
27,1,8:08.0,,K. Walker makes 2-pt jump shot from 15 ft (assist by M. Williams),13,11
28,1,7:58.0,B. Simmons makes 2-pt dunk from 2 ft,,15,11
29,1,7:58.0,,Charlotte full timeout,15,11
30,1,7:45.0,,M. Williams misses 3-pt jump shot from 24 ft (block by B. Simmons),15,11
31,1,7:41.0,Defensive rebound by A. Johnson,,15,11
32,1,7:24.0,B. Simmons makes 2-pt hook shot from 3 ft (assist by T. Harris),,17,11
