,QUARTER,TIME_REMAINING,ATLANTA_ACTION,CHARLOTTE_ACTION,ATLANTA_SCORE,CHARLOTTE_SCORE
0,1,11:39.0,T. Prince misses 3-pt jump shot from 25 ft,,0,0
1,1,11:35.0,Offensive rebound by K. Huerter,,0,0
2,1,11:32.0,D. Dedmon makes 3-pt jump shot from 25 ft (assist by K. Huerter),,3,0
3,1,11:14.0,,Turnover by C. Zeller (bad pass; steal by D. Dedmon),3,0
4,1,11:08.0,T. Prince misses 2-pt layup from 5 ft,,3,0
5,1,11:06.0,,Defensive rebound by J. Lamb,3,0
6,1,11:03.0,,Personal foul by D. Dedmon (drawn by C. Zeller),3,0
7,1,10:59.0,,Personal foul by T. Prince (drawn by N. Batum),3,0
8,1,10:53.0,,K. Walker misses 3-pt jump shot from 26 ft,3,0
9,1,10:50.0,Defensive rebound by J. Collins,,3,0
10,1,10:30.0,Turnover by D. Dedmon (lost ball; steal by J. Lamb),,3,0
11,1,10:27.0,,Shooting foul by K. Huerter (drawn by J. Lamb),3,0
12,1,10:27.0,,J. Lamb makes free throw 1 of 2,3,1
13,1,10:27.0,,J. Lamb makes free throw 2 of 2,3,2
14,1,10:20.0,T. Young makes 3-pt jump shot from 31 ft,,6,2
15,1,10:09.0,,Turnover by C. Zeller (step out of bounds),6,2
16,1,10:04.0,Offensive foul by J. Collins (drawn by K. Walker),,6,2
17,1,10:04.0,Turnover by J. Collins (offensive foul),,6,2
18,1,9:52.0,,J. Lamb misses 2-pt layup from 3 ft,6,2
19,1,9:48.0,,Offensive rebound by C. Zeller,6,2
20,1,9:48.0,,C. Zeller makes 2-pt layup from 1 ft,6,4
21,1,9:40.0,J. Collins misses 2-pt layup from 3 ft,,6,4
22,1,9:38.0,Offensive rebound by D. Dedmon,,6,4
23,1,9:31.0,T. Prince makes 3-pt jump shot from 24 ft (assist by K. Huerter),,9,4
24,1,9:10.0,,J. Lamb misses 2-pt jump shot from 10 ft,9,4
25,1,9:08.0,,Offensive rebound by C. Zeller,9,4
26,1,9:08.0,,C. Zeller misses 2-pt layup from 5 ft,9,4
27,1,9:08.0,,Offensive rebound by C. Zeller,9,4
28,1,9:00.0,Violation by Team (kicked ball),,9,4
29,1,8:54.0,,K. Walker misses 2-pt jump shot from 8 ft,9,4
30,1,8:51.0,Defensive rebound by T. Prince,,9,4
31,1,8:46.0,J. Collins makes 2-pt layup from 2 ft (assist by T. Young),,11,4
32,1,8:31.0,,Shooting foul by T. Prince (drawn by N. Batum),11,4
33,1,8:31.0,,N. Batum makes free throw 1 of 3,11,5
34,1,8:31.0,,N. Batum makes free throw 2 of 3,11,6
35,1,8:31.0,K. Bazemore enters the game for T. Prince,,11,6
36,1,8:31.0,,N. Batum makes free throw 3 of 3,11,7
37,1,8:25.0,Technical foul by T. Prince,,11,7
38,1,8:25.0,,K. Walker misses technical free throw,11,7
39,1,8:25.0,Defensive rebound by Team,,11,7
40,1,8:17.0,K. Huerter makes 3-pt jump shot from 25 ft (assist by K. Bazemore),,14,7
41,1,8:06.0,,K. Walker makes 2-pt layup from 2 ft,14,9
42,1,7:56.0,D. Dedmon misses 3-pt jump shot from 25 ft,,14,9
43,1,7:52.0,,Defensive rebound by N. Batum,14,9
44,1,7:44.0,,K. Walker misses 3-pt jump shot from 25 ft,14,9
45,1,7:40.0,Defensive rebound by K. Bazemore,,14,9
46,1,7:34.0,D. Dedmon makes 2-pt jump shot from 16 ft (assist by K. Bazemore),,16,9
47,1,7:16.0,,Turnover by N. Batum (bad pass; steal by T. Young),16,9
48,1,7:10.0,K. Huerter misses 2-pt layup from 2 ft,,16,9
49,1,7:08.0,,Defensive rebound by J. Lamb,16,9
50,1,7:03.0,,C. Zeller misses 2-pt jump shot from 5 ft,16,9
51,1,7:03.0,Defensive rebound by D. Dedmon,,16,9
52,1,6:49.0,K. Bazemore misses 3-pt jump shot from 25 ft,,16,9
53,1,6:46.0,Offensive rebound by D. Dedmon,,16,9
54,1,6:37.0,D. Dedmon misses 3-pt jump shot from 23 ft,,16,9
55,1,6:34.0,Offensive rebound by K. Huerter,,16,9
56,1,6:31.0,Turnover by J. Collins (bad pass; steal by K. Walker),,16,9
57,1,6:27.0,,Charlotte full timeout,16,9
58,1,6:27.0,J. Anderson enters the game for J. Collins,,16,9
59,1,6:27.0,O. Spellman enters the game for K. Huerter,,16,9
60,1,6:27.0,,M. Kidd-Gilchrist enters the game for C. Zeller,16,9
61,1,6:24.0,,Turnover by K. Walker (lost ball; steal by D. Dedmon),16,9
62,1,6:17.0,Shooting foul by M. Kidd-Gilchrist (drawn by K. Bazemore),,16,9
63,1,6:17.0,K. Bazemore makes free throw 1 of 2,,17,9
64,1,6:17.0,D. Bembry enters the game for D. Dedmon,,17,9
65,1,6:17.0,V. Carter enters the game for T. Young,,17,9
66,1,6:17.0,K. Bazemore makes free throw 2 of 2,,18,9
67,1,5:51.0,,J. Lamb makes 2-pt jump shot from 16 ft,18,11
68,1,5:27.0,Shooting foul by M. Kidd-Gilchrist (drawn by D. Bembry),,18,11
69,1,5:27.0,D. Bembry misses free throw 1 of 2,,18,11
70,1,5:27.0,Offensive rebound by Team,,18,11
71,1,5:27.0,D. Bembry makes free throw 2 of 2,,19,11
72,1,5:03.0,,Shooting foul by D. Bembry (drawn by K. Walker),19,11
73,1,5:03.0,,K. Walker makes free throw 1 of 3,19,12
74,1,5:03.0,,K. Walker makes free throw 2 of 3,19,13
75,1,5:03.0,,M. Bridges enters the game for N. Batum,19,13
76,1,5:03.0,,K. Walker misses free throw 3 of 3,19,13
77,1,5:00.0,Defensive rebound by O. Spellman,,19,13
78,1,4:47.0,V. Carter misses 3-pt jump shot from 25 ft,,19,13
79,1,4:47.0,,Defensive rebound by Team,19,13
80,1,4:27.0,,J. Lamb makes 2-pt layup from 1 ft (assist by M. Bridges),19,15
81,1,4:15.0,Shooting foul by M. Kidd-Gilchrist (drawn by V. Carter),,19,15
82,1,4:15.0,V. Carter makes free throw 1 of 2,,20,15
83,1,4:15.0,,D. Bacon enters the game for M. Kidd-Gilchrist,20,15
84,1,4:15.0,V. Carter makes free throw 2 of 2,,21,15
85,1,3:51.0,,M. Williams misses 2-pt layup from 2 ft,21,15
86,1,3:49.0,Defensive rebound by J. Anderson,,21,15
87,1,3:49.0,,M. Monk enters the game for J. Lamb,21,15
88,1,3:29.0,O. Spellman misses 3-pt jump shot from 25 ft,,21,15
89,1,3:26.0,,Defensive rebound by M. Williams,21,15
90,1,3:19.0,,K. Walker misses 2-pt layup from 3 ft (block by K. Bazemore),21,15
91,1,3:16.0,Defensive rebound by K. Bazemore,,21,15
92,1,3:12.0,D. Bembry makes 2-pt layup from 2 ft (assist by K. Bazemore),,23,15
93,1,2:52.0,,K. Walker misses 2-pt layup from 2 ft,23,15
94,1,2:52.0,,Offensive rebound by Team,23,15
95,1,2:52.0,Atlanta full timeout,,23,15
96,1,2:52.0,J. Collins enters the game for J. Anderson,,23,15
97,1,2:52.0,K. Huerter enters the game for O. Spellman,,23,15
98,1,2:52.0,,F. Kaminsky enters the game for M. Williams,23,15
99,1,2:46.0,,Def 3 sec tech foul by Team,23,15
100,1,2:46.0,,K. Walker makes technical free throw,23,16
101,1,2:33.0,,M. Monk misses 2-pt jump shot from 20 ft (block by V. Carter),23,16
102,1,2:28.0,Defensive rebound by D. Bembry,,23,16
103,1,2:14.0,V. Carter misses 3-pt jump shot from 23 ft,,23,16
104,1,2:11.0,,Defensive rebound by D. Bacon,23,16
105,1,2:06.0,,D. Bacon misses 2-pt jump shot from 5 ft,23,16
106,1,2:04.0,Defensive rebound by D. Bembry,,23,16
107,1,1:53.0,K. Huerter makes 3-pt jump shot from 23 ft (assist by D. Bembry),,26,16
108,1,1:27.0,,F. Kaminsky makes 3-pt jump shot from 26 ft (assist by K. Walker),26,19
109,1,1:11.0,Turnover by D. Bembry (lost ball; steal by K. Walker),,26,19
110,1,1:07.0,,K. Walker misses 2-pt layup from 2 ft,26,19
111,1,1:05.0,Defensive rebound by J. Collins,,26,19
112,1,1:01.0,K. Bazemore misses 3-pt jump shot from 25 ft,,26,19
113,1,1:01.0,,Defensive rebound by Team,26,19
114,1,1:01.0,Loose ball foul by K. Huerter (drawn by M. Bridges),,26,19
115,1,1:01.0,,M. Bridges misses free throw 1 of 2,26,19
116,1,1:01.0,,Offensive rebound by Team,26,19
117,1,1:01.0,,M. Bridges makes free throw 2 of 2,26,20
118,1,1:01.0,T. Young enters the game for K. Huerter,,26,20
119,1,1:01.0,,T. Parker enters the game for K. Walker,26,20
120,1,0:51.0,Turnover by T. Young (bad pass),,26,20
121,1,0:36.0,,F. Kaminsky makes 2-pt dunk from 1 ft (assist by M. Monk),26,22
122,1,0:24.0,V. Carter misses 2-pt layup from 3 ft,,26,22
123,1,0:22.0,Offensive rebound by J. Collins,,26,22
124,1,0:22.0,J. Collins makes 2-pt dunk at rim,,28,22
125,1,0:03.0,,M. Monk makes 2-pt layup from 4 ft,28,24
126,2,11:50.0,,F. Kaminsky misses 2-pt layup from 2 ft,28,24
127,2,11:48.0,Defensive rebound by K. Bazemore,,28,24
128,2,11:41.0,Personal foul by D. Bacon (drawn by T. Prince),,28,24
129,2,11:36.0,Personal foul by M. Monk (drawn by T. Young),,28,24
130,2,11:30.0,T. Young misses 2-pt jump shot from 14 ft,,28,24
131,2,11:28.0,Offensive rebound by T. Young,,28,24
132,2,11:19.0,T. Young makes 2-pt jump shot from 10 ft (assist by J. Collins),,30,24
133,2,11:00.0,,Personal foul by D. Dedmon (drawn by M. Monk),30,24
134,2,10:52.0,,F. Kaminsky makes 3-pt jump shot from 26 ft (assist by T. Parker),30,27
135,2,10:39.0,T. Young misses 2-pt jump shot from 19 ft,,30,27
