,QUARTER,TIME_REMAINING,NEW YORK_ACTION,GOLDEN STATE_ACTION,NEW YORK_SCORE,GOLDEN STATE_SCORE
30,1,7:46.0,,K. Thompson misses 3-pt jump shot from 28 ft,11,13
31,1,7:44.0,,Offensive rebound by D. Green,11,13
32,1,7:44.0,,D. Green misses 2-pt layup from 1 ft,11,13
33,1,7:43.0,,Offensive rebound by D. Green,11,13
34,1,7:43.0,,D. Green misses 2-pt layup from 1 ft,11,13
35,1,7:42.0,,Offensive rebound by K. Looney,11,13
36,1,7:35.0,,K. Thompson makes 3-pt jump shot from 23 ft (assist by K. Looney),11,16
37,1,7:23.0,L. Kornet misses 3-pt jump shot from 28 ft,,11,16
38,1,7:21.0,,Defensive rebound by K. Looney,11,16
39,1,7:15.0,,K. Thompson makes 2-pt jump shot from 8 ft (assist by K. Durant),11,18
40,1,7:08.0,New York full timeout,,11,18
41,1,6:58.0,T. Hardaway makes 3-pt jump shot from 27 ft (assist by E. Mudiay),,14,18
42,1,6:46.0,,Turnover by K. Durant (bad pass; steal by N. Vonleh),14,18
43,1,6:45.0,Offensive foul by N. Vonleh (drawn by D. Green),,14,18
44,1,6:45.0,Turnover by N. Vonleh (offensive foul),,14,18
45,1,6:32.0,,S. Curry misses 3-pt jump shot from 25 ft,14,18
46,1,6:30.0,,Offensive rebound by D. Green,14,18
47,1,6:24.0,,Turnover by K. Durant (bad pass; steal by L. Kornet),14,18
48,1,6:07.0,K. Knox makes 2-pt dunk at rim (assist by N. Vonleh),,16,18
49,1,5:51.0,,K. Thompson makes 2-pt layup from 2 ft (assist by S. Curry),16,20
50,1,5:35.0,T. Hardaway misses 2-pt layup from 2 ft,,16,20
51,1,5:34.0,,Defensive rebound by K. Looney,16,20
52,1,5:28.0,,K. Thompson makes 3-pt jump shot from 23 ft (assist by S. Curry),16,23
53,1,5:06.0,E. Mudiay misses 2-pt jump shot from 13 ft (block by K. Thompson),,16,23
54,1,5:04.0,Offensive rebound by E. Mudiay,,16,23
55,1,5:02.0,Turnover by Team (shot clock),,16,23
56,1,5:02.0,M. Hezonja enters the game for K. Knox,,16,23
57,1,5:02.0,A. Trier enters the game for L. Kornet,,16,23
58,1,5:02.0,,A. Iguodala enters the game for D. Green,16,23
59,1,4:43.0,,S. Curry misses 3-pt jump shot from 25 ft,16,23
60,1,4:41.0,Defensive rebound by N. Vonleh,,16,23
61,1,4:32.0,Turnover by E. Mudiay (lost ball; steal by K. Looney),,16,23
62,1,4:24.0,,K. Looney makes 2-pt dunk from 2 ft (assist by S. Curry),16,25
63,1,3:57.0,A. Trier misses 3-pt jump shot from 27 ft,,16,25
64,1,3:55.0,,Defensive rebound by K. Durant,16,25
65,1,3:49.0,,K. Durant makes 2-pt jump shot from 19 ft,16,27
66,1,3:39.0,New York full timeout,,16,27
67,1,3:39.0,E. Freedom enters the game for N. Vonleh,,16,27
68,1,3:39.0,,Q. Cook enters the game for S. Curry,16,27
69,1,3:39.0,,D. Green enters the game for K. Looney,16,27
70,1,3:32.0,A. Trier misses 2-pt jump shot from 17 ft,,16,27
71,1,3:31.0,,Defensive rebound by K. Thompson,16,27
72,1,3:17.0,,Turnover by K. Durant (bad pass; steal by M. Hezonja),16,27
73,1,3:06.0,E. Mudiay makes 2-pt jump shot from 8 ft,,18,27
74,1,2:45.0,,K. Thompson misses 2-pt jump shot from 22 ft,18,27
75,1,2:43.0,Defensive rebound by E. Freedom,,18,27
76,1,2:40.0,Turnover by E. Mudiay (bad pass; steal by Q. Cook),,18,27
77,1,2:25.0,,K. Durant misses 2-pt layup from 2 ft,18,27
78,1,2:24.0,Defensive rebound by M. Hezonja,,18,27
79,1,2:12.0,T. Hardaway makes 3-pt jump shot from 27 ft (assist by E. Mudiay),,21,27
80,1,1:56.0,,K. Durant misses 3-pt jump shot from 29 ft,21,27
81,1,1:54.0,Defensive rebound by T. Hardaway,,21,27
82,1,1:41.0,Personal foul by D. Green (drawn by E. Freedom),,21,27
83,1,1:41.0,T. Burke enters the game for T. Hardaway,,21,27
84,1,1:41.0,D. Dotson enters the game for E. Mudiay,,21,27
85,1,1:41.0,,J. Jerebko enters the game for K. Thompson,21,27
86,1,1:32.0,D. Dotson misses 2-pt jump shot from 17 ft,,21,27
87,1,1:31.0,Offensive rebound by A. Trier,,21,27
88,1,1:27.0,A. Trier makes 2-pt jump shot from 11 ft,,23,27
89,1,1:12.0,,Personal foul by M. Hezonja (drawn by K. Durant),23,27
90,1,1:03.0,,Shooting foul by M. Hezonja (drawn by K. Durant),23,27
91,1,1:03.0,,K. Durant makes free throw 1 of 2,23,28
92,1,1:03.0,K. Knox enters the game for M. Hezonja,,23,28
93,1,1:03.0,,K. Durant makes free throw 2 of 2,23,29
94,1,0:43.0,E. Freedom misses 2-pt layup from 9 ft,,23,29
95,1,0:42.0,,Defensive rebound by K. Durant,23,29
96,1,0:31.0,,K. Durant misses 3-pt jump shot from 25 ft,23,29
97,1,0:29.0,Defensive rebound by E. Freedom,,23,29
98,1,0:07.0,T. Burke makes 2-pt jump shot from 17 ft,,25,29
99,1,0:02.0,,Q. Cook makes 2-pt layup from 2 ft (assist by K. Durant),25,31
100,1,0:02.0,Violation by Team (def goaltending),,25,31
101,2,11:41.0,T. Burke makes 2-pt layup from 2 ft,,27,31
102,2,11:41.0,Shooting foul by A. McKinnie (drawn by T. Burke),,27,31
103,2,11:41.0,T. Burke makes free throw 1 of 1,,28,31
104,2,11:24.0,,Turnover by A. Iguodala (bad pass; steal by D. Dotson),28,31
