,QUARTER,TIME_REMAINING,MEMPHIS_ACTION,NEW YORK_ACTION,MEMPHIS_SCORE,NEW YORK_SCORE
30,1,8:56.0,,D. Jordan makes free throw 2 of 2,3,6
31,1,8:46.0,Shooting foul by D. Smith (drawn by M. Conley),,3,6
32,1,8:46.0,M. Conley makes free throw 1 of 2,,4,6
33,1,8:46.0,,K. Allen enters the game for D. Smith,4,6
34,1,8:46.0,M. Conley makes free throw 2 of 2,,5,6
35,1,8:35.0,,Personal foul by B. Caboclo (drawn by K. Knox),5,6
36,1,8:22.0,,N. Vonleh misses 3-pt jump shot from 23 ft,5,6
37,1,8:18.0,Defensive rebound by M. Gasol,,5,6
38,1,8:14.0,Personal foul by N. Vonleh (drawn by J. Jackson),,5,6
39,1,8:05.0,M. Conley makes 3-pt jump shot from 24 ft (assist by B. Caboclo),,8,6
40,1,7:55.0,,Turnover by D. Dotson (bad pass; steal by M. Conley),8,6
41,1,7:49.0,Personal foul by K. Knox (drawn by J. Jackson),,8,6
42,1,7:49.0,,L. Kornet enters the game for D. Jordan,8,6
43,1,7:44.0,J. Holiday makes 2-pt layup from 2 ft (assist by M. Gasol),,10,6
44,1,7:22.0,,D. Dotson makes 3-pt jump shot from 26 ft (assist by N. Vonleh),10,9
45,1,7:04.0,M. Conley makes 2-pt jump shot from 11 ft,,12,9
46,1,6:58.0,,Personal foul by B. Caboclo (drawn by K. Allen),12,9
47,1,6:58.0,,New York full timeout,12,9
48,1,6:58.0,J. Green enters the game for B. Caboclo,,12,9
49,1,6:52.0,,D. Dotson misses 3-pt jump shot from 26 ft,12,9
50,1,6:48.0,Defensive rebound by J. Green,,12,9
51,1,6:26.0,J. Holiday misses 3-pt jump shot from 26 ft,,12,9
52,1,6:23.0,,Defensive rebound by D. Dotson,12,9
53,1,6:09.0,,K. Knox makes 3-pt jump shot from 26 ft (assist by D. Dotson),12,12
54,1,5:53.0,M. Gasol makes 2-pt jump shot from 18 ft (assist by M. Conley),,14,12
55,1,5:37.0,,L. Kornet misses 3-pt jump shot from 26 ft,14,12
56,1,5:34.0,Defensive rebound by J. Green,,14,12
57,1,5:19.0,J. Holiday misses 2-pt jump shot from 6 ft,,14,12
58,1,5:15.0,,Defensive rebound by D. Dotson,14,12
59,1,5:03.0,,N. Vonleh misses 3-pt jump shot from 26 ft,14,12
60,1,4:59.0,Defensive rebound by J. Green,,14,12
61,1,4:48.0,Shooting foul by L. Kornet (drawn by J. Jackson),,14,12
62,1,4:48.0,J. Jackson makes free throw 1 of 2,,15,12
63,1,4:48.0,S. Mack enters the game for M. Conley,,15,12
64,1,4:48.0,,W. Matthews enters the game for D. Dotson,15,12
65,1,4:48.0,J. Jackson misses free throw 2 of 2,,15,12
66,1,4:45.0,,Defensive rebound by N. Vonleh,15,12
67,1,4:33.0,,N. Vonleh makes 2-pt hook shot from 6 ft,15,14
68,1,4:19.0,J. Holiday misses 2-pt jump shot from 7 ft,,15,14
69,1,4:16.0,,Defensive rebound by N. Vonleh,15,14
70,1,4:11.0,,L. Kornet makes 3-pt jump shot from 28 ft (assist by K. Allen),15,17
71,1,3:54.0,M. Gasol misses 3-pt jump shot from 24 ft,,15,17
72,1,3:51.0,,Defensive rebound by N. Vonleh,15,17
73,1,3:41.0,,Turnover by W. Matthews (lost ball; steal by M. Gasol),15,17
