,QUARTER,TIME_REMAINING,NEW ORLEANS_ACTION,MIAMI_ACTION,NEW ORLEANS_SCORE,MIAMI_SCORE
0,1,11:53.0,J. Holiday misses 3-pt jump shot from 27 ft,,0,0
1,1,11:50.0,,Defensive rebound by R. McGruder,0,0
2,1,11:43.0,,Shooting foul by A. Davis (drawn by J. Johnson),0,0
3,1,11:43.0,,J. Johnson makes free throw 1 of 2,0,1
4,1,11:43.0,,J. Johnson makes free throw 2 of 2,0,2
5,1,11:23.0,J. Holiday makes 2-pt jump shot from 6 ft,,2,2
6,1,11:23.0,Shooting foul by R. McGruder (drawn by J. Holiday),,2,2
7,1,11:23.0,J. Holiday makes free throw 1 of 1,,3,2
8,1,11:08.0,,J. Johnson makes 2-pt dunk from 3 ft (assist by W. Ellington),3,4
9,1,10:58.0,N. Mirotić misses 3-pt jump shot from 27 ft,,3,4
10,1,10:54.0,,Defensive rebound by H. Whiteside,3,4
11,1,10:49.0,,R. McGruder makes 2-pt layup from 3 ft,3,6
12,1,10:37.0,Turnover by N. Mirotić (back court),,3,6
13,1,10:25.0,,J. Richardson misses 2-pt jump shot from 18 ft,3,6
14,1,10:17.0,,Offensive rebound by H. Whiteside,3,6
15,1,10:17.0,,H. Whiteside makes 2-pt layup at rim,3,8
16,1,10:14.0,J. Holiday makes 2-pt layup from 3 ft (assist by T. Frazier),,5,8
17,1,10:02.0,,J. Richardson makes 2-pt hook shot from 3 ft,5,10
18,1,9:44.0,N. Mirotić misses 3-pt jump shot from 29 ft,,5,10
19,1,9:42.0,,Defensive rebound by W. Ellington,5,10
20,1,9:35.0,,Turnover by J. Johnson (bad pass; steal by N. Mirotić),5,10
21,1,9:29.0,Turnover by A. Davis (lost ball; steal by W. Ellington),,5,10
22,1,9:18.0,,W. Ellington misses 3-pt jump shot from 23 ft,5,10
23,1,9:16.0,Defensive rebound by Team,,5,10
24,1,8:52.0,J. Holiday makes 2-pt jump shot from 13 ft,,7,10
25,1,8:29.0,,H. Whiteside makes 2-pt dunk from 2 ft,7,12
26,1,8:04.0,A. Davis misses 2-pt jump shot from 5 ft,,7,12
27,1,8:00.0,,Defensive rebound by J. Johnson,7,12
28,1,7:47.0,,Shooting foul by T. Frazier (drawn by H. Whiteside),7,12
29,1,7:47.0,,H. Whiteside misses free throw 1 of 2,7,12
30,1,7:47.0,,Offensive rebound by Team,7,12
31,1,7:47.0,,H. Whiteside misses free throw 2 of 2,7,12
32,1,7:44.0,,Offensive rebound by W. Ellington,7,12
33,1,7:35.0,,J. Richardson misses 3-pt jump shot from 26 ft,7,12
34,1,7:31.0,Defensive rebound by E. Moore,,7,12
35,1,7:24.0,E. Moore makes 2-pt hook shot from 10 ft (assist by T. Frazier),,9,12
36,1,7:12.0,,J. Richardson misses 2-pt hook shot from 6 ft (block by A. Davis),9,12
37,1,7:12.0,,Offensive rebound by Team,9,12
38,1,7:12.0,,Miami full timeout,9,12
39,1,7:09.0,,Turnover by J. Johnson (traveling),9,12
40,1,6:52.0,A. Davis makes 2-pt jump shot from 13 ft,,11,12
41,1,6:42.0,,H. Whiteside makes 2-pt layup from 4 ft (assist by J. Johnson),11,14
42,1,6:18.0,J. Holiday misses 2-pt layup from 4 ft (block by J. Richardson),,11,14
43,1,6:14.0,,Defensive rebound by W. Ellington,11,14
44,1,6:11.0,,R. McGruder misses 3-pt jump shot from 25 ft,11,14
45,1,6:08.0,Defensive rebound by E. Moore,,11,14
46,1,6:06.0,N. Mirotić misses 3-pt jump shot from 26 ft,,11,14
47,1,6:03.0,,Defensive rebound by H. Whiteside,11,14
48,1,6:03.0,J. Randle enters the game for N. Mirotić,,11,14
49,1,6:03.0,,D. Wade enters the game for R. McGruder,11,14
50,1,5:42.0,,J. Richardson makes 2-pt jump shot from 14 ft (assist by D. Wade),11,16
51,1,5:28.0,A. Davis makes 2-pt jump shot from 19 ft (assist by T. Frazier),,13,16
52,1,5:17.0,,Personal foul by E. Moore (drawn by J. Richardson),13,16
53,1,5:17.0,D. Miller enters the game for T. Frazier,,13,16
54,1,5:14.0,,Personal foul by D. Miller (drawn by J. Richardson),13,16
55,1,5:14.0,S. Hill enters the game for E. Moore,,13,16
56,1,4:59.0,,J. Johnson misses 2-pt jump shot from 7 ft,13,16
57,1,4:54.0,Defensive rebound by S. Hill,,13,16
58,1,4:52.0,Turnover by A. Davis (lost ball; steal by J. Richardson),,13,16
59,1,4:40.0,,J. Richardson makes 3-pt jump shot from 27 ft (assist by J. Johnson),13,19
60,1,4:26.0,A. Davis makes 2-pt jump shot from 13 ft (assist by J. Randle),,15,19
61,1,4:15.0,,J. Richardson misses 3-pt jump shot from 27 ft,15,19
62,1,4:11.0,Defensive rebound by J. Randle,,15,19
63,1,4:04.0,Turnover by D. Miller (bad pass; steal by J. Johnson),,15,19
64,1,3:59.0,,J. Richardson makes 2-pt layup from 3 ft (assist by J. Johnson),15,21
65,1,3:53.0,New Orleans full timeout,,15,21
66,1,3:53.0,,B. Adebayo enters the game for J. Johnson,15,21
67,1,3:53.0,,K. Olynyk enters the game for H. Whiteside,15,21
68,1,3:41.0,J. Holiday misses 2-pt jump shot from 9 ft,,15,21
69,1,3:36.0,,Defensive rebound by J. Richardson,15,21
70,1,3:32.0,,D. Wade makes 3-pt jump shot from 27 ft,15,24
71,1,3:19.0,Turnover by J. Randle (bad pass; steal by K. Olynyk),,15,24
72,1,3:10.0,,J. Richardson makes 3-pt jump shot from 26 ft,15,27
73,1,2:46.0,D. Miller misses 3-pt jump shot from 25 ft,,15,27
74,1,2:41.0,,Defensive rebound by B. Adebayo,15,27
75,1,2:40.0,,Personal foul by S. Hill (drawn by W. Ellington),15,27
76,1,2:40.0,,W. Ellington makes free throw 1 of 2,15,28
77,1,2:40.0,,W. Ellington misses free throw 2 of 2,15,28
78,1,2:36.0,,Offensive rebound by D. Wade,15,28
79,1,2:33.0,,D. Wade misses 3-pt jump shot from 25 ft,15,28
80,1,2:31.0,Defensive rebound by S. Hill,,15,28
81,1,2:18.0,S. Hill makes 2-pt dunk from 4 ft (assist by J. Holiday),,17,28
82,1,1:54.0,,D. Wade makes 2-pt jump shot from 13 ft (assist by K. Olynyk),17,30
83,1,1:32.0,J. Holiday misses 2-pt jump shot from 9 ft,,17,30
84,1,1:30.0,Offensive rebound by J. Holiday,,17,30
85,1,1:29.0,J. Holiday misses 2-pt layup from 5 ft,,17,30
86,1,1:29.0,Offensive rebound by S. Hill,,17,30
87,1,1:29.0,Turnover by S. Hill (step out of bounds),,17,30
88,1,1:29.0,N. Mirotić enters the game for A. Davis,,17,30
89,1,1:29.0,,R. McGruder enters the game for W. Ellington,17,30
90,1,1:29.0,,J. Winslow enters the game for J. Richardson,17,30
91,1,1:19.0,,K. Olynyk makes 3-pt jump shot from 27 ft (assist by D. Wade),17,33
92,1,1:09.0,D. Miller misses 2-pt jump shot from 15 ft,,17,33
93,1,1:05.0,,Defensive rebound by K. Olynyk,17,33
94,1,0:49.0,,J. Winslow makes 3-pt jump shot from 24 ft (assist by D. Wade),17,36
95,1,0:41.0,New Orleans full timeout,,17,36
96,1,0:26.0,N. Mirotić misses 3-pt jump shot from 25 ft,,17,36
97,1,0:22.0,Offensive rebound by S. Hill,,17,36
98,1,0:13.0,Turnover by J. Randle (lost ball),,17,36
99,1,0:04.0,,Shooting foul by S. Hill (drawn by D. Wade),17,36
100,1,0:04.0,,D. Wade makes free throw 1 of 3,17,37
101,1,0:04.0,,D. Wade misses free throw 2 of 3,17,37
102,1,0:04.0,,Offensive rebound by Team,17,37
103,1,0:04.0,,D. Wade misses free throw 3 of 3,17,37
104,1,0:01.0,Defensive rebound by J. Randle,,17,37
105,1,0:00.0,J. Holiday misses 3-pt jump shot from 47 ft,,17,37
106,1,0:00.0,Offensive rebound by Team,,17,37
107,2,11:45.0,,D. Wade misses 2-pt hook shot from 9 ft,17,37
108,2,11:42.0,Defensive rebound by J. Randle,,17,37
109,2,11:23.0,E. Moore misses 2-pt jump shot from 21 ft,,17,37
110,2,11:20.0,,Defensive rebound by B. Adebayo,17,37
111,2,11:16.0,,B. Adebayo misses 2-pt layup from 4 ft (block by J. Randle),17,37
112,2,11:16.0,,Offensive rebound by Team,17,37
113,2,11:06.0,,J. Winslow misses 2-pt jump shot from 11 ft,17,37
114,2,11:00.0,,Offensive rebound by B. Adebayo,17,37
115,2,10:58.0,,R. McGruder misses 3-pt jump shot from 26 ft,17,37
116,2,10:54.0,Defensive rebound by J. Randle,,17,37
117,2,10:37.0,J. Randle misses 3-pt jump shot from 27 ft,,17,37
118,2,10:34.0,,Defensive rebound by K. Olynyk,17,37
119,2,10:19.0,,Shooting foul by S. Hill (drawn by D. Wade),17,37
120,2,10:19.0,,D. Wade makes free throw 1 of 2,17,38
121,2,10:19.0,,D. Wade makes free throw 2 of 2,17,39
122,2,10:03.0,Turnover by E. Moore (lost ball; steal by K. Olynyk),,17,39
123,2,10:00.0,,Offensive foul by D. Wade (drawn by S. Hill),17,39
124,2,10:00.0,,Turnover by D. Wade (offensive foul),17,39
125,2,10:00.0,W. Johnson enters the game for S. Hill,,17,39
126,2,9:45.0,E. Moore misses 2-pt jump shot from 20 ft,,17,39
127,2,9:36.0,Offensive rebound by J. Randle,,17,39
128,2,9:34.0,N. Mirotić makes 2-pt layup from 4 ft (assist by J. Randle),,19,39
129,2,9:19.0,,J. Winslow misses 2-pt layup from 5 ft (block by W. Johnson),19,39
130,2,9:16.0,,Offensive rebound by B. Adebayo,19,39
131,2,9:15.0,,B. Adebayo makes 2-pt dunk from 2 ft,19,41
132,2,9:00.0,J. Randle misses 2-pt hook shot from 11 ft,,19,41
133,2,8:57.0,,Defensive rebound by D. Wade,19,41
134,2,8:55.0,,J. Winslow makes 2-pt layup from 3 ft (assist by D. Wade),19,43
135,2,8:41.0,E. Moore misses 2-pt layup from 4 ft,,19,43
136,2,8:34.0,,Defensive rebound by J. Winslow,19,43
137,2,8:31.0,,K. Olynyk misses 2-pt layup from 4 ft,19,43
138,2,8:28.0,Defensive rebound by N. Mirotić,,19,43
139,2,8:23.0,I. Clark misses 3-pt jump shot from 27 ft,,19,43
140,2,8:17.0,,Defensive rebound by R. McGruder,19,43
141,2,8:08.0,,D. Wade makes 2-pt jump shot from 12 ft,19,45
142,2,8:08.0,,Shooting foul by E. Moore (drawn by D. Wade),19,45
143,2,8:08.0,A. Davis enters the game for J. Randle,,19,45
144,2,8:08.0,,D. Wade makes free throw 1 of 1,19,46
145,2,7:56.0,E. Moore misses 2-pt jump shot from 12 ft (block by B. Adebayo),,19,46
146,2,7:52.0,,Defensive rebound by B. Adebayo,19,46
147,2,7:46.0,,Shooting foul by W. Johnson (drawn by J. Winslow),19,46
148,2,7:46.0,,J. Winslow makes free throw 1 of 2,19,47
149,2,7:46.0,,W. Ellington enters the game for R. McGruder,19,47
150,2,7:46.0,,J. Richardson enters the game for D. Wade,19,47
151,2,7:46.0,,J. Winslow makes free throw 2 of 2,19,48
152,2,7:32.0,A. Davis makes 2-pt layup from 3 ft (assist by I. Clark),,21,48
153,2,7:20.0,,J. Richardson makes 2-pt jump shot from 12 ft,21,50
154,2,7:04.0,A. Davis misses 2-pt jump shot from 20 ft,,21,50
155,2,7:02.0,,Defensive rebound by K. Olynyk,21,50
156,2,6:54.0,,Turnover by J. Winslow (bad pass; steal by N. Mirotić),21,50
157,2,6:48.0,W. Johnson misses 3-pt jump shot from 26 ft,,21,50
158,2,6:44.0,,Defensive rebound by B. Adebayo,21,50
159,2,6:37.0,,Miami full timeout,21,50
160,2,6:37.0,J. Holiday enters the game for E. Moore,,21,50
161,2,6:37.0,,H. Whiteside enters the game for B. Adebayo,21,50
162,2,6:25.0,,J. Richardson misses 2-pt layup from 4 ft,21,50
163,2,6:22.0,,Offensive rebound by H. Whiteside,21,50
164,2,6:22.0,,H. Whiteside makes 2-pt layup at rim,21,52
165,2,6:12.0,J. Holiday misses 3-pt jump shot from 28 ft,,21,52
166,2,6:06.0,,Defensive rebound by J. Winslow,21,52
167,2,5:58.0,,H. Whiteside misses 2-pt hook shot from 4 ft,21,52
168,2,5:54.0,Defensive rebound by N. Mirotić,,21,52
169,2,5:51.0,Turnover by N. Mirotić (bad pass; steal by J. Richardson),,21,52
170,2,5:45.0,,K. Olynyk misses 3-pt jump shot from 25 ft,21,52
171,2,5:41.0,Defensive rebound by I. Clark,,21,52
172,2,5:29.0,I. Clark makes 2-pt jump shot from 9 ft,,23,52
173,2,5:07.0,,J. Richardson misses 2-pt jump shot from 15 ft (block by J. Holiday),23,52
174,2,5:03.0,Defensive rebound by W. Johnson,,23,52
175,2,4:55.0,J. Holiday misses 2-pt jump shot from 14 ft (block by H. Whiteside),,23,52
176,2,4:50.0,,Defensive rebound by K. Olynyk,23,52
177,2,4:47.0,,J. Winslow makes 2-pt layup from 3 ft (assist by W. Ellington),23,54
178,2,4:33.0,N. Mirotić makes 3-pt jump shot from 27 ft (assist by J. Holiday),,26,54
179,2,4:14.0,,J. Winslow misses 3-pt jump shot from 26 ft,26,54
180,2,4:12.0,,Offensive rebound by K. Olynyk,26,54
181,2,4:05.0,,Turnover by K. Olynyk (traveling),26,54
182,2,4:05.0,C. Diallo enters the game for I. Clark,,26,54
183,2,4:05.0,T. Frazier enters the game for N. Mirotić,,26,54
184,2,4:05.0,,J. Johnson enters the game for K. Olynyk,26,54
185,2,4:05.0,,R. McGruder enters the game for J. Winslow,26,54
186,2,3:53.0,Shooting foul by H. Whiteside (drawn by J. Holiday),,26,54
187,2,3:53.0,J. Holiday makes free throw 1 of 2,,27,54
188,2,3:53.0,J. Holiday makes free throw 2 of 2,,28,54
189,2,3:36.0,,H. Whiteside makes 2-pt jump shot from 6 ft,28,56
190,2,3:20.0,Personal foul by J. Johnson (drawn by A. Davis),,28,56
191,2,3:18.0,Personal foul by R. McGruder (drawn by A. Davis),,28,56
192,2,3:09.0,C. Diallo misses 2-pt jump shot from 9 ft (block by H. Whiteside),,28,56
193,2,3:02.0,,Defensive rebound by H. Whiteside,28,56
194,2,2:56.0,,J. Richardson makes 3-pt jump shot from 27 ft (assist by H. Whiteside),28,59
195,2,2:50.0,New Orleans full timeout,,28,59
196,2,2:50.0,D. Miller enters the game for W. Johnson,,28,59
197,2,2:50.0,,D. Wade enters the game for R. McGruder,28,59
198,2,2:35.0,Turnover by J. Holiday (bad pass; steal by H. Whiteside),,28,59
199,2,2:28.0,,D. Wade misses 2-pt jump shot from 15 ft,28,59
200,2,2:23.0,Defensive rebound by T. Frazier,,28,59
201,2,2:19.0,J. Holiday makes 2-pt layup from 3 ft (assist by T. Frazier),,30,59
202,2,2:05.0,,Turnover by H. Whiteside (step out of bounds),30,59
203,2,1:58.0,J. Holiday makes 2-pt layup from 4 ft (assist by A. Davis),,32,59
204,2,1:58.0,Shooting foul by J. Johnson (drawn by J. Holiday),,32,59
205,2,1:58.0,J. Holiday makes free throw 1 of 1,,33,59
206,2,1:34.0,,J. Johnson misses 2-pt jump shot from 10 ft,33,59
207,2,1:31.0,Defensive rebound by D. Miller,,33,59
208,2,1:30.0,Personal foul by J. Johnson (drawn by T. Frazier),,33,59
209,2,1:30.0,T. Frazier makes free throw 1 of 2,,34,59
210,2,1:30.0,,K. Olynyk enters the game for J. Johnson,34,59
211,2,1:30.0,T. Frazier makes free throw 2 of 2,,35,59
212,2,1:16.0,,W. Ellington misses 3-pt jump shot from 27 ft,35,59
213,2,1:12.0,Defensive rebound by J. Holiday,,35,59
214,2,1:10.0,A. Davis makes 2-pt jump shot from 9 ft (assist by J. Holiday),,37,59
215,2,0:53.0,,Personal foul by C. Diallo (drawn by H. Whiteside),37,59
216,2,0:48.0,,J. Richardson misses 3-pt jump shot from 26 ft,37,59
217,2,0:45.0,Defensive rebound by T. Frazier,,37,59
218,2,0:42.0,A. Davis makes 2-pt jump shot from 12 ft (assist by T. Frazier),,39,59
219,2,0:42.0,Shooting foul by J. Richardson (drawn by A. Davis),,39,59
220,2,0:42.0,A. Davis makes free throw 1 of 1,,40,59
221,2,0:30.0,,Personal foul by D. Miller (drawn by K. Olynyk),40,59
222,2,0:30.0,,K. Olynyk makes free throw 1 of 2,40,60
223,2,0:30.0,,J. Winslow enters the game for W. Ellington,40,60
224,2,0:30.0,,K. Olynyk makes free throw 2 of 2,40,61
225,2,0:24.0,Personal foul by J. Winslow (drawn by T. Frazier),,40,61
226,2,0:24.0,T. Frazier misses free throw 1 of 2,,40,61
227,2,0:24.0,Offensive rebound by Team,,40,61
228,2,0:24.0,W. Johnson enters the game for D. Miller,,40,61
229,2,0:24.0,,W. Ellington enters the game for J. Winslow,40,61
230,2,0:24.0,T. Frazier makes free throw 2 of 2,,41,61
231,2,0:00.0,,Turnover by Team (shot clock),41,61
232,3,11:39.0,,H. Whiteside misses 2-pt layup from 4 ft,41,61
233,3,11:35.0,,Offensive rebound by H. Whiteside,41,61
234,3,11:35.0,,H. Whiteside makes 2-pt layup from 1 ft,41,63
235,3,11:20.0,A. Davis makes 2-pt jump shot from 15 ft (assist by N. Mirotić),,43,63
236,3,11:07.0,,R. McGruder misses 2-pt layup from 10 ft (block by A. Davis),43,63
237,3,11:06.0,,Offensive rebound by Team,43,63
238,3,10:53.0,,Turnover by Team (shot clock),43,63
239,3,10:33.0,A. Davis makes 3-pt jump shot from 26 ft (assist by J. Holiday),,46,63
240,3,10:20.0,,Turnover by J. Richardson (out of bounds lost ball),46,63
241,3,10:08.0,A. Davis makes 3-pt jump shot from 26 ft (assist by T. Frazier),,49,63
242,3,10:05.0,,Miami full timeout,49,63
243,3,9:53.0,,R. McGruder makes 2-pt jump shot from 4 ft (assist by H. Whiteside),49,65
244,3,9:42.0,Shooting foul by H. Whiteside (drawn by A. Davis),,49,65
245,3,9:42.0,A. Davis makes free throw 1 of 3,,50,65
246,3,9:42.0,A. Davis makes free throw 2 of 3,,51,65
247,3,9:42.0,A. Davis makes free throw 3 of 3,,52,65
248,3,9:29.0,,Personal foul by T. Frazier (drawn by R. McGruder),52,65
249,3,9:21.0,,R. McGruder makes 2-pt layup from 5 ft,52,67
250,3,9:21.0,,Shooting foul by T. Frazier (drawn by R. McGruder),52,67
251,3,9:21.0,,R. McGruder makes free throw 1 of 1,52,68
252,3,9:06.0,J. Holiday makes 2-pt jump shot from 8 ft,,54,68
253,3,8:54.0,,J. Johnson misses 2-pt jump shot from 22 ft,54,68
254,3,8:52.0,,Offensive rebound by R. McGruder,54,68
255,3,8:51.0,,R. McGruder misses 2-pt layup from 1 ft,54,68
256,3,8:51.0,,Offensive rebound by Team,54,68
257,3,8:45.0,,Turnover by J. Richardson (lost ball; steal by E. Moore),54,68
258,3,8:41.0,T. Frazier misses 2-pt layup from 4 ft,,54,68
259,3,8:37.0,Offensive rebound by E. Moore,,54,68
260,3,8:37.0,E. Moore misses 2-pt layup at rim,,54,68
261,3,8:36.0,,Defensive rebound by H. Whiteside,54,68
262,3,8:23.0,,J. Richardson misses 2-pt layup from 6 ft (block by A. Davis),54,68
263,3,8:20.0,,Offensive rebound by R. McGruder,54,68
264,3,8:17.0,,R. McGruder makes 2-pt layup from 4 ft,54,70
265,3,8:10.0,N. Mirotić makes 3-pt jump shot from 27 ft (assist by A. Davis),,57,70
266,3,7:42.0,,Shooting foul by J. Holiday (drawn by J. Johnson),57,70
267,3,7:42.0,,J. Johnson misses free throw 1 of 2,57,70
268,3,7:42.0,,Offensive rebound by Team,57,70
269,3,7:42.0,,J. Johnson makes free throw 2 of 2,57,71
270,3,7:36.0,A. Davis misses 2-pt jump shot from 16 ft,,57,71
271,3,7:32.0,,Defensive rebound by H. Whiteside,57,71
