,QUARTER,TIME_REMAINING,INDIANA_ACTION,GOLDEN STATE_ACTION,INDIANA_SCORE,GOLDEN STATE_SCORE
0,1,11:48.0,,K. Thompson misses 3-pt jump shot from 27 ft,0,0
1,1,11:46.0,,Offensive rebound by D. Cousins,0,0
2,1,11:42.0,,D. Cousins misses 2-pt hook shot from 3 ft,0,0
3,1,11:41.0,Defensive rebound by W. Matthews,,0,0
4,1,11:26.0,W. Matthews misses 3-pt jump shot from 27 ft,,0,0
5,1,11:24.0,,Defensive rebound by D. Cousins,0,0
6,1,11:14.0,,Turnover by K. Durant (step out of bounds),0,0
7,1,10:54.0,T. Young misses 2-pt dunk from 3 ft (block by K. Durant),,0,0
8,1,10:52.0,,Defensive rebound by D. Green,0,0
9,1,10:48.0,,K. Thompson misses 3-pt jump shot from 23 ft,0,0
10,1,10:46.0,Defensive rebound by B. Bogdanović,,0,0
11,1,10:39.0,B. Bogdanović misses 2-pt layup from 2 ft (block by D. Cousins),,0,0
12,1,10:37.0,Offensive rebound by T. Young,,0,0
13,1,10:32.0,T. Young makes 3-pt jump shot from 23 ft,,3,0
14,1,10:23.0,,K. Thompson misses 2-pt layup from 2 ft,3,0
15,1,10:22.0,Defensive rebound by M. Turner,,3,0
16,1,10:11.0,B. Bogdanović misses 2-pt jump shot from 9 ft,,3,0
17,1,10:09.0,,Defensive rebound by Team,3,0
18,1,9:59.0,,K. Durant makes 2-pt jump shot from 19 ft (assist by K. Thompson),3,2
19,1,9:48.0,M. Turner misses 3-pt jump shot from 27 ft,,3,2
20,1,9:46.0,Offensive rebound by T. Young,,3,2
21,1,9:42.0,T. Young misses 3-pt jump shot from 23 ft,,3,2
22,1,9:40.0,,Defensive rebound by K. Durant,3,2
23,1,9:31.0,,K. Durant makes 2-pt jump shot from 17 ft,3,4
24,1,9:07.0,Turnover by W. Matthews (back court),,3,4
25,1,8:52.0,,D. Cousins misses 3-pt jump shot from 27 ft,3,4
26,1,8:50.0,Defensive rebound by T. Young,,3,4
27,1,8:35.0,C. Joseph misses 2-pt jump shot from 19 ft,,3,4
28,1,8:34.0,,Defensive rebound by D. Cousins,3,4
29,1,8:11.0,,K. Thompson misses 2-pt jump shot from 21 ft,3,4
30,1,8:10.0,Defensive rebound by T. Young,,3,4
31,1,7:53.0,T. Young misses 2-pt hook shot from 11 ft,,3,4
32,1,7:52.0,,Defensive rebound by D. Cousins,3,4
33,1,7:44.0,,D. Cousins makes 2-pt layup from 2 ft (assist by S. Curry),3,6
34,1,7:44.0,,Shooting foul by T. Young (drawn by D. Cousins),3,6
35,1,7:44.0,,D. Cousins makes free throw 1 of 1,3,7
36,1,7:38.0,B. Bogdanović misses 3-pt jump shot from 26 ft,,3,7
37,1,7:36.0,,Defensive rebound by K. Thompson,3,7
38,1,7:26.0,,Turnover by S. Curry (bad pass; steal by C. Joseph),3,7
39,1,7:21.0,B. Bogdanović makes 2-pt layup from 2 ft (assist by T. Young),,5,7
40,1,7:04.0,,K. Thompson misses 2-pt jump shot from 19 ft,5,7
