,QUARTER,TIME_REMAINING,MIAMI_ACTION,BOSTON_ACTION,MIAMI_SCORE,BOSTON_SCORE
0,1,11:37.0,J. Richardson makes 2-pt layup from 5 ft,,2,0
1,1,11:37.0,,Violation by Team (def goaltending),2,0
2,1,11:25.0,,M. Morris makes 3-pt jump shot from 26 ft (assist by M. Smart),2,3
3,1,11:03.0,J. Winslow misses 2-pt jump shot from 17 ft,,2,3
4,1,11:00.0,,Defensive rebound by K. Irving,2,3
5,1,10:54.0,,K. Irving misses 2-pt jump shot from 11 ft,2,3
6,1,10:52.0,,Offensive rebound by A. Horford,2,3
7,1,10:51.0,,A. Horford makes 2-pt layup from 2 ft,2,5
8,1,10:38.0,J. Richardson misses 3-pt jump shot from 24 ft,,2,5
9,1,10:35.0,,Defensive rebound by A. Horford,2,5
10,1,10:33.0,,Personal foul by J. Richardson (drawn by M. Morris),2,5
11,1,10:16.0,,M. Morris makes 2-pt jump shot from 8 ft,2,7
12,1,9:48.0,Turnover by Team (shot clock),,2,7
13,1,9:34.0,,K. Irving misses 2-pt jump shot from 22 ft,2,7
14,1,9:32.0,Defensive rebound by H. Whiteside,,2,7
15,1,9:28.0,R. McGruder misses 3-pt jump shot from 26 ft,,2,7
16,1,9:24.0,,Defensive rebound by J. Tatum,2,7
17,1,9:12.0,,J. Tatum misses 2-pt jump shot from 15 ft,2,7
18,1,9:09.0,Defensive rebound by H. Whiteside,,2,7
19,1,9:04.0,Turnover by H. Whiteside (traveling),,2,7
20,1,8:55.0,,K. Irving makes 2-pt jump shot from 18 ft,2,9
21,1,8:39.0,R. McGruder misses 3-pt jump shot from 23 ft,,2,9
22,1,8:37.0,,Defensive rebound by M. Morris,2,9
23,1,8:30.0,,M. Morris misses 3-pt jump shot from 25 ft,2,9
24,1,8:26.0,,Offensive rebound by A. Horford,2,9
25,1,8:25.0,,J. Tatum makes 3-pt jump shot from 25 ft (assist by A. Horford),2,12
26,1,8:23.0,Miami full timeout,,2,12
27,1,8:11.0,R. McGruder misses 2-pt layup from 3 ft,,2,12
28,1,8:11.0,Offensive rebound by H. Whiteside,,2,12
29,1,8:10.0,H. Whiteside makes 2-pt dunk from 3 ft,,4,12
30,1,7:48.0,,J. Tatum misses 2-pt jump shot from 17 ft,4,12
31,1,7:48.0,,Offensive rebound by M. Morris,4,12
32,1,7:47.0,,M. Morris makes 2-pt layup from 1 ft,4,14
33,1,7:28.0,J. Richardson makes 3-pt jump shot from 26 ft (assist by J. Johnson),,7,14
34,1,7:17.0,,Turnover by J. Tatum (step out of bounds),7,14
35,1,7:03.0,Turnover by J. Johnson (discontinued dribble),,7,14
36,1,6:52.0,,K. Irving misses 3-pt jump shot from 25 ft,7,14
37,1,6:49.0,,Offensive rebound by A. Horford,7,14
38,1,6:40.0,,J. Tatum makes 3-pt jump shot from 23 ft (assist by K. Irving),7,17
39,1,6:19.0,H. Whiteside makes 2-pt layup from 1 ft (assist by J. Johnson),,9,17
40,1,6:19.0,Shooting foul by J. Tatum (drawn by H. Whiteside),,9,17
41,1,6:19.0,H. Whiteside misses free throw 1 of 1,,9,17
42,1,6:19.0,,Defensive rebound by J. Tatum,9,17
43,1,6:04.0,,J. Tatum makes 2-pt jump shot from 12 ft,9,19
44,1,5:50.0,J. Johnson makes 2-pt jump shot from 10 ft,,11,19
45,1,5:50.0,Loose ball foul by J. Johnson (drawn by M. Morris),,11,19
46,1,5:50.0,D. Wade enters the game for R. McGruder,,11,19
47,1,5:50.0,,G. Hayward enters the game for M. Smart,11,19
48,1,5:44.0,,Offensive foul by J. Tatum (drawn by J. Richardson),11,19
49,1,5:44.0,,Turnover by J. Tatum (offensive foul),11,19
50,1,5:44.0,T. Johnson enters the game for J. Richardson,,11,19
51,1,5:32.0,J. Johnson makes 3-pt jump shot from 26 ft (assist by D. Wade),,14,19
52,1,5:16.0,,A. Horford makes 2-pt hook shot from 6 ft (assist by K. Irving),14,21
53,1,4:58.0,Turnover by J. Johnson (bad pass; steal by K. Irving),,14,21
54,1,4:55.0,,J. Tatum misses 2-pt layup from 5 ft (block by J. Johnson),14,21
55,1,4:54.0,,Offensive rebound by Team,14,21
56,1,4:54.0,B. Adebayo enters the game for H. Whiteside,,14,21
57,1,4:52.0,,M. Morris makes 2-pt jump shot from 17 ft (assist by K. Irving),14,23
58,1,4:36.0,Personal foul by G. Hayward (drawn by J. Johnson),,14,23
59,1,4:22.0,D. Wade misses 2-pt jump shot from 18 ft,,14,23
60,1,4:18.0,,Defensive rebound by A. Horford,14,23
61,1,4:15.0,,G. Hayward misses 3-pt jump shot from 25 ft,14,23
62,1,4:13.0,Defensive rebound by J. Winslow,,14,23
63,1,4:06.0,T. Johnson makes 3-pt jump shot from 27 ft (assist by J. Johnson),,17,23
64,1,3:45.0,,Turnover by A. Horford (lost ball; steal by D. Wade),17,23
65,1,3:43.0,Personal foul by M. Morris (drawn by B. Adebayo),,17,23
66,1,3:43.0,,J. Brown enters the game for M. Morris,17,23
67,1,3:43.0,,T. Rozier enters the game for J. Tatum,17,23
68,1,3:39.0,Turnover by T. Johnson (traveling),,17,23
69,1,3:27.0,,Shooting foul by D. Wade (drawn by G. Hayward),17,23
70,1,3:27.0,,G. Hayward makes free throw 1 of 2,17,24
71,1,3:27.0,,G. Hayward makes free throw 2 of 2,17,25
72,1,3:12.0,Turnover by T. Johnson (lost ball; steal by A. Horford),,17,25
73,1,3:07.0,,A. Horford makes 2-pt hook shot from 9 ft (assist by K. Irving),17,27
74,1,2:49.0,D. Wade makes 2-pt layup from 4 ft (assist by J. Winslow),,19,27
75,1,2:39.0,,K. Irving makes 3-pt jump shot from 25 ft (assist by A. Horford),19,30
76,1,2:39.0,,Shooting foul by T. Johnson (drawn by K. Irving),19,30
77,1,2:39.0,,Boston full timeout,19,30
78,1,2:39.0,D. Jones enters the game for J. Johnson,,19,30
79,1,2:39.0,J. Richardson enters the game for J. Winslow,,19,30
80,1,2:39.0,,A. Baynes enters the game for A. Horford,19,30
81,1,2:39.0,,K. Irving makes free throw 1 of 1,19,31
82,1,2:24.0,D. Jones makes 2-pt dunk from 2 ft (assist by D. Wade),,21,31
83,1,2:12.0,,K. Irving makes 2-pt jump shot from 13 ft (assist by A. Baynes),21,33
84,1,1:49.0,D. Wade misses 3-pt jump shot from 26 ft,,21,33
85,1,1:46.0,,Defensive rebound by K. Irving,21,33
86,1,1:33.0,,Turnover by G. Hayward (bad pass; steal by B. Adebayo),21,33
87,1,1:31.0,Turnover by B. Adebayo (bad pass; steal by K. Irving),,21,33
88,1,1:29.0,,Turnover by K. Irving (bad pass; steal by T. Johnson),21,33
89,1,1:19.0,T. Johnson misses 3-pt jump shot from 27 ft,,21,33
90,1,1:15.0,,Defensive rebound by A. Baynes,21,33
91,1,1:00.0,,T. Rozier misses 3-pt jump shot from 26 ft,21,33
92,1,0:58.0,Defensive rebound by D. Wade,,21,33
93,1,0:50.0,,Violation by Team (kicked ball),21,33
94,1,0:50.0,,M. Smart enters the game for K. Irving,21,33
95,1,0:38.0,T. Johnson misses 3-pt jump shot from 26 ft,,21,33
96,1,0:33.0,,Defensive rebound by J. Brown,21,33
97,1,0:30.0,,Offensive foul by G. Hayward (drawn by J. Richardson),21,33
98,1,0:30.0,,Turnover by G. Hayward (offensive foul),21,33
99,1,0:14.0,B. Adebayo misses 2-pt dunk from 4 ft (block by A. Baynes),,21,33
100,1,0:09.0,Offensive rebound by D. Jones,,21,33
101,1,0:09.0,Shooting foul by A. Baynes (drawn by D. Jones),,21,33
102,1,0:09.0,D. Jones makes free throw 1 of 2,,22,33
103,1,0:09.0,D. Jones makes free throw 2 of 2,,23,33
104,1,0:03.0,,T. Rozier misses 3-pt jump shot from 26 ft,23,33
105,1,0:00.0,Defensive rebound by Team,,23,33
106,2,11:47.0,,Turnover by A. Baynes (back court),23,33
107,2,11:47.0,,Violation by Team (delay of game),23,33
108,2,11:39.0,D. Wade makes 2-pt jump shot from 15 ft (assist by T. Johnson),,25,33
109,2,11:27.0,,Turnover by M. Smart (bad pass),25,33
110,2,11:13.0,Turnover by D. Wade (bad pass),,25,33
111,2,10:58.0,,J. Brown misses 2-pt layup from 5 ft (block by D. Jones),25,33
112,2,10:55.0,Defensive rebound by D. Jones,,25,33
113,2,10:50.0,B. Adebayo makes 2-pt hook shot from 10 ft (assist by D. Wade),,27,33
114,2,10:31.0,,J. Brown misses 2-pt jump shot from 11 ft,27,33
115,2,10:29.0,,Offensive rebound by Team,27,33
116,2,10:24.0,,T. Rozier misses 2-pt layup from 3 ft,27,33
117,2,10:23.0,,Offensive rebound by A. Baynes,27,33
118,2,10:23.0,,A. Baynes misses 2-pt layup from 2 ft,27,33
119,2,10:22.0,Defensive rebound by B. Adebayo,,27,33
120,2,10:09.0,D. Waiters makes 2-pt layup from 1 ft,,29,33
121,2,9:58.0,,Shooting foul by B. Adebayo (drawn by A. Baynes),29,33
122,2,9:58.0,,A. Baynes makes free throw 1 of 2,29,34
123,2,9:58.0,,A. Baynes makes free throw 2 of 2,29,35
124,2,9:41.0,D. Wade misses 2-pt jump shot from 13 ft,,29,35
125,2,9:39.0,,Defensive rebound by Team,29,35
126,2,9:28.0,,Offensive foul by A. Baynes (drawn by D. Jones),29,35
127,2,9:28.0,,Turnover by A. Baynes (offensive foul),29,35
128,2,9:15.0,Turnover by D. Wade (lost ball; steal by J. Brown),,29,35
129,2,9:07.0,,J. Brown misses 2-pt layup from 4 ft (block by B. Adebayo),29,35
130,2,9:06.0,,Offensive rebound by Team,29,35
131,2,8:59.0,,M. Smart misses 2-pt jump shot from 17 ft,29,35
132,2,8:56.0,Defensive rebound by D. Wade,,29,35
133,2,8:46.0,D. Waiters misses 2-pt jump shot from 8 ft,,29,35
134,2,8:45.0,,Defensive rebound by Team,29,35
135,2,8:33.0,,G. Hayward misses 2-pt jump shot from 16 ft,29,35
136,2,8:30.0,Defensive rebound by B. Adebayo,,29,35
137,2,8:23.0,D. Waiters misses 2-pt layup from 4 ft (block by M. Smart),,29,35
138,2,8:23.0,Offensive rebound by Team,,29,35
139,2,8:23.0,J. Richardson enters the game for T. Johnson,,29,35
140,2,8:19.0,D. Wade misses 2-pt jump shot from 16 ft,,29,35
141,2,8:16.0,,Defensive rebound by G. Hayward,29,35
142,2,8:10.0,,G. Hayward makes 2-pt layup from 2 ft,29,37
143,2,7:56.0,D. Waiters misses 3-pt jump shot from 24 ft,,29,37
144,2,7:55.0,,Defensive rebound by Team,29,37
145,2,7:44.0,,G. Hayward misses 2-pt jump shot from 11 ft,29,37
146,2,7:41.0,Defensive rebound by B. Adebayo,,29,37
147,2,7:32.0,Personal foul by M. Smart (drawn by J. Richardson),,29,37
148,2,7:32.0,H. Whiteside enters the game for B. Adebayo,,29,37
149,2,7:32.0,J. Winslow enters the game for D. Wade,,29,37
150,2,7:32.0,,J. Tatum enters the game for G. Hayward,29,37
151,2,7:19.0,D. Jones misses 3-pt jump shot from 23 ft,,29,37
152,2,7:17.0,Offensive rebound by Team,,29,37
153,2,7:12.0,J. Richardson makes 3-pt jump shot from 23 ft (assist by H. Whiteside),,32,37
154,2,6:48.0,,Turnover by J. Tatum (lost ball; steal by J. Richardson),32,37
155,2,6:44.0,D. Jones makes 2-pt dunk from 1 ft (assist by J. Richardson),,34,37
156,2,6:44.0,Shooting foul by J. Brown (drawn by D. Jones),,34,37
