,QUARTER,TIME_REMAINING,LA CLIPPERS_ACTION,ORLANDO_ACTION,LA CLIPPERS_SCORE,ORLANDO_SCORE
0,1,11:36.0,,A. Gordon makes 2-pt jump shot from 19 ft (assist by N. Vučević),0,2
1,1,11:20.0,A. Bradley misses 2-pt jump shot from 9 ft,,0,2
2,1,11:15.0,,Defensive rebound by N. Vučević,0,2
3,1,11:07.0,,E. Fournier misses 2-pt jump shot from 22 ft,0,2
4,1,11:02.0,Defensive rebound by B. Marjanović,,0,2
5,1,10:52.0,Personal foul by E. Fournier (drawn by D. Gallinari),,0,2
6,1,10:40.0,D. Gallinari makes 2-pt jump shot from 8 ft,,2,2
7,1,10:29.0,,Personal foul by T. Harris (drawn by A. Gordon),2,2
8,1,10:20.0,,D. Augustin makes 2-pt jump shot from 17 ft,2,4
9,1,10:00.0,A. Bradley makes 2-pt jump shot from 20 ft,,4,4
10,1,9:40.0,,A. Gordon misses 2-pt jump shot from 17 ft,4,4
11,1,9:37.0,Defensive rebound by D. Gallinari,,4,4
12,1,9:30.0,D. Gallinari misses 2-pt jump shot from 3 ft (block by N. Vučević),,4,4
13,1,9:26.0,,Defensive rebound by N. Vučević,4,4
14,1,9:25.0,,Turnover by E. Fournier (bad pass),4,4
15,1,9:15.0,T. Harris makes 2-pt jump shot from 15 ft (assist by P. Beverley),,6,4
16,1,9:15.0,Shooting foul by A. Gordon (drawn by T. Harris),,6,4
17,1,9:15.0,T. Harris makes free throw 1 of 1,,7,4
18,1,9:06.0,,N. Vučević makes 2-pt hook shot from 4 ft (assist by E. Fournier),7,6
19,1,8:55.0,Personal foul by A. Gordon (drawn by D. Gallinari),,7,6
20,1,8:39.0,A. Bradley misses 2-pt jump shot from 19 ft,,7,6
21,1,8:37.0,Offensive rebound by D. Gallinari,,7,6
22,1,8:35.0,D. Gallinari misses 2-pt jump shot from 5 ft,,7,6
23,1,8:33.0,,Defensive rebound by E. Fournier,7,6
24,1,8:30.0,,Turnover by A. Gordon (out of bounds lost ball),7,6
25,1,8:07.0,A. Bradley misses 2-pt jump shot from 17 ft,,7,6
26,1,8:04.0,Offensive rebound by P. Beverley,,7,6
27,1,7:55.0,A. Bradley misses 2-pt layup from 3 ft,,7,6
28,1,7:54.0,Offensive rebound by Team,,7,6
29,1,7:47.0,D. Gallinari misses 2-pt jump shot from 5 ft,,7,6
30,1,7:44.0,,Defensive rebound by D. Augustin,7,6
31,1,7:33.0,,N. Vučević makes 2-pt layup from 1 ft (assist by E. Fournier),7,8
32,1,7:19.0,T. Harris makes 2-pt jump shot from 11 ft,,9,8
33,1,7:00.0,,J. Isaac misses 2-pt jump shot from 20 ft,9,8
34,1,6:58.0,Defensive rebound by T. Harris,,9,8
35,1,6:51.0,T. Harris makes 2-pt layup from 2 ft,,11,8
36,1,6:32.0,,N. Vučević makes 2-pt jump shot from 9 ft (assist by D. Augustin),11,10
37,1,6:19.0,A. Bradley makes 3-pt jump shot from 23 ft (assist by B. Marjanović),,14,10
38,1,6:13.0,,Orlando full timeout,14,10
39,1,6:13.0,,W. Iwundu enters the game for A. Gordon,14,10
40,1,6:05.0,,D. Augustin makes 2-pt jump shot from 15 ft,14,12
41,1,5:46.0,Turnover by D. Gallinari (bad pass; steal by E. Fournier),,14,12
42,1,5:33.0,,Turnover by N. Vučević (traveling),14,12
43,1,5:33.0,L. Williams enters the game for A. Bradley,,14,12
44,1,5:17.0,D. Gallinari misses 2-pt layup from 2 ft,,14,12
45,1,5:11.0,Offensive rebound by B. Marjanović,,14,12
46,1,5:11.0,B. Marjanović misses 2-pt layup from 1 ft,,14,12
47,1,5:08.0,Offensive rebound by B. Marjanović,,14,12
48,1,5:08.0,B. Marjanović makes 2-pt layup from 1 ft,,16,12
49,1,4:55.0,,E. Fournier makes 2-pt jump shot from 17 ft,16,14
50,1,4:34.0,B. Marjanović makes 2-pt hook shot from 5 ft,,18,14
51,1,4:21.0,,J. Isaac misses 2-pt jump shot from 16 ft,18,14
52,1,4:15.0,,Offensive rebound by N. Vučević,18,14
53,1,4:15.0,,N. Vučević makes 2-pt layup at rim,18,16
54,1,4:05.0,P. Beverley makes 3-pt jump shot from 23 ft (assist by L. Williams),,21,16
55,1,3:43.0,,E. Fournier makes 2-pt jump shot from 18 ft,21,18
56,1,3:25.0,Offensive foul by B. Marjanović (drawn by J. Isaac),,21,18
57,1,3:25.0,Turnover by B. Marjanović (offensive foul),,21,18
58,1,3:25.0,S. Gilgeous-Alexander enters the game for P. Beverley,,21,18
59,1,3:25.0,M. Harrell enters the game for D. Gallinari,,21,18
60,1,3:25.0,M. Scott enters the game for B. Marjanović,,21,18
61,1,3:25.0,,M. Bamba enters the game for D. Augustin,21,18
62,1,3:25.0,,J. Grant enters the game for E. Fournier,21,18
63,1,3:25.0,,T. Ross enters the game for J. Isaac,21,18
64,1,3:13.0,,Turnover by W. Iwundu (bad pass; steal by L. Williams),21,18
65,1,3:07.0,Turnover by S. Gilgeous-Alexander (step out of bounds),,21,18
66,1,2:51.0,,M. Bamba makes 2-pt jump shot from 18 ft,21,20
67,1,2:34.0,Turnover by L. Williams (out of bounds lost ball),,21,20
68,1,2:34.0,LA Clippers full timeout,,21,20
69,1,2:11.0,,N. Vučević misses 2-pt jump shot from 12 ft,21,20
70,1,2:07.0,Defensive rebound by T. Harris,,21,20
71,1,1:55.0,S. Gilgeous-Alexander misses 3-pt jump shot from 23 ft,,21,20
72,1,1:53.0,,Defensive rebound by W. Iwundu,21,20
73,1,1:44.0,,N. Vučević misses 2-pt jump shot from 22 ft,21,20
74,1,1:42.0,Defensive rebound by M. Scott,,21,20
75,1,1:36.0,L. Williams misses 2-pt jump shot from 12 ft,,21,20
76,1,1:34.0,,Defensive rebound by N. Vučević,21,20
77,1,1:23.0,,T. Ross misses 2-pt jump shot from 13 ft,21,20
78,1,1:20.0,Defensive rebound by T. Harris,,21,20
79,1,1:17.0,M. Scott misses 3-pt jump shot from 25 ft,,21,20
80,1,1:14.0,,Defensive rebound by W. Iwundu,21,20
81,1,1:04.0,,J. Grant makes 2-pt jump shot from 20 ft,21,22
82,1,0:52.0,Shooting foul by J. Grant (drawn by M. Harrell),,21,22
83,1,0:52.0,M. Harrell makes free throw 1 of 2,,22,22
84,1,0:52.0,M. Teodosić enters the game for T. Harris,,22,22
85,1,0:52.0,M. Harrell misses free throw 2 of 2,,22,22
86,1,0:50.0,,Defensive rebound by W. Iwundu,22,22
87,1,0:39.0,,W. Iwundu misses 2-pt jump shot from 11 ft,22,22
88,1,0:36.0,Defensive rebound by M. Harrell,,22,22
89,1,0:30.0,M. Scott misses 3-pt jump shot from 27 ft,,22,22
90,1,0:27.0,,Defensive rebound by W. Iwundu,22,22
91,1,0:04.0,,N. Vučević misses 2-pt hook shot from 8 ft (block by M. Harrell),22,22
92,1,0:01.0,Defensive rebound by M. Harrell,,22,22
93,1,0:00.0,S. Gilgeous-Alexander misses 3-pt jump shot from 26 ft,,22,22
94,1,0:00.0,Offensive rebound by Team,,22,22
95,2,11:46.0,Turnover by L. Williams (bad pass; steal by A. Gordon),,22,22
