,QUARTER,TIME_REMAINING,DENVER_ACTION,UTAH_ACTION,DENVER_SCORE,UTAH_SCORE
0,1,12:00.0,,Violation by Team (delay of game),0,0
1,1,11:39.0,,D. Mitchell makes 2-pt jump shot from 5 ft (assist by J. Ingles),0,2
2,1,11:21.0,N. Jokić makes 2-pt hook shot from 5 ft (assist by G. Harris),,2,2
3,1,11:05.0,,R. O'Neale misses 3-pt jump shot from 23 ft,2,2
4,1,11:03.0,Defensive rebound by J. Murray,,2,2
5,1,10:46.0,P. Millsap misses 3-pt jump shot from 25 ft,,2,2
6,1,10:43.0,,Defensive rebound by D. Mitchell,2,2
7,1,10:37.0,,D. Mitchell misses 2-pt jump shot from 10 ft,2,2
8,1,10:34.0,,Offensive rebound by D. Favors,2,2
9,1,10:31.0,,R. Gobert makes 2-pt layup from 5 ft (assist by D. Favors),2,4
10,1,10:19.0,G. Harris misses 2-pt jump shot from 14 ft,,2,4
11,1,10:18.0,,Defensive rebound by Team,2,4
12,1,10:07.0,,D. Favors misses 3-pt jump shot from 24 ft,2,4
13,1,10:04.0,Defensive rebound by W. Barton,,2,4
14,1,9:53.0,J. Murray makes 2-pt jump shot from 11 ft (assist by N. Jokić),,4,4
15,1,9:39.0,,R. O'Neale makes 3-pt jump shot from 24 ft (assist by D. Mitchell),4,7
16,1,9:18.0,Turnover by P. Millsap (lost ball; steal by R. Gobert),,4,7
17,1,9:04.0,,Turnover by D. Favors (bad pass; steal by J. Murray),4,7
18,1,8:57.0,G. Harris misses 2-pt layup from 7 ft (block by R. O'Neale),,4,7
19,1,8:57.0,,Defensive rebound by R. O'Neale,4,7
20,1,8:47.0,,R. Gobert misses 2-pt layup from 2 ft (block by N. Jokić),4,7
21,1,8:44.0,Defensive rebound by N. Jokić,,4,7
22,1,8:44.0,Personal foul by J. Ingles (drawn by G. Harris),,4,7
23,1,8:36.0,G. Harris makes 2-pt layup from 3 ft (assist by P. Millsap),,6,7
24,1,8:25.0,,R. Gobert makes 2-pt dunk from 2 ft (assist by J. Ingles),6,9
25,1,8:15.0,J. Murray misses 3-pt jump shot from 26 ft,,6,9
26,1,8:12.0,,Defensive rebound by J. Ingles,6,9
27,1,7:56.0,,R. Gobert misses 2-pt jump shot from 4 ft,6,9
28,1,7:54.0,Defensive rebound by N. Jokić,,6,9
29,1,7:50.0,J. Murray makes 2-pt layup from 1 ft (assist by W. Barton),,8,9
30,1,7:37.0,,D. Mitchell makes 2-pt layup from 1 ft,8,11
31,1,7:23.0,J. Murray misses 2-pt jump shot from 13 ft,,8,11
32,1,7:20.0,,Defensive rebound by R. Gobert,8,11
33,1,7:15.0,,D. Mitchell makes 3-pt jump shot from 27 ft,8,14
34,1,6:55.0,G. Harris makes 2-pt dunk from 2 ft (assist by N. Jokić),,10,14
