,QUARTER,TIME_REMAINING,PHILADELPHIA_ACTION,INDIANA_ACTION,PHILADELPHIA_SCORE,INDIANA_SCORE
0,1,11:37.0,J. Embiid misses 3-pt jump shot from 31 ft,,0,0
1,1,11:34.0,,Defensive rebound by M. Turner,0,0
2,1,11:30.0,,D. Collison misses 2-pt jump shot from 1 ft,0,0
3,1,11:27.0,Defensive rebound by J. Butler,,0,0
4,1,11:24.0,J. Redick misses 3-pt jump shot from 27 ft,,0,0
5,1,11:21.0,,Defensive rebound by M. Turner,0,0
6,1,11:00.0,,M. Turner makes 3-pt jump shot from 27 ft (assist by V. Oladipo),0,3
7,1,10:43.0,J. Embiid misses 2-pt jump shot from 14 ft,,0,3
8,1,10:40.0,,Defensive rebound by D. Collison,0,3
9,1,10:33.0,,Turnover by B. Bogdanović (out of bounds lost ball),0,3
10,1,10:21.0,Turnover by B. Simmons (bad pass; steal by D. Collison),,0,3
11,1,10:17.0,,B. Bogdanović misses 3-pt jump shot from 26 ft,0,3
12,1,10:14.0,Defensive rebound by J. Embiid,,0,3
13,1,10:04.0,B. Simmons misses 2-pt layup from 1 ft,,0,3
14,1,10:02.0,,Defensive rebound by D. Collison,0,3
15,1,9:59.0,,Shooting foul by J. Embiid (drawn by T. Young),0,3
16,1,9:59.0,,T. Young makes free throw 1 of 2,0,4
17,1,9:59.0,,T. Young makes free throw 2 of 2,0,5
18,1,9:46.0,Turnover by J. Embiid (out of bounds lost ball),,0,5
19,1,9:29.0,,T. Young makes 2-pt hook shot from 2 ft,0,7
20,1,9:07.0,Personal foul by V. Oladipo (drawn by W. Chandler),,0,7
21,1,8:57.0,J. Butler misses 2-pt jump shot from 14 ft,,0,7
22,1,8:54.0,,Defensive rebound by M. Turner,0,7
23,1,8:48.0,,V. Oladipo misses 2-pt layup from 2 ft,0,7
24,1,8:45.0,Defensive rebound by B. Simmons,,0,7
25,1,8:42.0,Turnover by B. Simmons (lost ball; steal by D. Collison),,0,7
26,1,8:38.0,,D. Collison misses 3-pt jump shot from 26 ft,0,7
27,1,8:34.0,Defensive rebound by B. Simmons,,0,7
28,1,8:29.0,W. Chandler makes 3-pt jump shot from 26 ft (assist by J. Embiid),,3,7
29,1,8:20.0,,V. Oladipo misses 2-pt layup from 3 ft (block by B. Simmons),3,7
30,1,8:16.0,,Offensive rebound by V. Oladipo,3,7
31,1,8:15.0,,V. Oladipo misses 2-pt jump shot from 6 ft,3,7
32,1,8:13.0,Defensive rebound by J. Embiid,,3,7
33,1,8:10.0,B. Simmons misses 2-pt layup from 1 ft,,3,7
34,1,8:06.0,Offensive rebound by W. Chandler,,3,7
35,1,8:06.0,W. Chandler makes 2-pt layup at rim,,5,7
36,1,7:55.0,,D. Collison makes 2-pt layup at rim,5,9
37,1,7:42.0,J. Butler makes 3-pt jump shot from 27 ft (assist by J. Embiid),,8,9
38,1,7:27.0,,D. Collison makes 2-pt layup at rim (assist by B. Bogdanović),8,11
39,1,7:20.0,J. Embiid misses 3-pt jump shot from 27 ft,,8,11
40,1,7:17.0,,Defensive rebound by B. Bogdanović,8,11
41,1,7:04.0,,V. Oladipo misses 2-pt jump shot from 21 ft,8,11
42,1,7:02.0,Defensive rebound by J. Redick,,8,11
43,1,6:51.0,J. Butler makes 2-pt layup from 1 ft (assist by B. Simmons),,10,11
44,1,6:31.0,,T. Young makes 2-pt jump shot from 6 ft (assist by D. Collison),10,13
45,1,6:22.0,Shooting foul by T. Young (drawn by J. Butler),,10,13
46,1,6:22.0,,Indiana full timeout,10,13
47,1,6:22.0,J. Bolden enters the game for W. Chandler,,10,13
48,1,6:22.0,T. McConnell enters the game for J. Embiid,,10,13
49,1,6:22.0,L. Shamet enters the game for J. Redick,,10,13
50,1,6:22.0,J. Butler makes free throw 1 of 2,,11,13
51,1,6:22.0,J. Butler makes free throw 2 of 2,,12,13
52,1,6:02.0,,Shooting foul by J. Butler (drawn by M. Turner),12,13
53,1,6:02.0,,M. Turner makes free throw 1 of 2,12,14
54,1,6:02.0,,M. Turner makes free throw 2 of 2,12,15
55,1,5:48.0,J. Bolden makes 3-pt jump shot from 25 ft (assist by J. Butler),,15,15
56,1,5:33.0,,Turnover by V. Oladipo (bad pass; steal by B. Simmons),15,15
