,QUARTER,TIME_REMAINING,MEMPHIS_ACTION,PHOENIX_ACTION,MEMPHIS_SCORE,PHOENIX_SCORE
0,1,11:40.0,M. Gasol misses 2-pt jump shot from 17 ft,,0,0
1,1,11:36.0,,Defensive rebound by R. Anderson,0,0
2,1,11:23.0,,Turnover by D. Ayton (traveling),0,0
3,1,11:06.0,,Violation by Team (kicked ball),0,0
4,1,10:59.0,M. Conley makes 3-pt jump shot from 25 ft (assist by G. Temple),,3,0
5,1,10:44.0,,T. Ariza misses 2-pt layup from 2 ft,3,0
6,1,10:43.0,Defensive rebound by G. Temple,,3,0
7,1,10:37.0,Turnover by G. Temple (bad pass; steal by D. Ayton),,3,0
8,1,10:30.0,,Turnover by D. Ayton (traveling),3,0
9,1,10:16.0,M. Gasol misses 2-pt jump shot from 14 ft,,3,0
10,1,10:13.0,,Defensive rebound by T. Ariza,3,0
11,1,10:03.0,,T. Ariza misses 3-pt jump shot from 23 ft,3,0
12,1,10:00.0,Defensive rebound by K. Anderson,,3,0
13,1,9:55.0,K. Anderson makes 2-pt jump shot from 1 ft,,5,0
14,1,9:46.0,,Shooting foul by M. Conley (drawn by D. Booker),5,0
15,1,9:46.0,,D. Booker makes free throw 1 of 2,5,1
16,1,9:46.0,,D. Booker makes free throw 2 of 2,5,2
17,1,9:25.0,M. Conley misses 2-pt jump shot from 24 ft,,5,2
18,1,9:21.0,,Defensive rebound by R. Anderson,5,2
19,1,9:09.0,Loose ball foul by J. Jackson (drawn by T. Ariza),,5,2
20,1,9:04.0,,D. Booker makes 2-pt jump shot from 18 ft,5,4
21,1,8:47.0,Turnover by K. Anderson (bad pass; steal by D. Ayton),,5,4
22,1,8:27.0,,R. Anderson makes 2-pt layup from 1 ft (assist by D. Booker),5,6
23,1,8:17.0,J. Jackson makes 2-pt hook shot from 4 ft (assist by G. Temple),,7,6
24,1,8:04.0,,I. Canaan misses 2-pt layup from 1 ft,7,6
25,1,8:03.0,Defensive rebound by M. Gasol,,7,6
26,1,7:57.0,Personal foul by R. Anderson (drawn by J. Jackson),,7,6
27,1,7:45.0,M. Conley misses 3-pt jump shot from 26 ft,,7,6
28,1,7:43.0,Offensive rebound by K. Anderson,,7,6
29,1,7:41.0,Turnover by K. Anderson (traveling),,7,6
