,QUARTER,TIME_REMAINING,MIAMI_ACTION,NEW ORLEANS_ACTION,MIAMI_SCORE,NEW ORLEANS_SCORE
0,1,11:42.0,,J. Holiday makes 2-pt layup from 2 ft (assist by J. Randle),0,2
1,1,11:27.0,H. Whiteside misses 2-pt layup from 2 ft (block by A. Davis),,0,2
2,1,11:24.0,,Defensive rebound by J. Randle,0,2
3,1,11:17.0,,A. Davis misses 2-pt jump shot from 4 ft,0,2
4,1,11:13.0,Defensive rebound by J. Johnson,,0,2
5,1,11:07.0,Turnover by J. Richardson (bad pass; steal by J. Holiday),,0,2
6,1,11:02.0,,J. Holiday misses 2-pt layup from 2 ft,0,2
7,1,11:00.0,Defensive rebound by R. McGruder,,0,2
8,1,10:54.0,J. Winslow makes 2-pt layup from 2 ft (assist by J. Richardson),,2,2
9,1,10:31.0,,J. Holiday makes 2-pt jump shot from 4 ft,2,4
10,1,10:11.0,H. Whiteside makes 2-pt dunk from 1 ft (assist by R. McGruder),,4,4
11,1,9:50.0,,A. Davis misses 2-pt jump shot from 4 ft,4,4
12,1,9:49.0,,Offensive rebound by S. Hill,4,4
13,1,9:44.0,,T. Frazier misses 3-pt jump shot from 25 ft,4,4
14,1,9:40.0,Defensive rebound by R. McGruder,,4,4
15,1,9:34.0,H. Whiteside makes 2-pt jump shot from 16 ft (assist by R. McGruder),,6,4
16,1,9:10.0,,A. Davis misses 2-pt jump shot from 7 ft,6,4
17,1,9:08.0,Defensive rebound by R. McGruder,,6,4
18,1,8:57.0,J. Winslow misses 2-pt layup from 2 ft (block by J. Randle),,6,4
19,1,8:53.0,,Defensive rebound by A. Davis,6,4
20,1,8:51.0,,A. Davis makes 2-pt layup from 2 ft,6,6
21,1,8:51.0,,Shooting foul by H. Whiteside (drawn by A. Davis),6,6
22,1,8:51.0,,A. Davis misses free throw 1 of 1,6,6
23,1,8:49.0,,Offensive rebound by T. Frazier,6,6
24,1,8:47.0,,A. Davis misses 2-pt jump shot from 10 ft (block by H. Whiteside),6,6
25,1,8:41.0,Defensive rebound by J. Johnson,,6,6
26,1,8:36.0,J. Winslow misses 3-pt jump shot from 25 ft,,6,6
27,1,8:33.0,,Defensive rebound by J. Randle,6,6
28,1,8:29.0,,Turnover by J. Holiday (bad pass),6,6
29,1,8:10.0,J. Richardson misses 3-pt jump shot from 26 ft,,6,6
30,1,8:06.0,Offensive rebound by H. Whiteside,,6,6
31,1,8:04.0,H. Whiteside misses 2-pt layup from 3 ft,,6,6
32,1,8:02.0,,Defensive rebound by J. Randle,6,6
33,1,7:59.0,,Turnover by T. Frazier (bad pass; steal by J. Richardson),6,6
34,1,7:55.0,J. Richardson makes 2-pt layup from 1 ft,,8,6
35,1,7:44.0,,Turnover by J. Holiday (lost ball; steal by J. Richardson),8,6
36,1,7:29.0,H. Whiteside makes 2-pt jump shot from 12 ft (assist by J. Richardson),,10,6
37,1,7:12.0,,Shooting foul by J. Johnson (drawn by J. Randle),10,6
38,1,7:12.0,,J. Randle misses free throw 1 of 2,10,6
39,1,7:12.0,,Offensive rebound by Team,10,6
40,1,7:12.0,D. Wade enters the game for J. Richardson,,10,6
41,1,7:12.0,,J. Randle makes free throw 2 of 2,10,7
42,1,6:57.0,J. Johnson misses 3-pt jump shot from 25 ft,,10,7
43,1,6:54.0,Offensive rebound by R. McGruder,,10,7
44,1,6:46.0,Turnover by H. Whiteside (lost ball; steal by S. Hill),,10,7
45,1,6:37.0,,J. Randle misses 2-pt layup from 4 ft,10,7
46,1,6:33.0,Defensive rebound by H. Whiteside,,10,7
47,1,6:32.0,H. Whiteside makes 2-pt layup from 2 ft,,12,7
48,1,6:32.0,Shooting foul by T. Frazier (drawn by H. Whiteside),,12,7
49,1,6:32.0,,New Orleans full timeout,12,7
50,1,6:32.0,,D. Miller enters the game for T. Frazier,12,7
51,1,6:32.0,,E. Moore enters the game for J. Randle,12,7
52,1,6:32.0,H. Whiteside makes free throw 1 of 1,,13,7
53,1,6:22.0,,J. Holiday misses 2-pt layup from 2 ft (block by H. Whiteside),13,7
54,1,6:22.0,Defensive rebound by Team,,13,7
55,1,6:09.0,H. Whiteside misses 2-pt layup from 2 ft,,13,7
56,1,6:07.0,Offensive rebound by Team,,13,7
57,1,5:47.0,H. Whiteside makes 2-pt dunk from 1 ft (assist by D. Wade),,15,7
58,1,5:40.0,,A. Davis misses 2-pt layup from 1 ft,15,7
59,1,5:38.0,,Offensive rebound by J. Holiday,15,7
60,1,5:34.0,,Shooting foul by J. Johnson (drawn by S. Hill),15,7
61,1,5:34.0,,S. Hill misses free throw 1 of 2,15,7
62,1,5:34.0,,Offensive rebound by Team,15,7
63,1,5:34.0,,S. Hill makes free throw 2 of 2,15,8
64,1,5:26.0,J. Johnson makes 2-pt jump shot from 9 ft,,17,8
65,1,5:26.0,Shooting foul by S. Hill (drawn by J. Johnson),,17,8
66,1,5:26.0,J. Johnson misses free throw 1 of 1,,17,8
67,1,5:24.0,,Defensive rebound by S. Hill,17,8
68,1,5:15.0,,E. Moore makes 2-pt layup from 2 ft (assist by A. Davis),17,10
69,1,5:07.0,D. Wade misses 2-pt jump shot from 13 ft (block by J. Holiday),,17,10
70,1,5:06.0,Turnover by D. Wade (bad pass; steal by A. Davis),,17,10
71,1,5:06.0,Offensive rebound by D. Wade,,17,10
72,1,4:54.0,,E. Moore misses 3-pt jump shot from 26 ft,17,10
73,1,4:49.0,,Offensive rebound by A. Davis,17,10
74,1,4:48.0,,A. Davis makes 2-pt dunk at rim,17,12
75,1,4:25.0,J. Johnson misses 3-pt jump shot from 22 ft,,17,12
76,1,4:20.0,Offensive rebound by J. Winslow,,17,12
77,1,4:13.0,Shooting foul by E. Moore (drawn by J. Johnson),,17,12
78,1,4:13.0,J. Johnson misses free throw 1 of 2,,17,12
79,1,4:13.0,Offensive rebound by Team,,17,12
80,1,4:13.0,B. Adebayo enters the game for R. McGruder,,17,12
81,1,4:13.0,T. Johnson enters the game for H. Whiteside,,17,12
82,1,4:13.0,J. Johnson makes free throw 2 of 2,,18,12
83,1,4:03.0,,Shooting foul by B. Adebayo (drawn by A. Davis),18,12
84,1,4:03.0,,A. Davis makes free throw 1 of 2,18,13
85,1,4:03.0,K. Olynyk enters the game for J. Johnson,,18,13
86,1,4:03.0,,A. Harrison enters the game for J. Holiday,18,13
87,1,4:03.0,,A. Davis makes free throw 2 of 2,18,14
88,1,3:59.0,K. Olynyk makes 2-pt layup from 2 ft (assist by J. Winslow),,20,14
89,1,3:59.0,Shooting foul by D. Miller (drawn by K. Olynyk),,20,14
90,1,3:59.0,K. Olynyk makes free throw 1 of 1,,21,14
91,1,3:50.0,,D. Miller makes 3-pt jump shot from 25 ft (assist by A. Harrison),21,17
92,1,3:33.0,Turnover by T. Johnson (bad pass; steal by A. Davis),,21,17
93,1,3:29.0,,A. Harrison makes 3-pt jump shot from 26 ft (assist by E. Moore),21,20
94,1,3:28.0,Miami full timeout,,21,20
95,1,3:28.0,J. Richardson enters the game for J. Winslow,,21,20
96,1,3:28.0,,C. Diallo enters the game for S. Hill,21,20
