,QUARTER,TIME_REMAINING,WASHINGTON_ACTION,CHICAGO_ACTION,WASHINGTON_SCORE,CHICAGO_SCORE
0,1,11:41.0,,R. Lopez makes 2-pt hook shot from 4 ft,0,2
1,1,11:27.0,J. Green misses 3-pt jump shot from 25 ft,,0,2
2,1,11:22.0,,Defensive rebound by L. Markkanen,0,2
3,1,11:15.0,,K. Dunn makes 3-pt jump shot from 27 ft (assist by L. Markkanen),0,5
4,1,10:58.0,J. Green makes 3-pt jump shot from 26 ft (assist by B. Beal),,3,5
5,1,10:33.0,,L. Markkanen misses 2-pt hook shot from 11 ft,3,5
6,1,10:31.0,,Offensive rebound by L. Markkanen,3,5
7,1,10:23.0,,K. Dunn misses 2-pt layup from 3 ft,3,5
8,1,10:20.0,Defensive rebound by B. Portis,,3,5
9,1,10:14.0,T. Ariza misses 2-pt layup from 1 ft,,3,5
10,1,10:14.0,,Defensive rebound by Team,3,5
11,1,9:59.0,,L. Markkanen makes 3-pt jump shot from 22 ft (assist by K. Dunn),3,8
12,1,9:48.0,Turnover by T. Satoranský (lost ball; steal by S. Harrison),,3,8
13,1,9:32.0,,K. Dunn misses 2-pt jump shot from 4 ft,3,8
14,1,9:31.0,,Offensive rebound by Team,3,8
15,1,9:31.0,Loose ball foul by J. Green (drawn by R. Lopez),,3,8
16,1,9:16.0,,R. Lopez misses 2-pt jump shot from 21 ft,3,8
17,1,9:12.0,,Offensive rebound by L. Markkanen,3,8
18,1,9:06.0,,A. Blakeney misses 2-pt jump shot from 18 ft,3,8
19,1,9:02.0,Defensive rebound by T. Satoranský,,3,8
20,1,8:52.0,B. Beal misses 2-pt jump shot from 20 ft,,3,8
21,1,8:50.0,,Defensive rebound by S. Harrison,3,8
22,1,8:47.0,,S. Harrison makes 2-pt layup from 1 ft,3,10
23,1,8:45.0,Washington full timeout,,3,10
24,1,8:24.0,J. Green misses 3-pt jump shot from 26 ft,,3,10
25,1,8:21.0,,Defensive rebound by A. Blakeney,3,10
26,1,8:12.0,,L. Markkanen makes 2-pt jump shot from 11 ft (assist by K. Dunn),3,12
