,QUARTER,TIME_REMAINING,LA LAKERS_ACTION,CHARLOTTE_ACTION,LA LAKERS_SCORE,CHARLOTTE_SCORE
0,1,11:55.0,Turnover by L. Ball (bad pass; steal by M. Williams),,0,0
1,1,11:41.0,,J. Lamb makes 2-pt layup from 5 ft,0,2
2,1,11:26.0,J. McGee makes 2-pt dunk from 2 ft (assist by L. Ball),,2,2
3,1,11:04.0,,K. Walker makes 2-pt jump shot from 14 ft,2,4
4,1,10:46.0,J. McGee makes 2-pt layup from 1 ft (assist by L. Ball),,4,4
5,1,10:33.0,,C. Zeller misses 2-pt jump shot from 4 ft,4,4
6,1,10:31.0,Defensive rebound by J. McGee,,4,4
7,1,10:28.0,L. James makes 2-pt layup from 1 ft,,6,4
8,1,10:09.0,,K. Walker misses 2-pt jump shot from 11 ft,6,4
9,1,10:06.0,Defensive rebound by L. Ball,,6,4
10,1,9:49.0,J. Hart misses 2-pt layup from 2 ft (block by M. Williams),,6,4
11,1,9:46.0,,Defensive rebound by C. Zeller,6,4
12,1,9:43.0,,Turnover by C. Zeller (lost ball; steal by L. Ball),6,4
13,1,9:39.0,L. Ball makes 2-pt dunk from 2 ft,,8,4
14,1,9:19.0,,J. Lamb makes 2-pt jump shot from 19 ft (assist by C. Zeller),8,6
15,1,9:05.0,Shooting foul by M. Williams (drawn by L. James),,8,6
16,1,9:05.0,L. James makes free throw 1 of 2,,9,6
17,1,9:05.0,L. James makes free throw 2 of 2,,10,6
18,1,8:52.0,,Turnover by K. Walker (bad pass; steal by J. McGee),10,6
19,1,8:47.0,J. McGee makes 2-pt dunk from 1 ft (assist by L. James),,12,6
20,1,8:35.0,,K. Walker misses 3-pt jump shot from 26 ft,12,6
21,1,8:33.0,Defensive rebound by L. James,,12,6
22,1,8:15.0,L. James misses 3-pt jump shot from 25 ft,,12,6
23,1,8:14.0,Offensive rebound by K. Kuzma,,12,6
24,1,8:12.0,K. Kuzma misses 3-pt jump shot from 25 ft (block by C. Zeller),,12,6
25,1,8:09.0,Offensive rebound by L. Ball,,12,6
26,1,8:03.0,Turnover by L. James (lost ball; steal by N. Batum),,12,6
27,1,8:00.0,,Shooting foul by K. Kuzma (drawn by J. Lamb),12,6
28,1,8:00.0,,J. Lamb makes free throw 1 of 2,12,7
29,1,8:00.0,,M. Kidd-Gilchrist enters the game for M. Williams,12,7
30,1,8:00.0,,J. Lamb makes free throw 2 of 2,12,8
31,1,7:45.0,L. Ball misses 3-pt jump shot from 25 ft,,12,8
32,1,7:41.0,,Defensive rebound by M. Kidd-Gilchrist,12,8
