,QUARTER,TIME_REMAINING,BROOKLYN_ACTION,ATLANTA_ACTION,BROOKLYN_SCORE,ATLANTA_SCORE
0,1,11:44.0,D. Russell misses 3-pt jump shot from 25 ft,,0,0
1,1,11:41.0,,Defensive rebound by T. Young,0,0
2,1,11:35.0,,A. Len makes 2-pt dunk from 1 ft (assist by T. Prince),0,2
3,1,11:25.0,J. Harris misses 3-pt jump shot from 24 ft,,0,2
4,1,11:23.0,,Defensive rebound by J. Collins,0,2
5,1,11:11.0,,J. Collins makes 2-pt dunk from 1 ft (assist by T. Young),0,4
6,1,10:51.0,J. Harris misses 3-pt jump shot from 25 ft,,0,4
7,1,10:49.0,,Defensive rebound by A. Len,0,4
8,1,10:43.0,,A. Len misses 3-pt jump shot from 25 ft,0,4
9,1,10:39.0,Defensive rebound by A. Crabbe,,0,4
10,1,10:30.0,R. Kurucs misses 2-pt layup from 1 ft,,0,4
11,1,10:27.0,,Defensive rebound by T. Prince,0,4
12,1,10:21.0,,J. Collins makes 2-pt dunk from 2 ft (assist by T. Young),0,6
13,1,10:21.0,Brooklyn full timeout,,0,6
14,1,10:11.0,R. Kurucs makes 3-pt jump shot from 23 ft (assist by D. Russell),,3,6
15,1,9:59.0,,J. Collins misses 2-pt layup from 2 ft,3,6
16,1,9:57.0,Defensive rebound by J. Allen,,3,6
17,1,9:48.0,A. Crabbe misses 3-pt jump shot from 23 ft,,3,6
18,1,9:45.0,Offensive rebound by R. Kurucs,,3,6
19,1,9:44.0,A. Crabbe misses 3-pt jump shot from 23 ft,,3,6
20,1,9:41.0,,Defensive rebound by J. Collins,3,6
21,1,9:34.0,,A. Len misses 3-pt jump shot from 23 ft,3,6
22,1,9:30.0,Defensive rebound by J. Harris,,3,6
23,1,9:20.0,R. Kurucs misses 3-pt jump shot from 23 ft,,3,6
24,1,9:18.0,,Defensive rebound by T. Young,3,6
25,1,9:10.0,,A. Len makes 3-pt jump shot from 26 ft (assist by T. Young),3,9
26,1,8:55.0,D. Russell misses 2-pt jump shot from 12 ft,,3,9
27,1,8:52.0,,Defensive rebound by T. Young,3,9
28,1,8:44.0,,Turnover by J. Collins (lost ball; steal by A. Crabbe),3,9
29,1,8:39.0,A. Crabbe misses 3-pt jump shot from 23 ft,,3,9
30,1,8:35.0,Offensive rebound by J. Allen,,3,9
31,1,8:34.0,A. Crabbe makes 2-pt layup from 1 ft (assist by J. Allen),,5,9
32,1,8:17.0,,K. Huerter misses 2-pt hook shot from 11 ft,5,9
33,1,8:15.0,Defensive rebound by R. Kurucs,,5,9
34,1,8:09.0,D. Russell misses 3-pt jump shot from 26 ft,,5,9
35,1,8:06.0,,Defensive rebound by J. Collins,5,9
36,1,8:02.0,,T. Young misses 3-pt jump shot from 34 ft,5,9
37,1,7:59.0,Defensive rebound by J. Allen,,5,9
38,1,7:47.0,A. Crabbe misses 2-pt jump shot from 12 ft,,5,9
39,1,7:43.0,,Defensive rebound by J. Collins,5,9
40,1,7:36.0,,J. Collins makes 2-pt layup from 8 ft,5,11
41,1,7:26.0,J. Harris misses 3-pt jump shot from 26 ft,,5,11
42,1,7:24.0,Offensive rebound by R. Kurucs,,5,11
43,1,7:17.0,D. Russell makes 2-pt jump shot from 12 ft,,7,11
44,1,7:04.0,,A. Len misses 3-pt jump shot from 23 ft,7,11
45,1,7:01.0,Defensive rebound by A. Crabbe,,7,11
46,1,6:52.0,J. Harris makes 3-pt jump shot from 24 ft (assist by D. Russell),,10,11
47,1,6:52.0,,Atlanta full timeout,10,11
48,1,6:52.0,D. Carroll enters the game for R. Kurucs,,10,11
49,1,6:52.0,,V. Carter enters the game for A. Len,10,11
50,1,6:39.0,,T. Prince misses 2-pt jump shot from 13 ft,10,11
51,1,6:35.0,Defensive rebound by J. Allen,,10,11
52,1,6:32.0,Personal foul by T. Prince (drawn by J. Allen),,10,11
53,1,6:32.0,Technical foul by J. Allen,,10,11
54,1,6:32.0,,T. Young makes technical free throw,10,12
55,1,6:24.0,D. Russell makes 3-pt jump shot from 25 ft (assist by J. Allen),,13,12
56,1,6:08.0,,T. Young misses 2-pt jump shot from 10 ft,13,12
57,1,6:06.0,,Offensive rebound by J. Collins,13,12
58,1,6:04.0,,J. Collins makes 2-pt layup from 1 ft,13,14
59,1,5:50.0,A. Crabbe misses 3-pt jump shot from 25 ft,,13,14
60,1,5:47.0,Offensive rebound by J. Allen,,13,14
61,1,5:45.0,Violation by Team (kicked ball),,13,14
62,1,5:45.0,S. Dinwiddie enters the game for A. Crabbe,,13,14
63,1,5:31.0,,T. Young misses 2-pt layup from 1 ft,13,14
64,1,5:25.0,,Offensive rebound by J. Collins,13,14
65,1,5:25.0,,J. Collins makes 2-pt dunk at rim,13,16
66,1,5:15.0,D. Carroll makes 2-pt jump shot from 11 ft (assist by D. Russell),,15,16
67,1,5:03.0,,T. Prince misses 3-pt jump shot from 26 ft,15,16
68,1,5:00.0,Defensive rebound by J. Allen,,15,16
69,1,4:55.0,D. Russell misses 3-pt jump shot from 25 ft,,15,16
70,1,4:51.0,,Defensive rebound by V. Carter,15,16
71,1,4:46.0,,T. Prince makes 3-pt jump shot from 23 ft (assist by J. Collins),15,19
72,1,4:32.0,J. Allen makes 2-pt layup at rim (assist by S. Dinwiddie),,17,19
73,1,4:15.0,,V. Carter makes 2-pt dunk from 1 ft (assist by T. Young),17,21
74,1,4:06.0,Personal foul by K. Huerter (drawn by J. Allen),,17,21
75,1,4:06.0,E. Davis enters the game for J. Allen,,17,21
76,1,4:06.0,C. LeVert enters the game for D. Russell,,17,21
77,1,4:06.0,,J. Adams enters the game for J. Collins,17,21
78,1,4:06.0,,K. Bazemore enters the game for K. Huerter,17,21
79,1,4:06.0,,D. Bembry enters the game for T. Prince,17,21
80,1,4:06.0,,A. Len enters the game for T. Young,17,21
81,1,3:57.0,Turnover by D. Carroll (bad pass),,17,21
82,1,3:52.0,,Personal foul by D. Carroll (drawn by V. Carter),17,21
83,1,3:43.0,,A. Len misses 3-pt jump shot from 24 ft,17,21
84,1,3:42.0,Defensive rebound by Team,,17,21
85,1,3:28.0,Turnover by C. LeVert (bad pass; steal by V. Carter),,17,21
86,1,3:21.0,,Turnover by J. Adams (bad pass; steal by C. LeVert),17,21
87,1,3:14.0,D. Carroll makes 3-pt jump shot from 23 ft (assist by J. Harris),,20,21
88,1,2:56.0,,A. Len misses 2-pt hook shot from 5 ft,20,21
89,1,2:52.0,Defensive rebound by E. Davis,,20,21
90,1,2:48.0,D. Carroll misses 3-pt jump shot from 26 ft,,20,21
91,1,2:45.0,,Defensive rebound by K. Bazemore,20,21
92,1,2:42.0,,Personal foul by S. Dinwiddie (drawn by K. Bazemore),20,21
93,1,2:42.0,A. Crabbe enters the game for J. Harris,,20,21
94,1,2:42.0,,J. Anderson enters the game for V. Carter,20,21
95,1,2:32.0,,K. Bazemore misses 3-pt jump shot from 26 ft,20,21
96,1,2:30.0,Defensive rebound by C. LeVert,,20,21
97,1,2:24.0,C. LeVert misses 3-pt jump shot from 26 ft,,20,21
98,1,2:23.0,,Defensive rebound by Team,20,21
99,1,2:12.0,,Turnover by K. Bazemore (bad pass; steal by D. Carroll),20,21
100,1,1:59.0,A. Crabbe misses 3-pt jump shot from 25 ft,,20,21
101,1,1:56.0,,Defensive rebound by D. Bembry,20,21
102,1,1:43.0,,K. Bazemore misses 2-pt jump shot from 9 ft,20,21
103,1,1:38.0,Defensive rebound by C. LeVert,,20,21
104,1,1:24.0,S. Dinwiddie makes 2-pt jump shot from 14 ft,,22,21
105,1,1:06.0,,D. Bembry makes 2-pt layup from 1 ft,22,23
106,1,0:48.0,Shooting foul by K. Bazemore (drawn by A. Crabbe),,22,23
107,1,0:48.0,A. Crabbe misses free throw 1 of 2,,22,23
108,1,0:48.0,Offensive rebound by Team,,22,23
109,1,0:48.0,A. Crabbe makes free throw 2 of 2,,23,23
110,1,0:36.0,,J. Anderson misses 3-pt jump shot from 26 ft,23,23
111,1,0:32.0,Defensive rebound by C. LeVert,,23,23
112,1,0:29.0,S. Dinwiddie makes 3-pt jump shot from 26 ft (assist by C. LeVert),,26,23
113,1,0:08.0,,D. Bembry misses 2-pt jump shot from 12 ft,26,23
114,1,0:04.0,Defensive rebound by D. Carroll,,26,23
115,1,0:00.0,D. Carroll misses 2-pt layup from 2 ft,,26,23
116,1,0:00.0,Offensive rebound by E. Davis,,26,23
117,1,0:00.0,E. Davis misses 2-pt layup from 2 ft,,26,23
118,1,0:00.0,Offensive rebound by Team,,26,23
119,2,11:40.0,,K. Bazemore makes 3-pt jump shot from 25 ft,26,26
120,2,11:18.0,C. LeVert misses 2-pt jump shot from 12 ft,,26,26
121,2,11:12.0,,Defensive rebound by J. Collins,26,26
122,2,11:07.0,,D. Bembry misses 3-pt jump shot from 26 ft,26,26
123,2,11:07.0,Defensive rebound by Team,,26,26
124,2,10:50.0,Personal foul by K. Bazemore (drawn by E. Davis),,26,26
125,2,10:36.0,C. LeVert misses 2-pt jump shot from 16 ft,,26,26
126,2,10:33.0,,Defensive rebound by J. Adams,26,26
127,2,10:24.0,,D. Bembry misses 3-pt jump shot from 23 ft,26,26
128,2,10:20.0,Defensive rebound by D. Russell,,26,26
129,2,10:09.0,D. Russell makes 2-pt jump shot from 7 ft,,28,26
130,2,9:55.0,,J. Collins misses 2-pt jump shot from 8 ft,28,26
131,2,9:51.0,Defensive rebound by E. Davis,,28,26
132,2,9:48.0,D. Russell misses 3-pt jump shot from 26 ft,,28,26
133,2,9:48.0,Offensive rebound by E. Davis,,28,26
134,2,9:43.0,D. Carroll makes 3-pt jump shot from 26 ft (assist by E. Davis),,31,26
135,2,9:42.0,,Atlanta full timeout,31,26
136,2,9:42.0,,V. Carter enters the game for J. Adams,31,26
137,2,9:42.0,,K. Huerter enters the game for D. Bembry,31,26
138,2,9:42.0,,T. Young enters the game for A. Len,31,26
139,2,9:26.0,,T. Young misses 2-pt layup from 12 ft,31,26
140,2,9:23.0,Defensive rebound by C. LeVert,,31,26
141,2,9:17.0,C. LeVert misses 3-pt jump shot from 26 ft,,31,26
142,2,9:12.0,,Defensive rebound by K. Bazemore,31,26
143,2,8:58.0,,V. Carter misses 3-pt jump shot from 27 ft,31,26
144,2,8:56.0,Defensive rebound by Team,,31,26
145,2,8:56.0,,Loose ball foul by J. Collins (drawn by E. Davis),31,26
146,2,8:46.0,D. Carroll misses 3-pt jump shot from 26 ft,,31,26
147,2,8:43.0,,Defensive rebound by J. Collins,31,26
148,2,8:34.0,,Shooting foul by D. Carroll (drawn by J. Collins),31,26
149,2,8:34.0,,J. Collins misses free throw 1 of 2,31,26
150,2,8:34.0,,Offensive rebound by Team,31,26
151,2,8:34.0,,J. Collins makes free throw 2 of 2,31,27
152,2,8:11.0,A. Crabbe misses 2-pt jump shot from 13 ft,,31,27
153,2,8:07.0,Offensive rebound by C. LeVert,,31,27
154,2,7:59.0,Shooting foul by J. Collins (drawn by E. Davis),,31,27
155,2,7:59.0,E. Davis makes free throw 1 of 2,,32,27
156,2,7:59.0,,T. Prince enters the game for K. Bazemore,32,27
157,2,7:59.0,E. Davis misses free throw 2 of 2,,32,27
158,2,7:57.0,,Defensive rebound by J. Collins,32,27
159,2,7:48.0,,T. Young makes 2-pt jump shot from 15 ft,32,29
160,2,7:35.0,D. Russell misses 3-pt jump shot from 25 ft,,32,29
161,2,7:31.0,,Defensive rebound by K. Huerter,32,29
162,2,7:28.0,,K. Huerter misses 2-pt jump shot from 11 ft,32,29
163,2,7:27.0,,Offensive rebound by J. Collins,32,29
164,2,7:27.0,,Shooting foul by E. Davis (drawn by J. Collins),32,29
165,2,7:27.0,,J. Collins misses free throw 1 of 2,32,29
166,2,7:27.0,,Offensive rebound by Team,32,29
167,2,7:27.0,S. Dinwiddie enters the game for C. LeVert,,32,29
168,2,7:27.0,,J. Collins makes free throw 2 of 2,32,30
169,2,7:15.0,Shooting foul by T. Young (drawn by A. Crabbe),,32,30
