,QUARTER,TIME_REMAINING,INDIANA_ACTION,PHOENIX_ACTION,INDIANA_SCORE,PHOENIX_SCORE
0,1,11:40.0,,Turnover by D. Booker (bad pass; steal by T. Evans),0,0
1,1,11:32.0,T. Evans makes 3-pt jump shot from 25 ft (assist by D. Collison),,3,0
2,1,11:10.0,,T. Ariza misses 2-pt layup from 2 ft (block by M. Turner),3,0
3,1,11:07.0,Defensive rebound by M. Turner,,3,0
4,1,10:55.0,B. Bogdanović misses 2-pt jump shot from 9 ft,,3,0
5,1,10:52.0,Offensive rebound by B. Bogdanović,,3,0
6,1,10:50.0,B. Bogdanović misses 2-pt layup at rim,,3,0
7,1,10:48.0,,Defensive rebound by T. Warren,3,0
8,1,10:41.0,,D. Booker makes 2-pt jump shot from 12 ft,3,2
9,1,10:20.0,T. Evans makes 3-pt jump shot from 28 ft (assist by D. Collison),,6,2
10,1,9:58.0,,T. Warren makes 2-pt jump shot from 11 ft (assist by D. Booker),6,4
11,1,9:49.0,D. Collison misses 2-pt layup from 2 ft,,6,4
12,1,9:46.0,,Defensive rebound by T. Warren,6,4
13,1,9:37.0,,D. Ayton makes 2-pt layup at rim (assist by D. Booker),6,6
14,1,9:16.0,T. Evans misses 3-pt jump shot from 26 ft,,6,6
15,1,9:13.0,Offensive rebound by T. Young,,6,6
16,1,9:12.0,T. Young makes 2-pt layup from 1 ft,,8,6
17,1,8:57.0,,Def 3 sec tech foul by Team,8,6
18,1,8:57.0,,D. Booker misses technical free throw,8,6
19,1,8:57.0,,Offensive rebound by Team,8,6
20,1,8:42.0,,T. Warren makes 2-pt jump shot from 15 ft,8,8
21,1,8:35.0,B. Bogdanović makes 2-pt jump shot from 16 ft,,10,8
22,1,8:21.0,,D. Booker makes 2-pt jump shot from 15 ft,10,10
23,1,8:06.0,T. Young misses 2-pt hook shot from 4 ft,,10,10
24,1,8:03.0,,Defensive rebound by D. Ayton,10,10
25,1,7:52.0,,D. Booker misses 3-pt jump shot from 29 ft,10,10
26,1,7:47.0,Defensive rebound by M. Turner,,10,10
27,1,7:45.0,Turnover by T. Evans (bad pass; steal by D. Booker),,10,10
28,1,7:39.0,,Shooting foul by B. Bogdanović (drawn by D. Ayton),10,10
29,1,7:39.0,,D. Ayton makes free throw 1 of 2,10,11
30,1,7:39.0,,D. Ayton makes free throw 2 of 2,10,12
31,1,7:27.0,T. Evans misses 3-pt jump shot from 26 ft,,10,12
32,1,7:25.0,,Defensive rebound by D. Ayton,10,12
33,1,7:19.0,,D. Booker misses 2-pt layup from 9 ft,10,12
34,1,7:17.0,Defensive rebound by M. Turner,,10,12
35,1,7:10.0,Offensive foul by B. Bogdanović (drawn by D. Booker),,10,12
36,1,7:10.0,Turnover by B. Bogdanović (offensive foul),,10,12
37,1,7:10.0,C. Joseph enters the game for B. Bogdanović,,10,12
38,1,7:04.0,,T. Ariza makes 3-pt jump shot from 24 ft (assist by D. Booker),10,15
39,1,6:42.0,D. Collison makes 2-pt layup at rim,,12,15
40,1,6:33.0,,T. Warren misses 3-pt jump shot from 25 ft,12,15
41,1,6:30.0,Defensive rebound by T. Young,,12,15
42,1,6:24.0,T. Young makes 3-pt jump shot from 26 ft (assist by D. Collison),,15,15
43,1,6:06.0,,M. Bridges misses 3-pt jump shot from 26 ft,15,15
44,1,6:03.0,Defensive rebound by T. Evans,,15,15
45,1,5:59.0,Turnover by T. Evans (lost ball; steal by M. Bridges),,15,15
46,1,5:55.0,,T. Warren misses 2-pt layup from 1 ft,15,15
47,1,5:52.0,Defensive rebound by C. Joseph,,15,15
48,1,5:47.0,D. Collison misses 2-pt layup from 4 ft,,15,15
49,1,5:45.0,,Defensive rebound by D. Ayton,15,15
50,1,5:37.0,,Shooting foul by M. Turner (drawn by D. Ayton),15,15
51,1,5:37.0,,Phoenix full timeout,15,15
52,1,5:37.0,Violation by Team (delay of game),,15,15
53,1,5:37.0,,D. Ayton makes free throw 1 of 2,15,16
54,1,5:37.0,,D. Ayton makes free throw 2 of 2,15,17
55,1,5:21.0,M. Turner misses 2-pt jump shot from 17 ft,,15,17
56,1,5:19.0,,Defensive rebound by D. Ayton,15,17
57,1,5:01.0,,T. Ariza misses 2-pt jump shot from 17 ft,15,17
58,1,4:59.0,,Offensive rebound by T. Ariza,15,17
59,1,4:56.0,,D. Ayton misses 2-pt layup from 2 ft,15,17
60,1,4:52.0,,Offensive rebound by T. Ariza,15,17
61,1,4:51.0,,T. Ariza misses 2-pt layup from 2 ft,15,17
62,1,4:49.0,Defensive rebound by M. Turner,,15,17
63,1,4:38.0,M. Turner makes 2-pt jump shot from 8 ft,,17,17
64,1,4:21.0,,D. Ayton makes 2-pt layup from 2 ft (assist by M. Bridges),17,19
65,1,4:07.0,M. Turner makes 2-pt jump shot from 16 ft (assist by D. Collison),,19,19
66,1,3:49.0,,M. Bridges misses 2-pt jump shot from 17 ft,19,19
67,1,3:46.0,Defensive rebound by D. Collison,,19,19
68,1,3:40.0,Shooting foul by M. Bridges (drawn by D. Collison),,19,19
69,1,3:40.0,D. Collison makes free throw 1 of 2,,20,19
70,1,3:40.0,D. Sabonis enters the game for T. Young,,20,19
71,1,3:40.0,,I. Canaan enters the game for T. Ariza,20,19
72,1,3:40.0,,J. Jackson enters the game for M. Bridges,20,19
73,1,3:40.0,D. Collison misses free throw 2 of 2,,20,19
74,1,3:38.0,Offensive rebound by D. Sabonis,,20,19
75,1,3:35.0,D. Sabonis misses 2-pt layup from 2 ft,,20,19
76,1,3:33.0,,Defensive rebound by D. Ayton,20,19
77,1,3:30.0,,D. Booker makes 3-pt jump shot from 26 ft,20,22
78,1,3:13.0,T. Evans misses 2-pt layup from 4 ft,,20,22
79,1,3:10.0,,Defensive rebound by J. Jackson,20,22
80,1,3:07.0,,T. Warren misses 3-pt jump shot from 26 ft,20,22
81,1,3:03.0,Defensive rebound by M. Turner,,20,22
82,1,2:54.0,M. Turner makes 2-pt layup from 3 ft (assist by D. Collison),,22,22
83,1,2:51.0,,I. Canaan misses 3-pt jump shot from 23 ft,22,22
84,1,2:37.0,Defensive rebound by D. Sabonis,,22,22
85,1,2:28.0,C. Joseph misses 2-pt jump shot from 19 ft,,22,22
86,1,2:26.0,,Defensive rebound by J. Jackson,22,22
87,1,2:17.0,,T. Warren makes 2-pt layup from 2 ft (assist by J. Jackson),22,24
88,1,2:11.0,Indiana full timeout,,22,24
89,1,2:11.0,A. Holiday enters the game for D. Collison,,22,24
90,1,2:11.0,T. Leaf enters the game for T. Evans,,22,24
91,1,2:11.0,D. McDermott enters the game for M. Turner,,22,24
92,1,2:11.0,,R. Holmes enters the game for D. Ayton,22,24
93,1,2:01.0,A. Holiday makes 2-pt jump shot from 10 ft (assist by D. Sabonis),,24,24
94,1,1:43.0,,R. Holmes makes 2-pt dunk from 3 ft (assist by D. Booker),24,26
95,1,1:30.0,A. Holiday misses 3-pt jump shot from 27 ft,,24,26
96,1,1:27.0,,Defensive rebound by R. Holmes,24,26
97,1,1:14.0,,Turnover by D. Booker (bad pass; steal by T. Leaf),24,26
98,1,1:07.0,D. Sabonis makes 2-pt layup from 3 ft (assist by A. Holiday),,26,26
99,1,0:52.0,,T. Warren misses 3-pt jump shot from 26 ft,26,26
100,1,0:50.0,Defensive rebound by D. Sabonis,,26,26
101,1,0:32.0,D. Sabonis misses 2-pt hook shot from 3 ft,,26,26
102,1,0:30.0,,Defensive rebound by D. Booker,26,26
103,1,0:11.0,,D. Booker misses 2-pt jump shot from 11 ft,26,26
104,1,0:09.0,Defensive rebound by D. Sabonis,,26,26
105,1,0:01.0,A. Holiday misses 3-pt jump shot from 25 ft,,26,26
106,1,0:01.0,Offensive rebound by Team,,26,26
107,2,11:47.0,D. McDermott makes 2-pt jump shot from 14 ft (assist by D. Sabonis),,28,26
108,2,11:28.0,,T. Ariza misses 3-pt jump shot from 26 ft,28,26
109,2,11:26.0,,Offensive rebound by R. Holmes,28,26
110,2,11:22.0,,J. Crawford makes 3-pt jump shot from 25 ft (assist by J. Jackson),28,29
111,2,11:00.0,T. Leaf makes 2-pt layup from 5 ft,,30,29
112,2,10:38.0,,J. Jackson misses 3-pt jump shot from 22 ft,30,29
113,2,10:36.0,Defensive rebound by T. Leaf,,30,29
114,2,10:23.0,D. McDermott makes 2-pt jump shot from 20 ft (assist by D. Sabonis),,32,29
115,2,10:06.0,,I. Canaan misses 3-pt jump shot from 23 ft,32,29
116,2,10:03.0,Defensive rebound by C. Joseph,,32,29
117,2,9:58.0,D. Sabonis makes 2-pt layup from 2 ft (assist by C. Joseph),,34,29
118,2,9:38.0,,J. Jackson misses 2-pt jump shot from 16 ft,34,29
119,2,9:36.0,Defensive rebound by D. Sabonis,,34,29
120,2,9:31.0,T. Leaf misses 3-pt jump shot from 27 ft,,34,29
121,2,9:28.0,,Defensive rebound by I. Canaan,34,29
122,2,9:12.0,,J. Crawford misses 3-pt jump shot from 27 ft,34,29
123,2,9:10.0,Defensive rebound by D. Sabonis,,34,29
124,2,9:00.0,D. Sabonis misses 2-pt jump shot from 17 ft,,34,29
125,2,8:57.0,,Defensive rebound by R. Holmes,34,29
126,2,8:43.0,,J. Jackson makes 2-pt dunk from 1 ft,34,31
127,2,8:33.0,D. Sabonis makes 2-pt dunk from 2 ft (assist by C. Joseph),,36,31
128,2,8:14.0,,J. Crawford misses 2-pt layup from 2 ft,36,31
129,2,8:13.0,,Offensive rebound by R. Holmes,36,31
130,2,8:13.0,,R. Holmes makes 2-pt dunk from 1 ft,36,33
131,2,7:54.0,D. Sabonis makes 2-pt jump shot from 14 ft (assist by C. Joseph),,38,33
132,2,7:36.0,,J. Jackson makes 2-pt jump shot from 8 ft,38,35
133,2,7:25.0,Shooting foul by R. Holmes (drawn by D. Sabonis),,38,35
134,2,7:25.0,D. Sabonis makes free throw 1 of 2,,39,35
135,2,7:25.0,D. Sabonis makes free throw 2 of 2,,40,35
136,2,7:11.0,,J. Crawford misses 2-pt jump shot from 21 ft,40,35
137,2,7:09.0,Defensive rebound by D. Sabonis,,40,35
138,2,6:59.0,D. McDermott makes 3-pt jump shot from 26 ft (assist by C. Joseph),,43,35
139,2,6:58.0,,Phoenix full timeout,43,35
140,2,6:42.0,,Turnover by J. Jackson (bad pass; steal by D. Sabonis),43,35
141,2,6:37.0,D. McDermott makes 3-pt jump shot from 28 ft (assist by C. Joseph),,46,35
142,2,6:21.0,,J. Crawford makes 2-pt jump shot from 20 ft (assist by I. Canaan),46,37
143,2,6:08.0,Shooting foul by J. Jackson (drawn by D. McDermott),,46,37
144,2,6:08.0,D. McDermott makes free throw 1 of 2,,47,37
145,2,6:08.0,T. Evans enters the game for C. Joseph,,47,37
146,2,6:08.0,,D. Ayton enters the game for I. Canaan,47,37
147,2,6:08.0,,D. Booker enters the game for R. Holmes,47,37
148,2,6:08.0,,M. Bridges enters the game for J. Jackson,47,37
149,2,6:08.0,D. McDermott makes free throw 2 of 2,,48,37
150,2,5:59.0,,D. Ayton makes 2-pt jump shot from 11 ft (assist by D. Booker),48,39
151,2,5:39.0,D. Sabonis misses 2-pt jump shot from 15 ft (block by D. Ayton),,48,39
152,2,5:34.0,Offensive rebound by D. McDermott,,48,39
153,2,5:33.0,D. Sabonis makes 2-pt hook shot from 7 ft (assist by D. McDermott),,50,39
154,2,5:17.0,,Turnover by D. Booker (lost ball; steal by T. Evans),50,39
155,2,5:13.0,A. Holiday misses 2-pt layup from 2 ft (block by J. Crawford),,50,39
156,2,5:13.0,Offensive rebound by Team,,50,39
157,2,5:13.0,B. Bogdanović enters the game for A. Holiday,,50,39
158,2,5:13.0,D. Collison enters the game for T. Leaf,,50,39
159,2,5:07.0,D. McDermott misses 2-pt layup from 8 ft,,50,39
160,2,5:06.0,Offensive rebound by D. Sabonis,,50,39
161,2,5:06.0,Shooting foul by D. Ayton (drawn by D. Sabonis),,50,39
162,2,5:06.0,D. Sabonis makes free throw 1 of 2,,51,39
163,2,5:06.0,D. Sabonis makes free throw 2 of 2,,52,39
164,2,4:50.0,,Shooting foul by D. McDermott (drawn by D. Ayton),52,39
165,2,4:50.0,,D. Ayton makes free throw 1 of 2,52,40
166,2,4:50.0,T. Young enters the game for D. McDermott,,52,40
167,2,4:50.0,,D. Ayton makes free throw 2 of 2,52,41
168,2,4:39.0,B. Bogdanović misses 2-pt jump shot from 17 ft,,52,41
169,2,4:36.0,,Defensive rebound by D. Booker,52,41
170,2,4:30.0,,D. Booker misses 2-pt jump shot from 11 ft,52,41
171,2,4:28.0,Defensive rebound by B. Bogdanović,,52,41
172,2,4:21.0,Shooting foul by M. Bridges (drawn by B. Bogdanović),,52,41
173,2,4:21.0,B. Bogdanović misses free throw 1 of 2,,52,41
174,2,4:21.0,Offensive rebound by Team,,52,41
175,2,4:21.0,M. Turner enters the game for D. Sabonis,,52,41
176,2,4:21.0,,T. Warren enters the game for T. Ariza,52,41
177,2,4:21.0,B. Bogdanović makes free throw 2 of 2,,53,41
178,2,3:59.0,,J. Crawford makes 2-pt jump shot from 10 ft (assist by D. Booker),53,43
179,2,3:43.0,T. Young makes 2-pt hook shot from 2 ft,,55,43
180,2,3:21.0,,D. Ayton misses 2-pt layup from 1 ft (block by M. Turner),55,43
181,2,3:19.0,,Offensive rebound by D. Ayton,55,43
182,2,3:19.0,,D. Ayton makes 2-pt layup from 1 ft,55,45
183,2,3:06.0,M. Turner misses 3-pt jump shot from 26 ft,,55,45
184,2,3:02.0,,Defensive rebound by M. Bridges,55,45
185,2,2:55.0,,Turnover by D. Ayton (bad pass; steal by T. Evans),55,45
186,2,2:52.0,Turnover by T. Evans (lost ball; steal by D. Booker),,55,45
187,2,2:51.0,Clear path foul by D. Booker,,55,45
188,2,2:51.0,Indiana full timeout,,55,45
189,2,2:51.0,,D. Booker makes clear path free throw 1 of 2,55,46
190,2,2:51.0,,D. Booker makes clear path free throw 2 of 2,55,47
191,2,2:36.0,,Turnover by D. Booker (bad pass; steal by T. Young),55,47
192,2,2:31.0,T. Evans makes 2-pt layup from 1 ft,,57,47
193,2,2:25.0,,D. Booker misses 3-pt jump shot from 27 ft,57,47
194,2,2:24.0,Defensive rebound by M. Turner,,57,47
195,2,2:18.0,Turnover by D. Collison (bad pass; steal by D. Booker),,57,47
196,2,2:12.0,,J. Crawford makes 3-pt jump shot from 23 ft (assist by D. Booker),57,50
197,2,1:51.0,Shooting foul by T. Warren (drawn by T. Young),,57,50
198,2,1:51.0,T. Young makes free throw 1 of 2,,58,50
199,2,1:51.0,D. McDermott enters the game for B. Bogdanović,,58,50
200,2,1:51.0,T. Young makes free throw 2 of 2,,59,50
201,2,1:39.0,,D. Booker misses 3-pt jump shot from 26 ft,59,50
202,2,1:37.0,Defensive rebound by T. Young,,59,50
203,2,1:23.0,M. Turner makes 2-pt jump shot from 18 ft (assist by D. Collison),,61,50
204,2,1:07.0,,T. Warren makes 2-pt jump shot from 6 ft,61,52
205,2,0:43.0,M. Turner misses 2-pt layup from 3 ft,,61,52
