,QUARTER,TIME_REMAINING,PORTLAND_ACTION,LA LAKERS_ACTION,PORTLAND_SCORE,LA LAKERS_SCORE
0,1,11:40.0,D. Lillard misses 2-pt jump shot from 19 ft,,0,0
1,1,11:38.0,,Defensive rebound by J. McGee,0,0
2,1,11:29.0,,J. McGee makes 2-pt layup from 2 ft (assist by L. Ball),0,2
3,1,11:27.0,,Violation by Team (delay of game),0,2
4,1,11:10.0,Turnover by A. Aminu (bad pass; steal by B. Ingram),,0,2
5,1,10:58.0,,B. Ingram makes 2-pt jump shot from 13 ft,0,4
6,1,10:46.0,Offensive foul by A. Aminu (drawn by B. Ingram),,0,4
7,1,10:46.0,Turnover by A. Aminu (offensive foul),,0,4
8,1,10:36.0,,Shooting foul by C. McCollum (drawn by B. Ingram),0,4
9,1,10:36.0,,B. Ingram makes free throw 1 of 2,0,5
10,1,10:36.0,,B. Ingram misses free throw 2 of 2,0,5
11,1,10:34.0,Defensive rebound by D. Lillard,,0,5
12,1,10:19.0,J. Layman makes 3-pt jump shot from 26 ft (assist by D. Lillard),,3,5
13,1,10:06.0,,L. James makes 3-pt jump shot from 27 ft,3,8
14,1,9:52.0,C. McCollum makes 2-pt jump shot from 16 ft,,5,8
15,1,9:35.0,,J. McGee makes 2-pt hook shot from 7 ft (assist by B. Ingram),5,10
16,1,9:21.0,J. Layman makes 3-pt jump shot from 25 ft (assist by D. Lillard),,8,10
17,1,9:06.0,,L. James misses 2-pt jump shot from 11 ft,8,10
18,1,9:02.0,Defensive rebound by A. Aminu,,8,10
19,1,8:59.0,Personal foul by L. Ball (drawn by J. Nurkić),,8,10
20,1,8:49.0,C. McCollum misses 3-pt jump shot from 28 ft,,8,10
21,1,8:46.0,,Defensive rebound by K. Kuzma,8,10
22,1,8:40.0,,J. McGee misses 2-pt hook shot from 4 ft,8,10
23,1,8:38.0,Defensive rebound by J. Nurkić,,8,10
24,1,8:31.0,D. Lillard makes 2-pt layup from 3 ft,,10,10
25,1,8:16.0,,B. Ingram misses 2-pt jump shot from 18 ft,10,10
26,1,8:13.0,Defensive rebound by J. Layman,,10,10
27,1,8:00.0,C. McCollum makes 3-pt jump shot from 23 ft (assist by D. Lillard),,13,10
28,1,7:46.0,,K. Kuzma makes 2-pt layup from 2 ft (assist by L. James),13,12
29,1,7:34.0,C. McCollum makes 3-pt jump shot from 26 ft (assist by D. Lillard),,16,12
30,1,7:15.0,,L. Ball misses 2-pt jump shot from 11 ft (block by J. Nurkić),16,12
31,1,7:13.0,Defensive rebound by J. Nurkić,,16,12
32,1,7:03.0,A. Aminu makes 2-pt layup from 1 ft (assist by D. Lillard),,18,12
33,1,7:02.0,,LA Lakers full timeout,18,12
34,1,6:49.0,,J. McGee misses 2-pt layup from 2 ft,18,12
35,1,6:47.0,,Offensive rebound by L. Ball,18,12
36,1,6:43.0,,K. Kuzma misses 2-pt layup from 4 ft (block by J. Nurkić),18,12
37,1,6:40.0,Defensive rebound by D. Lillard,,18,12
38,1,6:36.0,D. Lillard misses 2-pt layup from 1 ft,,18,12
39,1,6:36.0,,Defensive rebound by L. James,18,12
40,1,6:36.0,,Personal foul by J. Layman (drawn by L. James),18,12
41,1,6:20.0,,K. Kuzma misses 2-pt layup from 3 ft (block by J. Nurkić),18,12
42,1,6:14.0,,Offensive rebound by J. McGee,18,12
43,1,6:14.0,,J. McGee makes 2-pt layup at rim,18,14
44,1,6:04.0,J. Nurkić makes 2-pt layup from 3 ft (assist by D. Lillard),,20,14
45,1,5:43.0,,L. James misses 2-pt jump shot from 16 ft,20,14
46,1,5:40.0,Defensive rebound by D. Lillard,,20,14
47,1,5:33.0,D. Lillard misses 2-pt jump shot from 19 ft,,20,14
48,1,5:33.0,,Defensive rebound by L. James,20,14
49,1,5:26.0,,L. Ball misses 2-pt layup from 2 ft (block by D. Lillard),20,14
50,1,5:22.0,,Offensive rebound by L. Ball,20,14
51,1,5:22.0,,K. Kuzma misses 2-pt layup from 2 ft,20,14
52,1,5:19.0,,Offensive rebound by L. Ball,20,14
53,1,5:14.0,,Turnover by J. McGee (bad pass; steal by C. McCollum),20,14
54,1,5:09.0,C. McCollum misses 3-pt jump shot from 26 ft,,20,14
55,1,5:07.0,,Defensive rebound by L. James,20,14
56,1,4:56.0,,Turnover by K. Kuzma (bad pass; steal by C. McCollum),20,14
57,1,4:51.0,D. Lillard makes 2-pt dunk from 1 ft (assist by C. McCollum),,22,14
58,1,4:50.0,,LA Lakers full timeout,22,14
59,1,4:50.0,E. Turner enters the game for J. Layman,,22,14
60,1,4:50.0,,T. Chandler enters the game for L. Ball,22,14
61,1,4:50.0,,J. Hart enters the game for K. Kuzma,22,14
62,1,4:50.0,,R. Rondo enters the game for J. McGee,22,14
63,1,4:28.0,,R. Rondo misses 2-pt jump shot from 14 ft,22,14
64,1,4:26.0,Defensive rebound by J. Nurkić,,22,14
65,1,4:18.0,A. Aminu makes 3-pt jump shot from 25 ft (assist by C. McCollum),,25,14
66,1,3:59.0,,B. Ingram makes 3-pt jump shot from 26 ft (assist by L. James),25,17
67,1,3:45.0,C. McCollum misses 2-pt jump shot from 17 ft,,25,17
68,1,3:42.0,,Defensive rebound by R. Rondo,25,17
69,1,3:33.0,,R. Rondo misses 2-pt jump shot from 15 ft,25,17
70,1,3:31.0,Defensive rebound by D. Lillard,,25,17
71,1,3:27.0,J. Nurkić makes 2-pt layup from 2 ft (assist by D. Lillard),,27,17
72,1,3:27.0,Shooting foul by J. Hart (drawn by J. Nurkić),,27,17
73,1,3:27.0,Z. Collins enters the game for A. Aminu,,27,17
74,1,3:27.0,J. Nurkić makes free throw 1 of 1,,28,17
75,1,3:11.0,,B. Ingram misses 2-pt jump shot from 17 ft,28,17
76,1,3:09.0,Defensive rebound by C. McCollum,,28,17
77,1,3:02.0,Turnover by J. Nurkić (lost ball; steal by R. Rondo),,28,17
78,1,2:57.0,,L. James makes 2-pt dunk from 2 ft (assist by B. Ingram),28,19
