,QUARTER,TIME_REMAINING,PORTLAND_ACTION,LA CLIPPERS_ACTION,PORTLAND_SCORE,LA CLIPPERS_SCORE
0,1,11:37.0,D. Lillard makes 3-pt jump shot from 25 ft,,3,0
1,1,11:20.0,,Turnover by J. Green (lost ball; steal by A. Aminu),3,0
2,1,11:11.0,C. McCollum misses 2-pt jump shot from 19 ft,,3,0
3,1,11:11.0,,Defensive rebound by I. Zubac,3,0
4,1,11:11.0,,LA Clippers full timeout,3,0
5,1,10:52.0,,S. Gilgeous-Alexander makes 2-pt layup from 2 ft (assist by L. Shamet),3,2
6,1,10:24.0,A. Aminu misses 3-pt jump shot from 23 ft,,3,2
7,1,10:18.0,Offensive rebound by J. Nurkić,,3,2
8,1,10:18.0,J. Nurkić misses 2-pt layup from 1 ft,,3,2
9,1,10:18.0,,Defensive rebound by P. Beverley,3,2
10,1,10:16.0,,Turnover by S. Gilgeous-Alexander (bad pass),3,2
11,1,10:04.0,Shooting foul by P. Beverley (drawn by C. McCollum),,3,2
12,1,10:04.0,C. McCollum makes free throw 1 of 2,,4,2
13,1,10:04.0,C. McCollum makes free throw 2 of 2,,5,2
14,1,9:50.0,,S. Gilgeous-Alexander makes 2-pt jump shot from 7 ft,5,4
15,1,9:35.0,D. Lillard makes 2-pt layup from 1 ft (assist by C. McCollum),,7,4
16,1,9:15.0,,Personal foul by M. Harkless (drawn by S. Gilgeous-Alexander),7,4
17,1,9:06.0,,L. Shamet makes 2-pt jump shot from 12 ft (assist by P. Beverley),7,6
18,1,8:46.0,Turnover by J. Nurkić (lost ball; steal by J. Green),,7,6
19,1,8:41.0,,S. Gilgeous-Alexander makes 3-pt jump shot from 25 ft (assist by L. Shamet),7,9
20,1,8:27.0,C. McCollum misses 3-pt jump shot from 24 ft,,7,9
21,1,8:24.0,,Defensive rebound by I. Zubac,7,9
22,1,8:09.0,,I. Zubac misses 2-pt layup from 2 ft (block by A. Aminu),7,9
23,1,8:06.0,,Offensive rebound by I. Zubac,7,9
24,1,8:05.0,,I. Zubac misses 2-pt layup from 1 ft,7,9
25,1,8:05.0,,Offensive rebound by I. Zubac,7,9
26,1,8:02.0,,Turnover by Team (shot clock),7,9
27,1,7:50.0,M. Harkless makes 2-pt hook shot from 5 ft (assist by D. Lillard),,9,9
28,1,7:40.0,,Turnover by I. Zubac (bad pass; steal by C. McCollum),9,9
29,1,7:22.0,Shooting foul by I. Zubac (drawn by J. Nurkić),,9,9
30,1,7:22.0,J. Nurkić misses free throw 1 of 2,,9,9
31,1,7:22.0,Offensive rebound by Team,,9,9
32,1,7:22.0,J. Nurkić makes free throw 2 of 2,,10,9
33,1,7:03.0,,S. Gilgeous-Alexander makes 2-pt jump shot from 14 ft,10,11
34,1,6:52.0,J. Nurkić makes 2-pt hook shot from 8 ft (assist by D. Lillard),,12,11
35,1,6:43.0,,I. Zubac makes 2-pt jump shot from 18 ft (assist by P. Beverley),12,13
36,1,6:33.0,Turnover by D. Lillard (lost ball; steal by S. Gilgeous-Alexander),,12,13
37,1,6:29.0,,Turnover by S. Gilgeous-Alexander (bad pass; steal by D. Lillard),12,13
38,1,6:14.0,J. Nurkić misses 2-pt dunk from 1 ft,,12,13
39,1,6:11.0,,Defensive rebound by J. Green,12,13
40,1,5:59.0,,I. Zubac misses 2-pt jump shot from 14 ft,12,13
41,1,5:57.0,Defensive rebound by C. McCollum,,12,13
42,1,5:44.0,C. McCollum misses 2-pt jump shot from 6 ft,,12,13
43,1,5:42.0,,Defensive rebound by I. Zubac,12,13
44,1,5:37.0,,L. Shamet makes 3-pt jump shot from 25 ft (assist by P. Beverley),12,16
45,1,5:12.0,C. McCollum misses 3-pt jump shot from 26 ft,,12,16
46,1,5:09.0,,Defensive rebound by I. Zubac,12,16
47,1,5:00.0,,L. Shamet misses 2-pt layup from 2 ft,12,16
48,1,5:00.0,,Offensive rebound by I. Zubac,12,16
49,1,5:00.0,,I. Zubac misses 2-pt layup at rim,12,16
50,1,5:00.0,Defensive rebound by Team,,12,16
51,1,5:00.0,E. Freedom enters the game for M. Harkless,,12,16
52,1,5:00.0,J. Layman enters the game for J. Nurkić,,12,16
53,1,4:47.0,D. Lillard misses 3-pt jump shot from 26 ft,,12,16
54,1,4:43.0,,Defensive rebound by J. Green,12,16
55,1,4:32.0,,J. Green misses 2-pt jump shot from 18 ft,12,16
56,1,4:28.0,Defensive rebound by J. Layman,,12,16
57,1,4:23.0,Turnover by E. Freedom (out of bounds lost ball),,12,16
58,1,4:23.0,,M. Harrell enters the game for S. Gilgeous-Alexander,12,16
59,1,4:23.0,,L. Williams enters the game for I. Zubac,12,16
60,1,4:08.0,,J. Green makes 3-pt jump shot from 24 ft (assist by P. Beverley),12,19
61,1,4:07.0,Portland full timeout,,12,19
62,1,3:52.0,A. Aminu misses 3-pt jump shot from 24 ft,,12,19
63,1,3:48.0,Offensive rebound by E. Freedom,,12,19
64,1,3:44.0,E. Freedom makes 2-pt hook shot from 3 ft (assist by D. Lillard),,14,19
65,1,3:27.0,,L. Shamet misses 3-pt jump shot from 26 ft,14,19
66,1,3:25.0,Defensive rebound by E. Freedom,,14,19
67,1,3:19.0,C. McCollum misses 3-pt jump shot from 25 ft,,14,19
68,1,3:16.0,,Defensive rebound by J. Green,14,19
69,1,3:09.0,,M. Harrell misses 2-pt layup from 4 ft,14,19
70,1,3:05.0,,Offensive rebound by M. Harrell,14,19
71,1,3:05.0,,M. Harrell misses 2-pt layup at rim,14,19
72,1,3:05.0,,Offensive rebound by J. Green,14,19
73,1,3:02.0,,J. Green makes 2-pt layup at rim,14,21
74,1,2:48.0,J. Layman makes 2-pt layup from 2 ft (assist by D. Lillard),,16,21
75,1,2:22.0,,M. Harrell makes 2-pt layup from 3 ft (assist by P. Beverley),16,23
76,1,2:12.0,Personal foul by L. Shamet (drawn by D. Lillard),,16,23
77,1,2:12.0,Z. Collins enters the game for A. Aminu,,16,23
78,1,2:12.0,S. Curry enters the game for C. McCollum,,16,23
79,1,2:12.0,,G. Temple enters the game for L. Shamet,16,23
80,1,1:58.0,Z. Collins misses 2-pt jump shot from 8 ft,,16,23
81,1,1:55.0,Offensive rebound by E. Freedom,,16,23
82,1,1:54.0,E. Freedom makes 2-pt layup from 1 ft,,18,23
83,1,1:42.0,,Turnover by M. Harrell (bad pass; steal by D. Lillard),18,23
84,1,1:39.0,D. Lillard makes 2-pt layup from 1 ft,,20,23
85,1,1:26.0,,L. Williams makes 2-pt jump shot from 15 ft,20,25
86,1,1:12.0,S. Curry makes 3-pt jump shot from 24 ft (assist by D. Lillard),,23,25
87,1,1:02.0,,Turnover by L. Williams (bad pass; steal by E. Freedom),23,25
88,1,0:42.0,E. Freedom misses 2-pt layup from 1 ft,,23,25
89,1,0:40.0,,Defensive rebound by P. Beverley,23,25
90,1,0:37.0,,G. Temple makes 3-pt jump shot from 25 ft (assist by P. Beverley),23,28
91,1,0:31.0,Z. Collins misses 3-pt jump shot from 25 ft,,23,28
92,1,0:30.0,,Defensive rebound by Team,23,28
93,1,0:30.0,Loose ball foul by E. Freedom (drawn by M. Harrell),,23,28
94,1,0:30.0,,W. Chandler enters the game for P. Beverley,23,28
