,QUARTER,TIME_REMAINING,CHICAGO_ACTION,TORONTO_ACTION,CHICAGO_SCORE,TORONTO_SCORE
0,1,11:47.0,Turnover by S. Harrison (lost ball; steal by D. Green),,0,0
1,1,11:38.0,,K. Lowry makes 3-pt jump shot from 23 ft (assist by D. Green),0,3
2,1,11:11.0,Turnover by L. Markkanen (lost ball; steal by K. Leonard),,0,3
3,1,10:55.0,,Turnover by M. Gasol (bad pass),0,3
4,1,10:37.0,R. Arcidiacono misses 2-pt jump shot from 13 ft,,0,3
5,1,10:34.0,,Defensive rebound by M. Gasol,0,3
6,1,10:18.0,,D. Green makes 3-pt jump shot from 23 ft (assist by K. Leonard),0,6
7,1,9:58.0,L. Markkanen misses 2-pt hook shot from 7 ft,,0,6
8,1,9:56.0,,Defensive rebound by D. Green,0,6
9,1,9:47.0,,K. Lowry misses 3-pt jump shot from 25 ft,0,6
10,1,9:43.0,Defensive rebound by R. Lopez,,0,6
11,1,9:34.0,W. Selden makes 2-pt jump shot from 16 ft,,2,6
12,1,9:20.0,,D. Green makes 2-pt layup from 2 ft (assist by K. Lowry),2,8
13,1,9:07.0,W. Selden misses 3-pt jump shot from 25 ft,,2,8
14,1,9:04.0,,Defensive rebound by M. Gasol,2,8
15,1,8:51.0,,P. Siakam misses 2-pt jump shot from 7 ft (block by L. Markkanen),2,8
16,1,8:48.0,,Offensive rebound by P. Siakam,2,8
17,1,8:47.0,,P. Siakam misses 2-pt layup from 3 ft,2,8
18,1,8:47.0,Defensive rebound by L. Markkanen,,2,8
19,1,8:38.0,L. Markkanen misses 2-pt layup from 3 ft,,2,8
20,1,8:35.0,Offensive rebound by L. Markkanen,,2,8
21,1,8:35.0,L. Markkanen misses 2-pt layup from 1 ft,,2,8
22,1,8:35.0,Offensive rebound by L. Markkanen,,2,8
23,1,8:35.0,Shooting foul by M. Gasol (drawn by L. Markkanen),,2,8
24,1,8:35.0,L. Markkanen makes free throw 1 of 2,,3,8
25,1,8:35.0,L. Markkanen makes free throw 2 of 2,,4,8
26,1,8:25.0,,M. Gasol makes 2-pt jump shot from 14 ft (assist by K. Lowry),4,10
27,1,8:02.0,S. Harrison misses 2-pt jump shot from 16 ft,,4,10
28,1,7:59.0,,Defensive rebound by M. Gasol,4,10
29,1,7:52.0,,Turnover by K. Lowry (bad pass; steal by S. Harrison),4,10
30,1,7:46.0,Turnover by L. Markkanen (lost ball; steal by K. Leonard),,4,10
31,1,7:40.0,,K. Leonard misses 3-pt jump shot from 24 ft,4,10
32,1,7:36.0,Defensive rebound by S. Harrison,,4,10
33,1,7:22.0,R. Lopez makes 2-pt layup from 3 ft,,6,10
34,1,7:13.0,,P. Siakam makes 2-pt layup from 2 ft,6,12
35,1,7:00.0,Personal foul by D. Green (drawn by R. Arcidiacono),,6,12
36,1,6:54.0,W. Selden makes 2-pt jump shot from 8 ft,,8,12
37,1,6:38.0,,K. Leonard misses 2-pt jump shot from 16 ft,8,12
38,1,6:36.0,,Offensive rebound by K. Leonard,8,12
39,1,6:35.0,,K. Leonard misses 2-pt jump shot from 6 ft,8,12
40,1,6:33.0,Defensive rebound by R. Arcidiacono,,8,12
41,1,6:24.0,R. Arcidiacono misses 2-pt jump shot from 14 ft,,8,12
42,1,6:22.0,,Defensive rebound by M. Gasol,8,12
43,1,6:07.0,,P. Siakam makes 2-pt jump shot from 6 ft,8,14
44,1,5:53.0,Turnover by R. Lopez (lost ball; steal by M. Gasol),,8,14
45,1,5:38.0,,M. Gasol misses 2-pt hook shot from 5 ft,8,14
46,1,5:35.0,Defensive rebound by R. Lopez,,8,14
47,1,5:19.0,R. Lopez misses 2-pt layup from 2 ft,,8,14
48,1,5:18.0,Offensive rebound by R. Lopez,,8,14
49,1,5:18.0,R. Lopez makes 2-pt layup from 1 ft,,10,14
50,1,5:18.0,,Toronto full timeout,10,14
51,1,5:18.0,A. Blakeney enters the game for R. Arcidiacono,,10,14
52,1,5:18.0,T. Luwawu-Cabarrot enters the game for W. Selden,,10,14
53,1,5:18.0,,N. Powell enters the game for D. Green,10,14
54,1,5:18.0,,F. VanVleet enters the game for K. Lowry,10,14
55,1,4:55.0,,F. VanVleet misses 3-pt jump shot from 24 ft,10,14
56,1,4:52.0,Defensive rebound by L. Markkanen,,10,14
57,1,4:40.0,Turnover by T. Luwawu-Cabarrot (bad pass; steal by K. Leonard),,10,14
58,1,4:36.0,,P. Siakam makes 2-pt dunk from 1 ft (assist by K. Leonard),10,16
59,1,4:17.0,L. Markkanen misses 2-pt jump shot from 5 ft (block by M. Gasol),,10,16
60,1,4:16.0,,Defensive rebound by M. Gasol,10,16
61,1,4:12.0,,Turnover by F. VanVleet (bad pass; steal by L. Markkanen),10,16
62,1,4:07.0,L. Markkanen misses 3-pt jump shot from 26 ft,,10,16
63,1,4:04.0,,Defensive rebound by M. Gasol,10,16
64,1,4:04.0,W. Selden enters the game for L. Markkanen,,10,16
65,1,4:04.0,,S. Ibaka enters the game for M. Gasol,10,16
66,1,3:56.0,,S. Ibaka makes 2-pt jump shot from 12 ft (assist by K. Leonard),10,18
67,1,3:38.0,W. Selden makes 3-pt jump shot from 26 ft (assist by R. Lopez),,13,18
68,1,3:22.0,,P. Siakam misses 2-pt jump shot from 20 ft,13,18
69,1,3:19.0,Defensive rebound by S. Harrison,,13,18
70,1,2:54.0,S. Harrison misses 3-pt jump shot from 23 ft,,13,18
71,1,2:52.0,,Defensive rebound by S. Ibaka,13,18
72,1,2:44.0,,F. VanVleet makes 3-pt jump shot from 24 ft (assist by N. Powell),13,21
73,1,2:42.0,Chicago full timeout,,13,21
74,1,2:42.0,,O. Anunoby enters the game for K. Leonard,13,21
75,1,2:42.0,,J. Lin enters the game for P. Siakam,13,21
76,1,2:31.0,A. Blakeney makes 2-pt layup from 2 ft (assist by S. Harrison),,15,21
77,1,2:15.0,,F. VanVleet misses 2-pt jump shot from 19 ft,15,21
78,1,2:13.0,Defensive rebound by A. Blakeney,,15,21
79,1,1:55.0,S. Harrison makes 2-pt layup from 3 ft (assist by A. Blakeney),,17,21
80,1,1:55.0,Shooting foul by S. Ibaka (drawn by S. Harrison),,17,21
81,1,1:55.0,S. Harrison makes free throw 1 of 1,,18,21
82,1,1:46.0,,Turnover by F. VanVleet (bad pass; steal by W. Selden),18,21
83,1,1:41.0,W. Selden misses 2-pt jump shot from 15 ft,,18,21
84,1,1:39.0,,Defensive rebound by S. Ibaka,18,21
85,1,1:25.0,,N. Powell makes 3-pt jump shot from 24 ft,18,24
86,1,1:06.0,S. Harrison misses 2-pt layup from 2 ft,,18,24
87,1,1:05.0,Offensive rebound by Team,,18,24
88,1,1:05.0,R. Arcidiacono enters the game for S. Harrison,,18,24
89,1,0:57.0,W. Selden misses 2-pt jump shot from 14 ft,,18,24
90,1,0:55.0,,Defensive rebound by F. VanVleet,18,24
91,1,0:49.0,,J. Lin misses 3-pt jump shot from 25 ft,18,24
92,1,0:46.0,,Offensive rebound by Team,18,24
