,QUARTER,TIME_REMAINING,SAN ANTONIO_ACTION,BOSTON_ACTION,SAN ANTONIO_SCORE,BOSTON_SCORE
0,1,11:47.0,L. Aldridge makes 2-pt jump shot from 22 ft (assist by D. DeRozan),,2,0
1,1,11:30.0,,A. Baynes makes 2-pt hook shot from 1 ft (assist by K. Irving),2,2
2,1,11:16.0,Turnover by D. DeRozan (bad pass; steal by A. Baynes),,2,2
3,1,11:09.0,,K. Irving misses 2-pt layup from 1 ft,2,2
4,1,11:05.0,Defensive rebound by L. Aldridge,,2,2
5,1,10:54.0,D. White makes 2-pt jump shot from 13 ft (assist by L. Aldridge),,4,2
6,1,10:35.0,,M. Morris makes 2-pt jump shot from 19 ft,4,4
7,1,10:15.0,L. Aldridge misses 2-pt jump shot from 17 ft,,4,4
8,1,10:13.0,,Defensive rebound by G. Hayward,4,4
9,1,10:03.0,,M. Morris makes 2-pt layup at rim (assist by G. Hayward),4,6
10,1,9:53.0,D. DeRozan misses 2-pt jump shot from 13 ft,,4,6
11,1,9:52.0,,Defensive rebound by A. Baynes,4,6
12,1,9:44.0,,K. Irving misses 3-pt jump shot from 26 ft,4,6
13,1,9:42.0,Defensive rebound by B. Forbes,,4,6
14,1,9:26.0,L. Aldridge makes 2-pt jump shot from 12 ft,,6,6
15,1,9:16.0,,Offensive foul by A. Baynes (drawn by D. DeRozan),6,6
16,1,9:16.0,,Turnover by A. Baynes (offensive foul),6,6
17,1,9:01.0,L. Aldridge makes 2-pt jump shot from 12 ft,,8,6
18,1,8:42.0,,M. Morris makes 2-pt jump shot from 15 ft (assist by K. Irving),8,8
19,1,8:28.0,L. Aldridge misses 2-pt jump shot from 20 ft,,8,8
20,1,8:26.0,,Defensive rebound by K. Irving,8,8
21,1,8:20.0,,K. Irving makes 2-pt layup from 1 ft,8,10
22,1,8:13.0,San Antonio full timeout,,8,10
23,1,8:13.0,,G. Yabusele enters the game for A. Baynes,8,10
24,1,8:02.0,D. White misses 2-pt jump shot from 18 ft,,8,10
25,1,8:00.0,Offensive rebound by J. Poeltl,,8,10
26,1,7:48.0,J. Poeltl misses 2-pt hook shot from 4 ft,,8,10
27,1,7:45.0,Offensive rebound by J. Poeltl,,8,10
28,1,7:44.0,J. Poeltl misses 2-pt layup at rim,,8,10
29,1,7:43.0,Offensive rebound by J. Poeltl,,8,10
30,1,7:32.0,B. Forbes misses 3-pt jump shot from 26 ft,,8,10
31,1,7:28.0,,Defensive rebound by M. Morris,8,10
32,1,7:12.0,,G. Hayward misses 3-pt jump shot from 25 ft,8,10
33,1,7:10.0,Defensive rebound by J. Poeltl,,8,10
34,1,6:54.0,L. Aldridge makes 2-pt jump shot from 15 ft,,10,10
35,1,6:46.0,,Personal foul by D. White (drawn by K. Irving),10,10
36,1,6:44.0,,Offensive foul by M. Morris (drawn by D. White),10,10
37,1,6:44.0,,Turnover by M. Morris (offensive foul),10,10
38,1,6:29.0,L. Aldridge makes 2-pt jump shot from 11 ft,,12,10
39,1,6:15.0,,M. Smart makes 2-pt layup from 4 ft,12,12
40,1,5:53.0,D. White misses 3-pt jump shot from 24 ft,,12,12
41,1,5:51.0,,Defensive rebound by M. Morris,12,12
42,1,5:39.0,,M. Morris makes 2-pt jump shot from 19 ft (assist by M. Smart),12,14
43,1,5:19.0,B. Forbes makes 2-pt jump shot from 8 ft (assist by D. DeRozan),,14,14
44,1,5:06.0,,M. Smart misses 2-pt layup from 5 ft (block by D. DeRozan),14,14
45,1,5:03.0,Defensive rebound by J. Poeltl,,14,14
46,1,4:57.0,L. Aldridge makes 2-pt hook shot from 2 ft (assist by D. DeRozan),,16,14
47,1,4:44.0,,G. Yabusele misses 3-pt jump shot from 23 ft,16,14
48,1,4:41.0,Defensive rebound by D. White,,16,14
49,1,4:35.0,L. Aldridge makes 2-pt jump shot from 21 ft (assist by D. White),,18,14
50,1,4:16.0,,M. Morris misses 3-pt jump shot from 25 ft,18,14
51,1,4:12.0,,Offensive rebound by M. Smart,18,14
52,1,4:10.0,,M. Smart makes 2-pt layup from 1 ft,18,16
53,1,3:53.0,L. Aldridge misses 2-pt jump shot from 10 ft,,18,16
54,1,3:49.0,,Defensive rebound by G. Hayward,18,16
55,1,3:39.0,,Shooting foul by D. White (drawn by G. Yabusele),18,16
56,1,3:39.0,,G. Yabusele makes free throw 1 of 2,18,17
57,1,3:39.0,M. Belinelli enters the game for B. Forbes,,18,17
58,1,3:39.0,R. Gay enters the game for J. Poeltl,,18,17
59,1,3:39.0,P. Mills enters the game for D. White,,18,17
60,1,3:39.0,,J. Brown enters the game for G. Hayward,18,17
61,1,3:39.0,,G. Yabusele makes free throw 2 of 2,18,18
62,1,3:27.0,L. Aldridge makes 2-pt hook shot from 7 ft,,20,18
63,1,3:27.0,Shooting foul by G. Yabusele (drawn by L. Aldridge),,20,18
64,1,3:27.0,D. Bertāns enters the game for D. DeRozan,,20,18
65,1,3:27.0,,A. Baynes enters the game for G. Yabusele,20,18
66,1,3:27.0,L. Aldridge makes free throw 1 of 1,,21,18
67,1,3:12.0,,A. Baynes misses 2-pt layup from 3 ft,21,18
68,1,3:10.0,Defensive rebound by L. Aldridge,,21,18
69,1,3:05.0,M. Belinelli makes 3-pt jump shot from 26 ft,,24,18
70,1,2:54.0,,K. Irving misses 3-pt jump shot from 25 ft,24,18
71,1,2:52.0,Defensive rebound by D. Bertāns,,24,18
72,1,2:42.0,L. Aldridge misses 2-pt jump shot from 12 ft,,24,18
73,1,2:39.0,,Defensive rebound by M. Morris,24,18
74,1,2:36.0,,Boston full timeout,24,18
75,1,2:36.0,,T. Rozier enters the game for M. Smart,24,18
76,1,2:22.0,,Shooting foul by L. Aldridge (drawn by J. Brown),24,18
77,1,2:22.0,,J. Brown makes free throw 1 of 2,24,19
78,1,2:22.0,,J. Brown makes free throw 2 of 2,24,20
79,1,2:05.0,P. Mills makes 3-pt jump shot from 27 ft (assist by L. Aldridge),,27,20
80,1,1:53.0,,K. Irving makes 2-pt jump shot from 13 ft,27,22
81,1,1:36.0,L. Aldridge misses 2-pt hook shot from 6 ft,,27,22
82,1,1:34.0,Offensive rebound by L. Aldridge,,27,22
83,1,1:34.0,,G. Hayward enters the game for M. Morris,27,22
84,1,1:28.0,L. Aldridge misses 2-pt jump shot from 14 ft,,27,22
85,1,1:27.0,,Defensive rebound by A. Baynes,27,22
86,1,1:13.0,,J. Brown misses 2-pt jump shot from 16 ft,27,22
87,1,1:10.0,,Offensive rebound by G. Hayward,27,22
88,1,1:09.0,,G. Hayward makes 2-pt layup from 4 ft,27,24
89,1,0:53.0,L. Aldridge makes 2-pt dunk from 1 ft (assist by D. Bertāns),,29,24
90,1,0:37.0,,J. Brown misses 3-pt jump shot from 25 ft,29,24
91,1,0:36.0,Defensive rebound by R. Gay,,29,24
92,1,0:24.0,R. Gay makes 2-pt jump shot from 6 ft,,31,24
93,1,0:05.0,,Personal foul by P. Mills (drawn by K. Irving),31,24
94,1,0:05.0,J. Poeltl enters the game for L. Aldridge,,31,24
95,1,0:00.0,,J. Brown misses 3-pt jump shot from 25 ft,31,24
96,1,0:00.0,,Offensive rebound by Team,31,24
97,2,11:46.0,,S. Ojeleye misses 3-pt jump shot from 23 ft,31,24
98,2,11:41.0,,Offensive rebound by G. Hayward,31,24
99,2,11:40.0,,G. Hayward makes 2-pt layup from 1 ft,31,26
100,2,11:26.0,D. Bertāns misses 3-pt jump shot from 23 ft,,31,26
101,2,11:24.0,,Defensive rebound by T. Rozier,31,26
102,2,11:18.0,,T. Rozier misses 2-pt jump shot from 12 ft,31,26
103,2,11:15.0,Defensive rebound by D. Bertāns,,31,26
104,2,11:06.0,J. Poeltl makes 2-pt layup from 2 ft (assist by P. Mills),,33,26
105,2,10:56.0,,G. Hayward misses 2-pt jump shot from 19 ft,33,26
106,2,10:54.0,Defensive rebound by J. Poeltl,,33,26
107,2,10:48.0,P. Mills makes 3-pt jump shot from 26 ft,,36,26
108,2,10:29.0,,T. Rozier misses 2-pt layup from 2 ft,36,26
109,2,10:28.0,Defensive rebound by R. Gay,,36,26
110,2,10:28.0,Personal foul by D. Theis (drawn by R. Gay),,36,26
111,2,10:11.0,M. Belinelli misses 3-pt jump shot from 26 ft,,36,26
112,2,10:10.0,,Defensive rebound by G. Hayward,36,26
113,2,10:01.0,,G. Hayward makes 2-pt jump shot from 13 ft,36,28
114,2,9:43.0,Turnover by R. Gay (out of bounds lost ball),,36,28
115,2,9:32.0,,Shooting foul by M. Belinelli (drawn by G. Hayward),36,28
116,2,9:32.0,,G. Hayward makes free throw 1 of 2,36,29
117,2,9:32.0,D. DeRozan enters the game for D. Bertāns,,36,29
118,2,9:32.0,,G. Hayward makes free throw 2 of 2,36,30
119,2,9:17.0,R. Gay misses 3-pt jump shot from 24 ft,,36,30
120,2,9:14.0,Offensive rebound by J. Poeltl,,36,30
121,2,9:13.0,J. Poeltl misses 2-pt layup at rim,,36,30
122,2,9:12.0,Offensive rebound by M. Belinelli,,36,30
123,2,9:10.0,P. Mills misses 3-pt jump shot from 26 ft,,36,30
124,2,9:08.0,Offensive rebound by R. Gay,,36,30
125,2,9:01.0,M. Belinelli makes 2-pt jump shot from 14 ft (assist by P. Mills),,38,30
126,2,8:48.0,,Shooting foul by J. Poeltl (drawn by G. Hayward),38,30
127,2,8:48.0,,G. Hayward makes free throw 1 of 2,38,31
128,2,8:48.0,,G. Hayward makes free throw 2 of 2,38,32
129,2,8:48.0,San Antonio full timeout,,38,32
130,2,8:25.0,R. Gay misses 2-pt jump shot from 5 ft,,38,32
131,2,8:23.0,,Defensive rebound by T. Rozier,38,32
132,2,8:20.0,,Turnover by T. Rozier (out of bounds lost ball),38,32
133,2,8:20.0,D. White enters the game for P. Mills,,38,32
134,2,8:03.0,D. DeRozan makes 2-pt jump shot from 20 ft,,40,32
135,2,7:50.0,,Shooting foul by R. Gay (drawn by J. Brown),40,32
136,2,7:50.0,,J. Brown misses free throw 1 of 2,40,32
137,2,7:50.0,,Offensive rebound by Team,40,32
138,2,7:50.0,B. Forbes enters the game for M. Belinelli,,40,32
139,2,7:50.0,,M. Smart enters the game for S. Ojeleye,40,32
140,2,7:50.0,,J. Brown makes free throw 2 of 2,40,33
141,2,7:39.0,D. White makes 2-pt layup from 2 ft (assist by D. DeRozan),,42,33
142,2,7:25.0,,D. Theis misses 3-pt jump shot from 26 ft,42,33
143,2,7:23.0,Defensive rebound by R. Gay,,42,33
144,2,7:14.0,D. DeRozan makes 2-pt jump shot from 21 ft (assist by R. Gay),,44,33
145,2,7:00.0,,J. Brown misses 3-pt jump shot from 25 ft,44,33
146,2,6:58.0,,Offensive rebound by D. Theis,44,33
147,2,6:53.0,,D. Theis makes 3-pt jump shot from 25 ft (assist by G. Hayward),44,36
148,2,6:25.0,R. Gay makes 2-pt jump shot from 20 ft,,46,36
149,2,6:08.0,,Turnover by D. Theis (traveling),46,36
150,2,6:08.0,L. Aldridge enters the game for R. Gay,,46,36
151,2,6:08.0,D. Bertāns enters the game for J. Poeltl,,46,36
152,2,6:08.0,,M. Morris enters the game for G. Hayward,46,36
153,2,5:57.0,L. Aldridge makes 2-pt jump shot from 17 ft (assist by D. DeRozan),,48,36
154,2,5:49.0,,Boston full timeout,48,36
155,2,5:49.0,,A. Baynes enters the game for T. Rozier,48,36
156,2,5:49.0,,K. Irving enters the game for D. Theis,48,36
157,2,5:43.0,,K. Irving misses 2-pt jump shot from 21 ft,48,36
158,2,5:42.0,Defensive rebound by L. Aldridge,,48,36
159,2,5:29.0,B. Forbes misses 3-pt jump shot from 26 ft,,48,36
160,2,5:28.0,,Defensive rebound by A. Baynes,48,36
161,2,5:21.0,,M. Morris makes 3-pt jump shot from 26 ft (assist by K. Irving),48,39
162,2,5:07.0,D. DeRozan misses 2-pt jump shot from 16 ft,,48,39
163,2,5:05.0,,Defensive rebound by K. Irving,48,39
164,2,4:59.0,,K. Irving misses 2-pt layup from 1 ft,48,39
165,2,4:57.0,Defensive rebound by L. Aldridge,,48,39
