,QUARTER,TIME_REMAINING,CHICAGO_ACTION,CLEVELAND_ACTION,CHICAGO_SCORE,CLEVELAND_SCORE
0,1,11:48.0,,Turnover by C. Osman (bad pass; steal by J. Holiday),0,0
1,1,11:47.0,Shooting foul by C. Osman (drawn by J. Holiday),,0,0
2,1,11:47.0,J. Holiday makes free throw 1 of 2,,1,0
3,1,11:47.0,J. Holiday makes free throw 2 of 2,,2,0
4,1,11:25.0,,A. Burks makes 3-pt jump shot from 26 ft (assist by C. Sexton),2,3
5,1,11:05.0,L. Markkanen makes 2-pt jump shot at rim (assist by K. Dunn),,4,3
6,1,10:46.0,,C. Sexton misses 2-pt layup from 5 ft (block by K. Dunn),4,3
7,1,10:43.0,,Offensive rebound by L. Nance,4,3
8,1,10:41.0,,J. Blossomgame misses 3-pt jump shot from 30 ft,4,3
9,1,10:40.0,Defensive rebound by K. Dunn,,4,3
10,1,10:32.0,J. Holiday makes 3-pt jump shot from 23 ft (assist by R. Arcidiacono),,7,3
11,1,10:15.0,,L. Nance makes 2-pt layup from 3 ft (assist by C. Sexton),7,5
12,1,10:06.0,L. Markkanen makes 3-pt jump shot from 27 ft (assist by W. Carter),,10,5
13,1,10:06.0,,Cleveland full timeout,10,5
14,1,9:53.0,,C. Osman makes 2-pt layup from 1 ft,10,7
15,1,9:53.0,,Shooting foul by R. Arcidiacono (drawn by C. Osman),10,7
16,1,9:53.0,,C. Osman makes free throw 1 of 1,10,8
17,1,9:42.0,L. Markkanen misses 2-pt jump shot from 8 ft,,10,8
18,1,9:41.0,Offensive rebound by W. Carter,,10,8
19,1,9:41.0,W. Carter misses 2-pt layup from 1 ft,,10,8
20,1,9:39.0,,Defensive rebound by L. Nance,10,8
21,1,9:24.0,,C. Sexton makes 2-pt jump shot from 19 ft,10,10
22,1,9:10.0,L. Markkanen makes 3-pt jump shot from 26 ft (assist by W. Carter),,13,10
23,1,8:55.0,,C. Osman misses 3-pt jump shot from 22 ft,13,10
24,1,8:52.0,Defensive rebound by W. Carter,,13,10
25,1,8:32.0,W. Carter misses 2-pt jump shot from 8 ft,,13,10
26,1,8:30.0,,Defensive rebound by J. Blossomgame,13,10
27,1,8:23.0,,C. Osman makes 2-pt layup at rim,13,12
28,1,8:09.0,J. Holiday makes 3-pt jump shot from 28 ft (assist by L. Markkanen),,16,12
29,1,7:52.0,,C. Osman misses 2-pt jump shot from 8 ft,16,12
30,1,7:51.0,,Offensive rebound by C. Osman,16,12
31,1,7:40.0,,C. Osman misses 2-pt layup from 3 ft,16,12
32,1,7:38.0,Defensive rebound by J. Holiday,,16,12
33,1,7:28.0,K. Dunn misses 2-pt jump shot from 18 ft,,16,12
34,1,7:25.0,,Defensive rebound by A. Burks,16,12
35,1,7:18.0,,Personal foul by J. Holiday (drawn by L. Nance),16,12
36,1,7:02.0,,Turnover by C. Sexton (lost ball; steal by K. Dunn),16,12
37,1,6:58.0,J. Holiday misses 3-pt jump shot from 25 ft,,16,12
38,1,6:57.0,,Defensive rebound by A. Burks,16,12
39,1,6:43.0,,A. Burks makes 3-pt jump shot from 26 ft,16,15
40,1,6:25.0,Turnover by J. Holiday (bad pass; steal by L. Nance),,16,15
41,1,6:19.0,,C. Osman makes 2-pt layup at rim,16,17
42,1,6:10.0,K. Dunn misses 2-pt dunk from 1 ft,,16,17
43,1,6:08.0,,Defensive rebound by C. Osman,16,17
44,1,6:03.0,,C. Sexton misses 2-pt jump shot from 14 ft,16,17
45,1,6:02.0,,Offensive rebound by Team,16,17
46,1,6:02.0,,J. Clarkson enters the game for J. Blossomgame,16,17
47,1,5:48.0,,Turnover by L. Nance (lost ball; steal by R. Arcidiacono),16,17
48,1,5:44.0,K. Dunn makes 2-pt layup from 1 ft,,18,17
49,1,5:29.0,,Personal foul by W. Carter (drawn by L. Nance),18,17
50,1,5:22.0,,C. Sexton misses 3-pt jump shot from 26 ft,18,17
51,1,5:19.0,Defensive rebound by L. Markkanen,,18,17
52,1,5:05.0,K. Dunn misses 2-pt jump shot from 16 ft,,18,17
53,1,5:04.0,Offensive rebound by W. Carter,,18,17
54,1,5:04.0,W. Carter misses 2-pt layup from 1 ft,,18,17
55,1,5:01.0,,Defensive rebound by C. Osman,18,17
56,1,4:46.0,,C. Sexton misses 2-pt layup from 2 ft,18,17
57,1,4:41.0,,Offensive rebound by L. Nance,18,17
58,1,4:41.0,,L. Nance makes 2-pt layup at rim,18,19
59,1,4:40.0,Chicago full timeout,,18,19
60,1,4:40.0,S. Harrison enters the game for K. Dunn,,18,19
61,1,4:40.0,C. Hutchison enters the game for L. Markkanen,,18,19
62,1,4:40.0,,D. Nwaba enters the game for A. Burks,18,19
63,1,4:40.0,,A. Žižić enters the game for L. Nance,18,19
64,1,4:20.0,W. Carter misses 2-pt layup from 3 ft (block by A. Žižić),,18,19
65,1,4:20.0,Offensive rebound by Team,,18,19
66,1,4:20.0,Turnover by Team (shot clock),,18,19
67,1,4:06.0,,J. Clarkson makes 2-pt layup at rim,18,21
68,1,3:54.0,R. Arcidiacono makes 2-pt layup from 1 ft,,20,21
69,1,3:26.0,,J. Clarkson misses 3-pt jump shot from 25 ft,20,21
70,1,3:26.0,Defensive rebound by J. Holiday,,20,21
71,1,3:12.0,W. Carter misses 2-pt jump shot from 14 ft,,20,21
72,1,3:09.0,,Defensive rebound by C. Osman,20,21
73,1,2:49.0,,Shooting foul by S. Harrison (drawn by D. Nwaba),20,21
74,1,2:49.0,,D. Nwaba misses free throw 1 of 2,20,21
75,1,2:49.0,,Offensive rebound by Team,20,21
76,1,2:49.0,R. Lopez enters the game for W. Carter,,20,21
77,1,2:49.0,,J. Blossomgame enters the game for C. Osman,20,21
78,1,2:49.0,,M. Dellavedova enters the game for C. Sexton,20,21
79,1,2:49.0,,D. Nwaba makes free throw 2 of 2,20,22
80,1,2:38.0,S. Harrison makes 3-pt jump shot from 23 ft (assist by R. Arcidiacono),,23,22
81,1,2:14.0,,J. Clarkson makes 2-pt jump shot from 9 ft,23,24
82,1,1:57.0,R. Lopez makes 2-pt hook shot from 12 ft (assist by J. Holiday),,25,24
83,1,1:40.0,,M. Dellavedova makes 3-pt jump shot from 31 ft,25,27
84,1,1:24.0,Personal foul by A. Žižić (drawn by R. Lopez),,25,27
85,1,1:13.0,R. Lopez misses 3-pt jump shot from 27 ft,,25,27
86,1,1:09.0,Offensive rebound by C. Hutchison,,25,27
87,1,1:00.0,R. Arcidiacono misses 2-pt jump shot from 10 ft,,25,27
88,1,0:58.0,,Defensive rebound by D. Nwaba,25,27
89,1,0:54.0,,D. Nwaba makes 2-pt layup from 3 ft,25,29
90,1,0:48.0,Personal foul by D. Nwaba (drawn by S. Harrison),,25,29
91,1,0:48.0,S. Harrison misses free throw 1 of 2,,25,29
92,1,0:48.0,Offensive rebound by Team,,25,29
93,1,0:48.0,S. Harrison makes free throw 2 of 2,,26,29
94,1,0:35.0,,A. Žižić misses 2-pt hook shot from 8 ft,26,29
95,1,0:33.0,Defensive rebound by C. Hutchison,,26,29
96,1,0:13.0,Turnover by J. Holiday (bad pass; steal by J. Blossomgame),,26,29
97,1,0:12.0,,Turnover by J. Blossomgame (bad pass; steal by J. Holiday),26,29
98,1,0:02.0,R. Arcidiacono makes 2-pt layup from 1 ft,,28,29
