,QUARTER,TIME_REMAINING,TORONTO_ACTION,MIAMI_ACTION,TORONTO_SCORE,MIAMI_SCORE
0,1,11:41.0,,K. Olynyk misses 2-pt layup from 1 ft,0,0
1,1,11:37.0,,Offensive rebound by B. Adebayo,0,0
2,1,11:37.0,,B. Adebayo makes 2-pt layup at rim,0,2
3,1,11:19.0,K. Lowry misses 2-pt layup from 1 ft,,0,2
4,1,11:18.0,Offensive rebound by Team,,0,2
5,1,11:12.0,Personal foul by K. Olynyk (drawn by K. Lowry),,0,2
6,1,10:57.0,S. Ibaka makes 2-pt jump shot from 14 ft (assist by P. McCaw),,2,2
7,1,10:49.0,,Personal foul by P. Siakam (drawn by K. Olynyk),2,2
8,1,10:41.0,,D. Waiters makes 2-pt jump shot from 19 ft,2,4
9,1,10:27.0,K. Lowry makes 3-pt jump shot from 25 ft (assist by S. Ibaka),,5,4
10,1,10:07.0,,J. Richardson misses 3-pt jump shot from 27 ft,5,4
11,1,10:04.0,Defensive rebound by S. Ibaka,,5,4
12,1,9:51.0,Turnover by K. Lowry (lost ball; steal by K. Olynyk),,5,4
13,1,9:41.0,,Turnover by D. Waiters (bad pass; steal by D. Green),5,4
14,1,9:37.0,Turnover by D. Green (bad pass; steal by K. Olynyk),,5,4
15,1,9:23.0,,J. Winslow misses 2-pt jump shot from 12 ft,5,4
16,1,9:21.0,Defensive rebound by S. Ibaka,,5,4
17,1,9:16.0,S. Ibaka misses 3-pt jump shot from 25 ft,,5,4
18,1,9:12.0,Offensive rebound by P. Siakam,,5,4
19,1,9:10.0,P. Siakam makes 3-pt jump shot from 23 ft,,8,4
20,1,8:50.0,,J. Winslow makes 2-pt dunk from 2 ft,8,6
21,1,8:39.0,P. Siakam misses 3-pt jump shot from 24 ft,,8,6
22,1,8:36.0,,Defensive rebound by K. Olynyk,8,6
23,1,8:28.0,Violation by Team (kicked ball),,8,6
24,1,8:12.0,,J. Winslow misses 2-pt layup from 2 ft,8,6
25,1,8:10.0,Defensive rebound by K. Lowry,,8,6
26,1,8:06.0,P. Siakam makes 2-pt layup from 2 ft (assist by K. Lowry),,10,6
27,1,7:53.0,,J. Richardson misses 2-pt layup from 2 ft (block by S. Ibaka),10,6
28,1,7:49.0,Defensive rebound by K. Lowry,,10,6
29,1,7:47.0,D. Green makes 3-pt jump shot from 25 ft (assist by K. Lowry),,13,6
30,1,7:28.0,,D. Waiters makes 2-pt layup from 1 ft (assist by B. Adebayo),13,8
31,1,7:18.0,K. Lowry makes 3-pt jump shot from 26 ft,,16,8
32,1,7:05.0,,J. Richardson makes 2-pt jump shot from 13 ft,16,10
33,1,6:51.0,Personal foul by J. Richardson (drawn by K. Lowry),,16,10
34,1,6:51.0,,Miami full timeout,16,10
35,1,6:37.0,Turnover by (5 sec),,16,10
36,1,6:25.0,,B. Adebayo makes 2-pt jump shot from 13 ft (assist by D. Waiters),16,12
37,1,6:08.0,S. Ibaka makes 2-pt hook shot from 3 ft,,18,12
38,1,5:55.0,,K. Olynyk misses 3-pt jump shot from 23 ft,18,12
39,1,5:53.0,,Offensive rebound by K. Olynyk,18,12
40,1,5:47.0,,D. Waiters misses 2-pt layup from 2 ft,18,12
41,1,5:45.0,Defensive rebound by D. Green,,18,12
42,1,5:32.0,D. Green misses 2-pt jump shot from 12 ft,,18,12
43,1,5:29.0,,Defensive rebound by B. Adebayo,18,12
44,1,5:26.0,,B. Adebayo misses 2-pt layup from 1 ft,18,12
45,1,5:26.0,Defensive rebound by P. Siakam,,18,12
46,1,5:21.0,D. Green makes 3-pt jump shot from 25 ft (assist by P. Siakam),,21,12
47,1,5:05.0,,D. Waiters misses 3-pt jump shot from 25 ft,21,12
48,1,5:03.0,Defensive rebound by P. McCaw,,21,12
49,1,5:00.0,Shooting foul by B. Adebayo (drawn by P. Siakam),,21,12
50,1,5:00.0,P. Siakam misses free throw 1 of 2,,21,12
51,1,5:00.0,Offensive rebound by Team,,21,12
52,1,5:00.0,M. Gasol enters the game for S. Ibaka,,21,12
53,1,5:00.0,J. Lin enters the game for K. Lowry,,21,12
