,QUARTER,TIME_REMAINING,CLEVELAND_ACTION,GOLDEN STATE_ACTION,CLEVELAND_SCORE,GOLDEN STATE_SCORE
0,1,12:00.0,,Violation by Team (delay of game),0,0
1,1,11:46.0,,D. Green makes 3-pt jump shot from 27 ft (assist by S. Curry),0,3
2,1,11:25.0,C. Sexton misses 2-pt jump shot from 21 ft,,0,3
3,1,11:22.0,,Defensive rebound by A. Bogut,0,3
4,1,11:13.0,,D. Green makes 3-pt jump shot from 23 ft (assist by K. Thompson),0,6
5,1,10:46.0,C. Osman misses 2-pt jump shot from 18 ft,,0,6
6,1,10:45.0,,Defensive rebound by A. Bogut,0,6
7,1,10:38.0,,D. Green misses 3-pt jump shot from 28 ft,0,6
8,1,10:36.0,Defensive rebound by C. Sexton,,0,6
9,1,10:23.0,L. Nance misses 2-pt hook shot from 13 ft,,0,6
10,1,10:22.0,,Defensive rebound by D. Green,0,6
11,1,10:17.0,,Turnover by D. Green (bad pass; steal by L. Nance),0,6
12,1,10:16.0,B. Knight misses 3-pt jump shot from 23 ft,,0,6
13,1,10:14.0,Offensive rebound by C. Osman,,0,6
14,1,10:14.0,C. Osman makes 2-pt layup from 1 ft,,2,6
15,1,10:14.0,Shooting foul by A. Bogut (drawn by C. Osman),,2,6
16,1,10:14.0,C. Osman makes free throw 1 of 1,,3,6
17,1,10:02.0,,K. Durant makes 2-pt jump shot from 17 ft (assist by D. Green),3,8
18,1,9:52.0,T. Thompson makes 2-pt jump shot from 8 ft (assist by C. Sexton),,5,8
19,1,9:35.0,,K. Thompson misses 2-pt jump shot from 22 ft,5,8
20,1,9:34.0,Defensive rebound by C. Osman,,5,8
21,1,9:30.0,C. Osman makes 2-pt layup from 2 ft,,7,8
22,1,9:18.0,,Personal foul by L. Nance (drawn by D. Green),7,8
23,1,9:12.0,,A. Bogut makes 2-pt dunk from 1 ft (assist by S. Curry),7,10
24,1,9:02.0,C. Sexton misses 3-pt jump shot from 26 ft,,7,10
25,1,9:00.0,,Defensive rebound by A. Bogut,7,10
26,1,8:48.0,,S. Curry misses 2-pt layup from 2 ft,7,10
27,1,8:46.0,,Offensive rebound by S. Curry,7,10
28,1,8:43.0,,S. Curry makes 2-pt layup from 1 ft,7,12
29,1,8:28.0,T. Thompson makes 2-pt hook shot from 6 ft,,9,12
30,1,8:15.0,,K. Thompson makes 2-pt jump shot from 16 ft,9,14
31,1,7:50.0,T. Thompson misses 2-pt hook shot from 8 ft,,9,14
32,1,7:48.0,Offensive rebound by L. Nance,,9,14
33,1,7:48.0,Turnover by Team (shot clock),,9,14
34,1,7:37.0,,K. Thompson misses 3-pt jump shot from 28 ft,9,14
35,1,7:35.0,Defensive rebound by L. Nance,,9,14
36,1,7:23.0,C. Osman misses 3-pt jump shot from 26 ft,,9,14
37,1,7:21.0,,Defensive rebound by D. Green,9,14
38,1,7:10.0,,A. Bogut misses 2-pt hook shot from 9 ft,9,14
39,1,7:09.0,Defensive rebound by T. Thompson,,9,14
40,1,6:51.0,C. Sexton misses 2-pt jump shot from 18 ft,,9,14
41,1,6:50.0,,Defensive rebound by D. Green,9,14
42,1,6:44.0,,S. Curry makes 3-pt jump shot from 28 ft (assist by D. Green),9,17
43,1,6:42.0,Cleveland full timeout,,9,17
44,1,6:42.0,J. Clarkson enters the game for B. Knight,,9,17
45,1,6:21.0,Turnover by T. Thompson (lost ball; steal by D. Green),,9,17
46,1,6:10.0,,Turnover by S. Curry (bad pass; steal by C. Osman),9,17
47,1,5:58.0,J. Clarkson misses 2-pt hook shot from 7 ft,,9,17
48,1,5:57.0,,Defensive rebound by K. Thompson,9,17
49,1,5:50.0,,Turnover by K. Thompson (traveling),9,17
50,1,5:50.0,A. Žižić enters the game for T. Thompson,,9,17
51,1,5:24.0,C. Sexton misses 2-pt jump shot from 11 ft (block by D. Green),,9,17
52,1,5:22.0,,Defensive rebound by S. Curry,9,17
53,1,5:16.0,,Shooting foul by C. Sexton (drawn by S. Curry),9,17
54,1,5:16.0,,S. Curry makes free throw 1 of 3,9,18
55,1,5:16.0,,S. Curry makes free throw 2 of 3,9,19
56,1,5:16.0,,S. Curry makes free throw 3 of 3,9,20
57,1,4:58.0,C. Sexton makes 3-pt jump shot from 27 ft (assist by J. Clarkson),,12,20
