,QUARTER,TIME_REMAINING,OKLAHOMA CITY_ACTION,DALLAS_ACTION,OKLAHOMA CITY_SCORE,DALLAS_SCORE
0,1,11:36.0,P. George makes 2-pt jump shot from 15 ft (assist by D. Schröder),,2,0
1,1,11:22.0,,D. Jordan misses 2-pt dunk at rim (block by J. Grant),2,0
2,1,11:21.0,,Offensive rebound by Team,2,0
3,1,11:10.0,,Offensive foul by W. Matthews (drawn by D. Schröder),2,0
4,1,11:10.0,,Turnover by W. Matthews (offensive foul),2,0
5,1,10:58.0,D. Schröder misses 2-pt jump shot from 17 ft,,2,0
6,1,10:55.0,,Defensive rebound by L. Dončić,2,0
7,1,10:38.0,,L. Dončić misses 2-pt jump shot from 11 ft,2,0
8,1,10:34.0,Defensive rebound by S. Adams,,2,0
9,1,10:28.0,P. George misses 3-pt jump shot from 25 ft,,2,0
10,1,10:25.0,,Defensive rebound by D. Jordan,2,0
11,1,10:08.0,,H. Barnes makes 2-pt jump shot from 4 ft,2,2
12,1,10:08.0,,Shooting foul by S. Adams (drawn by H. Barnes),2,2
13,1,10:08.0,,H. Barnes makes free throw 1 of 1,2,3
14,1,10:00.0,P. George makes 2-pt dunk at rim (assist by J. Grant),,4,3
15,1,9:45.0,,Shooting foul by J. Grant (drawn by D. Jordan),4,3
16,1,9:45.0,,D. Jordan makes free throw 1 of 2,4,4
17,1,9:45.0,,D. Jordan makes free throw 2 of 2,4,5
18,1,9:33.0,J. Grant makes 2-pt layup from 1 ft (assist by P. George),,6,5
19,1,9:17.0,,L. Dončić misses 3-pt jump shot from 27 ft,6,5
20,1,9:14.0,Defensive rebound by T. Ferguson,,6,5
21,1,8:59.0,D. Schröder misses 2-pt jump shot from 16 ft,,6,5
22,1,8:57.0,Offensive rebound by D. Schröder,,6,5
23,1,8:49.0,Turnover by D. Schröder (bad pass),,6,5
24,1,8:40.0,,Personal foul by J. Grant (drawn by H. Barnes),6,5
25,1,8:22.0,,D. Smith misses 2-pt jump shot from 22 ft,6,5
26,1,8:20.0,Defensive rebound by S. Adams,,6,5
27,1,8:13.0,D. Schröder makes 2-pt layup from 2 ft,,8,5
28,1,7:52.0,,Personal foul by S. Adams (drawn by L. Dončić),8,5
29,1,7:46.0,,H. Barnes makes 2-pt dunk from 1 ft (assist by L. Dončić),8,7
30,1,7:27.0,S. Adams makes 2-pt layup from 1 ft (assist by J. Grant),,10,7
31,1,7:27.0,Shooting foul by H. Barnes (drawn by S. Adams),,10,7
32,1,7:27.0,,Dallas full timeout,10,7
33,1,7:27.0,Á. Abrines enters the game for J. Grant,,10,7
34,1,7:27.0,S. Adams misses free throw 1 of 1,,10,7
35,1,7:27.0,,Defensive rebound by D. Jordan,10,7
36,1,7:07.0,,L. Dončić makes 2-pt layup from 4 ft (assist by W. Matthews),10,9
37,1,6:49.0,Turnover by D. Schröder (bad pass; steal by D. Smith),,10,9
38,1,6:47.0,Flagrant foul type 1 by H. Barnes (drawn by D. Schröder),,10,9
39,1,6:47.0,,Turnover by H. Barnes (turnover),10,9
40,1,6:47.0,Oklahoma City full timeout,,10,9
41,1,6:47.0,,D. Finney-Smith enters the game for W. Matthews,10,9
42,1,6:47.0,D. Schröder misses flagrant free throw 1 of 2,,10,9
43,1,6:47.0,Offensive rebound by Team,,10,9
44,1,6:47.0,D. Schröder makes flagrant free throw 2 of 2,,11,9
45,1,6:43.0,Personal foul by H. Barnes (drawn by P. George),,11,9
46,1,6:43.0,,M. Kleber enters the game for H. Barnes,11,9
47,1,6:31.0,P. George misses 2-pt jump shot from 18 ft,,11,9
48,1,6:29.0,,Defensive rebound by L. Dončić,11,9
49,1,6:11.0,,L. Dončić misses 3-pt jump shot from 25 ft,11,9
50,1,6:07.0,Defensive rebound by P. George,,11,9
51,1,6:02.0,D. Schröder makes 2-pt layup from 3 ft,,13,9
52,1,6:02.0,P. Patterson enters the game for T. Ferguson,,13,9
53,1,6:02.0,,J. Barea enters the game for D. Smith,13,9
54,1,5:35.0,,Shooting foul by P. George (drawn by L. Dončić),13,9
55,1,5:35.0,,L. Dončić makes free throw 1 of 2,13,10
56,1,5:35.0,,L. Dončić makes free throw 2 of 2,13,11
57,1,5:24.0,Turnover by D. Schröder (bad pass; steal by J. Barea),,13,11
58,1,5:20.0,,L. Dončić misses 2-pt jump shot from 4 ft,13,11
59,1,5:20.0,Defensive rebound by S. Adams,,13,11
60,1,5:11.0,D. Schröder makes 3-pt jump shot from 25 ft,,16,11
61,1,5:03.0,,Personal foul by Á. Abrines (drawn by D. Finney-Smith),16,11
62,1,5:03.0,,D. Finney-Smith makes free throw 1 of 2,16,12
63,1,5:03.0,,D. Finney-Smith misses free throw 2 of 2,16,12
64,1,5:00.0,,Offensive rebound by M. Kleber,16,12
65,1,4:48.0,,M. Kleber misses 3-pt jump shot from 24 ft,16,12
66,1,4:46.0,Defensive rebound by P. George,,16,12
67,1,4:34.0,S. Adams misses 2-pt layup from 1 ft (block by M. Kleber),,16,12
68,1,4:31.0,Offensive rebound by S. Adams,,16,12
69,1,4:31.0,S. Adams makes 2-pt layup at rim,,18,12
70,1,4:23.0,,J. Barea makes 2-pt jump shot from 14 ft,18,14
71,1,4:08.0,Á. Abrines misses 3-pt jump shot from 26 ft,,18,14
72,1,4:05.0,,Defensive rebound by D. Jordan,18,14
73,1,3:57.0,,M. Kleber misses 3-pt jump shot from 23 ft,18,14
74,1,3:54.0,Defensive rebound by P. George,,18,14
