,QUARTER,TIME_REMAINING,NEW ORLEANS_ACTION,OKLAHOMA CITY_ACTION,NEW ORLEANS_SCORE,OKLAHOMA CITY_SCORE
0,1,11:48.0,,Shooting foul by S. Hill (drawn by S. Adams),0,0
1,1,11:48.0,,S. Adams makes free throw 1 of 2,0,1
2,1,11:48.0,,S. Adams makes free throw 2 of 2,0,2
3,1,11:33.0,S. Hill makes 2-pt layup from 1 ft (assist by J. Holiday),,2,2
4,1,11:16.0,,Turnover by S. Adams (lost ball; steal by J. Holiday),2,2
5,1,10:58.0,J. Holiday makes 2-pt jump shot from 7 ft (assist by S. Hill),,4,2
6,1,10:38.0,,J. Grant misses 3-pt jump shot from 26 ft,4,2
7,1,10:36.0,Defensive rebound by Team,,4,2
8,1,10:27.0,J. Holiday misses 3-pt jump shot from 22 ft,,4,2
9,1,10:26.0,Offensive rebound by J. Okafor,,4,2
10,1,10:26.0,J. Okafor makes 2-pt layup from 1 ft,,6,2
11,1,10:09.0,,J. Grant makes 2-pt dunk at rim (assist by R. Westbrook),6,4
12,1,9:58.0,D. Miller misses 3-pt jump shot from 26 ft,,6,4
13,1,9:56.0,,Defensive rebound by R. Westbrook,6,4
14,1,9:47.0,,J. Grant misses 3-pt jump shot from 26 ft,6,4
15,1,9:45.0,Defensive rebound by Team,,6,4
16,1,9:36.0,J. Holiday misses 3-pt jump shot from 25 ft,,6,4
17,1,9:34.0,Offensive rebound by J. Okafor,,6,4
18,1,9:34.0,J. Okafor makes 2-pt layup from 1 ft,,8,4
19,1,9:33.0,,Oklahoma City full timeout,8,4
20,1,9:24.0,,P. George makes 3-pt jump shot from 26 ft (assist by R. Westbrook),8,7
21,1,9:06.0,D. Miller misses 2-pt jump shot from 16 ft,,8,7
22,1,9:04.0,,Defensive rebound by R. Westbrook,8,7
23,1,8:57.0,,T. Ferguson makes 2-pt jump shot from 7 ft (assist by R. Westbrook),8,9
24,1,8:46.0,J. Holiday makes 2-pt layup at rim (assist by E. Payton),,10,9
25,1,8:36.0,,R. Westbrook makes 2-pt layup from 1 ft,10,11
