,QUARTER,TIME_REMAINING,GOLDEN STATE_ACTION,BROOKLYN_ACTION,GOLDEN STATE_SCORE,BROOKLYN_SCORE
0,1,11:41.0,,J. Allen misses 2-pt layup from 1 ft,0,0
1,1,11:38.0,Defensive rebound by D. Green,,0,0
2,1,11:29.0,D. Jones misses 2-pt layup from 2 ft (block by J. Allen),,0,0
3,1,11:26.0,,Defensive rebound by J. Dudley,0,0
4,1,11:18.0,,J. Allen makes 2-pt dunk at rim (assist by D. Russell),0,2
5,1,10:57.0,K. Durant makes 2-pt jump shot from 5 ft (assist by D. Green),,2,2
6,1,10:47.0,,Shooting foul by K. Thompson (drawn by J. Harris),2,2
7,1,10:47.0,,J. Harris misses free throw 1 of 2,2,2
8,1,10:47.0,,Offensive rebound by Team,2,2
9,1,10:47.0,,J. Harris makes free throw 2 of 2,2,3
10,1,10:39.0,D. Green misses 3-pt jump shot from 25 ft,,2,3
11,1,10:36.0,,Defensive rebound by J. Allen,2,3
12,1,10:17.0,,C. LeVert makes 2-pt layup from 1 ft,2,5
13,1,10:11.0,Turnover by D. Jones (traveling),,2,5
14,1,10:05.0,,J. Dudley misses 3-pt jump shot from 25 ft,2,5
15,1,10:01.0,Defensive rebound by D. Green,,2,5
16,1,9:55.0,S. Curry makes 3-pt jump shot from 25 ft (assist by D. Green),,5,5
17,1,9:30.0,,C. LeVert misses 2-pt jump shot from 10 ft,5,5
18,1,9:27.0,,Offensive rebound by Team,5,5
19,1,9:19.0,,Turnover by D. Russell (lost ball; steal by D. Jones),5,5
20,1,9:14.0,K. Thompson makes 2-pt layup from 1 ft (assist by D. Green),,7,5
21,1,8:56.0,,C. LeVert misses 2-pt layup from 1 ft (block by D. Jones),7,5
22,1,8:53.0,,Offensive rebound by J. Harris,7,5
23,1,8:50.0,,J. Harris makes 3-pt jump shot from 24 ft (assist by C. LeVert),7,8
24,1,8:38.0,S. Curry makes 3-pt jump shot from 23 ft (assist by D. Jones),,10,8
25,1,8:22.0,,D. Russell makes 3-pt jump shot from 25 ft (assist by J. Allen),10,11
26,1,8:13.0,S. Curry misses 2-pt jump shot from 20 ft,,10,11
27,1,8:09.0,Offensive rebound by D. Jones,,10,11
28,1,8:01.0,K. Thompson misses 3-pt jump shot from 22 ft,,10,11
29,1,7:58.0,,Defensive rebound by D. Russell,10,11
30,1,7:50.0,,D. Russell misses 3-pt jump shot from 27 ft,10,11
31,1,7:46.0,Defensive rebound by K. Durant,,10,11
32,1,7:45.0,Turnover by K. Durant (bad pass; steal by J. Dudley),,10,11
33,1,7:36.0,,Personal foul by K. Thompson (drawn by C. LeVert),10,11
34,1,7:32.0,,C. LeVert makes 3-pt jump shot from 25 ft (assist by J. Allen),10,14
35,1,7:28.0,Golden State full timeout,,10,14
36,1,7:28.0,J. Evans enters the game for D. Jones,,10,14
37,1,7:28.0,K. Looney enters the game for K. Thompson,,10,14
38,1,7:16.0,D. Green makes 2-pt jump shot from 7 ft (assist by S. Curry),,12,14
39,1,7:05.0,,J. Allen makes 2-pt layup from 2 ft (assist by D. Russell),12,16
40,1,6:48.0,Turnover by S. Curry (bad pass; steal by J. Allen),,12,16
41,1,6:36.0,,Turnover by C. LeVert (out of bounds lost ball),12,16
42,1,6:25.0,K. Durant makes 2-pt jump shot from 11 ft,,14,16
43,1,6:11.0,,D. Russell makes 3-pt jump shot from 25 ft (assist by C. LeVert),14,19
44,1,5:54.0,Turnover by K. Looney (lost ball; steal by J. Dudley),,14,19
45,1,5:49.0,,C. LeVert misses 2-pt layup from 1 ft,14,19
46,1,5:46.0,Defensive rebound by S. Curry,,14,19
47,1,5:42.0,K. Durant misses 2-pt jump shot from 11 ft,,14,19
48,1,5:38.0,,Defensive rebound by D. Russell,14,19
49,1,5:32.0,,J. Allen makes 2-pt layup from 1 ft (assist by J. Dudley),14,21
50,1,5:15.0,D. Green makes 2-pt jump shot from 16 ft (assist by K. Durant),,16,21
51,1,4:51.0,,C. LeVert makes 2-pt layup from 1 ft,16,23
52,1,4:42.0,S. Curry makes 3-pt jump shot from 25 ft (assist by D. Green),,19,23
53,1,4:41.0,,Brooklyn full timeout,19,23
54,1,4:41.0,J. Jerebko enters the game for D. Green,,19,23
55,1,4:41.0,,A. Crabbe enters the game for J. Dudley,19,23
56,1,4:41.0,,S. Dinwiddie enters the game for J. Harris,19,23
57,1,4:41.0,,R. Hollis-Jefferson enters the game for D. Russell,19,23
58,1,4:26.0,,C. LeVert makes 3-pt jump shot from 25 ft,19,26
59,1,4:08.0,Turnover by K. Looney (bad pass; steal by R. Hollis-Jefferson),,19,26
60,1,4:03.0,,C. LeVert misses 3-pt jump shot from 22 ft,19,26
