,QUARTER,TIME_REMAINING,NEW YORK_ACTION,TORONTO_ACTION,NEW YORK_SCORE,TORONTO_SCORE
64,1,4:33.0,D. Dotson misses 2-pt jump shot from 13 ft,,12,9
65,1,4:29.0,Offensive rebound by E. Freedom,,12,9
66,1,4:27.0,E. Freedom misses 2-pt layup from 2 ft,,12,9
67,1,4:26.0,,Defensive rebound by S. Ibaka,12,9
68,1,4:19.0,,K. Leonard misses 3-pt jump shot from 22 ft,12,9
69,1,4:16.0,Defensive rebound by Team,,12,9
70,1,4:16.0,K. Knox enters the game for D. Dotson,,12,9
71,1,4:16.0,,O. Anunoby enters the game for D. Green,12,9
72,1,4:16.0,,F. VanVleet enters the game for K. Leonard,12,9
73,1,4:01.0,E. Freedom misses 2-pt hook shot from 6 ft,,12,9
74,1,3:58.0,,Defensive rebound by K. Lowry,12,9
75,1,3:56.0,,Shooting foul by N. Vonleh (drawn by P. Siakam),12,9
76,1,3:56.0,,P. Siakam makes free throw 1 of 2,12,10
77,1,3:56.0,E. Mudiay enters the game for F. Ntilikina,,12,10
78,1,3:56.0,,P. Siakam makes free throw 2 of 2,12,11
79,1,3:43.0,Personal foul by F. VanVleet (drawn by K. Knox),,12,11
80,1,3:31.0,E. Freedom makes 2-pt layup from 2 ft (assist by E. Mudiay),,14,11
81,1,3:17.0,,O. Anunoby makes 2-pt dunk from 2 ft (assist by K. Lowry),14,13
82,1,3:06.0,E. Mudiay misses 2-pt jump shot from 11 ft,,14,13
83,1,3:04.0,Offensive rebound by E. Freedom,,14,13
84,1,3:04.0,E. Freedom misses 2-pt layup at rim,,14,13
85,1,3:03.0,Offensive rebound by E. Freedom,,14,13
86,1,2:53.0,K. Knox makes 3-pt jump shot from 25 ft (assist by T. Hardaway),,17,13
87,1,2:41.0,,S. Ibaka makes 2-pt jump shot from 14 ft (assist by K. Lowry),17,15
88,1,2:23.0,E. Mudiay makes 2-pt jump shot from 17 ft (assist by E. Freedom),,19,15
89,1,2:08.0,,P. Siakam makes 3-pt jump shot from 24 ft (assist by K. Lowry),19,18
90,1,1:44.0,E. Mudiay misses 2-pt jump shot from 13 ft,,19,18
91,1,1:43.0,Offensive rebound by E. Freedom,,19,18
92,1,1:42.0,E. Freedom misses 2-pt layup from 2 ft,,19,18
93,1,1:41.0,Offensive rebound by E. Freedom,,19,18
94,1,1:41.0,Shooting foul by S. Ibaka (drawn by E. Freedom),,19,18
95,1,1:41.0,New York full timeout,,19,18
96,1,1:41.0,A. Trier enters the game for T. Hardaway,,19,18
97,1,1:41.0,,C. Miles enters the game for S. Ibaka,19,18
98,1,1:41.0,,J. Valančiūnas enters the game for K. Lowry,19,18
99,1,1:41.0,,D. Wright enters the game for P. Siakam,19,18
100,1,1:41.0,E. Freedom makes free throw 1 of 2,,20,18
101,1,1:41.0,E. Freedom makes free throw 2 of 2,,21,18
102,1,1:23.0,,J. Valančiūnas makes 2-pt jump shot from 5 ft,21,20
103,1,1:04.0,E. Freedom misses 2-pt layup from 2 ft,,21,20
104,1,1:04.0,Offensive rebound by K. Knox,,21,20
105,1,1:04.0,Shooting foul by J. Valančiūnas (drawn by K. Knox),,21,20
106,1,1:04.0,K. Knox makes free throw 1 of 2,,22,20
107,1,1:04.0,M. Hezonja enters the game for N. Vonleh,,22,20
108,1,1:04.0,K. Knox makes free throw 2 of 2,,23,20
109,1,0:48.0,,O. Anunoby misses 3-pt jump shot from 23 ft,23,20
110,1,0:45.0,Defensive rebound by E. Freedom,,23,20
111,1,0:34.0,E. Mudiay makes 2-pt layup from 1 ft (assist by M. Hezonja),,25,20
112,1,0:31.0,,F. VanVleet makes 3-pt jump shot from 25 ft,25,23
113,1,0:11.0,Turnover by E. Mudiay (bad pass; steal by D. Wright),,25,23
114,1,0:06.0,,C. Miles misses 3-pt jump shot from 28 ft,25,23
115,1,0:02.0,,Offensive rebound by D. Wright,25,23
116,1,0:02.0,,D. Wright makes 2-pt layup from 1 ft,25,25
117,2,11:43.0,K. Knox makes 2-pt jump shot from 12 ft (assist by E. Mudiay),,27,25
118,2,11:18.0,,O. Anunoby makes 2-pt jump shot from 20 ft,27,27
119,2,10:59.0,E. Freedom misses 2-pt jump shot from 12 ft,,27,27
120,2,10:55.0,,Defensive rebound by O. Anunoby,27,27
121,2,10:52.0,,Turnover by O. Anunoby (bad pass; steal by E. Mudiay),27,27
122,2,10:48.0,Shooting foul by J. Valančiūnas (drawn by E. Freedom),,27,27
123,2,10:48.0,E. Freedom makes free throw 1 of 2,,28,27
124,2,10:48.0,E. Freedom makes free throw 2 of 2,,29,27
125,2,10:34.0,,Turnover by D. Wright (bad pass; steal by E. Mudiay),29,27
126,2,10:33.0,Shooting foul by C. Miles (drawn by M. Hezonja),,29,27
127,2,10:26.0,K. Knox misses 2-pt layup from 6 ft,,29,27
128,2,10:22.0,,Defensive rebound by J. Valančiūnas,29,27
129,2,10:20.0,,O. Anunoby makes 2-pt dunk from 2 ft (assist by C. Miles),29,29
130,2,10:00.0,M. Hezonja misses 2-pt layup from 3 ft (block by C. Miles),,29,29
131,2,10:00.0,Offensive rebound by E. Freedom,,29,29
132,2,9:53.0,E. Freedom misses 2-pt layup from 1 ft,,29,29
133,2,9:46.0,Offensive rebound by E. Mudiay,,29,29
134,2,9:46.0,E. Mudiay makes 2-pt layup at rim,,31,29
135,2,9:46.0,,O. Anunoby makes 2-pt layup from 2 ft,31,31
136,2,9:46.0,,Shooting foul by K. Knox (drawn by O. Anunoby),31,31
137,2,9:46.0,,O. Anunoby makes free throw 1 of 1,31,32
138,2,9:31.0,E. Mudiay misses 3-pt jump shot from 25 ft,,31,32
139,2,9:26.0,,Defensive rebound by D. Wright,31,32
140,2,9:19.0,,C. Miles misses 3-pt jump shot from 25 ft,31,32
141,2,9:16.0,Defensive rebound by E. Freedom,,31,32
142,2,9:12.0,Turnover by M. Hezonja (step out of bounds),,31,32
143,2,9:04.0,,F. VanVleet misses 2-pt layup from 2 ft,31,32
144,2,9:01.0,Defensive rebound by E. Freedom,,31,32
145,2,8:55.0,Personal foul by C. Miles (drawn by A. Trier),,31,32
146,2,8:55.0,,Technical foul by J. Valančiūnas,31,32
147,2,8:55.0,A. Trier makes technical free throw,,32,32
148,2,8:46.0,E. Freedom misses 2-pt hook shot from 7 ft,,32,32
149,2,8:46.0,,Defensive rebound by D. Wright,32,32
150,2,8:31.0,,Turnover by F. VanVleet (bad pass; steal by A. Trier),32,32
151,2,8:25.0,M. Hezonja makes 2-pt layup from 1 ft (assist by A. Trier),,34,32
152,2,8:17.0,,D. Wright makes 3-pt jump shot from 26 ft (assist by C. Miles),34,35
153,2,8:03.0,A. Trier misses 2-pt jump shot from 9 ft,,34,35
154,2,8:00.0,Offensive rebound by E. Freedom,,34,35
155,2,7:59.0,E. Freedom makes 2-pt layup from 1 ft,,36,35
156,2,7:51.0,,J. Valančiūnas makes 2-pt dunk from 1 ft (assist by F. VanVleet),36,37
157,2,7:30.0,Offensive foul by E. Freedom (drawn by J. Valančiūnas),,36,37
158,2,7:30.0,Turnover by E. Freedom (offensive foul),,36,37
159,2,7:30.0,T. Hardaway enters the game for K. Knox,,36,37
160,2,7:30.0,F. Ntilikina enters the game for E. Mudiay,,36,37
161,2,7:20.0,,C. Miles makes 2-pt jump shot from 13 ft (assist by D. Wright),36,39
162,2,7:03.0,Turnover by E. Freedom (bad pass; steal by C. Miles),,36,39
163,2,6:59.0,,O. Anunoby makes 2-pt jump shot from 3 ft (assist by D. Wright),36,41
164,2,6:59.0,,Shooting foul by E. Freedom (drawn by O. Anunoby),36,41
165,2,6:59.0,,Toronto full timeout,36,41
166,2,6:59.0,M. Robinson enters the game for E. Freedom,,36,41
167,2,6:59.0,,O. Anunoby misses free throw 1 of 1,36,41
168,2,6:59.0,,Offensive rebound by O. Anunoby,36,41
169,2,6:57.0,,Personal foul by T. Hardaway (drawn by O. Anunoby),36,41
170,2,6:42.0,,D. Wright makes 2-pt layup from 2 ft,36,43
171,2,6:31.0,Shooting foul by C. Miles (drawn by T. Hardaway),,36,43
172,2,6:31.0,T. Hardaway makes free throw 1 of 2,,37,43
173,2,6:31.0,D. Dotson enters the game for M. Hezonja,,37,43
174,2,6:31.0,N. Vonleh enters the game for A. Trier,,37,43
175,2,6:31.0,,K. Leonard enters the game for O. Anunoby,37,43
176,2,6:31.0,,K. Lowry enters the game for C. Miles,37,43
177,2,6:31.0,,P. Siakam enters the game for F. VanVleet,37,43
178,2,6:31.0,T. Hardaway makes free throw 2 of 2,,38,43
179,2,6:09.0,,D. Wright makes 3-pt jump shot from 26 ft,38,46
180,2,5:45.0,T. Hardaway makes 2-pt jump shot from 13 ft,,40,46
181,2,5:28.0,,J. Valančiūnas makes 2-pt jump shot from 4 ft (assist by K. Lowry),40,48
