,QUARTER,TIME_REMAINING,PHOENIX_ACTION,DALLAS_ACTION,PHOENIX_SCORE,DALLAS_SCORE
0,1,11:39.0,Turnover by E. Okobo (bad pass; steal by L. Dončić),,0,0
1,1,11:27.0,,D. Nowitzki makes 2-pt jump shot from 20 ft (assist by L. Dončić),0,2
2,1,11:03.0,D. Bender makes 3-pt jump shot from 26 ft (assist by E. Okobo),,3,2
3,1,10:47.0,,D. Nowitzki misses 2-pt jump shot from 18 ft,3,2
4,1,10:44.0,Defensive rebound by J. Jackson,,3,2
5,1,10:40.0,E. Okobo misses 2-pt layup from 1 ft,,3,2
6,1,10:38.0,,Defensive rebound by L. Dončić,3,2
7,1,10:32.0,,D. Nowitzki makes 3-pt jump shot from 26 ft (assist by D. Harris),3,5
8,1,10:16.0,E. Okobo makes 3-pt jump shot from 25 ft (assist by R. Spalding),,6,5
9,1,10:00.0,,D. Nowitzki misses 2-pt jump shot from 20 ft,6,5
10,1,9:56.0,Defensive rebound by R. Spalding,,6,5
11,1,9:48.0,D. Bender misses 3-pt jump shot from 24 ft,,6,5
12,1,9:45.0,,Defensive rebound by L. Dončić,6,5
13,1,9:36.0,,D. Nowitzki makes 2-pt jump shot from 13 ft (assist by L. Dončić),6,7
14,1,9:19.0,Shooting foul by D. Powell (drawn by E. Okobo),,6,7
15,1,9:19.0,E. Okobo makes free throw 1 of 2,,7,7
16,1,9:19.0,E. Okobo makes free throw 2 of 2,,8,7
17,1,9:02.0,,D. Nowitzki makes 3-pt jump shot from 26 ft (assist by D. Harris),8,10
18,1,8:48.0,E. Okobo misses 3-pt jump shot from 26 ft,,8,10
19,1,8:45.0,,Defensive rebound by D. Nowitzki,8,10
20,1,8:39.0,,D. Nowitzki misses 3-pt jump shot from 26 ft,8,10
21,1,8:36.0,,Offensive rebound by D. Powell,8,10
22,1,8:29.0,,Personal foul by E. Okobo (drawn by D. Harris),8,10
23,1,8:19.0,,D. Nowitzki misses 2-pt jump shot from 14 ft,8,10
24,1,8:17.0,Defensive rebound by J. Jackson,,8,10
25,1,8:08.0,R. Spalding misses 2-pt hook shot from 4 ft,,8,10
26,1,8:06.0,,Defensive rebound by L. Dončić,8,10
27,1,7:49.0,,Shooting foul by J. Jackson (drawn by D. Powell),8,10
28,1,7:49.0,,D. Powell makes free throw 1 of 2,8,11
29,1,7:49.0,,D. Powell makes free throw 2 of 2,8,12
30,1,7:41.0,D. Bender makes 2-pt jump shot from 4 ft (assist by E. Okobo),,10,12
31,1,7:25.0,,D. Harris makes 3-pt jump shot from 26 ft (assist by L. Dončić),10,15
32,1,7:09.0,Turnover by E. Okobo (step out of bounds),,10,15
33,1,7:09.0,,Dallas full timeout,10,15
34,1,7:09.0,T. Daniels enters the game for R. Spalding,,10,15
35,1,6:54.0,,L. Dončić misses 3-pt jump shot from 27 ft,10,15
36,1,6:51.0,,Offensive rebound by D. Powell,10,15
37,1,6:49.0,,D. Harris makes 3-pt jump shot from 24 ft (assist by D. Powell),10,18
38,1,6:29.0,M. Bridges misses 2-pt jump shot from 11 ft,,10,18
39,1,6:27.0,,Defensive rebound by D. Powell,10,18
40,1,6:14.0,,D. Harris misses 3-pt jump shot from 29 ft,10,18
41,1,6:10.0,Defensive rebound by J. Jackson,,10,18
42,1,6:06.0,T. Daniels misses 3-pt jump shot from 25 ft,,10,18
43,1,6:04.0,,Defensive rebound by D. Nowitzki,10,18
44,1,5:50.0,,Turnover by D. Powell (bad pass),10,18
45,1,5:50.0,J. Crawford enters the game for M. Bridges,,10,18
46,1,5:50.0,,J. Brunson enters the game for D. Harris,10,18
47,1,5:37.0,T. Daniels misses 3-pt jump shot from 23 ft,,10,18
48,1,5:33.0,,Defensive rebound by D. Nowitzki,10,18
49,1,5:18.0,,J. Jackson makes 3-pt jump shot from 23 ft (assist by L. Dončić),10,21
50,1,5:16.0,Phoenix full timeout,,10,21
51,1,5:16.0,,D. Finney-Smith enters the game for D. Nowitzki,10,21
52,1,5:16.0,,M. Kleber enters the game for D. Powell,10,21
53,1,5:03.0,Shooting foul by J. Brunson (drawn by J. Jackson),,10,21
54,1,5:03.0,J. Jackson makes free throw 1 of 2,,11,21
55,1,5:03.0,J. Jackson misses free throw 2 of 2,,11,21
56,1,5:00.0,,Defensive rebound by D. Finney-Smith,11,21
57,1,4:48.0,,D. Finney-Smith makes 2-pt layup from 3 ft (assist by L. Dončić),11,23
58,1,4:42.0,J. Jackson misses 2-pt layup from 1 ft,,11,23
59,1,4:40.0,,Defensive rebound by M. Kleber,11,23
60,1,4:30.0,,Turnover by D. Finney-Smith (bad pass),11,23
61,1,4:17.0,J. Crawford misses 3-pt jump shot from 27 ft,,11,23
62,1,4:13.0,,Defensive rebound by M. Kleber,11,23
63,1,4:06.0,,Shooting foul by D. Bender (drawn by L. Dončić),11,23
64,1,4:06.0,,L. Dončić makes free throw 1 of 2,11,24
65,1,4:06.0,,L. Dončić misses free throw 2 of 2,11,24
66,1,4:03.0,Defensive rebound by D. Bender,,11,24
67,1,3:51.0,D. Bender misses 2-pt hook shot from 6 ft,,11,24
68,1,3:49.0,,Defensive rebound by L. Dončić,11,24
69,1,3:43.0,,J. Jackson misses 3-pt jump shot from 24 ft,11,24
70,1,3:41.0,Defensive rebound by J. Jackson,,11,24
71,1,3:39.0,J. Jackson makes 2-pt layup from 2 ft,,13,24
72,1,3:39.0,Shooting foul by D. Finney-Smith (drawn by J. Jackson),,13,24
73,1,3:39.0,D. Melton enters the game for E. Okobo,,13,24
74,1,3:39.0,,R. Broekhoff enters the game for J. Jackson,13,24
75,1,3:39.0,J. Jackson misses free throw 1 of 1,,13,24
76,1,3:37.0,,Defensive rebound by D. Finney-Smith,13,24
77,1,3:21.0,,J. Brunson makes 2-pt jump shot from 4 ft (assist by L. Dončić),13,26
78,1,3:11.0,J. Jackson misses 3-pt jump shot from 25 ft,,13,26
79,1,3:08.0,,Defensive rebound by L. Dončić,13,26
80,1,3:04.0,,Shooting foul by T. Daniels (drawn by L. Dončić),13,26
81,1,3:04.0,,L. Dončić makes free throw 1 of 2,13,27
82,1,3:04.0,,L. Dončić makes free throw 2 of 2,13,28
83,1,2:48.0,J. Crawford misses 2-pt jump shot from 8 ft (block by M. Kleber),,13,28
84,1,2:45.0,,Defensive rebound by J. Brunson,13,28
85,1,2:44.0,,Shooting foul by D. Melton (drawn by J. Brunson),13,28
86,1,2:44.0,,J. Brunson makes free throw 1 of 2,13,29
87,1,2:44.0,,J. Brunson makes free throw 2 of 2,13,30
88,1,2:25.0,J. Crawford makes 3-pt jump shot from 26 ft (assist by D. Melton),,16,30
89,1,2:07.0,,L. Dončić misses 2-pt layup from 6 ft (block by J. Jackson),16,30
90,1,2:05.0,Defensive rebound by D. Bender,,16,30
91,1,2:01.0,T. Daniels misses 2-pt layup from 4 ft,,16,30
92,1,2:01.0,,Defensive rebound by M. Kleber,16,30
93,1,2:00.0,,Personal foul by T. Daniels (drawn by M. Kleber),16,30
94,1,2:00.0,,M. Kleber makes free throw 1 of 2,16,31
95,1,2:00.0,M. Bridges enters the game for D. Bender,,16,31
96,1,2:00.0,R. Spalding enters the game for J. Jackson,,16,31
97,1,2:00.0,,D. Harris enters the game for L. Dončić,16,31
98,1,2:00.0,,M. Kleber misses free throw 2 of 2,16,31
99,1,1:57.0,Defensive rebound by R. Spalding,,16,31
100,1,1:41.0,J. Crawford makes 2-pt jump shot from 20 ft,,18,31
101,1,1:21.0,,D. Finney-Smith makes 2-pt layup from 1 ft (assist by D. Harris),18,33
102,1,1:13.0,R. Spalding misses 2-pt layup from 4 ft (block by D. Harris),,18,33
103,1,1:09.0,,Defensive rebound by M. Kleber,18,33
104,1,1:07.0,,Turnover by R. Broekhoff (bad pass; steal by T. Daniels),18,33
105,1,1:06.0,Personal take foul by D. Harris (drawn by J. Crawford),,18,33
106,1,1:06.0,,D. Nowitzki enters the game for D. Finney-Smith,18,33
107,1,1:06.0,,D. Powell enters the game for M. Kleber,18,33
108,1,0:56.0,J. Crawford misses 2-pt jump shot from 19 ft,,18,33
109,1,0:55.0,,Defensive rebound by D. Powell,18,33
110,1,0:36.0,,D. Nowitzki misses 2-pt jump shot from 15 ft,18,33
111,1,0:32.0,Defensive rebound by R. Spalding,,18,33
112,1,0:14.0,J. Crawford misses 2-pt jump shot from 19 ft,,18,33
113,1,0:11.0,,Defensive rebound by J. Brunson,18,33
