,QUARTER,TIME_REMAINING,DETROIT_ACTION,MEMPHIS_ACTION,DETROIT_SCORE,MEMPHIS_SCORE
0,1,11:36.0,,M. Gasol makes 2-pt jump shot from 10 ft (assist by J. Jackson),0,2
1,1,11:24.0,Personal foul by J. Jackson (drawn by B. Griffin),,0,2
2,1,11:09.0,B. Brown misses 2-pt dunk from 1 ft,,0,2
3,1,11:07.0,,Defensive rebound by K. Anderson,0,2
4,1,10:57.0,,Turnover by M. Gasol (lost ball; steal by A. Drummond),0,2
5,1,10:52.0,A. Drummond misses 2-pt layup from 8 ft (block by G. Temple),,0,2
6,1,10:48.0,Offensive rebound by R. Bullock,,0,2
7,1,10:45.0,B. Griffin makes 3-pt jump shot from 26 ft (assist by B. Brown),,3,2
8,1,10:20.0,,Shooting foul by B. Brown (drawn by J. Jackson),3,2
9,1,10:20.0,,J. Jackson makes free throw 1 of 2,3,3
10,1,10:20.0,,J. Jackson makes free throw 2 of 2,3,4
11,1,9:58.0,A. Drummond makes 2-pt layup from 2 ft,,5,4
12,1,9:42.0,,J. Jackson misses 2-pt jump shot from 16 ft,5,4
13,1,9:40.0,Defensive rebound by A. Drummond,,5,4
14,1,9:31.0,R. Bullock misses 3-pt jump shot from 26 ft,,5,4
15,1,9:24.0,,Defensive rebound by J. Jackson,5,4
16,1,9:17.0,,M. Gasol misses 3-pt jump shot from 26 ft,5,4
17,1,9:14.0,Defensive rebound by B. Griffin,,5,4
18,1,9:12.0,A. Drummond misses 2-pt layup from 3 ft (block by M. Gasol),,5,4
19,1,9:12.0,Offensive rebound by Team,,5,4
20,1,9:12.0,Offensive foul by A. Drummond (drawn by G. Temple),,5,4
21,1,9:12.0,Turnover by A. Drummond (offensive foul),,5,4
22,1,9:00.0,,K. Anderson makes 2-pt jump shot from 18 ft,5,6
23,1,8:38.0,Turnover by R. Jackson (bad pass; steal by G. Temple),,5,6
24,1,8:35.0,,G. Temple makes 2-pt dunk at rim,5,8
25,1,8:27.0,A. Drummond misses 2-pt layup from 2 ft (block by M. Gasol),,5,8
26,1,8:22.0,,Defensive rebound by K. Anderson,5,8
27,1,8:20.0,,M. Gasol makes 2-pt layup from 1 ft (assist by K. Anderson),5,10
28,1,8:16.0,Detroit full timeout,,5,10
29,1,8:06.0,R. Jackson makes 3-pt jump shot from 25 ft (assist by R. Bullock),,8,10
30,1,7:48.0,,K. Anderson makes 2-pt jump shot from 16 ft,8,12
31,1,7:30.0,R. Jackson misses 3-pt jump shot from 23 ft,,8,12
32,1,7:28.0,,Defensive rebound by J. Jackson,8,12
33,1,7:21.0,,G. Temple misses 3-pt jump shot from 23 ft,8,12
34,1,7:19.0,Defensive rebound by A. Drummond,,8,12
35,1,7:09.0,R. Bullock makes 3-pt jump shot from 28 ft (assist by R. Jackson),,11,12
36,1,6:54.0,,K. Anderson makes 2-pt jump shot from 7 ft,11,14
37,1,6:47.0,B. Griffin makes 2-pt layup from 1 ft (assist by R. Jackson),,13,14
38,1,6:28.0,,G. Temple misses 2-pt jump shot from 19 ft,13,14
39,1,6:26.0,Defensive rebound by B. Brown,,13,14
40,1,6:13.0,B. Griffin misses 3-pt jump shot from 25 ft,,13,14
41,1,6:11.0,,Defensive rebound by M. Conley,13,14
42,1,6:03.0,,J. Jackson misses 2-pt hook shot from 4 ft,13,14
43,1,6:01.0,Defensive rebound by B. Griffin,,13,14
44,1,5:52.0,A. Drummond makes 2-pt layup from 1 ft (assist by B. Griffin),,15,14
45,1,5:37.0,,M. Gasol makes 2-pt jump shot from 17 ft (assist by M. Conley),15,16
46,1,5:17.0,B. Griffin misses 2-pt layup from 1 ft,,15,16
47,1,5:14.0,,Defensive rebound by J. Jackson,15,16
48,1,5:13.0,,Personal foul by R. Jackson (drawn by M. Conley),15,16
49,1,5:13.0,,J. Green enters the game for M. Conley,15,16
50,1,5:13.0,,S. Mack enters the game for J. Jackson,15,16
51,1,5:04.0,,J. Green makes 2-pt layup from 1 ft (assist by S. Mack),15,18
52,1,4:45.0,R. Jackson misses 3-pt jump shot from 23 ft,,15,18
53,1,4:39.0,Offensive rebound by A. Drummond,,15,18
54,1,4:39.0,A. Drummond makes 2-pt layup from 1 ft,,17,18
55,1,4:26.0,,S. Mack misses 2-pt jump shot from 18 ft,17,18
56,1,4:23.0,Defensive rebound by B. Brown,,17,18
57,1,4:15.0,A. Drummond misses 2-pt layup from 2 ft (block by K. Anderson),,17,18
58,1,4:11.0,Offensive rebound by B. Brown,,17,18
59,1,4:07.0,B. Griffin makes 3-pt jump shot from 26 ft,,20,18
60,1,3:44.0,,Turnover by K. Anderson (bad pass; steal by B. Griffin),20,18
61,1,3:38.0,Turnover by R. Jackson (traveling),,20,18
62,1,3:38.0,,Memphis full timeout,20,18
63,1,3:38.0,J. Calderón enters the game for R. Bullock,,20,18
64,1,3:38.0,L. Kennard enters the game for R. Jackson,,20,18
65,1,3:38.0,,D. Brooks enters the game for G. Temple,20,18
66,1,3:19.0,,J. Green misses 3-pt jump shot from 25 ft,20,18
67,1,3:16.0,Defensive rebound by B. Griffin,,20,18
