,QUARTER,TIME_REMAINING,PHILADELPHIA_ACTION,DALLAS_ACTION,PHILADELPHIA_SCORE,DALLAS_SCORE
0,1,11:51.0,J. Bolden misses 3-pt jump shot from 24 ft,,0,0
1,1,11:48.0,,Defensive rebound by C. Lee,0,0
2,1,11:38.0,,D. Nowitzki misses 2-pt jump shot from 21 ft,0,0
3,1,11:36.0,Defensive rebound by J. Bolden,,0,0
4,1,11:30.0,J. Ennis misses 3-pt jump shot from 23 ft,,0,0
5,1,11:27.0,,Defensive rebound by J. Jackson,0,0
6,1,11:10.0,,D. Powell makes 2-pt layup from 3 ft (assist by J. Brunson),0,2
7,1,11:00.0,B. Simmons misses 2-pt layup from 3 ft,,0,2
8,1,10:58.0,,Defensive rebound by C. Lee,0,2
9,1,10:47.0,,J. Brunson makes 2-pt jump shot from 20 ft,0,4
10,1,10:34.0,J. Redick makes 2-pt layup from 1 ft (assist by J. Ennis),,2,4
11,1,10:17.0,,D. Powell makes 2-pt jump shot from 3 ft (assist by J. Brunson),2,6
12,1,10:17.0,,Shooting foul by J. Bolden (drawn by D. Powell),2,6
13,1,10:17.0,,D. Powell makes free throw 1 of 1,2,7
14,1,10:08.0,Turnover by J. Ennis (bad pass),,2,7
15,1,9:57.0,,J. Jackson misses 2-pt jump shot from 14 ft,2,7
16,1,9:54.0,Defensive rebound by T. Harris,,2,7
17,1,9:49.0,T. Harris makes 2-pt jump shot from 4 ft,,4,7
18,1,9:34.0,,D. Nowitzki makes 2-pt jump shot from 10 ft (assist by C. Lee),4,9
19,1,9:21.0,B. Simmons misses 2-pt jump shot from 6 ft,,4,9
20,1,9:18.0,,Defensive rebound by C. Lee,4,9
21,1,9:15.0,,C. Lee misses 2-pt layup from 8 ft (block by J. Ennis),4,9
22,1,9:15.0,Defensive rebound by Team,,4,9
23,1,8:57.0,T. Harris misses 2-pt jump shot from 17 ft,,4,9
24,1,8:54.0,,Defensive rebound by C. Lee,4,9
25,1,8:38.0,,J. Brunson makes 2-pt jump shot from 7 ft,4,11
26,1,8:29.0,J. Redick makes 3-pt jump shot from 25 ft (assist by B. Simmons),,7,11
27,1,8:29.0,Shooting foul by J. Jackson (drawn by J. Redick),,7,11
28,1,8:29.0,J. Redick makes free throw 1 of 1,,8,11
