,QUARTER,TIME_REMAINING,DETROIT_ACTION,CLEVELAND_ACTION,DETROIT_SCORE,CLEVELAND_SCORE
0,1,11:41.0,W. Ellington misses 3-pt jump shot from 23 ft,,0,0
1,1,11:38.0,Offensive rebound by A. Drummond,,0,0
2,1,11:34.0,A. Drummond misses 2-pt layup from 5 ft,,0,0
3,1,11:32.0,,Defensive rebound by C. Sexton,0,0
4,1,11:17.0,,B. Knight makes 3-pt jump shot from 27 ft (assist by M. Chriss),0,3
5,1,10:59.0,A. Drummond makes 2-pt layup from 2 ft,,2,3
6,1,10:58.0,,Cleveland full timeout,2,3
7,1,10:49.0,,Shooting foul by B. Brown (drawn by C. Sexton),2,3
8,1,10:49.0,,C. Sexton makes free throw 1 of 2,2,4
9,1,10:49.0,,C. Sexton makes free throw 2 of 2,2,5
10,1,10:34.0,B. Griffin makes 2-pt hook shot from 2 ft,,4,5
11,1,10:34.0,,Violation by Team (def goaltending),4,5
12,1,10:19.0,,Turnover by M. Chriss (traveling),4,5
13,1,10:07.0,B. Griffin misses 3-pt jump shot from 26 ft,,4,5
14,1,10:04.0,,Defensive rebound by C. Osman,4,5
15,1,9:52.0,,C. Sexton misses 3-pt jump shot from 23 ft,4,5
16,1,9:48.0,Defensive rebound by A. Drummond,,4,5
17,1,9:43.0,W. Ellington makes 3-pt jump shot from 26 ft (assist by B. Griffin),,7,5
18,1,9:30.0,,B. Knight misses 3-pt jump shot from 24 ft,7,5
19,1,9:27.0,Defensive rebound by B. Brown,,7,5
20,1,9:12.0,W. Ellington misses 3-pt jump shot from 28 ft,,7,5
21,1,9:08.0,,Defensive rebound by M. Chriss,7,5
22,1,9:01.0,,B. Knight misses 2-pt jump shot from 11 ft,7,5
23,1,8:57.0,Defensive rebound by B. Brown,,7,5
24,1,8:50.0,B. Brown misses 3-pt jump shot from 24 ft,,7,5
25,1,8:48.0,,Defensive rebound by C. Osman,7,5
26,1,8:37.0,,C. Osman makes 2-pt layup at rim,7,7
27,1,8:25.0,R. Jackson makes 2-pt jump shot from 16 ft,,9,7
28,1,8:12.0,,C. Sexton misses 2-pt layup from 1 ft (block by B. Brown),9,7
29,1,8:12.0,,Offensive rebound by Team,9,7
30,1,7:57.0,,M. Chriss misses 3-pt jump shot from 23 ft,9,7
31,1,7:55.0,Defensive rebound by A. Drummond,,9,7
32,1,7:52.0,R. Jackson makes 3-pt jump shot from 25 ft (assist by A. Drummond),,12,7
33,1,7:39.0,,C. Sexton misses 2-pt layup at rim,12,7
34,1,7:36.0,Defensive rebound by B. Griffin,,12,7
35,1,7:32.0,R. Jackson makes 3-pt jump shot from 27 ft (assist by B. Griffin),,15,7
36,1,7:10.0,,M. Chriss misses 2-pt hook shot from 11 ft,15,7
37,1,7:06.0,Defensive rebound by A. Drummond,,15,7
38,1,6:45.0,B. Griffin misses 2-pt jump shot from 18 ft,,15,7
39,1,6:45.0,,Defensive rebound by Team,15,7
40,1,6:32.0,,B. Knight misses 2-pt jump shot from 16 ft,15,7
41,1,6:30.0,Defensive rebound by A. Drummond,,15,7
42,1,6:27.0,Personal foul by B. Knight (drawn by R. Jackson),,15,7
43,1,6:27.0,,J. Clarkson enters the game for B. Knight,15,7
44,1,6:16.0,Shooting foul by M. Chriss (drawn by A. Drummond),,15,7
45,1,6:16.0,A. Drummond makes free throw 1 of 2,,16,7
46,1,6:16.0,,D. Nwaba enters the game for M. Chriss,16,7
47,1,6:16.0,A. Drummond makes free throw 2 of 2,,17,7
48,1,6:02.0,,J. Clarkson misses 3-pt jump shot from 24 ft,17,7
49,1,5:59.0,,Offensive rebound by L. Nance,17,7
50,1,5:57.0,,C. Sexton misses 3-pt jump shot from 26 ft,17,7
51,1,5:53.0,Defensive rebound by A. Drummond,,17,7
52,1,5:47.0,A. Drummond makes 2-pt layup from 1 ft (assist by W. Ellington),,19,7
53,1,5:28.0,,L. Nance makes 3-pt jump shot from 26 ft (assist by J. Clarkson),19,10
54,1,5:21.0,W. Ellington makes 3-pt jump shot from 24 ft (assist by R. Jackson),,22,10
55,1,4:59.0,,D. Nwaba makes 3-pt jump shot from 24 ft (assist by L. Nance),22,13
56,1,4:36.0,A. Drummond makes 2-pt layup from 2 ft (assist by B. Griffin),,24,13
57,1,4:29.0,,Turnover by L. Nance (traveling),24,13
58,1,4:11.0,R. Jackson makes 2-pt jump shot from 16 ft,,26,13
59,1,3:55.0,,Def 3 sec tech foul by Team,26,13
60,1,3:55.0,,J. Clarkson makes technical free throw,26,14
61,1,3:55.0,,M. Dellavedova enters the game for C. Sexton,26,14
62,1,3:52.0,Violation by Team (kicked ball),,26,14
63,1,3:46.0,,Turnover by L. Nance (bad pass; steal by W. Ellington),26,14
64,1,3:40.0,R. Jackson makes 2-pt layup from 1 ft,,28,14
65,1,3:15.0,,L. Nance makes 2-pt hook shot from 6 ft,28,16
66,1,3:11.0,Detroit full timeout,,28,16
67,1,3:11.0,L. Kennard enters the game for W. Ellington,,28,16
68,1,3:11.0,I. Smith enters the game for R. Jackson,,28,16
69,1,3:11.0,,C. Frye enters the game for L. Nance,28,16
70,1,3:05.0,Personal foul by D. Nwaba (drawn by B. Griffin),,28,16
71,1,2:57.0,Shooting foul by M. Dellavedova (drawn by A. Drummond),,28,16
72,1,2:57.0,A. Drummond makes free throw 1 of 2,,29,16
73,1,2:57.0,A. Drummond makes free throw 2 of 2,,30,16
74,1,2:45.0,,C. Osman misses 2-pt jump shot from 20 ft,30,16
75,1,2:42.0,Defensive rebound by A. Drummond,,30,16
76,1,2:27.0,B. Griffin makes 3-pt jump shot from 22 ft,,33,16
77,1,2:06.0,,J. Clarkson makes 2-pt jump shot from 9 ft,33,18
78,1,1:39.0,I. Smith misses 2-pt jump shot from 11 ft,,33,18
79,1,1:38.0,Offensive rebound by I. Smith,,33,18
80,1,1:37.0,I. Smith makes 2-pt jump shot from 9 ft,,35,18
81,1,1:37.0,Shooting foul by M. Dellavedova (drawn by I. Smith),,35,18
82,1,1:37.0,T. Maker enters the game for B. Griffin,,35,18
83,1,1:37.0,I. Smith makes free throw 1 of 1,,36,18
84,1,1:24.0,,C. Frye misses 3-pt jump shot from 26 ft,36,18
85,1,1:20.0,Defensive rebound by I. Smith,,36,18
86,1,1:14.0,I. Smith makes 2-pt layup from 2 ft,,38,18
87,1,0:54.0,,D. Nwaba makes 3-pt jump shot from 23 ft (assist by C. Osman),38,21
88,1,0:32.0,I. Smith makes 2-pt jump shot from 18 ft,,40,21
89,1,0:20.0,,C. Osman misses 2-pt jump shot from 5 ft (block by L. Kennard),40,21
90,1,0:20.0,Defensive rebound by Team,,40,21
91,1,0:06.0,L. Kennard makes 2-pt jump shot from 20 ft (assist by I. Smith),,42,21
92,1,0:03.0,,Personal foul by I. Smith (drawn by M. Dellavedova),42,21
93,1,0:01.0,,Shooting foul by I. Smith (drawn by M. Dellavedova),42,21
94,1,0:01.0,,M. Dellavedova makes free throw 1 of 2,42,22
95,1,0:01.0,,M. Dellavedova makes free throw 2 of 2,42,23
96,1,0:00.0,A. Drummond misses 2-pt jump shot from 20 ft,,42,23
97,1,0:00.0,Offensive rebound by Team,,42,23
98,2,11:54.0,,Personal foul by L. Galloway (drawn by J. Clarkson),42,23
99,2,11:37.0,,J. Clarkson misses 2-pt jump shot from 11 ft,42,23
100,2,11:34.0,Defensive rebound by L. Kennard,,42,23
101,2,11:19.0,L. Kennard makes 2-pt jump shot from 17 ft,,44,23
102,2,11:04.0,,C. Frye makes 2-pt dunk from 1 ft (assist by J. Clarkson),44,25
103,2,10:48.0,L. Kennard misses 2-pt layup from 13 ft,,44,25
104,2,10:46.0,Offensive rebound by L. Kennard,,44,25
105,2,10:46.0,L. Kennard misses 2-pt layup at rim,,44,25
106,2,10:46.0,,Defensive rebound by Team,44,25
107,2,10:27.0,,C. Frye makes 3-pt jump shot from 33 ft,44,28
108,2,10:14.0,I. Smith makes 2-pt jump shot from 11 ft,,46,28
109,2,9:49.0,,D. Nwaba misses 2-pt jump shot from 5 ft,46,28
110,2,9:47.0,Defensive rebound by G. Robinson,,46,28
111,2,9:43.0,L. Kennard makes 3-pt jump shot from 23 ft (assist by I. Smith),,49,28
112,2,9:26.0,,N. Stauskas misses 2-pt layup at rim (block by G. Robinson),49,28
113,2,9:24.0,Defensive rebound by I. Smith,,49,28
114,2,9:21.0,L. Galloway misses 3-pt jump shot from 28 ft,,49,28
115,2,9:16.0,Offensive rebound by G. Robinson,,49,28
116,2,9:16.0,G. Robinson makes 2-pt layup from 2 ft,,51,28
117,2,9:16.0,,Cleveland full timeout,51,28
118,2,9:16.0,,C. Sexton enters the game for M. Dellavedova,51,28
119,2,9:01.0,,J. Clarkson misses 2-pt layup from 2 ft,51,28
120,2,8:59.0,Defensive rebound by T. Maker,,51,28
121,2,8:35.0,L. Galloway misses 2-pt jump shot from 13 ft,,51,28
122,2,8:33.0,,Defensive rebound by N. Stauskas,51,28
123,2,8:30.0,,Shooting foul by L. Kennard (drawn by N. Stauskas),51,28
124,2,8:30.0,,N. Stauskas makes free throw 1 of 2,51,29
125,2,8:30.0,,N. Stauskas makes free throw 2 of 2,51,30
126,2,8:17.0,L. Galloway misses 3-pt jump shot from 23 ft,,51,30
127,2,8:14.0,,Defensive rebound by C. Frye,51,30
128,2,7:59.0,,J. Clarkson misses 2-pt layup from 1 ft,51,30
129,2,7:55.0,,Offensive rebound by J. Clarkson,51,30
130,2,7:55.0,,J. Clarkson misses 2-pt layup from 1 ft,51,30
131,2,7:54.0,Defensive rebound by T. Maker,,51,30
132,2,7:51.0,L. Galloway makes 3-pt jump shot from 23 ft (assist by I. Smith),,54,30
133,2,7:33.0,,Shooting foul by G. Robinson (drawn by C. Sexton),54,30
134,2,7:33.0,,C. Sexton misses free throw 1 of 2,54,30
135,2,7:33.0,,Offensive rebound by Team,54,30
136,2,7:33.0,,M. Chriss enters the game for J. Clarkson,54,30
137,2,7:33.0,,B. Knight enters the game for C. Frye,54,30
138,2,7:33.0,,C. Sexton makes free throw 2 of 2,54,31
139,2,7:20.0,L. Kennard makes 2-pt jump shot from 20 ft,,56,31
140,2,7:04.0,,Turnover by M. Chriss (bad pass; steal by L. Galloway),56,31
141,2,7:04.0,Personal foul by C. Sexton (drawn by L. Galloway),,56,31
142,2,7:04.0,,C. Osman enters the game for D. Nwaba,56,31
143,2,7:04.0,Offensive foul by T. Maker (drawn by C. Sexton),,56,31
144,2,7:04.0,Turnover by T. Maker (offensive foul),,56,31
145,2,6:39.0,,C. Osman misses 3-pt jump shot from 27 ft,56,31
146,2,6:34.0,,Offensive rebound by M. Chriss,56,31
147,2,6:32.0,,M. Chriss misses 2-pt dunk from 1 ft,56,31
148,2,6:29.0,Defensive rebound by L. Kennard,,56,31
149,2,6:28.0,Turnover by L. Kennard (lost ball; steal by M. Chriss),,56,31
150,2,6:25.0,,C. Sexton misses 3-pt jump shot from 24 ft,56,31
151,2,6:22.0,Defensive rebound by L. Kennard,,56,31
152,2,6:17.0,T. Maker makes 2-pt dunk at rim (assist by L. Kennard),,58,31
153,2,6:00.0,,Turnover by M. Chriss (traveling),58,31
