,QUARTER,TIME_REMAINING,BROOKLYN_ACTION,UTAH_ACTION,BROOKLYN_SCORE,UTAH_SCORE
0,1,11:45.0,J. Harris misses 3-pt jump shot from 25 ft,,0,0
1,1,11:44.0,,Defensive rebound by Team,0,0
2,1,11:34.0,,Shooting foul by J. Allen (drawn by R. Gobert),0,0
3,1,11:34.0,,R. Gobert makes free throw 1 of 2,0,1
4,1,11:34.0,,R. Gobert makes free throw 2 of 2,0,2
5,1,11:24.0,Turnover by D. Russell (lost ball; steal by R. Rubio),,0,2
6,1,11:11.0,,D. Favors misses 2-pt dunk from 2 ft (block by J. Allen),0,2
7,1,11:07.0,Defensive rebound by J. Harris,,0,2
8,1,11:02.0,Shooting foul by R. Gobert (drawn by J. Allen),,0,2
9,1,11:02.0,J. Allen makes free throw 1 of 2,,1,2
10,1,11:02.0,J. Allen makes free throw 2 of 2,,2,2
11,1,10:52.0,,Offensive foul by J. Ingles (drawn by J. Harris),2,2
12,1,10:52.0,,Turnover by J. Ingles (offensive foul),2,2
13,1,10:37.0,Personal foul by R. Rubio (drawn by D. Russell),,2,2
14,1,10:32.0,D. Russell misses 2-pt jump shot from 13 ft,,2,2
15,1,10:29.0,,Defensive rebound by J. Ingles,2,2
16,1,10:21.0,,R. Rubio misses 2-pt jump shot from 13 ft,2,2
17,1,10:19.0,Defensive rebound by J. Allen,,2,2
18,1,10:06.0,J. Harris misses 2-pt jump shot from 4 ft (block by D. Favors),,2,2
19,1,10:04.0,,Defensive rebound by R. Rubio,2,2
20,1,9:56.0,,Shooting foul by R. Kurucs (drawn by R. Rubio),2,2
21,1,9:56.0,,R. Rubio makes free throw 1 of 2,2,3
22,1,9:56.0,,R. Rubio makes free throw 2 of 2,2,4
23,1,9:48.0,C. LeVert misses 2-pt jump shot from 13 ft,,2,4
24,1,9:45.0,,Defensive rebound by R. Gobert,2,4
25,1,9:42.0,,Turnover by D. Mitchell (bad pass),2,4
26,1,9:32.0,J. Harris makes 2-pt jump shot from 16 ft (assist by D. Russell),,4,4
27,1,9:20.0,,J. Ingles misses 3-pt jump shot from 23 ft,4,4
28,1,9:17.0,Defensive rebound by J. Allen,,4,4
29,1,9:09.0,D. Russell makes 2-pt layup from 5 ft,,6,4
30,1,8:57.0,,D. Favors makes 2-pt layup from 2 ft (assist by D. Mitchell),6,6
31,1,8:57.0,,Shooting foul by R. Kurucs (drawn by D. Favors),6,6
32,1,8:57.0,,D. Favors makes free throw 1 of 1,6,7
33,1,8:50.0,D. Russell makes 3-pt jump shot from 25 ft (assist by J. Allen),,9,7
34,1,8:31.0,,R. Rubio misses 3-pt jump shot from 24 ft,9,7
35,1,8:28.0,,Offensive rebound by R. Gobert,9,7
36,1,8:26.0,,R. Rubio misses 3-pt jump shot from 26 ft,9,7
37,1,8:24.0,Defensive rebound by R. Kurucs,,9,7
38,1,8:10.0,D. Russell misses 2-pt jump shot from 16 ft,,9,7
39,1,8:08.0,,Defensive rebound by J. Ingles,9,7
40,1,7:57.0,,Turnover by R. Rubio (bad pass; steal by J. Allen),9,7
41,1,7:44.0,D. Russell misses 3-pt jump shot from 25 ft,,9,7
42,1,7:40.0,,Defensive rebound by R. Gobert,9,7
43,1,7:26.0,,D. Favors misses 2-pt dunk from 2 ft (block by J. Allen),9,7
44,1,7:23.0,Defensive rebound by J. Harris,,9,7
45,1,7:19.0,J. Harris misses 3-pt jump shot from 25 ft,,9,7
46,1,7:16.0,,Defensive rebound by R. Gobert,9,7
47,1,7:09.0,,Utah full timeout,9,7
48,1,7:09.0,S. Dinwiddie enters the game for C. LeVert,,9,7
49,1,7:09.0,,J. Crowder enters the game for D. Favors,9,7
50,1,7:09.0,,R. O'Neale enters the game for J. Ingles,9,7
51,1,7:07.0,,D. Mitchell makes 3-pt jump shot from 26 ft (assist by R. Rubio),9,10
52,1,6:42.0,R. Kurucs makes 3-pt jump shot from 23 ft (assist by D. Russell),,12,10
53,1,6:25.0,,Shooting foul by J. Allen (drawn by R. Gobert),12,10
54,1,6:25.0,,R. Gobert makes free throw 1 of 2,12,11
55,1,6:25.0,,K. Korver enters the game for R. Rubio,12,11
56,1,6:25.0,,R. Gobert misses free throw 2 of 2,12,11
57,1,6:24.0,Defensive rebound by J. Allen,,12,11
58,1,6:15.0,D. Russell misses 2-pt jump shot from 11 ft,,12,11
59,1,6:13.0,Offensive rebound by D. Russell,,12,11
60,1,6:00.0,Shooting foul by K. Korver (drawn by J. Harris),,12,11
61,1,6:00.0,J. Harris makes free throw 1 of 2,,13,11
62,1,6:00.0,J. Harris makes free throw 2 of 2,,14,11
63,1,5:50.0,,K. Korver misses 3-pt jump shot from 26 ft,14,11
64,1,5:48.0,Defensive rebound by D. Russell,,14,11
65,1,5:43.0,D. Russell makes 2-pt jump shot from 15 ft,,16,11
66,1,5:32.0,,D. Mitchell misses 2-pt jump shot from 16 ft,16,11
67,1,5:32.0,Defensive rebound by J. Allen,,16,11
68,1,5:24.0,D. Russell misses 3-pt jump shot from 25 ft,,16,11
69,1,5:22.0,,Defensive rebound by R. Gobert,16,11
70,1,5:05.0,,Turnover by R. Gobert (bad pass; steal by S. Dinwiddie),16,11
71,1,4:59.0,R. Kurucs makes 3-pt jump shot from 24 ft (assist by S. Dinwiddie),,19,11
72,1,4:42.0,,R. Gobert makes 2-pt dunk from 3 ft (assist by D. Mitchell),19,13
73,1,4:34.0,Shooting foul by D. Mitchell (drawn by S. Dinwiddie),,19,13
74,1,4:34.0,S. Dinwiddie makes free throw 1 of 2,,20,13
75,1,4:34.0,E. Davis enters the game for J. Allen,,20,13
76,1,4:34.0,S. Dinwiddie makes free throw 2 of 2,,21,13
77,1,4:23.0,,D. Mitchell makes 3-pt jump shot from 28 ft,21,16
78,1,4:10.0,J. Harris misses 2-pt layup from 3 ft,,21,16
79,1,4:08.0,,Defensive rebound by R. O'Neale,21,16
80,1,4:04.0,,J. Crowder makes 2-pt dunk from 1 ft (assist by R. O'Neale),21,18
81,1,4:03.0,Brooklyn full timeout,,21,18
82,1,4:03.0,D. Carroll enters the game for R. Kurucs,,21,18
83,1,4:03.0,T. Graham enters the game for D. Russell,,21,18
84,1,3:45.0,S. Dinwiddie misses 2-pt layup from 2 ft (block by R. Gobert),,21,18
85,1,3:43.0,,Defensive rebound by D. Mitchell,21,18
86,1,3:39.0,,R. Gobert makes 2-pt dunk from 2 ft (assist by D. Mitchell),21,20
87,1,3:19.0,S. Dinwiddie misses 2-pt layup from 5 ft,,21,20
88,1,3:16.0,,Defensive rebound by K. Korver,21,20
89,1,3:03.0,,K. Korver makes 3-pt jump shot from 25 ft (assist by R. Gobert),21,23
90,1,2:40.0,E. Davis misses 2-pt jump shot from 4 ft,,21,23
91,1,2:38.0,,Defensive rebound by R. Gobert,21,23
92,1,2:28.0,,R. Gobert makes 2-pt layup from 3 ft (assist by D. Mitchell),21,25
93,1,2:15.0,S. Dinwiddie misses 2-pt jump shot from 16 ft,,21,25
94,1,2:12.0,,Defensive rebound by R. Gobert,21,25
95,1,2:06.0,,K. Korver makes 3-pt jump shot from 23 ft (assist by R. O'Neale),21,28
96,1,1:47.0,D. Carroll misses 3-pt jump shot from 25 ft,,21,28
97,1,1:45.0,,Defensive rebound by R. O'Neale,21,28
98,1,1:36.0,,D. Mitchell misses 2-pt layup from 3 ft,21,28
99,1,1:34.0,Defensive rebound by E. Davis,,21,28
100,1,1:26.0,Offensive foul by S. Dinwiddie (drawn by R. O'Neale),,21,28
101,1,1:26.0,Turnover by S. Dinwiddie (offensive foul),,21,28
102,1,1:26.0,C. LeVert enters the game for J. Harris,,21,28
103,1,1:26.0,,D. Favors enters the game for R. Gobert,21,28
104,1,1:26.0,,J. Ingles enters the game for D. Mitchell,21,28
105,1,1:26.0,,R. Neto enters the game for R. O'Neale,21,28
106,1,1:12.0,,J. Crowder misses 3-pt jump shot from 22 ft,21,28
107,1,1:09.0,Defensive rebound by D. Carroll,,21,28
108,1,0:55.0,S. Dinwiddie misses 3-pt jump shot from 23 ft,,21,28
109,1,0:53.0,,Defensive rebound by K. Korver,21,28
110,1,0:38.0,,J. Crowder misses 3-pt jump shot from 26 ft,21,28
111,1,0:35.0,Defensive rebound by E. Davis,,21,28
112,1,0:29.0,C. LeVert misses 3-pt jump shot from 25 ft,,21,28
113,1,0:25.0,,Defensive rebound by D. Favors,21,28
114,1,0:04.0,,D. Favors misses 2-pt jump shot from 9 ft,21,28
115,1,0:02.0,Defensive rebound by E. Davis,,21,28
116,2,11:47.0,,K. Korver misses 3-pt jump shot from 25 ft,21,28
117,2,11:44.0,Defensive rebound by D. Carroll,,21,28
118,2,11:34.0,D. Russell misses 2-pt layup from 7 ft,,21,28
119,2,11:31.0,,Defensive rebound by D. Favors,21,28
120,2,11:24.0,,Shooting foul by E. Davis (drawn by D. Favors),21,28
121,2,11:24.0,,D. Favors misses free throw 1 of 2,21,28
122,2,11:24.0,,Offensive rebound by Team,21,28
123,2,11:24.0,,D. Favors makes free throw 2 of 2,21,29
124,2,11:13.0,D. Russell misses 3-pt jump shot from 27 ft,,21,29
125,2,11:10.0,,Defensive rebound by J. Crowder,21,29
126,2,11:01.0,,R. Neto misses 2-pt layup from 3 ft,21,29
127,2,10:58.0,,Offensive rebound by D. Favors,21,29
128,2,10:58.0,,D. Favors misses 2-pt layup at rim,21,29
129,2,10:57.0,,D. Favors makes 2-pt layup at rim,21,31
130,2,10:57.0,,Offensive rebound by D. Favors,21,31
131,2,10:42.0,C. LeVert misses 2-pt layup from 4 ft,,21,31
132,2,10:41.0,,Defensive rebound by J. Crowder,21,31
133,2,10:32.0,,R. Neto makes 2-pt jump shot from 10 ft (assist by D. Favors),21,33
134,2,10:17.0,Personal foul by R. Neto (drawn by D. Russell),,21,33
135,2,10:17.0,R. Kurucs enters the game for T. Graham,,21,33
136,2,10:10.0,D. Carroll misses 2-pt jump shot from 8 ft (block by D. Favors),,21,33
137,2,10:07.0,,Defensive rebound by R. Neto,21,33
138,2,10:04.0,,J. Ingles misses 3-pt jump shot from 24 ft,21,33
139,2,10:00.0,Defensive rebound by E. Davis,,21,33
140,2,9:52.0,R. Kurucs makes 2-pt layup from 2 ft (assist by D. Russell),,23,33
141,2,9:37.0,,J. Ingles makes 2-pt layup from 2 ft,23,35
142,2,9:27.0,D. Carroll misses 3-pt jump shot from 26 ft,,23,35
143,2,9:24.0,,Defensive rebound by R. Neto,23,35
144,2,9:19.0,,Personal foul by R. Kurucs (drawn by J. Ingles),23,35
145,2,9:19.0,T. Graham enters the game for R. Kurucs,,23,35
146,2,9:19.0,,G. Niang enters the game for J. Crowder,23,35
147,2,9:10.0,,K. Korver makes 3-pt jump shot from 25 ft (assist by J. Ingles),23,38
148,2,8:57.0,C. LeVert misses 3-pt jump shot from 25 ft,,23,38
149,2,8:52.0,,Defensive rebound by D. Favors,23,38
150,2,8:47.0,,R. Neto makes 2-pt layup from 3 ft,23,40
151,2,8:47.0,Brooklyn full timeout,,23,40
152,2,8:28.0,D. Russell makes 2-pt jump shot from 5 ft (assist by D. Carroll),,25,40
153,2,8:06.0,,Turnover by J. Ingles (bad pass),25,40
154,2,8:06.0,J. Dudley enters the game for D. Carroll,,25,40
155,2,8:06.0,,D. Mitchell enters the game for J. Ingles,25,40
156,2,8:06.0,,R. O'Neale enters the game for R. Neto,25,40
157,2,7:53.0,T. Graham misses 2-pt jump shot from 9 ft (block by K. Korver),,25,40
158,2,7:50.0,,Defensive rebound by K. Korver,25,40
159,2,7:43.0,,Turnover by D. Mitchell (bad pass; steal by J. Dudley),25,40
160,2,7:38.0,D. Russell misses 2-pt jump shot from 15 ft,,25,40
161,2,7:33.0,Offensive rebound by E. Davis,,25,40
162,2,7:29.0,C. LeVert misses 2-pt layup from 3 ft,,25,40
163,2,7:28.0,Offensive rebound by E. Davis,,25,40
164,2,7:28.0,Shooting foul by K. Korver (drawn by E. Davis),,25,40
165,2,7:28.0,D. Carroll enters the game for T. Graham,,25,40
166,2,7:28.0,S. Dinwiddie enters the game for C. LeVert,,25,40
167,2,7:28.0,,R. Gobert enters the game for D. Favors,25,40
168,2,7:28.0,E. Davis makes free throw 1 of 2,,26,40
169,2,7:28.0,E. Davis makes free throw 2 of 2,,27,40
170,2,7:07.0,,D. Mitchell misses 2-pt jump shot from 9 ft,27,40
171,2,7:05.0,Defensive rebound by E. Davis,,27,40
172,2,6:59.0,D. Carroll misses 2-pt jump shot from 12 ft,,27,40
173,2,6:57.0,Offensive rebound by D. Carroll,,27,40
174,2,6:57.0,D. Carroll makes 2-pt layup from 3 ft,,29,40
175,2,6:41.0,,K. Korver misses 2-pt jump shot from 12 ft,29,40
176,2,6:38.0,Defensive rebound by D. Carroll,,29,40
177,2,6:31.0,D. Carroll misses 2-pt layup from 4 ft (block by R. Gobert),,29,40
178,2,6:29.0,,Defensive rebound by G. Niang,29,40
179,2,6:29.0,,Personal take foul by J. Dudley (drawn by G. Niang),29,40
180,2,6:29.0,J. Allen enters the game for E. Davis,,29,40
181,2,6:29.0,,R. Rubio enters the game for K. Korver,29,40
182,2,6:21.0,,D. Mitchell makes 2-pt jump shot from 10 ft,29,42
183,2,6:08.0,Shooting foul by R. Gobert (drawn by J. Allen),,29,42
184,2,6:08.0,J. Allen makes free throw 1 of 2,,30,42
185,2,6:08.0,J. Allen makes free throw 2 of 2,,31,42
186,2,5:57.0,,D. Mitchell misses 2-pt jump shot from 9 ft (block by J. Allen),31,42
187,2,5:55.0,Defensive rebound by S. Dinwiddie,,31,42
188,2,5:40.0,D. Russell misses 2-pt jump shot from 17 ft,,31,42
189,2,5:37.0,,Defensive rebound by R. O'Neale,31,42
190,2,5:26.0,,G. Niang makes 2-pt jump shot from 8 ft,31,44
191,2,5:00.0,S. Dinwiddie misses 2-pt jump shot from 8 ft,,31,44
192,2,4:58.0,,Defensive rebound by R. O'Neale,31,44
193,2,4:55.0,,G. Niang makes 3-pt jump shot from 23 ft (assist by R. Rubio),31,47
194,2,4:41.0,D. Russell misses 2-pt jump shot from 7 ft,,31,47
195,2,4:38.0,Offensive rebound by D. Russell,,31,47
196,2,4:38.0,D. Russell misses 2-pt layup from 1 ft,,31,47
197,2,4:37.0,,Defensive rebound by R. Gobert,31,47
198,2,4:32.0,,R. Gobert makes 2-pt dunk from 2 ft (assist by R. Rubio),31,49
199,2,4:18.0,S. Dinwiddie makes 2-pt jump shot from 9 ft,,33,49
200,2,3:59.0,,Shooting foul by J. Allen (drawn by R. Gobert),33,49
201,2,3:59.0,,R. Gobert misses free throw 1 of 2,33,49
202,2,3:59.0,,Offensive rebound by Team,33,49
203,2,3:59.0,E. Davis enters the game for J. Allen,,33,49
204,2,3:59.0,J. Harris enters the game for D. Carroll,,33,49
205,2,3:59.0,C. LeVert enters the game for D. Russell,,33,49
206,2,3:59.0,,J. Crowder enters the game for G. Niang,33,49
207,2,3:59.0,,J. Ingles enters the game for R. O'Neale,33,49
208,2,3:59.0,,R. Gobert makes free throw 2 of 2,33,50
209,2,3:43.0,S. Dinwiddie makes 2-pt layup from 3 ft,,35,50
210,2,3:31.0,,D. Mitchell makes 3-pt jump shot from 25 ft,35,53
211,2,3:10.0,C. LeVert misses 2-pt jump shot from 17 ft,,35,53
212,2,3:08.0,,Defensive rebound by D. Mitchell,35,53
213,2,3:00.0,,D. Mitchell makes 2-pt layup from 7 ft,35,55
214,2,2:58.0,Brooklyn full timeout,,35,55
215,2,2:58.0,D. Carroll enters the game for J. Dudley,,35,55
216,2,2:50.0,J. Harris misses 2-pt jump shot from 5 ft (block by R. Gobert),,35,55
217,2,2:47.0,,Defensive rebound by J. Crowder,35,55
218,2,2:44.0,,R. Rubio misses 2-pt jump shot from 16 ft,35,55
219,2,2:40.0,,Offensive rebound by R. Rubio,35,55
220,2,2:39.0,,R. Rubio misses 2-pt jump shot from 13 ft,35,55
221,2,2:37.0,Defensive rebound by D. Carroll,,35,55
222,2,2:21.0,S. Dinwiddie makes 2-pt layup from 2 ft,,37,55
223,2,1:57.0,,Shooting foul by S. Dinwiddie (drawn by R. Rubio),37,55
224,2,1:57.0,,R. Rubio makes free throw 1 of 2,37,56
225,2,1:57.0,,R. Rubio makes free throw 2 of 2,37,57
