,QUARTER,TIME_REMAINING,ATLANTA_ACTION,INDIANA_ACTION,ATLANTA_SCORE,INDIANA_SCORE
0,1,11:46.0,,B. Bogdanović makes 2-pt layup at rim (assist by M. Turner),0,2
1,1,11:24.0,K. Huerter misses 3-pt jump shot from 30 ft,,0,2
2,1,11:21.0,,Defensive rebound by V. Oladipo,0,2
3,1,11:11.0,,D. Collison misses 2-pt layup from 1 ft (block by A. Poythress),0,2
4,1,11:08.0,Defensive rebound by A. Poythress,,0,2
5,1,11:04.0,K. Bazemore misses 2-pt layup from 1 ft,,0,2
6,1,11:01.0,Offensive rebound by A. Len,,0,2
7,1,11:01.0,A. Len misses 2-pt layup at rim,,0,2
8,1,10:58.0,,Defensive rebound by M. Turner,0,2
9,1,10:54.0,,Turnover by V. Oladipo (bad pass),0,2
10,1,10:39.0,K. Huerter misses 2-pt layup from 3 ft,,0,2
11,1,10:39.0,Offensive rebound by Team,,0,2
12,1,10:35.0,A. Len misses 2-pt jump shot from 19 ft,,0,2
13,1,10:32.0,,Defensive rebound by B. Bogdanović,0,2
14,1,10:15.0,,M. Turner misses 2-pt jump shot from 21 ft,0,2
15,1,10:12.0,Defensive rebound by K. Bazemore,,0,2
16,1,10:09.0,Personal foul by D. Collison (drawn by T. Young),,0,2
17,1,10:03.0,K. Bazemore makes 3-pt jump shot from 25 ft (assist by T. Young),,3,2
18,1,9:48.0,,V. Oladipo misses 2-pt layup at rim,3,2
19,1,9:46.0,Defensive rebound by K. Huerter,,3,2
20,1,9:41.0,A. Len misses 2-pt jump shot from 4 ft,,3,2
21,1,9:41.0,,Defensive rebound by Team,3,2
22,1,9:33.0,,D. Collison misses 2-pt jump shot from 16 ft,3,2
23,1,9:29.0,Defensive rebound by A. Poythress,,3,2
24,1,9:13.0,T. Young misses 3-pt jump shot from 29 ft,,3,2
25,1,9:10.0,,Defensive rebound by M. Turner,3,2
26,1,9:04.0,,T. Young misses 2-pt hook shot from 5 ft,3,2
27,1,9:00.0,Defensive rebound by Team,,3,2
28,1,8:48.0,T. Young misses 2-pt jump shot from 2 ft,,3,2
29,1,8:46.0,,Defensive rebound by M. Turner,3,2
30,1,8:43.0,,Shooting foul by A. Poythress (drawn by D. Collison),3,2
31,1,8:43.0,,D. Collison makes free throw 1 of 2,3,3
32,1,8:43.0,,D. Collison makes free throw 2 of 2,3,4
33,1,8:31.0,K. Huerter misses 2-pt layup from 2 ft (block by M. Turner),,3,4
34,1,8:30.0,Offensive rebound by Team,,3,4
35,1,8:25.0,T. Young misses 3-pt jump shot from 26 ft,,3,4
36,1,8:22.0,Offensive rebound by K. Bazemore,,3,4
37,1,8:18.0,K. Huerter makes 3-pt jump shot from 27 ft (assist by A. Len),,6,4
38,1,8:11.0,,Shooting foul by T. Young (drawn by V. Oladipo),6,4
39,1,8:11.0,,V. Oladipo makes free throw 1 of 2,6,5
40,1,8:11.0,,V. Oladipo makes free throw 2 of 2,6,6
41,1,7:53.0,K. Bazemore misses 2-pt jump shot from 19 ft,,6,6
42,1,7:50.0,,Defensive rebound by V. Oladipo,6,6
43,1,7:48.0,,T. Young makes 2-pt dunk from 1 ft (assist by V. Oladipo),6,8
44,1,7:38.0,A. Len misses 3-pt jump shot from 23 ft,,6,8
45,1,7:35.0,,Defensive rebound by T. Young,6,8
46,1,7:23.0,,T. Young misses 2-pt layup from 1 ft (block by A. Poythress),6,8
47,1,7:22.0,,Offensive rebound by Team,6,8
