,QUARTER,TIME_REMAINING,NEW YORK_ACTION,SAN ANTONIO_ACTION,NEW YORK_SCORE,SAN ANTONIO_SCORE
0,1,11:48.0,,D. White makes 2-pt jump shot from 17 ft,0,2
1,1,11:24.0,K. Knox misses 2-pt hook shot from 10 ft,,0,2
2,1,11:22.0,,Defensive rebound by J. Poeltl,0,2
3,1,11:14.0,,D. White misses 2-pt jump shot from 9 ft,0,2
4,1,11:12.0,,Offensive rebound by D. White,0,2
5,1,11:06.0,,D. DeRozan makes 2-pt jump shot from 15 ft,0,4
6,1,10:44.0,N. Vonleh makes 2-pt jump shot from 16 ft,,2,4
7,1,10:22.0,,B. Forbes misses 3-pt jump shot from 28 ft,2,4
8,1,10:19.0,Defensive rebound by D. Jordan,,2,4
9,1,10:08.0,K. Knox makes 3-pt jump shot from 25 ft (assist by N. Vonleh),,5,4
10,1,9:54.0,,D. DeRozan misses 2-pt jump shot from 10 ft,5,4
11,1,9:50.0,,Offensive rebound by J. Poeltl,5,4
12,1,9:50.0,,J. Poeltl makes 2-pt layup from 1 ft,5,6
13,1,9:41.0,D. Dotson makes 2-pt layup from 2 ft (assist by D. Jordan),,7,6
14,1,9:30.0,,D. White misses 2-pt jump shot from 21 ft,7,6
15,1,9:27.0,Defensive rebound by D. Jordan,,7,6
16,1,9:16.0,D. Dotson misses 3-pt jump shot from 29 ft,,7,6
17,1,9:13.0,,Defensive rebound by J. Poeltl,7,6
18,1,9:00.0,,L. Aldridge misses 2-pt jump shot from 19 ft,7,6
19,1,8:56.0,Defensive rebound by D. Jordan,,7,6
20,1,8:39.0,E. Mudiay misses 2-pt jump shot from 15 ft,,7,6
21,1,8:35.0,,Defensive rebound by D. White,7,6
22,1,8:27.0,,D. DeRozan makes 2-pt layup from 3 ft (assist by D. White),7,8
23,1,8:04.0,E. Mudiay makes 2-pt layup from 1 ft (assist by D. Jordan),,9,8
24,1,7:43.0,,Shooting foul by N. Vonleh (drawn by L. Aldridge),9,8
25,1,7:43.0,,L. Aldridge makes free throw 1 of 2,9,9
26,1,7:43.0,,P. Mills enters the game for D. White,9,9
27,1,7:43.0,,L. Aldridge makes free throw 2 of 2,9,10
28,1,7:33.0,Turnover by E. Mudiay (bad pass; steal by D. DeRozan),,9,10
29,1,7:24.0,,Turnover by D. DeRozan (lost ball; steal by D. Dotson),9,10
30,1,7:19.0,E. Mudiay misses 3-pt jump shot from 23 ft,,9,10
31,1,7:15.0,,Defensive rebound by L. Aldridge,9,10
32,1,7:06.0,,B. Forbes makes 2-pt jump shot from 9 ft (assist by P. Mills),9,12
33,1,7:06.0,Violation by Team (def goaltending),,9,12
34,1,6:50.0,N. Vonleh makes 2-pt hook shot from 6 ft,,11,12
35,1,6:47.0,,San Antonio full timeout,11,12
36,1,6:47.0,,D. Bertāns enters the game for J. Poeltl,11,12
37,1,6:40.0,,B. Forbes makes 3-pt jump shot from 25 ft (assist by P. Mills),11,15
38,1,6:22.0,D. Dotson misses 2-pt layup from 2 ft,,11,15
39,1,6:19.0,,Defensive rebound by L. Aldridge,11,15
40,1,6:10.0,,L. Aldridge makes 2-pt dunk from 1 ft (assist by D. DeRozan),11,17
41,1,6:00.0,New York full timeout,,11,17
42,1,6:00.0,K. Allen enters the game for K. Knox,,11,17
43,1,6:00.0,A. Trier enters the game for E. Mudiay,,11,17
44,1,5:44.0,N. Vonleh misses 2-pt jump shot from 17 ft,,11,17
45,1,5:40.0,,Defensive rebound by D. DeRozan,11,17
46,1,5:31.0,,B. Forbes misses 3-pt jump shot from 26 ft,11,17
47,1,5:28.0,Defensive rebound by K. Allen,,11,17
48,1,5:22.0,K. Allen makes 2-pt hook shot from 6 ft,,13,17
49,1,5:05.0,,L. Aldridge makes 2-pt layup from 1 ft (assist by D. DeRozan),13,19
50,1,4:36.0,K. Allen makes 2-pt layup from 1 ft (assist by A. Trier),,15,19
51,1,4:23.0,,D. Bertāns misses 3-pt jump shot from 26 ft,15,19
52,1,4:20.0,Defensive rebound by D. Jordan,,15,19
53,1,4:10.0,N. Vonleh misses 2-pt hook shot from 7 ft,,15,19
54,1,4:07.0,,Defensive rebound by L. Aldridge,15,19
55,1,3:57.0,,D. Bertāns misses 3-pt jump shot from 22 ft,15,19
56,1,3:57.0,Defensive rebound by K. Allen,,15,19
57,1,3:45.0,D. Dotson misses 2-pt jump shot from 13 ft,,15,19
58,1,3:40.0,,Defensive rebound by D. Bertāns,15,19
59,1,3:32.0,,D. DeRozan makes 2-pt layup at rim,15,21
60,1,3:32.0,,Shooting foul by D. Dotson (drawn by D. DeRozan),15,21
61,1,3:32.0,M. Robinson enters the game for D. Jordan,,15,21
62,1,3:32.0,L. Thomas enters the game for N. Vonleh,,15,21
63,1,3:32.0,,M. Belinelli enters the game for L. Aldridge,15,21
64,1,3:32.0,,J. Poeltl enters the game for B. Forbes,15,21
