,QUARTER,TIME_REMAINING,PORTLAND_ACTION,MEMPHIS_ACTION,PORTLAND_SCORE,MEMPHIS_SCORE
0,1,11:41.0,M. Harkless makes 2-pt jump shot from 2 ft (assist by J. Nurkić),,2,0
1,1,11:18.0,,A. Bradley misses 3-pt jump shot from 25 ft,2,0
2,1,11:14.0,Defensive rebound by A. Aminu,,2,0
3,1,11:07.0,J. Nurkić makes 2-pt hook shot from 1 ft (assist by M. Harkless),,4,0
4,1,10:49.0,,J. Valančiūnas misses 2-pt jump shot from 7 ft,4,0
5,1,10:46.0,Defensive rebound by J. Nurkić,,4,0
6,1,10:39.0,Personal foul by M. Conley (drawn by C. McCollum),,4,0
7,1,10:36.0,M. Harkless makes 2-pt dunk from 1 ft (assist by D. Lillard),,6,0
8,1,10:27.0,,Shooting foul by D. Lillard (drawn by M. Conley),6,0
9,1,10:27.0,,M. Conley misses free throw 1 of 2,6,0
10,1,10:27.0,,Offensive rebound by Team,6,0
11,1,10:27.0,,M. Conley misses free throw 2 of 2,6,0
12,1,10:25.0,Defensive rebound by J. Nurkić,,6,0
13,1,10:18.0,C. McCollum makes 2-pt jump shot from 3 ft (assist by J. Nurkić),,8,0
14,1,10:17.0,,Memphis full timeout,8,0
15,1,10:00.0,,J. Valančiūnas makes 2-pt hook shot from 8 ft,8,2
16,1,9:38.0,J. Nurkić misses 2-pt hook shot from 2 ft,,8,2
17,1,9:35.0,Offensive rebound by M. Harkless,,8,2
18,1,9:27.0,M. Harkless makes 2-pt layup from 1 ft (assist by J. Nurkić),,10,2
19,1,9:13.0,,J. Holiday misses 3-pt jump shot from 23 ft,10,2
20,1,9:11.0,Defensive rebound by J. Nurkić,,10,2
21,1,9:01.0,A. Aminu makes 2-pt layup from 1 ft (assist by D. Lillard),,12,2
22,1,8:45.0,,B. Caboclo misses 3-pt jump shot from 27 ft,12,2
23,1,8:43.0,Defensive rebound by J. Nurkić,,12,2
24,1,8:31.0,Turnover by D. Lillard (bad pass),,12,2
25,1,8:31.0,,D. Wright enters the game for J. Holiday,12,2
26,1,8:13.0,,Turnover by A. Bradley (traveling),12,2
27,1,8:13.0,,I. Rabb enters the game for B. Caboclo,12,2
28,1,8:02.0,Turnover by A. Aminu (step out of bounds),,12,2
29,1,7:50.0,,Shooting foul by J. Nurkić (drawn by A. Bradley),12,2
30,1,7:50.0,,A. Bradley misses free throw 1 of 2,12,2
31,1,7:50.0,,Offensive rebound by Team,12,2
32,1,7:50.0,,A. Bradley makes free throw 2 of 2,12,3
33,1,7:37.0,Turnover by D. Lillard (bad pass; steal by A. Bradley),,12,3
34,1,7:34.0,,A. Bradley makes 2-pt layup from 1 ft,12,5
35,1,7:25.0,C. McCollum makes 3-pt jump shot from 25 ft (assist by D. Lillard),,15,5
36,1,7:10.0,,Turnover by J. Valančiūnas (bad pass; steal by A. Aminu),15,5
37,1,7:04.0,D. Lillard makes 3-pt jump shot from 23 ft (assist by A. Aminu),,18,5
38,1,6:46.0,,Turnover by J. Valančiūnas (bad pass; steal by J. Nurkić),18,5
39,1,6:42.0,Shooting foul by J. Valančiūnas (drawn by M. Harkless),,18,5
40,1,6:42.0,M. Harkless misses free throw 1 of 2,,18,5
41,1,6:42.0,Offensive rebound by Team,,18,5
42,1,6:42.0,,J. Noah enters the game for J. Valančiūnas,18,5
43,1,6:42.0,M. Harkless makes free throw 2 of 2,,19,5
44,1,6:24.0,,J. Noah makes 2-pt layup from 1 ft (assist by I. Rabb),19,7
45,1,6:12.0,A. Aminu makes 3-pt jump shot from 26 ft (assist by D. Lillard),,22,7
46,1,5:56.0,,A. Bradley makes 3-pt jump shot from 26 ft,22,10
47,1,5:44.0,C. McCollum misses 2-pt layup from 1 ft,,22,10
48,1,5:42.0,,Defensive rebound by I. Rabb,22,10
49,1,5:32.0,,J. Noah makes 2-pt dunk from 1 ft (assist by A. Bradley),22,12
50,1,5:32.0,,C. Parsons enters the game for M. Conley,22,12
51,1,5:12.0,Personal foul by J. Noah (drawn by J. Nurkić),,22,12
52,1,5:00.0,M. Harkless misses 2-pt jump shot from 21 ft,,22,12
53,1,4:56.0,Offensive rebound by D. Lillard,,22,12
