,QUARTER,TIME_REMAINING,LA CLIPPERS_ACTION,DALLAS_ACTION,LA CLIPPERS_SCORE,DALLAS_SCORE
0,1,11:45.0,A. Bradley misses 2-pt jump shot from 18 ft,,0,0
1,1,11:42.0,,Defensive rebound by W. Matthews,0,0
2,1,11:35.0,,D. Jordan misses 2-pt hook shot from 5 ft,0,0
3,1,11:33.0,Defensive rebound by D. Gallinari,,0,0
4,1,11:26.0,D. Gallinari makes 2-pt jump shot from 20 ft,,2,0
5,1,11:01.0,,H. Barnes misses 2-pt layup from 3 ft,2,0
6,1,10:59.0,,Offensive rebound by H. Barnes,2,0
7,1,10:59.0,,H. Barnes makes 2-pt layup from 1 ft,2,2
8,1,10:44.0,A. Bradley makes 2-pt layup from 2 ft,,4,2
9,1,10:36.0,,Personal foul by S. Gilgeous-Alexander (drawn by W. Matthews),4,2
10,1,10:27.0,,Turnover by W. Matthews (bad pass; steal by S. Gilgeous-Alexander),4,2
11,1,10:21.0,Shooting foul by W. Matthews (drawn by S. Gilgeous-Alexander),,4,2
12,1,10:21.0,S. Gilgeous-Alexander makes free throw 1 of 2,,5,2
13,1,10:21.0,S. Gilgeous-Alexander makes free throw 2 of 2,,6,2
14,1,10:01.0,,W. Matthews makes 3-pt jump shot from 28 ft (assist by D. Smith),6,5
15,1,9:44.0,T. Harris makes 3-pt jump shot from 27 ft (assist by D. Gallinari),,9,5
16,1,9:30.0,,W. Matthews misses 3-pt jump shot from 26 ft,9,5
17,1,9:28.0,Defensive rebound by M. Gortat,,9,5
18,1,9:20.0,D. Gallinari misses 3-pt jump shot from 26 ft,,9,5
19,1,9:17.0,,Defensive rebound by W. Matthews,9,5
20,1,9:12.0,,H. Barnes misses 3-pt jump shot from 29 ft,9,5
21,1,9:08.0,Defensive rebound by M. Gortat,,9,5
22,1,9:02.0,T. Harris misses 2-pt jump shot from 12 ft,,9,5
23,1,8:59.0,,Defensive rebound by D. Smith,9,5
24,1,8:51.0,,D. Smith makes 2-pt layup from 1 ft,9,7
25,1,8:38.0,Shooting foul by D. Jordan (drawn by S. Gilgeous-Alexander),,9,7
26,1,8:38.0,S. Gilgeous-Alexander makes free throw 1 of 2,,10,7
27,1,8:38.0,S. Gilgeous-Alexander makes free throw 2 of 2,,11,7
28,1,8:27.0,,H. Barnes makes 2-pt layup from 2 ft (assist by W. Matthews),11,9
29,1,8:15.0,Offensive foul by M. Gortat (drawn by D. Finney-Smith),,11,9
30,1,8:15.0,Turnover by M. Gortat (offensive foul),,11,9
31,1,7:56.0,,H. Barnes makes 3-pt jump shot from 27 ft,11,12
32,1,7:35.0,M. Gortat makes 2-pt layup from 2 ft (assist by A. Bradley),,13,12
33,1,7:19.0,,W. Matthews makes 2-pt jump shot from 4 ft,13,14
34,1,7:01.0,D. Gallinari makes 2-pt jump shot from 23 ft,,15,14
35,1,6:37.0,,H. Barnes makes 2-pt jump shot from 6 ft (assist by D. Jordan),15,16
36,1,6:37.0,,Shooting foul by A. Bradley (drawn by H. Barnes),15,16
37,1,6:37.0,,Dallas full timeout,15,16
38,1,6:37.0,,H. Barnes makes free throw 1 of 1,15,17
39,1,6:22.0,M. Gortat misses 2-pt jump shot from 14 ft,,15,17
40,1,6:19.0,,Defensive rebound by D. Jordan,15,17
41,1,6:15.0,,Turnover by D. Smith (bad pass),15,17
42,1,6:08.0,Personal foul by D. Jordan (drawn by M. Gortat),,15,17
43,1,6:00.0,S. Gilgeous-Alexander makes 2-pt jump shot from 14 ft,,17,17
44,1,5:40.0,,W. Matthews misses 2-pt jump shot from 7 ft,17,17
45,1,5:38.0,Defensive rebound by D. Gallinari,,17,17
46,1,5:30.0,T. Harris misses 2-pt jump shot from 15 ft,,17,17
47,1,5:26.0,,Defensive rebound by D. Jordan,17,17
48,1,5:04.0,,H. Barnes makes 3-pt jump shot from 27 ft (assist by D. Smith),17,20
49,1,4:54.0,D. Gallinari misses 2-pt layup from 2 ft,,17,20
50,1,4:51.0,Offensive rebound by D. Gallinari,,17,20
51,1,4:49.0,D. Gallinari makes 2-pt layup at rim,,19,20
52,1,4:29.0,,H. Barnes misses 2-pt layup from 2 ft,19,20
53,1,4:27.0,Defensive rebound by D. Gallinari,,19,20
54,1,4:21.0,T. Harris makes 2-pt jump shot from 13 ft,,21,20
55,1,4:00.0,,W. Matthews makes 2-pt layup from 1 ft (assist by D. Jordan),21,22
56,1,3:46.0,Shooting foul by D. Finney-Smith (drawn by D. Gallinari),,21,22
57,1,3:46.0,D. Gallinari makes free throw 1 of 3,,22,22
58,1,3:46.0,D. Gallinari makes free throw 2 of 3,,23,22
59,1,3:46.0,P. Beverley enters the game for S. Gilgeous-Alexander,,23,22
60,1,3:46.0,,J. Barea enters the game for D. Jordan,23,22
61,1,3:46.0,,D. Powell enters the game for D. Smith,23,22
62,1,3:46.0,D. Gallinari makes free throw 3 of 3,,24,22
63,1,3:34.0,,Shooting foul by A. Bradley (drawn by W. Matthews),24,22
64,1,3:34.0,,W. Matthews makes free throw 1 of 2,24,23
65,1,3:34.0,,W. Matthews makes free throw 2 of 2,24,24
66,1,3:18.0,D. Gallinari makes 2-pt jump shot from 23 ft,,26,24
67,1,3:06.0,,Offensive foul by W. Matthews (drawn by A. Bradley),26,24
68,1,3:06.0,,Turnover by W. Matthews (offensive foul),26,24
69,1,3:06.0,L. Williams enters the game for A. Bradley,,26,24
70,1,3:06.0,,D. Harris enters the game for W. Matthews,26,24
71,1,2:49.0,L. Williams misses 2-pt layup from 2 ft,,26,24
72,1,2:47.0,,Defensive rebound by H. Barnes,26,24
73,1,2:42.0,,J. Barea makes 2-pt jump shot from 10 ft,26,26
74,1,2:29.0,D. Gallinari makes 3-pt jump shot from 25 ft (assist by T. Harris),,29,26
75,1,2:28.0,Violation by Team (delay of game),,29,26
76,1,2:16.0,,J. Barea makes 2-pt jump shot from 7 ft,29,28
77,1,2:16.0,,Shooting foul by P. Beverley (drawn by J. Barea),29,28
78,1,2:16.0,LA Clippers full timeout,,29,28
79,1,2:16.0,M. Scott enters the game for D. Gallinari,,29,28
80,1,2:16.0,,S. Mejri enters the game for D. Finney-Smith,29,28
81,1,2:16.0,,J. Barea makes free throw 1 of 1,29,29
82,1,1:56.0,M. Scott misses 2-pt jump shot from 10 ft,,29,29
83,1,1:53.0,,Defensive rebound by D. Powell,29,29
84,1,1:40.0,,D. Harris misses 2-pt jump shot from 17 ft,29,29
85,1,1:35.0,Defensive rebound by L. Williams,,29,29
86,1,1:31.0,T. Harris misses 3-pt jump shot from 26 ft,,29,29
87,1,1:27.0,,Defensive rebound by D. Powell,29,29
88,1,1:11.0,,H. Barnes misses 3-pt jump shot from 26 ft,29,29
89,1,1:08.0,Defensive rebound by P. Beverley,,29,29
90,1,1:05.0,T. Harris makes 2-pt layup from 3 ft (assist by P. Beverley),,31,29
91,1,0:47.0,,H. Barnes makes 2-pt jump shot from 14 ft,31,31
92,1,0:29.0,L. Williams makes 2-pt jump shot from 3 ft (assist by T. Harris),,33,31
93,1,0:07.0,,J. Barea makes 3-pt jump shot from 23 ft (assist by D. Powell),33,34
94,1,0:00.0,L. Williams makes 2-pt jump shot from 21 ft,,35,34
95,2,11:44.0,,D. Harris makes 2-pt jump shot from 4 ft,35,36
96,2,11:44.0,,Shooting foul by S. Thornwell (drawn by D. Harris),35,36
97,2,11:44.0,,D. Harris makes free throw 1 of 1,35,37
98,2,11:32.0,M. Scott makes 3-pt jump shot from 24 ft (assist by M. Harrell),,38,37
99,2,11:11.0,,J. Barea misses 2-pt jump shot from 16 ft,38,37
100,2,11:08.0,,Offensive rebound by S. Mejri,38,37
101,2,11:08.0,,Personal foul by M. Scott (drawn by S. Mejri),38,37
102,2,11:01.0,,D. Harris misses 2-pt layup from 4 ft (block by M. Harrell),38,37
103,2,10:58.0,Defensive rebound by P. Beverley,,38,37
104,2,10:46.0,M. Scott misses 3-pt jump shot from 26 ft,,38,37
105,2,10:46.0,,Defensive rebound by S. Mejri,38,37
106,2,10:34.0,,J. Barea misses 2-pt layup from 2 ft,38,37
107,2,10:33.0,Defensive rebound by M. Scott,,38,37
108,2,10:27.0,L. Williams misses 3-pt jump shot from 24 ft,,38,37
109,2,10:24.0,,Defensive rebound by D. Harris,38,37
110,2,10:13.0,,Shooting foul by M. Harrell (drawn by J. Barea),38,37
111,2,10:13.0,,J. Barea makes free throw 1 of 2,38,38
112,2,10:13.0,,J. Barea makes free throw 2 of 2,38,39
113,2,10:05.0,Personal foul by D. Powell (drawn by L. Williams),,38,39
114,2,10:02.0,Personal foul by D. Harris (drawn by L. Williams),,38,39
115,2,9:55.0,M. Harrell makes 2-pt jump shot from 3 ft (assist by M. Scott),,40,39
116,2,9:55.0,Shooting foul by D. Powell (drawn by M. Harrell),,40,39
117,2,9:55.0,M. Harrell misses free throw 1 of 1,,40,39
118,2,9:51.0,Offensive rebound by M. Scott,,40,39
119,2,9:46.0,L. Williams makes 2-pt jump shot from 5 ft,,42,39
120,2,9:45.0,Away from play foul by D. Harris (drawn by M. Harrell),,42,39
121,2,9:45.0,M. Harrell misses free throw 1 of 1,,42,39
122,2,9:45.0,,Defensive rebound by S. Mejri,42,39
123,2,9:41.0,,Turnover by S. Mejri (lost ball; steal by P. Beverley),42,39
124,2,9:31.0,M. Scott misses 2-pt jump shot from 16 ft,,42,39
125,2,9:28.0,,Defensive rebound by J. Barea,42,39
126,2,9:19.0,,Turnover by J. Barea (bad pass; steal by M. Harrell),42,39
127,2,9:09.0,M. Harrell makes 2-pt dunk from 2 ft (assist by P. Beverley),,44,39
128,2,9:09.0,,Dallas full timeout,44,39
129,2,8:52.0,,J. Brunson misses 2-pt jump shot from 12 ft,44,39
130,2,8:46.0,Defensive rebound by S. Thornwell,,44,39
131,2,8:39.0,M. Harrell misses 2-pt jump shot from 8 ft,,44,39
132,2,8:39.0,Offensive rebound by M. Harrell,,44,39
133,2,8:39.0,Shooting foul by S. Mejri (drawn by M. Harrell),,44,39
134,2,8:39.0,M. Harrell misses free throw 1 of 2,,44,39
135,2,8:39.0,Offensive rebound by Team,,44,39
136,2,8:39.0,,D. Jordan enters the game for S. Mejri,44,39
137,2,8:39.0,M. Harrell makes free throw 2 of 2,,45,39
138,2,8:27.0,,Personal foul by P. Beverley (drawn by J. Barea),45,39
139,2,8:22.0,,J. Barea misses 2-pt jump shot from 19 ft,45,39
140,2,8:19.0,,Offensive rebound by D. Powell,45,39
141,2,8:17.0,,D. Harris misses 3-pt jump shot from 23 ft,45,39
142,2,8:13.0,Defensive rebound by L. Williams,,45,39
143,2,8:10.0,P. Beverley makes 3-pt jump shot from 25 ft (assist by L. Williams),,48,39
144,2,7:55.0,,J. Barea misses 2-pt jump shot from 17 ft,48,39
145,2,7:53.0,,Offensive rebound by D. Jordan,48,39
146,2,7:44.0,,J. Brunson misses 3-pt jump shot from 23 ft,48,39
147,2,7:40.0,Defensive rebound by S. Thornwell,,48,39
148,2,7:33.0,L. Williams misses 3-pt jump shot from 25 ft,,48,39
149,2,7:31.0,,Defensive rebound by D. Powell,48,39
150,2,7:23.0,,D. Harris misses 2-pt layup from 1 ft (block by S. Thornwell),48,39
151,2,7:18.0,Defensive rebound by M. Scott,,48,39
152,2,7:17.0,P. Beverley misses 3-pt jump shot from 25 ft,,48,39
153,2,7:13.0,,Defensive rebound by D. Jordan,48,39
154,2,7:06.0,,J. Barea makes 2-pt jump shot from 6 ft,48,41
155,2,6:46.0,M. Scott misses 2-pt jump shot from 6 ft,,48,41
156,2,6:43.0,,Defensive rebound by J. Barea,48,41
157,2,6:39.0,,J. Barea makes 2-pt layup from 1 ft,48,43
158,2,6:38.0,LA Clippers full timeout,,48,43
159,2,6:38.0,D. Gallinari enters the game for P. Beverley,,48,43
160,2,6:38.0,S. Gilgeous-Alexander enters the game for M. Scott,,48,43
161,2,6:38.0,T. Harris enters the game for S. Thornwell,,48,43
162,2,6:38.0,,H. Barnes enters the game for J. Brunson,48,43
163,2,6:38.0,,W. Matthews enters the game for D. Powell,48,43
164,2,6:23.0,S. Gilgeous-Alexander makes 2-pt jump shot from 7 ft (assist by T. Harris),,50,43
165,2,6:02.0,,H. Barnes misses 2-pt jump shot from 6 ft,50,43
166,2,6:00.0,Defensive rebound by T. Harris,,50,43
167,2,5:57.0,T. Harris misses 2-pt jump shot from 15 ft,,50,43
168,2,5:53.0,,Defensive rebound by D. Jordan,50,43
169,2,5:47.0,,J. Barea makes 2-pt layup from 2 ft,50,45
170,2,5:33.0,T. Harris makes 2-pt layup from 2 ft (assist by D. Gallinari),,52,45
171,2,5:19.0,,Personal foul by T. Harris (drawn by J. Barea),52,45
172,2,5:19.0,,J. Barea makes free throw 1 of 2,52,46
173,2,5:19.0,A. Bradley enters the game for L. Williams,,52,46
174,2,5:19.0,,D. Finney-Smith enters the game for D. Harris,52,46
175,2,5:19.0,,J. Barea makes free throw 2 of 2,52,47
176,2,4:58.0,S. Gilgeous-Alexander misses 2-pt jump shot from 8 ft,,52,47
177,2,4:54.0,,Defensive rebound by D. Jordan,52,47
178,2,4:48.0,,J. Barea makes 2-pt jump shot from 8 ft,52,49
179,2,4:29.0,D. Gallinari misses 2-pt jump shot from 10 ft,,52,49
180,2,4:27.0,,Defensive rebound by J. Barea,52,49
181,2,4:24.0,,Shooting foul by M. Harrell (drawn by D. Finney-Smith),52,49
182,2,4:24.0,,D. Finney-Smith misses free throw 1 of 2,52,49
183,2,4:24.0,,Offensive rebound by Team,52,49
184,2,4:24.0,,D. Smith enters the game for J. Barea,52,49
185,2,4:24.0,,D. Finney-Smith makes free throw 2 of 2,52,50
186,2,4:15.0,Turnover by S. Gilgeous-Alexander (bad pass),,52,50
187,2,4:08.0,,D. Jordan makes 2-pt dunk from 1 ft (assist by D. Smith),52,52
188,2,3:52.0,A. Bradley misses 3-pt jump shot from 23 ft,,52,52
189,2,3:49.0,,Defensive rebound by D. Jordan,52,52
190,2,3:39.0,,D. Finney-Smith makes 3-pt jump shot from 26 ft (assist by W. Matthews),52,55
191,2,3:16.0,T. Harris misses 2-pt jump shot from 18 ft,,52,55
192,2,3:13.0,,Defensive rebound by D. Finney-Smith,52,55
193,2,3:07.0,,D. Smith misses 3-pt jump shot from 25 ft,52,55
194,2,3:03.0,Defensive rebound by D. Gallinari,,52,55
195,2,2:52.0,M. Harrell misses 2-pt hook shot from 3 ft,,52,55
196,2,2:51.0,,Defensive rebound by D. Smith,52,55
197,2,2:44.0,,H. Barnes makes 3-pt jump shot from 22 ft (assist by D. Smith),52,58
198,2,2:24.0,S. Gilgeous-Alexander misses 3-pt jump shot from 26 ft,,52,58
199,2,2:21.0,,Defensive rebound by D. Finney-Smith,52,58
200,2,2:15.0,,W. Matthews makes 2-pt layup from 2 ft (assist by D. Finney-Smith),52,60
201,2,1:54.0,D. Gallinari misses 2-pt layup from 4 ft,,52,60
202,2,1:52.0,,Defensive rebound by D. Jordan,52,60
203,2,1:45.0,,W. Matthews misses 3-pt jump shot from 27 ft,52,60
204,2,1:42.0,Defensive rebound by S. Gilgeous-Alexander,,52,60
205,2,1:38.0,D. Gallinari misses 2-pt jump shot from 11 ft,,52,60
206,2,1:38.0,Offensive rebound by M. Harrell,,52,60
207,2,1:33.0,M. Harrell misses 2-pt layup at rim,,52,60
208,2,1:31.0,Offensive rebound by M. Harrell,,52,60
209,2,1:31.0,M. Harrell makes 2-pt layup at rim,,54,60
210,2,1:17.0,,H. Barnes misses 3-pt jump shot from 25 ft,54,60
211,2,1:15.0,,Offensive rebound by W. Matthews,54,60
212,2,1:12.0,,H. Barnes misses 2-pt hook shot from 6 ft,54,60
213,2,1:09.0,,Offensive rebound by H. Barnes,54,60
214,2,1:06.0,,Turnover by H. Barnes (bad pass; steal by D. Gallinari),54,60
215,2,1:05.0,Personal foul by W. Matthews (drawn by D. Gallinari),,54,60
216,2,1:05.0,D. Gallinari makes free throw 1 of 2,,55,60
217,2,1:05.0,B. Marjanović enters the game for M. Harrell,,55,60
218,2,1:05.0,,J. Barea enters the game for W. Matthews,55,60
219,2,1:05.0,D. Gallinari makes free throw 2 of 2,,56,60
220,2,1:00.0,,Turnover by D. Smith (bad pass; steal by B. Marjanović),56,60
