,QUARTER,TIME_REMAINING,SAN ANTONIO_ACTION,DETROIT_ACTION,SAN ANTONIO_SCORE,DETROIT_SCORE
0,1,11:47.0,,B. Griffin misses 2-pt layup from 7 ft (block by L. Aldridge),0,0
1,1,11:45.0,Defensive rebound by B. Forbes,,0,0
2,1,11:24.0,L. Aldridge misses 2-pt jump shot from 15 ft,,0,0
3,1,11:23.0,,Defensive rebound by A. Drummond,0,0
4,1,11:06.0,,B. Brown misses 2-pt jump shot from 5 ft (block by J. Poeltl),0,0
5,1,11:03.0,,Offensive rebound by A. Drummond,0,0
6,1,10:57.0,,R. Jackson makes 3-pt jump shot from 27 ft (assist by A. Drummond),0,3
7,1,10:48.0,D. DeRozan misses 2-pt jump shot from 18 ft,,0,3
8,1,10:48.0,,Defensive rebound by B. Griffin,0,3
9,1,10:39.0,,B. Griffin makes 2-pt jump shot from 8 ft,0,5
10,1,10:39.0,,Shooting foul by L. Aldridge (drawn by B. Griffin),0,5
11,1,10:39.0,,B. Griffin makes free throw 1 of 1,0,6
12,1,10:13.0,B. Forbes misses 2-pt jump shot from 19 ft,,0,6
13,1,10:11.0,,Defensive rebound by R. Bullock,0,6
14,1,10:02.0,,R. Bullock misses 3-pt jump shot from 26 ft,0,6
15,1,9:58.0,Defensive rebound by L. Aldridge,,0,6
16,1,9:43.0,L. Aldridge makes 2-pt layup from 2 ft (assist by D. DeRozan),,2,6
17,1,9:18.0,,R. Jackson misses 3-pt jump shot from 26 ft,2,6
18,1,9:15.0,Defensive rebound by D. White,,2,6
19,1,9:11.0,D. DeRozan makes 2-pt jump shot from 13 ft,,4,6
20,1,9:11.0,Shooting foul by B. Brown (drawn by D. DeRozan),,4,6
21,1,9:11.0,D. DeRozan makes free throw 1 of 1,,5,6
22,1,8:59.0,,B. Brown makes 2-pt layup from 1 ft (assist by R. Bullock),5,8
23,1,8:40.0,Turnover by L. Aldridge (traveling),,5,8
24,1,8:28.0,,B. Brown misses 2-pt layup from 5 ft,5,8
25,1,8:26.0,Defensive rebound by L. Aldridge,,5,8
26,1,8:18.0,D. White misses 3-pt jump shot from 24 ft,,5,8
27,1,8:14.0,Offensive rebound by J. Poeltl,,5,8
28,1,8:11.0,D. DeRozan makes 2-pt jump shot from 10 ft (assist by J. Poeltl),,7,8
29,1,7:57.0,,B. Griffin makes 3-pt jump shot from 25 ft (assist by B. Brown),7,11
30,1,7:43.0,D. DeRozan misses 2-pt jump shot from 16 ft,,7,11
31,1,7:39.0,Offensive rebound by J. Poeltl,,7,11
32,1,7:36.0,B. Forbes misses 3-pt jump shot from 26 ft,,7,11
33,1,7:32.0,,Defensive rebound by R. Bullock,7,11
34,1,7:26.0,,B. Brown misses 3-pt jump shot from 24 ft,7,11
35,1,7:24.0,Defensive rebound by Team,,7,11
36,1,7:04.0,L. Aldridge makes 2-pt jump shot from 15 ft,,9,11
37,1,6:49.0,,R. Bullock makes 3-pt jump shot from 25 ft (assist by B. Griffin),9,14
38,1,6:37.0,L. Aldridge misses 2-pt jump shot from 18 ft,,9,14
39,1,6:32.0,,Defensive rebound by B. Brown,9,14
40,1,6:20.0,,B. Griffin makes 3-pt jump shot from 24 ft,9,17
41,1,6:19.0,San Antonio full timeout,,9,17
42,1,6:19.0,P. Mills enters the game for D. White,,9,17
43,1,6:08.0,Turnover by J. Poeltl (bad pass; steal by A. Drummond),,9,17
44,1,6:05.0,,A. Drummond makes 2-pt dunk from 1 ft,9,19
45,1,6:05.0,San Antonio full timeout,,9,19
46,1,6:05.0,M. Belinelli enters the game for L. Aldridge,,9,19
47,1,6:05.0,D. Bertāns enters the game for D. DeRozan,,9,19
48,1,6:05.0,P. Gasol enters the game for B. Forbes,,9,19
49,1,6:05.0,D. White enters the game for J. Poeltl,,9,19
50,1,5:50.0,D. Bertāns misses 3-pt jump shot from 26 ft,,9,19
51,1,5:46.0,,Defensive rebound by A. Drummond,9,19
52,1,5:27.0,,B. Griffin misses 2-pt layup at rim,9,19
53,1,5:25.0,Defensive rebound by P. Gasol,,9,19
54,1,5:06.0,P. Gasol misses 2-pt jump shot from 11 ft,,9,19
55,1,5:04.0,,Defensive rebound by A. Drummond,9,19
56,1,4:55.0,,R. Jackson makes 2-pt jump shot from 12 ft,9,21
57,1,4:43.0,D. White misses 2-pt jump shot from 6 ft,,9,21
58,1,4:39.0,,Defensive rebound by A. Drummond,9,21
59,1,4:35.0,,R. Jackson misses 3-pt jump shot from 26 ft,9,21
60,1,4:31.0,Defensive rebound by P. Mills,,9,21
61,1,4:21.0,D. White makes 2-pt layup from 1 ft (assist by P. Gasol),,11,21
62,1,3:55.0,,A. Drummond misses 2-pt layup at rim (block by P. Gasol),11,21
63,1,3:53.0,Defensive rebound by P. Gasol,,11,21
64,1,3:46.0,Shooting foul by R. Jackson (drawn by M. Belinelli),,11,21
65,1,3:46.0,M. Belinelli makes free throw 1 of 2,,12,21
66,1,3:46.0,M. Belinelli makes free throw 2 of 2,,13,21
67,1,3:46.0,,Detroit full timeout,13,21
68,1,3:46.0,,J. Calderón enters the game for R. Jackson,13,21
69,1,3:27.0,,Turnover by B. Griffin (bad pass; steal by M. Belinelli),13,21
70,1,3:16.0,P. Mills makes 3-pt jump shot from 27 ft (assist by D. Bertāns),,16,21
71,1,2:57.0,,B. Griffin misses 3-pt jump shot from 25 ft,16,21
72,1,2:55.0,,Offensive rebound by J. Calderón,16,21
73,1,2:43.0,,R. Bullock misses 3-pt jump shot from 26 ft,16,21
74,1,2:38.0,,Offensive rebound by A. Drummond,16,21
75,1,2:38.0,,A. Drummond makes 2-pt layup at rim,16,23
76,1,2:23.0,P. Gasol makes 2-pt jump shot from 13 ft (assist by D. White),,18,23
77,1,2:11.0,,R. Bullock makes 2-pt jump shot from 20 ft (assist by B. Griffin),18,25
78,1,1:58.0,M. Belinelli makes 2-pt jump shot from 21 ft (assist by D. Bertāns),,20,25
79,1,1:38.0,,B. Griffin makes 2-pt layup from 2 ft (assist by J. Calderón),20,27
80,1,1:28.0,D. White makes 2-pt layup from 2 ft,,22,27
81,1,1:27.0,Violation by Team (delay of game),,22,27
82,1,1:11.0,,B. Griffin makes 2-pt dunk from 1 ft,22,29
83,1,1:02.0,P. Mills misses 2-pt layup from 2 ft,,22,29
84,1,0:59.0,,Defensive rebound by A. Drummond,22,29
85,1,0:53.0,,B. Brown makes 2-pt layup from 1 ft,22,31
86,1,0:41.0,Shooting foul by B. Brown (drawn by P. Mills),,22,31
87,1,0:41.0,P. Mills makes free throw 1 of 3,,23,31
88,1,0:41.0,P. Mills makes free throw 2 of 3,,24,31
89,1,0:41.0,L. Aldridge enters the game for D. Bertāns,,24,31
90,1,0:41.0,D. DeRozan enters the game for P. Gasol,,24,31
91,1,0:41.0,B. Forbes enters the game for D. White,,24,31
92,1,0:41.0,,S. Johnson enters the game for B. Brown,24,31
93,1,0:41.0,,L. Kennard enters the game for B. Griffin,24,31
94,1,0:41.0,P. Mills makes free throw 3 of 3,,25,31
95,1,0:29.0,,J. Calderón misses 3-pt jump shot from 26 ft,25,31
96,1,0:26.0,Defensive rebound by M. Belinelli,,25,31
97,1,0:06.0,D. DeRozan misses 2-pt jump shot from 11 ft,,25,31
98,1,0:03.0,,Defensive rebound by S. Johnson,25,31
99,1,0:01.0,,Personal foul by D. DeRozan (drawn by S. Johnson),25,31
100,2,11:46.0,B. Forbes makes 2-pt jump shot from 12 ft (assist by P. Mills),,27,31
101,2,11:31.0,,Turnover by A. Drummond (traveling),27,31
102,2,11:20.0,Personal foul by L. Kennard (drawn by D. DeRozan),,27,31
103,2,11:10.0,P. Mills misses 3-pt jump shot from 27 ft,,27,31
104,2,11:06.0,,Defensive rebound by A. Drummond,27,31
105,2,11:00.0,,S. Johnson misses 3-pt jump shot from 23 ft,27,31
106,2,10:57.0,Defensive rebound by P. Mills,,27,31
107,2,10:51.0,M. Belinelli makes 3-pt jump shot from 25 ft (assist by P. Mills),,30,31
108,2,10:50.0,,Detroit full timeout,30,31
109,2,10:26.0,,S. Johnson misses 3-pt jump shot from 24 ft,30,31
110,2,10:23.0,Defensive rebound by D. DeRozan,,30,31
111,2,10:17.0,D. DeRozan makes 2-pt jump shot from 20 ft,,32,31
112,2,9:58.0,,L. Kennard misses 2-pt jump shot from 15 ft,32,31
113,2,9:55.0,Defensive rebound by D. DeRozan,,32,31
114,2,9:48.0,D. DeRozan makes 2-pt jump shot from 12 ft,,34,31
115,2,9:27.0,,A. Drummond misses 2-pt hook shot from 8 ft,34,31
116,2,9:27.0,,Offensive rebound by L. Galloway,34,31
117,2,9:23.0,,A. Drummond misses 2-pt jump shot from 8 ft (block by D. DeRozan),34,31
118,2,9:23.0,Defensive rebound by P. Mills,,34,31
119,2,9:17.0,D. DeRozan misses 2-pt layup from 3 ft (block by S. Johnson),,34,31
