,QUARTER,TIME_REMAINING,MIAMI_ACTION,MILWAUKEE_ACTION,MIAMI_SCORE,MILWAUKEE_SCORE
0,1,11:47.0,,G. Antetokounmpo makes 2-pt hook shot from 4 ft (assist by K. Middleton),0,2
1,1,11:47.0,,Shooting foul by K. Olynyk (drawn by G. Antetokounmpo),0,2
2,1,11:47.0,,G. Antetokounmpo makes free throw 1 of 1,0,3
3,1,11:28.0,Turnover by K. Olynyk (lost ball; steal by T. Snell),,0,3
4,1,11:19.0,,K. Middleton misses 3-pt jump shot from 29 ft,0,3
5,1,11:16.0,Defensive rebound by K. Olynyk,,0,3
6,1,11:15.0,Turnover by D. Waiters (bad pass),,0,3
7,1,11:03.0,,Turnover by E. Bledsoe (bad pass),0,3
8,1,10:51.0,B. Adebayo makes 2-pt jump shot from 16 ft,,2,3
9,1,10:34.0,,Turnover by B. Lopez (lost ball),2,3
10,1,10:34.0,,Loose ball foul by B. Lopez (drawn by B. Adebayo),2,3
11,1,10:15.0,D. Waiters makes 3-pt jump shot from 27 ft (assist by D. Jones),,5,3
12,1,10:04.0,,G. Antetokounmpo makes 2-pt layup from 3 ft (assist by K. Middleton),5,5
13,1,9:45.0,D. Jones makes 3-pt jump shot from 27 ft (assist by J. Richardson),,8,5
14,1,9:36.0,,G. Antetokounmpo makes 2-pt dunk from 1 ft (assist by K. Middleton),8,7
15,1,9:24.0,B. Adebayo makes 2-pt jump shot from 15 ft,,10,7
16,1,9:10.0,,Personal foul by B. Adebayo (drawn by G. Antetokounmpo),10,7
17,1,9:01.0,,G. Antetokounmpo makes 2-pt hook shot from 5 ft (assist by B. Lopez),10,9
18,1,8:48.0,K. Olynyk misses 3-pt jump shot from 25 ft,,10,9
19,1,8:45.0,,Defensive rebound by G. Antetokounmpo,10,9
20,1,8:35.0,,G. Antetokounmpo makes 2-pt layup from 1 ft,10,11
21,1,8:09.0,B. Adebayo misses 2-pt jump shot from 17 ft,,10,11
22,1,8:05.0,Offensive rebound by D. Jones,,10,11
23,1,8:04.0,D. Jones makes 2-pt layup from 1 ft,,12,11
24,1,7:45.0,,B. Lopez misses 2-pt jump shot from 12 ft,12,11
25,1,7:38.0,,Offensive rebound by K. Middleton,12,11
26,1,7:37.0,,K. Middleton makes 2-pt layup from 1 ft,12,13
27,1,7:28.0,D. Jones misses 3-pt jump shot from 23 ft,,12,13
28,1,7:25.0,,Defensive rebound by B. Lopez,12,13
29,1,7:20.0,,Milwaukee full timeout,12,13
30,1,7:20.0,,P. Connaughton enters the game for T. Snell,12,13
31,1,7:11.0,,B. Lopez misses 3-pt jump shot from 26 ft,12,13
32,1,7:08.0,Defensive rebound by B. Adebayo,,12,13
33,1,6:55.0,D. Jones misses 3-pt jump shot from 26 ft,,12,13
34,1,6:52.0,Offensive rebound by D. Jones,,12,13
35,1,6:43.0,K. Olynyk makes 3-pt jump shot from 24 ft (assist by B. Adebayo),,15,13
36,1,6:28.0,,P. Connaughton misses 2-pt jump shot from 9 ft,15,13
37,1,6:25.0,Defensive rebound by B. Adebayo,,15,13
38,1,6:20.0,J. Richardson misses 3-pt jump shot from 28 ft,,15,13
39,1,6:18.0,,Defensive rebound by K. Middleton,15,13
40,1,6:12.0,,K. Middleton makes 3-pt jump shot from 28 ft,15,16
41,1,5:48.0,K. Olynyk makes 3-pt jump shot from 27 ft,,18,16
42,1,5:30.0,,E. Bledsoe misses 3-pt jump shot from 28 ft,18,16
43,1,5:27.0,Defensive rebound by B. Adebayo,,18,16
44,1,5:18.0,J. Richardson misses 2-pt hook shot from 6 ft,,18,16
45,1,5:18.0,,Defensive rebound by G. Antetokounmpo,18,16
46,1,5:09.0,,Turnover by P. Connaughton (bad pass; steal by D. Waiters),18,16
47,1,5:01.0,J. Richardson makes 3-pt jump shot from 26 ft,,21,16
48,1,4:48.0,,B. Lopez makes 3-pt jump shot from 28 ft (assist by P. Connaughton),21,19
49,1,4:41.0,Miami full timeout,,21,19
50,1,4:41.0,J. Johnson enters the game for B. Adebayo,,21,19
51,1,4:41.0,D. Wade enters the game for J. Richardson,,21,19
52,1,4:41.0,,G. Hill enters the game for G. Antetokounmpo,21,19
53,1,4:41.0,,D. Wilson enters the game for E. Bledsoe,21,19
54,1,4:29.0,D. Waiters misses 2-pt layup from 11 ft (block by B. Lopez),,21,19
55,1,4:24.0,,Defensive rebound by P. Connaughton,21,19
56,1,4:08.0,,K. Middleton makes 3-pt jump shot from 27 ft (assist by P. Connaughton),21,22
57,1,3:44.0,D. Wade makes 3-pt jump shot from 25 ft (assist by D. Jones),,24,22
58,1,3:35.0,,Shooting foul by D. Wade (drawn by D. Wilson),24,22
59,1,3:35.0,,D. Wilson makes free throw 1 of 2,24,23
60,1,3:35.0,G. Dragić enters the game for D. Waiters,,24,23
61,1,3:35.0,,E. İlyasova enters the game for B. Lopez,24,23
62,1,3:35.0,,D. Wilson misses free throw 2 of 2,24,23
63,1,3:32.0,Defensive rebound by K. Olynyk,,24,23
64,1,3:24.0,D. Jones makes 2-pt layup from 3 ft (assist by G. Dragić),,26,23
65,1,3:24.0,Shooting foul by P. Connaughton (drawn by D. Jones),,26,23
66,1,3:24.0,D. Jones makes free throw 1 of 1,,27,23
67,1,3:07.0,Violation by Team (kicked ball),,27,23
68,1,2:59.0,,K. Middleton misses 2-pt jump shot from 13 ft,27,23
69,1,2:56.0,,Offensive rebound by G. Hill,27,23
70,1,2:52.0,,G. Hill makes 3-pt jump shot from 25 ft (assist by K. Middleton),27,26
71,1,2:41.0,J. Johnson makes 2-pt jump shot from 17 ft (assist by G. Dragić),,29,26
72,1,2:13.0,,K. Middleton makes 2-pt jump shot from 19 ft,29,28
73,1,2:00.0,Shooting foul by D. Wilson (drawn by J. Johnson),,29,28
74,1,2:00.0,J. Johnson makes free throw 1 of 2,,30,28
75,1,2:00.0,J. Richardson enters the game for D. Jones,,30,28
76,1,2:00.0,H. Whiteside enters the game for K. Olynyk,,30,28
77,1,2:00.0,,S. Brown enters the game for K. Middleton,30,28
78,1,2:00.0,J. Johnson misses free throw 2 of 2,,30,28
79,1,1:53.0,,Defensive rebound by E. İlyasova,30,28
80,1,1:44.0,,P. Connaughton misses 2-pt layup from 3 ft (block by H. Whiteside),30,28
81,1,1:44.0,,Offensive rebound by Team,30,28
82,1,1:32.0,,G. Hill misses 2-pt layup from 4 ft (block by H. Whiteside),30,28
83,1,1:32.0,,Offensive rebound by Team,30,28
84,1,1:32.0,,Turnover by Team (shot clock),30,28
85,1,1:12.0,J. Johnson misses 3-pt jump shot from 25 ft,,30,28
86,1,1:06.0,Offensive rebound by H. Whiteside,,30,28
87,1,1:06.0,H. Whiteside makes 2-pt layup from 1 ft,,32,28
88,1,0:56.0,,S. Brown misses 2-pt layup from 2 ft,32,28
89,1,0:53.0,Defensive rebound by H. Whiteside,,32,28
90,1,0:49.0,G. Dragić misses 2-pt jump shot from 14 ft,,32,28
91,1,0:47.0,Offensive rebound by Team,,32,28
92,1,0:47.0,,G. Antetokounmpo enters the game for P. Connaughton,32,28
93,1,0:47.0,,T. Snell enters the game for D. Wilson,32,28
94,1,0:40.0,D. Wade misses 3-pt jump shot from 25 ft,,32,28
95,1,0:36.0,,Defensive rebound by G. Antetokounmpo,32,28
96,1,0:34.0,,S. Brown makes 2-pt layup from 3 ft (assist by G. Antetokounmpo),32,30
97,1,0:22.0,G. Dragić misses 3-pt jump shot from 26 ft,,32,30
98,1,0:19.0,,Defensive rebound by T. Snell,32,30
99,1,0:01.0,,E. İlyasova makes 3-pt jump shot from 27 ft (assist by G. Antetokounmpo),32,33
100,1,0:00.0,J. Johnson misses 3-pt jump shot from 55 ft,,32,33
101,1,0:00.0,Offensive rebound by Team,,32,33
102,2,11:36.0,J. Johnson misses 3-pt jump shot from 26 ft,,32,33
103,2,11:36.0,Offensive rebound by Team,,32,33
104,2,11:36.0,Turnover by Team (shot clock),,32,33
105,2,11:16.0,,E. Bledsoe makes 2-pt jump shot from 17 ft,32,35
106,2,11:02.0,H. Whiteside makes 2-pt dunk from 2 ft,,34,35
107,2,10:51.0,,G. Antetokounmpo misses 3-pt jump shot from 26 ft,34,35
108,2,10:51.0,Defensive rebound by Team,,34,35
109,2,10:35.0,D. Wade misses 2-pt jump shot from 13 ft,,34,35
110,2,10:31.0,,Defensive rebound by T. Snell,34,35
111,2,10:25.0,,E. Bledsoe makes 3-pt jump shot from 28 ft (assist by G. Antetokounmpo),34,38
112,2,10:03.0,D. Wade makes 2-pt dunk from 1 ft (assist by J. Johnson),,36,38
113,2,9:52.0,,S. Brown misses 3-pt jump shot from 24 ft,36,38
114,2,9:48.0,Defensive rebound by G. Dragić,,36,38
115,2,9:43.0,G. Dragić misses 2-pt layup from 1 ft (block by T. Snell),,36,38
116,2,9:43.0,Offensive rebound by Team,,36,38
117,2,9:43.0,,P. Connaughton enters the game for S. Brown,36,38
118,2,9:35.0,H. Whiteside misses 2-pt layup from 6 ft (block by G. Antetokounmpo),,36,38
119,2,9:34.0,,Defensive rebound by P. Connaughton,36,38
120,2,9:21.0,,G. Antetokounmpo makes 2-pt hook shot from 5 ft,36,40
121,2,9:08.0,D. Wade makes 2-pt jump shot from 3 ft (assist by G. Dragić),,38,40
122,2,8:57.0,,G. Antetokounmpo makes 2-pt dunk from 1 ft (assist by T. Snell),38,42
123,2,8:36.0,Turnover by G. Dragić (bad pass; steal by G. Antetokounmpo),,38,42
124,2,8:33.0,,Milwaukee full timeout,38,42
125,2,8:33.0,,B. Lopez enters the game for E. İlyasova,38,42
126,2,8:21.0,,Personal foul by H. Whiteside (drawn by G. Antetokounmpo),38,42
127,2,8:09.0,,E. Bledsoe misses 2-pt layup from 3 ft,38,42
128,2,8:06.0,,Offensive rebound by G. Antetokounmpo,38,42
129,2,8:06.0,,G. Antetokounmpo makes 2-pt layup at rim,38,44
130,2,7:55.0,D. Wade misses 2-pt layup from 5 ft,,38,44
131,2,7:52.0,,Defensive rebound by P. Connaughton,38,44
132,2,7:42.0,,G. Antetokounmpo misses 2-pt layup from 3 ft (block by H. Whiteside),38,44
133,2,7:39.0,Defensive rebound by G. Dragić,,38,44
134,2,7:36.0,G. Dragić misses 2-pt jump shot from 21 ft,,38,44
135,2,7:33.0,,Defensive rebound by G. Antetokounmpo,38,44
136,2,7:22.0,,G. Antetokounmpo makes 3-pt jump shot from 26 ft (assist by T. Snell),38,47
137,2,7:14.0,Miami full timeout,,38,47
138,2,7:14.0,D. Waiters enters the game for J. Richardson,,38,47
139,2,7:14.0,,E. İlyasova enters the game for G. Antetokounmpo,38,47
140,2,6:59.0,G. Dragić misses 3-pt jump shot from 23 ft,,38,47
141,2,6:56.0,,Defensive rebound by P. Connaughton,38,47
142,2,6:44.0,,T. Snell makes 2-pt jump shot from 15 ft (assist by B. Lopez),38,49
143,2,6:26.0,D. Waiters makes 3-pt jump shot from 28 ft (assist by J. Johnson),,41,49
144,2,6:14.0,,B. Lopez misses 3-pt jump shot from 27 ft,41,49
145,2,6:14.0,Defensive rebound by D. Wade,,41,49
146,2,6:06.0,D. Wade makes 2-pt jump shot from 11 ft,,43,49
147,2,5:54.0,,Shooting foul by H. Whiteside (drawn by T. Snell),43,49
148,2,5:54.0,,T. Snell makes free throw 1 of 2,43,50
149,2,5:54.0,D. Jones enters the game for D. Wade,,43,50
150,2,5:54.0,K. Olynyk enters the game for H. Whiteside,,43,50
151,2,5:54.0,,G. Hill enters the game for E. Bledsoe,43,50
152,2,5:54.0,,K. Middleton enters the game for P. Connaughton,43,50
153,2,5:54.0,,T. Snell makes free throw 2 of 2,43,51
154,2,5:48.0,K. Olynyk misses 3-pt jump shot from 28 ft,,43,51
155,2,5:48.0,,Defensive rebound by K. Middleton,43,51
156,2,5:33.0,,Turnover by T. Snell (lost ball; steal by D. Jones),43,51
157,2,5:32.0,Shooting foul by T. Snell (drawn by D. Jones),,43,51
158,2,5:32.0,D. Jones misses free throw 1 of 2,,43,51
159,2,5:32.0,Offensive rebound by Team,,43,51
160,2,5:32.0,,P. Connaughton enters the game for T. Snell,43,51
161,2,5:32.0,D. Jones misses free throw 2 of 2,,43,51
162,2,5:29.0,,Defensive rebound by K. Middleton,43,51
163,2,5:19.0,,P. Connaughton makes 3-pt jump shot from 29 ft (assist by K. Middleton),43,54
164,2,5:06.0,Turnover by G. Dragić (bad pass),,43,54
165,2,4:46.0,,G. Hill misses 3-pt jump shot from 26 ft,43,54
166,2,4:43.0,Defensive rebound by G. Dragić,,43,54
167,2,4:34.0,D. Waiters misses 2-pt jump shot from 17 ft,,43,54
168,2,4:30.0,,Defensive rebound by P. Connaughton,43,54
169,2,4:21.0,,K. Middleton misses 2-pt layup from 1 ft,43,54
170,2,4:21.0,,Offensive rebound by Team,43,54
171,2,4:21.0,Loose ball foul by D. Jones (drawn by G. Hill),,43,54
172,2,4:17.0,,Personal foul by K. Olynyk (drawn by G. Hill),43,54
173,2,4:17.0,J. Richardson enters the game for D. Jones,,43,54
174,2,4:04.0,,G. Hill makes 2-pt layup from 1 ft,43,56
175,2,4:00.0,Miami full timeout,,43,56
176,2,4:00.0,B. Adebayo enters the game for J. Johnson,,43,56
177,2,3:43.0,Personal foul by B. Lopez (drawn by K. Olynyk),,43,56
178,2,3:28.0,K. Olynyk misses 3-pt jump shot from 28 ft,,43,56
179,2,3:28.0,Offensive rebound by Team,,43,56
180,2,3:28.0,Turnover by Team (shot clock),,43,56
181,2,3:15.0,,E. İlyasova misses 2-pt layup from 3 ft (block by D. Waiters),43,56
182,2,3:15.0,Defensive rebound by B. Adebayo,,43,56
183,2,3:10.0,Personal foul by P. Connaughton (drawn by B. Adebayo),,43,56
184,2,3:10.0,D. Wade enters the game for G. Dragić,,43,56
185,2,3:10.0,,G. Antetokounmpo enters the game for B. Lopez,43,56
186,2,3:00.0,D. Wade misses 2-pt jump shot from 12 ft,,43,56
187,2,2:58.0,Offensive rebound by B. Adebayo,,43,56
188,2,2:46.0,Turnover by Team (shot clock),,43,56
189,2,2:46.0,,B. Lopez enters the game for E. İlyasova,43,56
190,2,2:34.0,,K. Middleton makes 2-pt jump shot from 11 ft (assist by G. Hill),43,58
191,2,2:20.0,Personal foul by G. Hill (drawn by J. Richardson),,43,58
192,2,2:17.0,Personal foul by G. Hill (drawn by B. Adebayo),,43,58
193,2,2:17.0,B. Adebayo misses free throw 1 of 2,,43,58
194,2,2:17.0,Offensive rebound by Team,,43,58
195,2,2:17.0,B. Adebayo makes free throw 2 of 2,,44,58
196,2,1:56.0,,Offensive foul by G. Antetokounmpo (drawn by D. Waiters),44,58
197,2,1:56.0,,Turnover by G. Antetokounmpo (offensive foul),44,58
198,2,1:56.0,,E. Bledsoe enters the game for G. Hill,44,58
199,2,1:41.0,B. Adebayo makes 2-pt dunk from 2 ft (assist by J. Richardson),,46,58
200,2,1:14.0,,P. Connaughton makes 3-pt jump shot from 26 ft (assist by G. Antetokounmpo),46,61
201,2,1:02.0,D. Waiters misses 3-pt jump shot from 24 ft,,46,61
202,2,1:02.0,,Defensive rebound by P. Connaughton,46,61
203,2,0:53.0,,Turnover by G. Antetokounmpo (lost ball; steal by D. Wade),46,61
204,2,0:46.0,K. Olynyk makes 3-pt jump shot from 24 ft (assist by J. Richardson),,49,61
205,2,0:36.0,,Personal foul by J. Richardson (drawn by E. Bledsoe),49,61
206,2,0:36.0,,E. Bledsoe makes free throw 1 of 2,49,62
207,2,0:36.0,J. Johnson enters the game for B. Adebayo,,49,62
208,2,0:36.0,,E. İlyasova enters the game for P. Connaughton,49,62
209,2,0:36.0,,T. Snell enters the game for B. Lopez,49,62
210,2,0:36.0,,E. Bledsoe makes free throw 2 of 2,49,63
211,2,0:19.0,D. Wade misses 2-pt jump shot from 8 ft,,49,63
212,2,0:17.0,,Defensive rebound by G. Antetokounmpo,49,63
213,2,0:02.0,,E. Bledsoe misses 3-pt jump shot from 27 ft,49,63
214,2,0:00.0,Defensive rebound by K. Olynyk,,49,63
215,2,0:00.0,Personal foul by T. Snell (drawn by K. Olynyk),,49,63
216,2,0:00.0,K. Olynyk makes free throw 1 of 2,,50,63
217,2,0:00.0,K. Olynyk makes free throw 2 of 2,,51,63
218,3,11:36.0,Turnover by Team (shot clock),,51,63
219,3,11:15.0,,G. Antetokounmpo misses 3-pt jump shot from 28 ft,51,63
220,3,11:12.0,Defensive rebound by J. Richardson,,51,63
221,3,11:06.0,Personal foul by K. Middleton (drawn by B. Adebayo),,51,63
222,3,10:59.0,Shooting foul by T. Snell (drawn by K. Olynyk),,51,63
223,3,10:59.0,K. Olynyk makes free throw 1 of 2,,52,63
224,3,10:59.0,K. Olynyk makes free throw 2 of 2,,53,63
225,3,10:40.0,,K. Middleton misses 3-pt jump shot from 26 ft,53,63
226,3,10:37.0,Defensive rebound by B. Adebayo,,53,63
227,3,10:30.0,J. Richardson makes 3-pt jump shot from 26 ft (assist by B. Adebayo),,56,63
228,3,10:14.0,,E. Bledsoe makes 2-pt jump shot from 11 ft (assist by G. Antetokounmpo),56,65
229,3,10:01.0,Turnover by D. Waiters (bad pass; steal by K. Middleton),,56,65
230,3,9:53.0,,T. Snell makes 3-pt jump shot from 27 ft (assist by K. Middleton),56,68
231,3,9:35.0,B. Adebayo misses 2-pt jump shot from 5 ft,,56,68
232,3,9:30.0,,Defensive rebound by B. Lopez,56,68
233,3,9:28.0,,G. Antetokounmpo makes 2-pt layup from 2 ft (assist by K. Middleton),56,70
234,3,9:28.0,,Shooting foul by D. Jones (drawn by G. Antetokounmpo),56,70
235,3,9:28.0,,Technical foul by G. Antetokounmpo,56,70
236,3,9:28.0,Technical foul by K. Olynyk,,56,70
237,3,9:28.0,,G. Antetokounmpo misses free throw 1 of 1,56,70
238,3,9:28.0,Defensive rebound by J. Richardson,,56,70
239,3,9:21.0,B. Adebayo makes 2-pt layup from 1 ft (assist by J. Richardson),,58,70
240,3,9:21.0,Shooting foul by G. Antetokounmpo (drawn by B. Adebayo),,58,70
