,QUARTER,TIME_REMAINING,DALLAS_ACTION,PHILADELPHIA_ACTION,DALLAS_SCORE,PHILADELPHIA_SCORE
0,1,11:43.0,,B. Simmons makes 2-pt jump shot from 5 ft,0,2
1,1,11:24.0,W. Matthews makes 2-pt jump shot from 14 ft,,2,2
2,1,11:12.0,,J. Bolden misses 3-pt jump shot from 26 ft,2,2
3,1,11:09.0,Defensive rebound by D. Jordan,,2,2
4,1,10:57.0,W. Matthews makes 2-pt jump shot from 10 ft,,4,2
5,1,10:56.0,,Philadelphia full timeout,4,2
6,1,10:44.0,,J. Embiid misses 2-pt jump shot from 14 ft,4,2
7,1,10:41.0,,Offensive rebound by B. Simmons,4,2
8,1,10:40.0,,B. Simmons makes 2-pt dunk from 1 ft,4,4
9,1,10:14.0,L. Dončić misses 3-pt jump shot from 29 ft,,4,4
10,1,10:11.0,,Defensive rebound by F. Korkmaz,4,4
11,1,10:04.0,,J. Redick makes 2-pt jump shot from 19 ft (assist by J. Embiid),4,6
12,1,9:50.0,D. Smith misses 2-pt jump shot from 18 ft,,4,6
13,1,9:48.0,,Defensive rebound by J. Embiid,4,6
14,1,9:43.0,,J. Bolden makes 2-pt dunk from 1 ft (assist by B. Simmons),4,8
15,1,9:22.0,D. Jordan makes 2-pt dunk from 1 ft (assist by D. Smith),,6,8
16,1,9:05.0,,F. Korkmaz misses 3-pt jump shot from 26 ft,6,8
17,1,9:02.0,Defensive rebound by H. Barnes,,6,8
18,1,8:55.0,H. Barnes misses 3-pt jump shot from 26 ft,,6,8
19,1,8:51.0,,Defensive rebound by J. Redick,6,8
20,1,8:45.0,,Shooting foul by D. Smith (drawn by J. Redick),6,8
21,1,8:45.0,,J. Redick makes free throw 1 of 2,6,9
22,1,8:45.0,,J. Redick makes free throw 2 of 2,6,10
23,1,8:37.0,Turnover by H. Barnes (bad pass; steal by J. Redick),,6,10
24,1,8:31.0,,J. Redick makes 2-pt layup from 2 ft,6,12
25,1,8:17.0,D. Smith misses 2-pt layup from 2 ft (block by J. Embiid),,6,12
26,1,8:15.0,,Defensive rebound by J. Redick,6,12
27,1,8:11.0,,J. Bolden makes 2-pt layup from 1 ft (assist by B. Simmons),6,14
28,1,8:11.0,Dallas full timeout,,6,14
29,1,8:01.0,Shooting foul by J. Embiid (drawn by L. Dončić),,6,14
30,1,8:01.0,L. Dončić makes free throw 1 of 2,,7,14
31,1,8:01.0,L. Dončić misses free throw 2 of 2,,7,14
32,1,7:59.0,,Defensive rebound by J. Bolden,7,14
33,1,7:48.0,,J. Redick makes 2-pt jump shot from 13 ft (assist by B. Simmons),7,16
34,1,7:48.0,,Shooting foul by L. Dončić (drawn by J. Redick),7,16
35,1,7:48.0,,J. Redick misses free throw 1 of 1,7,16
36,1,7:43.0,Defensive rebound by L. Dončić,,7,16
37,1,7:34.0,L. Dončić misses 2-pt jump shot from 10 ft,,7,16
38,1,7:32.0,Offensive rebound by W. Matthews,,7,16
39,1,7:30.0,Turnover by D. Jordan (out of bounds lost ball),,7,16
40,1,7:18.0,,J. Redick makes 2-pt layup from 2 ft (assist by B. Simmons),7,18
41,1,7:04.0,L. Dončić makes 2-pt dunk from 1 ft (assist by D. Jordan),,9,18
42,1,6:48.0,,J. Embiid makes 2-pt dunk from 2 ft (assist by B. Simmons),9,20
43,1,6:38.0,W. Matthews misses 3-pt jump shot from 26 ft,,9,20
44,1,6:34.0,,Defensive rebound by J. Embiid,9,20
45,1,6:28.0,,Turnover by B. Simmons (bad pass; steal by L. Dončić),9,20
46,1,6:19.0,W. Matthews makes 3-pt jump shot from 25 ft (assist by D. Smith),,12,20
47,1,5:57.0,,B. Simmons misses 2-pt hook shot from 11 ft,12,20
48,1,5:55.0,Defensive rebound by L. Dončić,,12,20
49,1,5:43.0,W. Matthews misses 3-pt jump shot from 25 ft,,12,20
50,1,5:40.0,,Defensive rebound by J. Embiid,12,20
51,1,5:37.0,,F. Korkmaz makes 2-pt dunk from 1 ft (assist by J. Embiid),12,22
52,1,5:27.0,H. Barnes misses 2-pt jump shot from 17 ft,,12,22
53,1,5:25.0,,Defensive rebound by B. Simmons,12,22
54,1,5:20.0,,J. Embiid misses 3-pt jump shot from 25 ft,12,22
55,1,5:17.0,Defensive rebound by L. Dončić,,12,22
56,1,5:17.0,Dallas full timeout,,12,22
57,1,5:17.0,D. Powell enters the game for D. Jordan,,12,22
58,1,5:17.0,,T. McConnell enters the game for J. Bolden,12,22
59,1,5:17.0,,S. Milton enters the game for J. Embiid,12,22
60,1,5:17.0,,M. Muscala enters the game for F. Korkmaz,12,22
61,1,5:17.0,,L. Shamet enters the game for J. Redick,12,22
62,1,5:01.0,Shooting foul by T. McConnell (drawn by H. Barnes),,12,22
63,1,5:01.0,H. Barnes misses free throw 1 of 2,,12,22
64,1,5:01.0,Offensive rebound by Team,,12,22
65,1,5:01.0,J. Brunson enters the game for W. Matthews,,12,22
66,1,5:01.0,D. Finney-Smith enters the game for D. Smith,,12,22
67,1,5:01.0,H. Barnes makes free throw 2 of 2,,13,22
68,1,4:49.0,,B. Simmons misses 2-pt hook shot from 8 ft,13,22
69,1,4:46.0,Defensive rebound by H. Barnes,,13,22
70,1,4:38.0,D. Powell makes 2-pt layup from 1 ft (assist by J. Brunson),,15,22
71,1,4:29.0,,S. Milton makes 3-pt jump shot from 26 ft (assist by M. Muscala),15,25
72,1,4:13.0,Shooting foul by L. Shamet (drawn by L. Dončić),,15,25
73,1,4:13.0,L. Dončić misses free throw 1 of 3,,15,25
74,1,4:13.0,Offensive rebound by Team,,15,25
75,1,4:13.0,L. Dončić makes free throw 2 of 3,,16,25
76,1,4:13.0,L. Dončić makes free throw 3 of 3,,17,25
77,1,4:03.0,,B. Simmons makes 2-pt layup from 2 ft (assist by L. Shamet),17,27
78,1,3:51.0,D. Powell makes 2-pt layup from 3 ft (assist by L. Dončić),,19,27
79,1,3:51.0,Shooting foul by M. Muscala (drawn by D. Powell),,19,27
80,1,3:51.0,D. Powell misses free throw 1 of 1,,19,27
81,1,3:49.0,,Defensive rebound by B. Simmons,19,27
82,1,3:37.0,,B. Simmons misses 2-pt layup from 1 ft,19,27
83,1,3:34.0,Defensive rebound by J. Brunson,,19,27
84,1,3:30.0,J. Brunson misses 2-pt layup from 5 ft,,19,27
85,1,3:28.0,Offensive rebound by D. Powell,,19,27
86,1,3:27.0,J. Brunson misses 3-pt jump shot from 25 ft,,19,27
87,1,3:22.0,,Defensive rebound by M. Muscala,19,27
88,1,3:15.0,,M. Muscala misses 3-pt jump shot from 25 ft,19,27
89,1,3:12.0,Defensive rebound by L. Dončić,,19,27
90,1,3:05.0,L. Dončić misses 2-pt layup from 2 ft,,19,27
91,1,3:00.0,Offensive rebound by D. Powell,,19,27
92,1,2:56.0,D. Finney-Smith misses 3-pt jump shot from 26 ft,,19,27
93,1,2:54.0,,Defensive rebound by L. Shamet,19,27
94,1,2:45.0,,Shooting foul by D. Finney-Smith (drawn by T. McConnell),19,27
95,1,2:45.0,,T. McConnell makes free throw 1 of 2,19,28
96,1,2:45.0,R. Broekhoff enters the game for H. Barnes,,19,28
