,QUARTER,TIME_REMAINING,MILWAUKEE_ACTION,OKLAHOMA CITY_ACTION,MILWAUKEE_SCORE,OKLAHOMA CITY_SCORE
0,1,11:46.0,E. Bledsoe misses 2-pt layup from 2 ft,,0,0
1,1,11:44.0,,Defensive rebound by R. Westbrook,0,0
2,1,11:40.0,,T. Ferguson misses 3-pt jump shot from 23 ft,0,0
3,1,11:37.0,Defensive rebound by G. Antetokounmpo,,0,0
4,1,11:28.0,B. Lopez makes 3-pt jump shot from 24 ft (assist by M. Brogdon),,3,0
5,1,11:09.0,,J. Grant misses 2-pt jump shot from 21 ft,3,0
6,1,11:06.0,Defensive rebound by E. Bledsoe,,3,0
7,1,10:51.0,E. Bledsoe misses 3-pt jump shot from 25 ft,,3,0
8,1,10:49.0,,Defensive rebound by R. Westbrook,3,0
9,1,10:34.0,,Turnover by S. Adams (lost ball; steal by K. Middleton),3,0
10,1,10:27.0,K. Middleton makes 3-pt jump shot from 23 ft (assist by M. Brogdon),,6,0
11,1,10:08.0,,P. George misses 3-pt jump shot from 25 ft,6,0
12,1,10:06.0,Defensive rebound by G. Antetokounmpo,,6,0
13,1,10:01.0,Turnover by G. Antetokounmpo (traveling),,6,0
14,1,9:51.0,,P. George misses 2-pt layup from 4 ft (block by B. Lopez),6,0
15,1,9:48.0,Defensive rebound by G. Antetokounmpo,,6,0
16,1,9:48.0,Shooting foul by J. Grant (drawn by G. Antetokounmpo),,6,0
17,1,9:48.0,G. Antetokounmpo makes free throw 1 of 2,,7,0
18,1,9:48.0,G. Antetokounmpo makes free throw 2 of 2,,8,0
19,1,9:32.0,,R. Westbrook misses 3-pt jump shot from 25 ft,8,0
20,1,9:27.0,,Offensive rebound by S. Adams,8,0
21,1,9:27.0,,S. Adams makes 2-pt layup from 1 ft,8,2
22,1,9:10.0,M. Brogdon misses 3-pt jump shot from 24 ft,,8,2
23,1,9:08.0,,Defensive rebound by S. Adams,8,2
24,1,9:03.0,,P. George makes 3-pt jump shot from 26 ft,8,5
25,1,8:55.0,Offensive foul by K. Middleton (drawn by P. George),,8,5
26,1,8:55.0,Turnover by K. Middleton (offensive foul),,8,5
27,1,8:39.0,,R. Westbrook misses 2-pt layup from 5 ft,8,5
28,1,8:37.0,,Offensive rebound by R. Westbrook,8,5
29,1,8:32.0,,R. Westbrook misses 2-pt jump shot from 16 ft,8,5
30,1,8:29.0,Defensive rebound by G. Antetokounmpo,,8,5
31,1,8:22.0,K. Middleton makes 2-pt jump shot from 15 ft,,10,5
32,1,8:09.0,,T. Ferguson makes 2-pt layup from 1 ft (assist by R. Westbrook),10,7
33,1,7:49.0,B. Lopez makes 3-pt jump shot from 26 ft,,13,7
34,1,7:30.0,,S. Adams misses 2-pt layup from 2 ft,13,7
35,1,7:29.0,,Offensive rebound by P. George,13,7
36,1,7:23.0,,Turnover by P. George (back court),13,7
37,1,7:23.0,S. Brown enters the game for M. Brogdon,,13,7
38,1,7:13.0,,Violation by Team (kicked ball),13,7
39,1,7:07.0,Turnover by E. Bledsoe (out of bounds lost ball),,13,7
40,1,6:55.0,,J. Grant makes 2-pt layup from 2 ft (assist by R. Westbrook),13,9
41,1,6:43.0,G. Antetokounmpo misses 3-pt jump shot from 25 ft,,13,9
42,1,6:41.0,,Defensive rebound by S. Adams,13,9
43,1,6:32.0,,P. George makes 3-pt jump shot from 23 ft,13,12
44,1,6:10.0,G. Antetokounmpo misses 2-pt layup from 7 ft (block by T. Ferguson),,13,12
45,1,6:09.0,Offensive rebound by G. Antetokounmpo,,13,12
46,1,6:08.0,G. Antetokounmpo misses 2-pt layup from 1 ft,,13,12
47,1,6:07.0,Offensive rebound by S. Brown,,13,12
48,1,6:07.0,S. Brown misses 2-pt layup from 2 ft,,13,12
49,1,6:04.0,,Defensive rebound by P. George,13,12
50,1,5:58.0,,Personal foul by K. Middleton (drawn by P. George),13,12
51,1,5:58.0,,Oklahoma City full timeout,13,12
