,QUARTER,TIME_REMAINING,MILWAUKEE_ACTION,MIAMI_ACTION,MILWAUKEE_SCORE,MIAMI_SCORE
0,1,11:44.0,B. Lopez misses 2-pt hook shot from 7 ft,,0,0
1,1,11:41.0,,Defensive rebound by J. Richardson,0,0
2,1,11:32.0,,J. Richardson makes 2-pt jump shot from 13 ft,0,2
3,1,11:17.0,Turnover by K. Middleton (bad pass; steal by D. Waiters),,0,2
4,1,11:14.0,,Turnover by D. Waiters (bad pass; steal by G. Antetokounmpo),0,2
5,1,11:10.0,G. Antetokounmpo makes 2-pt layup from 1 ft,,2,2
6,1,10:57.0,,K. Olynyk makes 3-pt jump shot from 23 ft (assist by J. Winslow),2,5
7,1,10:47.0,K. Middleton makes 2-pt jump shot from 8 ft (assist by M. Brogdon),,4,5
8,1,10:28.0,,J. Winslow makes 2-pt jump shot from 2 ft,4,7
9,1,10:17.0,G. Antetokounmpo misses 2-pt jump shot from 17 ft,,4,7
10,1,10:15.0,,Defensive rebound by J. Winslow,4,7
11,1,10:13.0,,Personal foul by E. Bledsoe (drawn by J. Richardson),4,7
12,1,10:00.0,,J. Winslow makes 3-pt jump shot from 24 ft (assist by K. Olynyk),4,10
13,1,9:51.0,M. Brogdon misses 3-pt jump shot from 26 ft,,4,10
14,1,9:46.0,,Defensive rebound by B. Adebayo,4,10
15,1,9:37.0,,J. Winslow misses 2-pt jump shot from 15 ft,4,10
16,1,9:35.0,Defensive rebound by B. Lopez,,4,10
17,1,9:23.0,G. Antetokounmpo makes 2-pt dunk from 2 ft (assist by K. Middleton),,6,10
18,1,9:12.0,,K. Olynyk misses 2-pt layup from 2 ft (block by B. Lopez),6,10
19,1,9:11.0,,Offensive rebound by Team,6,10
20,1,9:05.0,,D. Waiters makes 3-pt jump shot from 23 ft (assist by J. Winslow),6,13
21,1,9:00.0,Personal foul by J. Richardson (drawn by E. Bledsoe),,6,13
22,1,8:51.0,B. Lopez misses 2-pt jump shot from 15 ft,,6,13
