,QUARTER,TIME_REMAINING,CHARLOTTE_ACTION,NEW ORLEANS_ACTION,CHARLOTTE_SCORE,NEW ORLEANS_SCORE
0,1,11:43.0,M. Bridges makes 2-pt layup from 2 ft,,2,0
1,1,11:25.0,,E. Payton misses 2-pt jump shot from 6 ft,2,0
2,1,11:22.0,Defensive rebound by M. Kidd-Gilchrist,,2,0
3,1,11:17.0,M. Kidd-Gilchrist misses 2-pt layup from 2 ft (block by J. Okafor),,2,0
4,1,11:13.0,,Defensive rebound by E. Payton,2,0
5,1,11:09.0,,J. Randle makes 2-pt layup from 1 ft (assist by I. Clark),2,2
6,1,10:53.0,D. Bacon makes 3-pt jump shot from 23 ft (assist by M. Bridges),,5,2
7,1,10:41.0,,Turnover by E. Payton (bad pass; steal by B. Biyombo),5,2
8,1,10:35.0,M. Kidd-Gilchrist misses 3-pt jump shot from 25 ft,,5,2
9,1,10:31.0,,Defensive rebound by J. Randle,5,2
10,1,10:16.0,,J. Randle makes 2-pt jump shot from 15 ft (assist by E. Payton),5,4
11,1,9:59.0,D. Bacon misses 3-pt jump shot from 24 ft,,5,4
12,1,9:56.0,,Defensive rebound by J. Okafor,5,4
13,1,9:45.0,,J. Randle misses 2-pt layup from 3 ft,5,4
14,1,9:42.0,,Offensive rebound by K. Williams,5,4
15,1,9:41.0,,E. Payton misses 3-pt jump shot from 26 ft,5,4
16,1,9:38.0,,Offensive rebound by J. Okafor,5,4
17,1,9:32.0,,J. Okafor makes 2-pt hook shot from 5 ft,5,6
18,1,9:20.0,K. Walker makes 2-pt layup from 2 ft,,7,6
19,1,9:06.0,,K. Williams misses 3-pt jump shot from 23 ft,7,6
20,1,9:03.0,Defensive rebound by M. Kidd-Gilchrist,,7,6
21,1,8:56.0,M. Kidd-Gilchrist misses 2-pt layup from 2 ft (block by J. Okafor),,7,6
22,1,8:53.0,,Defensive rebound by J. Okafor,7,6
23,1,8:51.0,,I. Clark misses 3-pt jump shot from 25 ft,7,6
24,1,8:48.0,Defensive rebound by M. Bridges,,7,6
25,1,8:39.0,D. Bacon misses 2-pt layup from 2 ft,,7,6
26,1,8:39.0,Offensive rebound by Team,,7,6
27,1,8:39.0,,Loose ball foul by J. Okafor (drawn by B. Biyombo),7,6
28,1,8:32.0,K. Walker misses 2-pt jump shot from 19 ft,,7,6
29,1,8:29.0,,Defensive rebound by J. Okafor,7,6
30,1,8:07.0,,K. Williams makes 3-pt jump shot from 23 ft (assist by E. Payton),7,9
31,1,7:46.0,Turnover by K. Walker (bad pass; steal by I. Clark),,7,9
32,1,7:42.0,,I. Clark misses 2-pt layup from 2 ft (block by D. Bacon),7,9
33,1,7:38.0,,Offensive rebound by K. Williams,7,9
34,1,7:35.0,,Turnover by K. Williams (bad pass; steal by B. Biyombo),7,9
35,1,7:31.0,M. Kidd-Gilchrist makes 2-pt dunk at rim (assist by K. Walker),,9,9
36,1,7:19.0,,J. Okafor makes 2-pt dunk from 1 ft,9,11
37,1,7:18.0,Charlotte full timeout,,9,11
38,1,7:18.0,J. Lamb enters the game for D. Bacon,,9,11
39,1,7:01.0,Shooting foul by K. Williams (drawn by M. Bridges),,9,11
40,1,7:01.0,M. Bridges makes free throw 1 of 2,,10,11
41,1,7:01.0,M. Bridges makes free throw 2 of 2,,11,11
42,1,6:54.0,,Shooting foul by M. Kidd-Gilchrist (drawn by J. Randle),11,11
43,1,6:54.0,,J. Randle makes free throw 1 of 2,11,12
44,1,6:54.0,,J. Randle makes free throw 2 of 2,11,13
45,1,6:42.0,M. Bridges misses 2-pt layup from 2 ft,,11,13
46,1,6:40.0,Offensive rebound by M. Bridges,,11,13
47,1,6:38.0,Turnover by M. Bridges (bad pass; steal by K. Williams),,11,13
48,1,6:33.0,,Turnover by J. Okafor (lost ball; steal by K. Walker),11,13
49,1,6:30.0,Turnover by K. Walker (bad pass),,11,13
50,1,6:12.0,,K. Williams misses 2-pt jump shot from 8 ft,11,13
51,1,6:10.0,Defensive rebound by B. Biyombo,,11,13
52,1,6:05.0,,Violation by Team (kicked ball),11,13
53,1,6:05.0,W. Hernangómez enters the game for B. Biyombo,,11,13
54,1,6:01.0,J. Lamb misses 2-pt layup from 1 ft,,11,13
55,1,5:55.0,,Defensive rebound by K. Williams,11,13
56,1,5:50.0,,K. Williams misses 3-pt jump shot from 29 ft,11,13
57,1,5:46.0,Defensive rebound by M. Kidd-Gilchrist,,11,13
58,1,5:42.0,K. Walker misses 3-pt jump shot from 24 ft,,11,13
59,1,5:33.0,Offensive rebound by M. Bridges,,11,13
60,1,5:33.0,M. Bridges makes 2-pt layup at rim,,13,13
61,1,5:26.0,,J. Randle makes 3-pt jump shot from 25 ft (assist by K. Williams),13,16
62,1,5:11.0,K. Walker makes 2-pt jump shot from 11 ft,,15,16
63,1,4:58.0,,I. Clark misses 3-pt jump shot from 26 ft,15,16
64,1,4:54.0,Defensive rebound by W. Hernangómez,,15,16
65,1,4:49.0,Personal foul by J. Okafor (drawn by K. Walker),,15,16
66,1,4:49.0,F. Kaminsky enters the game for M. Kidd-Gilchrist,,15,16
67,1,4:49.0,,C. Diallo enters the game for J. Okafor,15,16
68,1,4:44.0,F. Kaminsky misses 3-pt jump shot from 25 ft,,15,16
