,QUARTER,TIME_REMAINING,BROOKLYN_ACTION,MEMPHIS_ACTION,BROOKLYN_SCORE,MEMPHIS_SCORE
0,1,11:43.0,,M. Conley makes 2-pt jump shot from 13 ft (assist by M. Gasol),0,2
1,1,11:21.0,R. Kurucs misses 3-pt jump shot from 23 ft,,0,2
2,1,11:18.0,,Defensive rebound by J. Jackson,0,2
3,1,11:10.0,,M. Gasol misses 2-pt jump shot from 12 ft,0,2
4,1,11:08.0,Defensive rebound by J. Dudley,,0,2
5,1,10:52.0,D. Russell misses 2-pt jump shot from 20 ft,,0,2
6,1,10:46.0,Offensive rebound by J. Allen,,0,2
7,1,10:42.0,J. Allen misses 2-pt jump shot from 7 ft,,0,2
8,1,10:40.0,,Defensive rebound by M. Conley,0,2
9,1,10:25.0,,J. Jackson misses 2-pt jump shot from 6 ft,0,2
10,1,10:22.0,,Offensive rebound by K. Anderson,0,2
11,1,10:22.0,,K. Anderson misses 2-pt layup from 1 ft,0,2
12,1,10:21.0,,Offensive rebound by K. Anderson,0,2
13,1,10:21.0,,K. Anderson misses 2-pt layup from 1 ft,0,2
14,1,10:20.0,Defensive rebound by R. Kurucs,,0,2
15,1,10:16.0,J. Dudley misses 2-pt layup from 1 ft,,0,2
16,1,10:13.0,,Defensive rebound by M. Gasol,0,2
17,1,10:06.0,,J. Jackson makes 2-pt layup at rim (assist by K. Anderson),0,4
18,1,9:53.0,J. Harris makes 3-pt jump shot from 25 ft (assist by D. Russell),,3,4
19,1,9:30.0,,J. Jackson makes 2-pt jump shot from 8 ft,3,6
20,1,9:20.0,D. Russell makes 2-pt jump shot from 15 ft,,5,6
21,1,9:02.0,,G. Temple makes 2-pt jump shot from 8 ft (assist by J. Jackson),5,8
22,1,8:48.0,J. Harris makes 3-pt jump shot from 26 ft (assist by D. Russell),,8,8
23,1,8:32.0,,M. Conley makes 2-pt jump shot from 1 ft,8,10
24,1,8:09.0,Turnover by D. Russell (bad pass; steal by M. Conley),,8,10
25,1,8:09.0,,Personal foul by R. Kurucs (drawn by M. Conley),8,10
26,1,7:59.0,,M. Gasol misses 2-pt jump shot from 21 ft,8,10
27,1,7:56.0,Defensive rebound by D. Russell,,8,10
28,1,7:50.0,R. Kurucs misses 2-pt layup from 1 ft,,8,10
29,1,7:48.0,,Defensive rebound by M. Gasol,8,10
30,1,7:39.0,,J. Jackson makes 2-pt hook shot from 13 ft (assist by M. Gasol),8,12
31,1,7:28.0,J. Dudley misses 2-pt layup from 2 ft (block by K. Anderson),,8,12
32,1,7:28.0,Offensive rebound by Team,,8,12
33,1,7:18.0,D. Russell misses 2-pt jump shot from 20 ft,,8,12
34,1,7:14.0,,Defensive rebound by K. Anderson,8,12
35,1,7:05.0,,J. Jackson makes 2-pt dunk at rim (assist by K. Anderson),8,14
36,1,7:05.0,Brooklyn full timeout,,8,14
37,1,6:52.0,J. Harris misses 3-pt jump shot from 25 ft,,8,14
38,1,6:50.0,,Defensive rebound by M. Conley,8,14
39,1,6:28.0,,M. Conley misses 2-pt layup from 1 ft,8,14
40,1,6:26.0,Defensive rebound by J. Allen,,8,14
41,1,6:20.0,R. Kurucs misses 3-pt jump shot from 24 ft (block by J. Jackson),,8,14
42,1,6:19.0,,Defensive rebound by J. Jackson,8,14
43,1,6:19.0,,Turnover by J. Jackson (step out of bounds),8,14
44,1,6:19.0,D. Carroll enters the game for J. Harris,,8,14
45,1,6:19.0,S. Dinwiddie enters the game for R. Kurucs,,8,14
46,1,6:19.0,S. Napier enters the game for D. Russell,,8,14
47,1,6:19.0,,J. Green enters the game for M. Gasol,8,14
48,1,5:57.0,Turnover by S. Napier (out of bounds lost ball),,8,14
49,1,5:48.0,,M. Conley makes 2-pt jump shot from 22 ft,8,16
50,1,5:37.0,S. Dinwiddie makes 2-pt layup at rim,,10,16
51,1,5:37.0,Shooting foul by J. Jackson (drawn by S. Dinwiddie),,10,16
