,QUARTER,TIME_REMAINING,INDIANA_ACTION,MEMPHIS_ACTION,INDIANA_SCORE,MEMPHIS_SCORE
0,1,11:47.0,,M. Conley makes 2-pt jump shot from 16 ft (assist by M. Gasol),0,2
1,1,11:28.0,D. Collison misses 2-pt jump shot from 2 ft,,0,2
2,1,11:26.0,,Defensive rebound by M. Conley,0,2
3,1,11:20.0,,Turnover by J. Carter (traveling),0,2
4,1,11:01.0,Turnover by B. Bogdanović (bad pass),,0,2
5,1,10:55.0,,Offensive foul by M. Gasol (drawn by T. Evans),0,2
6,1,10:55.0,,Turnover by M. Gasol (offensive foul),0,2
7,1,10:39.0,Turnover by M. Turner (lost ball; steal by J. Jackson),,0,2
8,1,10:19.0,,J. Jackson misses 3-pt jump shot from 22 ft,0,2
9,1,10:14.0,Defensive rebound by M. Turner,,0,2
10,1,10:05.0,M. Turner misses 3-pt jump shot from 26 ft,,0,2
11,1,10:05.0,,Defensive rebound by J. Carter,0,2
12,1,9:51.0,,J. Jackson misses 2-pt layup from 2 ft (block by T. Young),0,2
13,1,9:51.0,,Offensive rebound by Team,0,2
14,1,9:43.0,,M. Conley misses 3-pt jump shot from 26 ft,0,2
15,1,9:41.0,Defensive rebound by B. Bogdanović,,0,2
16,1,9:37.0,Personal foul by J. Holiday (drawn by B. Bogdanović),,0,2
17,1,9:26.0,Turnover by B. Bogdanović (palming),,0,2
18,1,9:15.0,,Personal foul by D. Collison (drawn by M. Conley),0,2
19,1,9:05.0,,J. Jackson makes 2-pt hook shot from 7 ft (assist by M. Conley),0,4
20,1,8:49.0,D. Collison misses 2-pt jump shot from 16 ft,,0,4
21,1,8:46.0,,Defensive rebound by M. Gasol,0,4
22,1,8:25.0,,J. Holiday misses 3-pt jump shot from 25 ft,0,4
23,1,8:21.0,,Offensive rebound by M. Gasol,0,4
24,1,8:12.0,,J. Holiday misses 2-pt layup from 1 ft (block by M. Turner),0,4
25,1,8:09.0,Defensive rebound by T. Young,,0,4
26,1,8:09.0,Shooting foul by J. Carter (drawn by D. Collison),,0,4
