,QUARTER,TIME_REMAINING,PHILADELPHIA_ACTION,WASHINGTON_ACTION,PHILADELPHIA_SCORE,WASHINGTON_SCORE
0,1,11:47.0,W. Chandler makes 2-pt layup from 2 ft (assist by J. Embiid),,2,0
1,1,11:30.0,,T. Ariza misses 2-pt jump shot from 1 ft,2,0
2,1,11:27.0,,Offensive rebound by T. Ariza,2,0
3,1,11:27.0,,T. Ariza makes 2-pt layup at rim,2,2
4,1,11:19.0,J. Embiid makes 2-pt hook shot from 2 ft (assist by F. Korkmaz),,4,2
5,1,11:05.0,,B. Beal makes 3-pt jump shot from 26 ft,4,5
6,1,10:49.0,B. Simmons misses 2-pt jump shot from 16 ft,,4,5
7,1,10:45.0,,Defensive rebound by T. Ariza,4,5
8,1,10:33.0,,T. Satoranský misses 2-pt jump shot from 13 ft,4,5
9,1,10:29.0,Defensive rebound by J. Embiid,,4,5
10,1,10:18.0,F. Korkmaz misses 3-pt jump shot from 27 ft,,4,5
11,1,10:15.0,,Defensive rebound by J. Green,4,5
12,1,10:10.0,,Turnover by B. Beal (bad pass; steal by F. Korkmaz),4,5
13,1,10:03.0,Turnover by B. Simmons (bad pass),,4,5
14,1,9:50.0,,Turnover by T. Satoranský (out of bounds lost ball),4,5
15,1,9:38.0,Personal foul by T. Bryant (drawn by J. Embiid),,4,5
16,1,9:25.0,Shooting foul by T. Ariza (drawn by J. Embiid),,4,5
17,1,9:25.0,J. Embiid makes free throw 1 of 2,,5,5
18,1,9:25.0,J. Embiid makes free throw 2 of 2,,6,5
19,1,9:09.0,,B. Beal makes 3-pt jump shot from 25 ft (assist by T. Ariza),6,8
20,1,8:52.0,J. Embiid makes 2-pt layup from 2 ft (assist by B. Simmons),,8,8
21,1,8:41.0,,T. Bryant misses 2-pt jump shot from 16 ft,8,8
22,1,8:37.0,Defensive rebound by B. Simmons,,8,8
23,1,8:33.0,Turnover by B. Simmons (bad pass; steal by T. Bryant),,8,8
24,1,8:29.0,,Turnover by T. Ariza (bad pass; steal by F. Korkmaz),8,8
25,1,8:25.0,Turnover by F. Korkmaz (bad pass; steal by T. Ariza),,8,8
26,1,8:20.0,,T. Ariza makes 2-pt dunk from 1 ft,8,10
27,1,8:03.0,J. Butler misses 2-pt jump shot from 15 ft,,8,10
28,1,8:00.0,,Defensive rebound by T. Satoranský,8,10
29,1,7:55.0,,B. Beal makes 3-pt jump shot from 24 ft (assist by T. Satoranský),8,13
30,1,7:35.0,Personal foul by T. Bryant (drawn by J. Embiid),,8,13
31,1,7:35.0,,I. Mahinmi enters the game for T. Bryant,8,13
32,1,7:29.0,J. Embiid misses 2-pt jump shot from 18 ft,,8,13
33,1,7:27.0,,Defensive rebound by J. Green,8,13
34,1,7:24.0,,T. Ariza makes 2-pt layup from 2 ft (assist by T. Satoranský),8,15
35,1,7:24.0,Philadelphia full timeout,,8,15
36,1,7:24.0,Violation by Team (delay of game),,8,15
37,1,7:13.0,Turnover by B. Simmons (bad pass; steal by I. Mahinmi),,8,15
38,1,6:58.0,,T. Satoranský misses 2-pt jump shot from 12 ft,8,15
39,1,6:56.0,Defensive rebound by J. Embiid,,8,15
40,1,6:56.0,W. Chandler misses 3-pt jump shot from 24 ft,,8,15
41,1,6:43.0,Offensive rebound by B. Simmons,,8,15
42,1,6:41.0,F. Korkmaz misses 3-pt jump shot from 25 ft,,8,15
43,1,6:38.0,,Defensive rebound by J. Green,8,15
44,1,6:25.0,,Shooting foul by J. Embiid (drawn by T. Ariza),8,15
45,1,6:25.0,T. McConnell enters the game for W. Chandler,,8,15
46,1,6:25.0,M. Muscala enters the game for J. Embiid,,8,15
47,1,6:25.0,L. Shamet enters the game for F. Korkmaz,,8,15
48,1,6:25.0,,T. Ariza makes free throw 1 of 2,8,16
49,1,6:25.0,,T. Ariza makes free throw 2 of 2,8,17
50,1,6:17.0,Offensive foul by T. McConnell (drawn by T. Satoranský),,8,17
51,1,6:17.0,Turnover by T. McConnell (offensive foul),,8,17
52,1,6:10.0,,Turnover by I. Mahinmi (out of bounds lost ball),8,17
53,1,5:54.0,J. Butler misses 2-pt jump shot from 19 ft,,8,17
54,1,5:53.0,,Defensive rebound by Team,8,17
55,1,5:39.0,,Turnover by T. Ariza (traveling),8,17
56,1,5:26.0,B. Simmons misses 2-pt hook shot from 4 ft,,8,17
57,1,5:25.0,Offensive rebound by Team,,8,17
58,1,5:25.0,,O. Porter enters the game for J. Green,8,17
59,1,5:19.0,Personal foul by O. Porter (drawn by B. Simmons),,8,17
60,1,5:03.0,L. Shamet misses 2-pt jump shot from 20 ft,,8,17
61,1,5:01.0,,Defensive rebound by O. Porter,8,17
62,1,5:00.0,,Turnover by O. Porter (bad pass),8,17
63,1,4:49.0,M. Muscala misses 3-pt jump shot from 27 ft,,8,17
64,1,4:47.0,,Defensive rebound by T. Ariza,8,17
65,1,4:43.0,,T. Ariza misses 3-pt jump shot from 26 ft,8,17
66,1,4:40.0,Defensive rebound by L. Shamet,,8,17
67,1,4:26.0,J. Butler makes 2-pt layup from 2 ft (assist by B. Simmons),,10,17
68,1,4:24.0,,Washington full timeout,10,17
69,1,4:24.0,,C. Randle enters the game for T. Satoranský,10,17
70,1,4:05.0,,B. Beal misses 3-pt jump shot from 26 ft,10,17
71,1,4:05.0,Defensive rebound by Team,,10,17
72,1,3:47.0,B. Simmons misses 2-pt layup from 3 ft,,10,17
73,1,3:45.0,Offensive rebound by B. Simmons,,10,17
74,1,3:42.0,M. Muscala makes 3-pt jump shot from 26 ft (assist by B. Simmons),,13,17
75,1,3:15.0,,B. Beal makes 2-pt jump shot from 8 ft,13,19
76,1,3:03.0,Turnover by L. Shamet (bad pass; steal by B. Beal),,13,19
77,1,2:55.0,,T. Ariza misses 2-pt dunk from 5 ft,13,19
78,1,2:51.0,Defensive rebound by J. Butler,,13,19
79,1,2:47.0,Personal foul by C. Randle (drawn by B. Simmons),,13,19
80,1,2:47.0,B. Simmons misses free throw 1 of 2,,13,19
81,1,2:47.0,Offensive rebound by Team,,13,19
82,1,2:47.0,J. Embiid enters the game for J. Butler,,13,19
83,1,2:47.0,F. Korkmaz enters the game for M. Muscala,,13,19
84,1,2:47.0,S. Milton enters the game for L. Shamet,,13,19
85,1,2:47.0,,S. Dekker enters the game for T. Ariza,13,19
86,1,2:47.0,B. Simmons makes free throw 2 of 2,,14,19
