,QUARTER,TIME_REMAINING,TORONTO_ACTION,MILWAUKEE_ACTION,TORONTO_SCORE,MILWAUKEE_SCORE
0,1,11:46.0,D. Green misses 2-pt layup from 9 ft (block by B. Lopez),,0,0
1,1,11:42.0,,Defensive rebound by E. İlyasova,0,0
2,1,11:31.0,,Turnover by B. Lopez (bad pass; steal by P. Siakam),0,0
3,1,11:27.0,Turnover by D. Green (step out of bounds),,0,0
4,1,11:12.0,,E. İlyasova makes 2-pt layup from 4 ft (assist by E. Bledsoe),0,2
5,1,10:57.0,P. Siakam makes 2-pt layup from 1 ft,,2,2
6,1,10:39.0,,B. Lopez misses 2-pt jump shot from 19 ft,2,2
7,1,10:35.0,,Offensive rebound by E. İlyasova,2,2
8,1,10:35.0,,E. İlyasova misses 2-pt layup at rim,2,2
9,1,10:34.0,Defensive rebound by D. Green,,2,2
10,1,10:33.0,P. Siakam misses 3-pt jump shot from 24 ft,,2,2
11,1,10:30.0,,Defensive rebound by M. Brogdon,2,2
12,1,10:27.0,,E. İlyasova makes 3-pt jump shot from 24 ft (assist by K. Middleton),2,5
13,1,10:07.0,S. Ibaka makes 2-pt jump shot from 16 ft (assist by N. Powell),,4,5
14,1,9:54.0,,E. Bledsoe makes 2-pt layup from 1 ft,4,7
15,1,9:38.0,P. Siakam misses 2-pt layup from 1 ft,,4,7
16,1,9:33.0,,Defensive rebound by M. Brogdon,4,7
17,1,9:30.0,,M. Brogdon makes 2-pt layup from 2 ft,4,9
18,1,9:17.0,S. Ibaka makes 2-pt jump shot from 19 ft (assist by K. Lowry),,6,9
19,1,9:06.0,,E. Bledsoe misses 3-pt jump shot from 27 ft,6,9
20,1,9:04.0,Defensive rebound by K. Lowry,,6,9
21,1,8:54.0,Turnover by P. Siakam (lost ball; steal by K. Middleton),,6,9
22,1,8:42.0,,M. Brogdon makes 2-pt layup from 3 ft,6,11
23,1,8:31.0,Personal foul by E. Bledsoe (drawn by S. Ibaka),,6,11
24,1,8:24.0,Offensive foul by P. Siakam (drawn by E. İlyasova),,6,11
25,1,8:24.0,Turnover by P. Siakam (offensive foul),,6,11
26,1,8:07.0,,M. Brogdon misses 2-pt layup from 2 ft (block by P. Siakam),6,11
27,1,8:03.0,,Offensive rebound by E. İlyasova,6,11
28,1,8:03.0,,E. İlyasova makes 2-pt layup from 1 ft,6,13
29,1,7:55.0,S. Ibaka makes 2-pt dunk from 1 ft (assist by K. Lowry),,8,13
30,1,7:42.0,,K. Middleton misses 3-pt jump shot from 27 ft,8,13
31,1,7:38.0,Defensive rebound by S. Ibaka,,8,13
32,1,7:34.0,K. Lowry misses 3-pt jump shot from 28 ft,,8,13
33,1,7:31.0,,Defensive rebound by B. Lopez,8,13
34,1,7:24.0,,B. Lopez misses 3-pt jump shot from 29 ft,8,13
35,1,7:21.0,Defensive rebound by P. Siakam,,8,13
36,1,7:14.0,P. Siakam makes 2-pt hook shot from 4 ft,,10,13
37,1,6:52.0,,E. Bledsoe misses 2-pt jump shot from 12 ft,10,13
38,1,6:50.0,Defensive rebound by K. Lowry,,10,13
39,1,6:47.0,D. Green makes 2-pt layup from 1 ft (assist by K. Lowry),,12,13
40,1,6:46.0,,Milwaukee full timeout,12,13
41,1,6:46.0,,D. DiVincenzo enters the game for M. Brogdon,12,13
42,1,6:30.0,,E. Bledsoe misses 2-pt layup from 2 ft,12,13
43,1,6:27.0,Defensive rebound by N. Powell,,12,13
44,1,6:24.0,K. Lowry makes 2-pt layup from 1 ft (assist by P. Siakam),,14,13
45,1,6:01.0,,E. İlyasova misses 3-pt jump shot from 22 ft,14,13
46,1,6:01.0,,Offensive rebound by Team,14,13
47,1,5:57.0,,K. Middleton misses 2-pt jump shot from 15 ft,14,13
48,1,5:54.0,Defensive rebound by P. Siakam,,14,13
49,1,5:49.0,P. Siakam makes 2-pt layup from 1 ft,,16,13
50,1,5:38.0,,E. İlyasova misses 3-pt jump shot from 27 ft,16,13
51,1,5:35.0,Defensive rebound by S. Ibaka,,16,13
52,1,5:35.0,Turnover by K. Lowry (bad pass),,16,13
53,1,5:35.0,,T. Maker enters the game for E. İlyasova,16,13
54,1,5:19.0,,B. Lopez makes 3-pt jump shot from 23 ft (assist by K. Middleton),16,16
55,1,4:59.0,S. Ibaka makes 3-pt jump shot from 26 ft (assist by N. Powell),,19,16
56,1,4:45.0,,D. DiVincenzo makes 3-pt jump shot from 25 ft (assist by E. Bledsoe),19,19
57,1,4:34.0,S. Ibaka makes 2-pt jump shot from 9 ft (assist by K. Lowry),,21,19
58,1,4:11.0,,K. Middleton misses 3-pt jump shot from 27 ft,21,19
59,1,4:08.0,Defensive rebound by S. Ibaka,,21,19
60,1,4:07.0,Turnover by K. Lowry (bad pass),,21,19
61,1,4:07.0,,J. Henson enters the game for B. Lopez,21,19
62,1,3:55.0,,Shooting foul by S. Ibaka (drawn by K. Middleton),21,19
63,1,3:55.0,Technical foul by D. Green,,21,19
64,1,3:55.0,,K. Middleton makes technical free throw,21,20
65,1,3:55.0,,K. Middleton misses free throw 1 of 2,21,20
66,1,3:55.0,,Offensive rebound by Team,21,20
67,1,3:55.0,L. Brown enters the game for N. Powell,,21,20
68,1,3:55.0,C. Miles enters the game for P. Siakam,,21,20
69,1,3:55.0,,M. Brogdon enters the game for E. Bledsoe,21,20
70,1,3:55.0,,K. Middleton makes free throw 2 of 2,21,21
71,1,3:55.0,,T. Snell enters the game for K. Middleton,21,21
72,1,3:31.0,S. Ibaka makes 2-pt jump shot from 14 ft (assist by K. Lowry),,23,21
73,1,3:17.0,,D. DiVincenzo misses 3-pt jump shot from 27 ft,23,21
74,1,3:15.0,Defensive rebound by C. Miles,,23,21
75,1,3:14.0,K. Lowry makes 2-pt jump shot from 10 ft,,25,21
76,1,3:14.0,Shooting foul by M. Brogdon (drawn by K. Lowry),,25,21
77,1,3:14.0,D. Wright enters the game for D. Green,,25,21
78,1,3:14.0,K. Lowry makes free throw 1 of 1,,26,21
79,1,3:03.0,,D. DiVincenzo makes 2-pt layup from 1 ft (assist by M. Brogdon),26,23
80,1,2:47.0,L. Brown misses 3-pt jump shot from 26 ft,,26,23
