,QUARTER,TIME_REMAINING,CLEVELAND_ACTION,LA CLIPPERS_ACTION,CLEVELAND_SCORE,LA CLIPPERS_SCORE
0,1,11:44.0,C. Osman makes 2-pt layup from 2 ft,,2,0
1,1,11:25.0,,S. Gilgeous-Alexander makes 2-pt layup from 1 ft,2,2
2,1,11:01.0,C. Osman misses 2-pt jump shot from 11 ft,,2,2
3,1,10:58.0,,Defensive rebound by P. Beverley,2,2
4,1,10:57.0,,I. Zubac makes 2-pt dunk at rim (assist by P. Beverley),2,4
5,1,10:37.0,Turnover by C. Sexton (lost ball; steal by S. Gilgeous-Alexander),,2,4
6,1,10:34.0,,S. Gilgeous-Alexander misses 2-pt layup from 3 ft,2,4
7,1,10:31.0,,Offensive rebound by L. Shamet,2,4
8,1,10:23.0,,L. Shamet makes 3-pt jump shot from 27 ft (assist by S. Gilgeous-Alexander),2,7
9,1,10:10.0,C. Sexton misses 2-pt layup from 2 ft (block by I. Zubac),,2,7
10,1,10:07.0,Offensive rebound by T. Thompson,,2,7
11,1,10:07.0,T. Thompson makes 2-pt layup from 1 ft,,4,7
12,1,10:02.0,,J. Green makes 2-pt layup from 2 ft (assist by P. Beverley),4,9
13,1,10:02.0,Cleveland full timeout,,4,9
14,1,9:52.0,Personal foul by L. Shamet (drawn by C. Sexton),,4,9
15,1,9:43.0,Shooting foul by I. Zubac (drawn by C. Sexton),,4,9
16,1,9:43.0,C. Sexton makes free throw 1 of 2,,5,9
17,1,9:43.0,C. Sexton makes free throw 2 of 2,,6,9
18,1,9:20.0,,S. Gilgeous-Alexander misses 2-pt jump shot from 22 ft,6,9
19,1,9:18.0,,Offensive rebound by P. Beverley,6,9
20,1,9:18.0,,Personal foul by B. Knight (drawn by P. Beverley),6,9
21,1,9:09.0,,P. Beverley misses 2-pt jump shot from 3 ft,6,9
22,1,9:06.0,Defensive rebound by T. Thompson,,6,9
23,1,8:57.0,T. Thompson makes 2-pt hook shot from 9 ft (assist by C. Osman),,8,9
24,1,8:48.0,,P. Beverley misses 2-pt layup from 2 ft,8,9
25,1,8:41.0,,Offensive rebound by J. Green,8,9
26,1,8:41.0,,J. Green makes 2-pt dunk at rim,8,11
27,1,8:32.0,C. Sexton makes 3-pt jump shot from 25 ft,,11,11
28,1,8:17.0,,S. Gilgeous-Alexander makes 3-pt jump shot from 24 ft (assist by L. Shamet),11,14
