,QUARTER,TIME_REMAINING,ORLANDO_ACTION,PHILADELPHIA_ACTION,ORLANDO_SCORE,PHILADELPHIA_SCORE
0,1,11:47.0,,J. Redick misses 2-pt jump shot from 15 ft,0,0
1,1,11:45.0,Defensive rebound by N. Vučević,,0,0
2,1,11:30.0,A. Gordon makes 2-pt jump shot from 22 ft,,2,0
3,1,11:12.0,,B. Simmons misses 2-pt hook shot from 10 ft,2,0
4,1,11:11.0,,Offensive rebound by A. Johnson,2,0
5,1,11:11.0,,A. Johnson misses 2-pt layup from 2 ft,2,0
6,1,11:11.0,Defensive rebound by J. Isaac,,2,0
7,1,11:02.0,Turnover by A. Gordon (bad pass; steal by B. Simmons),,2,0
8,1,10:54.0,,B. Simmons makes 2-pt layup from 2 ft (assist by T. Harris),2,2
9,1,10:34.0,A. Gordon misses 2-pt layup from 2 ft,,2,2
10,1,10:32.0,,Defensive rebound by A. Johnson,2,2
11,1,10:25.0,,J. Redick makes 3-pt jump shot from 26 ft (assist by A. Johnson),2,5
12,1,10:08.0,N. Vučević misses 2-pt hook shot from 18 ft,,2,5
13,1,10:05.0,,Defensive rebound by J. Redick,2,5
14,1,10:00.0,,J. Redick makes 2-pt jump shot from 22 ft (assist by B. Simmons),2,7
15,1,9:44.0,E. Fournier misses 2-pt jump shot from 19 ft,,2,7
16,1,9:42.0,,Defensive rebound by B. Simmons,2,7
17,1,9:36.0,,A. Johnson misses 2-pt jump shot from 20 ft,2,7
18,1,9:33.0,Defensive rebound by E. Fournier,,2,7
19,1,9:29.0,J. Isaac makes 2-pt layup from 2 ft (assist by E. Fournier),,4,7
20,1,9:03.0,,Turnover by J. Butler (bad pass),4,7
21,1,8:53.0,E. Fournier makes 3-pt jump shot from 24 ft (assist by N. Vučević),,7,7
22,1,8:43.0,,B. Simmons makes 2-pt layup from 1 ft,7,9
23,1,8:21.0,J. Isaac makes 3-pt jump shot from 27 ft (assist by A. Gordon),,10,9
24,1,8:01.0,,T. Harris misses 2-pt jump shot from 11 ft,10,9
25,1,7:59.0,Defensive rebound by N. Vučević,,10,9
26,1,7:51.0,E. Fournier makes 2-pt jump shot from 15 ft,,12,9
27,1,7:41.0,,J. Redick makes 3-pt jump shot from 26 ft (assist by B. Simmons),12,12
28,1,7:28.0,D. Augustin makes 2-pt jump shot from 15 ft,,14,12
29,1,7:19.0,,A. Johnson makes 3-pt jump shot from 25 ft (assist by B. Simmons),14,15
30,1,6:55.0,N. Vučević makes 2-pt jump shot from 22 ft (assist by D. Augustin),,16,15
31,1,6:44.0,,T. Harris makes 2-pt jump shot from 17 ft,16,17
32,1,6:27.0,N. Vučević misses 2-pt hook shot from 12 ft,,16,17
33,1,6:25.0,,Defensive rebound by T. Harris,16,17
34,1,6:21.0,,T. Harris makes 2-pt jump shot from 11 ft,16,19
35,1,6:13.0,Orlando full timeout,,16,19
36,1,6:13.0,I. Briscoe enters the game for E. Fournier,,16,19
37,1,6:13.0,,M. Scott enters the game for A. Johnson,16,19
38,1,6:13.0,,J. Simmons enters the game for J. Redick,16,19
39,1,6:06.0,N. Vučević makes 2-pt layup from 2 ft (assist by D. Augustin),,18,19
40,1,5:44.0,,T. Harris makes 3-pt jump shot from 27 ft,18,22
41,1,5:23.0,I. Briscoe misses 3-pt jump shot from 26 ft,,18,22
42,1,5:20.0,,Defensive rebound by B. Simmons,18,22
43,1,5:13.0,,B. Simmons misses 2-pt layup at rim,18,22
44,1,5:13.0,,Offensive rebound by J. Butler,18,22
45,1,5:13.0,,Shooting foul by J. Isaac (drawn by B. Simmons),18,22
46,1,5:13.0,,B. Simmons misses free throw 1 of 2,18,22
47,1,5:13.0,,Offensive rebound by Team,18,22
48,1,5:13.0,,B. Simmons makes free throw 2 of 2,18,23
49,1,5:01.0,A. Gordon misses 3-pt jump shot from 26 ft,,18,23
50,1,4:57.0,,Defensive rebound by T. Harris,18,23
51,1,4:51.0,,M. Scott misses 3-pt jump shot from 24 ft,18,23
52,1,4:48.0,Defensive rebound by J. Isaac,,18,23
53,1,4:41.0,D. Augustin makes 2-pt layup from 2 ft,,20,23
54,1,4:22.0,,Shooting foul by I. Briscoe (drawn by J. Butler),20,23
55,1,4:22.0,,J. Butler makes free throw 1 of 2,20,24
56,1,4:22.0,,J. Butler makes free throw 2 of 2,20,25
57,1,4:21.0,Personal foul by J. Simmons (drawn by D. Augustin),,20,25
58,1,4:00.0,A. Gordon makes 2-pt jump shot from 20 ft,,22,25
59,1,3:39.0,,B. Simmons makes 2-pt dunk from 1 ft (assist by T. Harris),22,27
60,1,3:19.0,A. Gordon makes 2-pt jump shot from 20 ft (assist by I. Briscoe),,24,27
61,1,3:02.0,,M. Scott makes 3-pt jump shot from 26 ft (assist by J. Butler),24,30
62,1,2:35.0,D. Augustin makes 2-pt layup from 2 ft,,26,30
63,1,2:24.0,,B. Simmons misses 2-pt layup from 1 ft (block by J. Isaac),26,30
64,1,2:21.0,,Offensive rebound by J. Butler,26,30
65,1,2:14.0,,J. Simmons makes 2-pt layup from 1 ft (assist by J. Butler),26,32
66,1,2:00.0,Shooting foul by B. Simmons (drawn by A. Gordon),,26,32
67,1,2:00.0,,Philadelphia full timeout,26,32
68,1,2:00.0,K. Birch enters the game for D. Augustin,,26,32
69,1,2:00.0,W. Iwundu enters the game for J. Isaac,,26,32
70,1,2:00.0,J. Martin enters the game for N. Vučević,,26,32
71,1,2:00.0,,T. McConnell enters the game for J. Butler,26,32
72,1,2:00.0,,J. Patton enters the game for B. Simmons,26,32
73,1,2:00.0,,J. Redick enters the game for J. Simmons,26,32
74,1,2:00.0,A. Gordon makes free throw 1 of 2,,27,32
75,1,2:00.0,A. Gordon makes free throw 2 of 2,,28,32
76,1,1:44.0,,T. Harris makes 2-pt jump shot from 11 ft,28,34
77,1,1:24.0,J. Martin misses 2-pt jump shot from 17 ft,,28,34
78,1,1:18.0,Offensive rebound by K. Birch,,28,34
79,1,1:18.0,K. Birch misses 2-pt layup from 1 ft,,28,34
80,1,1:17.0,,Defensive rebound by J. Patton,28,34
81,1,1:12.0,,M. Scott makes 3-pt jump shot from 25 ft (assist by T. McConnell),28,37
82,1,0:52.0,A. Gordon makes 3-pt jump shot from 27 ft (assist by I. Briscoe),,31,37
83,1,0:33.0,,J. Redick makes 2-pt jump shot from 21 ft (assist by J. Patton),31,39
84,1,0:13.0,Turnover by W. Iwundu (bad pass; steal by T. Harris),,31,39
85,1,0:09.0,,J. Redick misses 3-pt jump shot from 26 ft,31,39
86,1,0:05.0,Defensive rebound by A. Gordon,,31,39
87,1,0:00.0,A. Gordon makes 3-pt jump shot from 26 ft,,34,39
88,2,11:40.0,E. Fournier makes 3-pt jump shot from 26 ft (assist by J. Martin),,37,39
89,2,11:26.0,,J. Redick makes 3-pt jump shot from 23 ft (assist by J. Patton),37,42
90,2,11:10.0,J. Martin makes 3-pt jump shot from 27 ft (assist by E. Fournier),,40,42
91,2,10:53.0,,T. McConnell makes 2-pt jump shot from 14 ft (assist by J. Simmons),40,44
92,2,10:42.0,E. Fournier makes 3-pt jump shot from 26 ft (assist by I. Briscoe),,43,44
93,2,10:39.0,,Philadelphia full timeout,43,44
94,2,10:24.0,,T. Harris makes 2-pt dunk at rim (assist by J. Patton),43,46
95,2,10:02.0,I. Briscoe makes 2-pt jump shot from 19 ft,,45,46
96,2,9:44.0,,J. Patton misses 3-pt jump shot from 25 ft,45,46
97,2,9:42.0,Defensive rebound by J. Martin,,45,46
98,2,9:30.0,W. Iwundu misses 3-pt jump shot from 25 ft,,45,46
99,2,9:27.0,,Defensive rebound by J. Patton,45,46
100,2,9:18.0,,Turnover by T. McConnell (bad pass; steal by E. Fournier),45,46
101,2,9:16.0,Shooting foul by T. Harris (drawn by E. Fournier),,45,46
102,2,9:16.0,E. Fournier makes free throw 1 of 2,,46,46
103,2,9:16.0,E. Fournier makes free throw 2 of 2,,47,46
104,2,9:04.0,,J. Redick misses 2-pt jump shot from 19 ft,47,46
105,2,9:00.0,Defensive rebound by J. Martin,,47,46
106,2,8:46.0,Turnover by W. Iwundu (lost ball; steal by T. Harris),,47,46
107,2,8:39.0,,J. Redick makes 3-pt jump shot from 24 ft (assist by T. Harris),47,49
108,2,8:28.0,Turnover by I. Briscoe (bad pass; steal by J. Simmons),,47,49
109,2,8:28.0,,Personal take foul by E. Fournier (drawn by J. Simmons),47,49
110,2,8:28.0,,M. Scott enters the game for T. McConnell,47,49
111,2,8:28.0,,B. Simmons enters the game for J. Patton,47,49
112,2,8:09.0,,J. Simmons makes 2-pt hook shot from 5 ft (assist by T. Harris),47,51
113,2,7:51.0,I. Briscoe makes 2-pt layup from 1 ft,,49,51
114,2,7:25.0,,T. Harris makes 2-pt jump shot from 13 ft,49,53
115,2,7:08.0,I. Briscoe misses 3-pt jump shot from 26 ft,,49,53
116,2,7:04.0,,Defensive rebound by B. Simmons,49,53
117,2,6:56.0,,J. Redick makes 3-pt jump shot from 26 ft (assist by J. Simmons),49,56
118,2,6:48.0,Orlando full timeout,,49,56
119,2,6:48.0,A. Gordon enters the game for K. Birch,,49,56
120,2,6:48.0,J. Isaac enters the game for E. Fournier,,49,56
121,2,6:48.0,N. Vučević enters the game for J. Martin,,49,56
122,2,6:48.0,,J. Butler enters the game for T. Harris,49,56
123,2,6:48.0,,A. Johnson enters the game for J. Redick,49,56
