,QUARTER,TIME_REMAINING,WASHINGTON_ACTION,DALLAS_ACTION,WASHINGTON_SCORE,DALLAS_SCORE
0,1,11:45.0,,H. Barnes makes 3-pt jump shot from 25 ft (assist by L. Dončić),0,3
1,1,11:23.0,M. Morris misses 3-pt jump shot from 25 ft,,0,3
2,1,11:20.0,,Defensive rebound by H. Barnes,0,3
3,1,11:14.0,,Shooting foul by D. Howard (drawn by D. Jordan),0,3
4,1,11:14.0,,D. Jordan makes free throw 1 of 2,0,4
5,1,11:14.0,,D. Jordan makes free throw 2 of 2,0,5
6,1,10:54.0,Turnover by J. Wall (bad pass; steal by H. Barnes),,0,5
7,1,10:50.0,,Shooting foul by M. Morris (drawn by D. Smith),0,5
8,1,10:50.0,,D. Smith makes free throw 1 of 2,0,6
9,1,10:50.0,,D. Smith makes free throw 2 of 2,0,7
10,1,10:36.0,J. Wall misses 3-pt jump shot from 25 ft,,0,7
11,1,10:33.0,Offensive rebound by O. Porter,,0,7
12,1,10:32.0,O. Porter makes 2-pt jump shot from 17 ft,,2,7
13,1,10:23.0,,L. Dončić misses 2-pt jump shot from 8 ft,2,7
14,1,10:21.0,Defensive rebound by B. Beal,,2,7
15,1,10:12.0,B. Beal misses 2-pt layup from 4 ft (block by W. Matthews),,2,7
16,1,10:12.0,Offensive rebound by Team,,2,7
17,1,10:09.0,B. Beal misses 3-pt jump shot from 25 ft,,2,7
18,1,10:07.0,,Defensive rebound by D. Smith,2,7
19,1,9:59.0,,L. Dončić misses 2-pt layup from 4 ft (block by D. Howard),2,7
20,1,9:56.0,Defensive rebound by J. Wall,,2,7
21,1,9:51.0,O. Porter makes 3-pt jump shot from 23 ft (assist by B. Beal),,5,7
22,1,9:35.0,,D. Smith misses 2-pt jump shot from 7 ft (block by B. Beal),5,7
23,1,9:35.0,,Offensive rebound by Team,5,7
24,1,9:28.0,,D. Smith misses 3-pt jump shot from 25 ft,5,7
25,1,9:26.0,Defensive rebound by D. Howard,,5,7
26,1,9:18.0,B. Beal misses 3-pt jump shot from 22 ft,,5,7
27,1,9:15.0,,Defensive rebound by D. Jordan,5,7
28,1,9:07.0,,H. Barnes misses 3-pt jump shot from 23 ft,5,7
29,1,9:05.0,Defensive rebound by D. Howard,,5,7
30,1,8:57.0,Turnover by M. Morris (step out of bounds),,5,7
31,1,8:47.0,,Offensive foul by D. Jordan (drawn by O. Porter),5,7
32,1,8:47.0,,Turnover by D. Jordan (offensive foul),5,7
33,1,8:35.0,Shooting foul by H. Barnes (drawn by D. Howard),,5,7
34,1,8:35.0,D. Howard misses free throw 1 of 2,,5,7
35,1,8:35.0,Offensive rebound by Team,,5,7
36,1,8:35.0,D. Howard makes free throw 2 of 2,,6,7
37,1,8:21.0,,W. Matthews misses 2-pt jump shot from 10 ft,6,7
38,1,8:19.0,,Offensive rebound by H. Barnes,6,7
39,1,8:16.0,,Turnover by H. Barnes (bad pass; steal by O. Porter),6,7
40,1,8:08.0,Turnover by M. Morris (bad pass; steal by D. Smith),,6,7
41,1,8:07.0,,Personal foul by J. Wall (drawn by D. Smith),6,7
42,1,7:57.0,,H. Barnes misses 2-pt jump shot from 16 ft,6,7
43,1,7:54.0,Defensive rebound by D. Howard,,6,7
44,1,7:36.0,M. Morris misses 2-pt jump shot from 8 ft,,6,7
45,1,7:34.0,,Defensive rebound by L. Dončić,6,7
46,1,7:26.0,,L. Dončić misses 3-pt jump shot from 26 ft,6,7
47,1,7:22.0,Defensive rebound by B. Beal,,6,7
48,1,7:19.0,O. Porter misses 2-pt jump shot from 21 ft,,6,7
49,1,7:16.0,,Defensive rebound by D. Jordan,6,7
50,1,7:11.0,,D. Jordan makes 2-pt dunk from 1 ft (assist by L. Dončić),6,9
51,1,6:51.0,B. Beal makes 2-pt jump shot from 19 ft,,8,9
52,1,6:50.0,,Dallas full timeout,8,9
53,1,6:50.0,,D. Finney-Smith enters the game for W. Matthews,8,9
54,1,6:31.0,,D. Smith makes 3-pt jump shot from 27 ft (assist by H. Barnes),8,12
55,1,6:14.0,B. Beal makes 2-pt layup from 1 ft (assist by O. Porter),,10,12
56,1,6:03.0,,H. Barnes misses 3-pt jump shot from 26 ft,10,12
57,1,6:01.0,Defensive rebound by B. Beal,,10,12
58,1,5:48.0,O. Porter makes 3-pt jump shot from 26 ft (assist by M. Morris),,13,12
59,1,5:24.0,,L. Dončić makes 2-pt layup from 1 ft,13,14
60,1,5:24.0,,Shooting foul by O. Porter (drawn by L. Dončić),13,14
61,1,5:24.0,K. Oubre enters the game for M. Morris,,13,14
62,1,5:24.0,,L. Dončić makes free throw 1 of 1,13,15
63,1,5:10.0,K. Oubre misses 3-pt jump shot from 23 ft,,13,15
64,1,5:07.0,,Defensive rebound by D. Finney-Smith,13,15
65,1,5:03.0,,D. Smith makes 2-pt dunk at rim,13,17
66,1,4:47.0,J. Wall makes 2-pt jump shot from 11 ft,,15,17
67,1,4:33.0,,D. Smith makes 2-pt layup from 1 ft,15,19
68,1,4:19.0,J. Wall misses 2-pt layup from 1 ft (block by D. Finney-Smith),,15,19
69,1,4:17.0,Offensive rebound by J. Wall,,15,19
70,1,4:17.0,J. Wall misses 2-pt layup at rim,,15,19
71,1,4:15.0,,Defensive rebound by D. Jordan,15,19
72,1,4:13.0,,L. Dončić makes 3-pt jump shot from 25 ft (assist by D. Jordan),15,22
73,1,4:12.0,Washington full timeout,,15,22
74,1,4:12.0,A. Rivers enters the game for O. Porter,,15,22
75,1,3:59.0,D. Howard misses 2-pt jump shot from 17 ft,,15,22
76,1,3:57.0,,Defensive rebound by H. Barnes,15,22
77,1,3:50.0,,D. Smith misses 2-pt jump shot from 8 ft,15,22
78,1,3:47.0,Defensive rebound by K. Oubre,,15,22
79,1,3:37.0,Turnover by J. Wall (bad pass),,15,22
80,1,3:37.0,,J. Barea enters the game for D. Smith,15,22
81,1,3:14.0,,L. Dončić makes 2-pt jump shot from 12 ft (assist by D. Jordan),15,24
82,1,2:51.0,B. Beal makes 3-pt jump shot from 26 ft (assist by J. Wall),,18,24
83,1,2:39.0,,Personal foul by B. Beal (drawn by H. Barnes),18,24
84,1,2:39.0,,H. Barnes makes free throw 1 of 2,18,25
85,1,2:39.0,J. Green enters the game for D. Howard,,18,25
86,1,2:39.0,T. Satoranský enters the game for J. Wall,,18,25
87,1,2:39.0,,D. Powell enters the game for D. Jordan,18,25
88,1,2:39.0,,H. Barnes makes free throw 2 of 2,18,26
89,1,2:18.0,A. Rivers makes 2-pt layup from 4 ft (assist by B. Beal),,20,26
90,1,2:08.0,,Turnover by L. Dončić (bad pass; steal by T. Satoranský),20,26
91,1,1:54.0,Turnover by A. Rivers (bad pass; steal by L. Dončić),,20,26
92,1,1:43.0,,J. Barea misses 2-pt jump shot from 19 ft,20,26
93,1,1:40.0,,Offensive rebound by H. Barnes,20,26
94,1,1:40.0,,H. Barnes makes 2-pt layup from 1 ft,20,28
95,1,1:18.0,A. Rivers makes 3-pt jump shot from 25 ft (assist by K. Oubre),,23,28
96,1,1:06.0,,J. Barea misses 3-pt jump shot from 27 ft,23,28
97,1,1:04.0,,Offensive rebound by D. Finney-Smith,23,28
98,1,1:01.0,,Shooting foul by K. Oubre (drawn by D. Finney-Smith),23,28
99,1,1:01.0,,D. Finney-Smith makes free throw 1 of 2,23,29
