,QUARTER,TIME_REMAINING,PORTLAND_ACTION,PHILADELPHIA_ACTION,PORTLAND_SCORE,PHILADELPHIA_SCORE
0,1,11:41.0,D. Lillard misses 3-pt jump shot from 26 ft,,0,0
1,1,11:37.0,,Defensive rebound by T. Harris,0,0
2,1,11:29.0,,J. Butler makes 2-pt jump shot from 14 ft (assist by B. Simmons),0,2
3,1,11:21.0,C. McCollum makes 2-pt layup from 1 ft,,2,2
4,1,11:09.0,,J. Butler makes 2-pt jump shot from 4 ft,2,4
5,1,10:48.0,C. McCollum misses 2-pt jump shot from 16 ft,,2,4
6,1,10:44.0,,Defensive rebound by J. Butler,2,4
7,1,10:35.0,,J. Redick misses 2-pt layup from 3 ft,2,4
8,1,10:32.0,Defensive rebound by M. Harkless,,2,4
9,1,10:25.0,Turnover by A. Aminu (bad pass; steal by B. Marjanović),,2,4
10,1,10:16.0,,B. Simmons makes 2-pt layup from 2 ft (assist by B. Marjanović),2,6
11,1,9:58.0,C. McCollum misses 3-pt jump shot from 25 ft,,2,6
12,1,9:56.0,,Defensive rebound by B. Simmons,2,6
13,1,9:49.0,,T. Harris misses 3-pt jump shot from 24 ft,2,6
14,1,9:45.0,Defensive rebound by J. Nurkić,,2,6
15,1,9:34.0,D. Lillard makes 2-pt jump shot from 19 ft,,4,6
16,1,9:21.0,,B. Marjanović misses 2-pt layup from 3 ft (block by M. Harkless),4,6
17,1,9:18.0,Defensive rebound by J. Nurkić,,4,6
18,1,9:14.0,A. Aminu misses 3-pt jump shot from 23 ft,,4,6
19,1,9:10.0,,Defensive rebound by B. Marjanović,4,6
20,1,9:05.0,,B. Simmons misses 2-pt jump shot from 7 ft,4,6
21,1,9:02.0,,Offensive rebound by B. Simmons,4,6
22,1,8:52.0,,B. Simmons misses 2-pt jump shot from 10 ft,4,6
23,1,8:49.0,,Offensive rebound by B. Marjanović,4,6
24,1,8:46.0,,B. Simmons makes 2-pt layup from 1 ft (assist by B. Marjanović),4,8
25,1,8:30.0,A. Aminu misses 2-pt jump shot from 18 ft,,4,8
26,1,8:26.0,,Defensive rebound by J. Redick,4,8
27,1,8:13.0,,T. Harris makes 2-pt jump shot from 9 ft,4,10
28,1,7:58.0,D. Lillard makes 2-pt jump shot from 15 ft,,6,10
29,1,7:37.0,,Shooting foul by J. Nurkić (drawn by B. Simmons),6,10
30,1,7:37.0,,B. Simmons makes free throw 1 of 2,6,11
31,1,7:37.0,,B. Simmons makes free throw 2 of 2,6,12
32,1,7:23.0,D. Lillard makes 2-pt jump shot from 15 ft,,8,12
33,1,7:13.0,,Personal foul by M. Harkless (drawn by B. Simmons),8,12
34,1,7:08.0,,B. Simmons misses 2-pt jump shot from 11 ft,8,12
35,1,7:05.0,Defensive rebound by A. Aminu,,8,12
36,1,6:56.0,A. Aminu misses 3-pt jump shot from 26 ft,,8,12
37,1,6:53.0,Offensive rebound by J. Nurkić,,8,12
38,1,6:48.0,C. McCollum misses 3-pt jump shot from 26 ft,,8,12
39,1,6:46.0,Offensive rebound by J. Nurkić,,8,12
40,1,6:45.0,J. Nurkić makes 2-pt hook shot from 5 ft,,10,12
41,1,6:37.0,,J. Butler misses 3-pt jump shot from 26 ft,10,12
42,1,6:34.0,Defensive rebound by A. Aminu,,10,12
43,1,6:32.0,Turnover by D. Lillard (bad pass; steal by J. Redick),,10,12
44,1,6:31.0,,Personal take foul by M. Harkless (drawn by J. Redick),10,12
45,1,6:31.0,,Philadelphia full timeout,10,12
46,1,6:31.0,,J. Bolden enters the game for J. Butler,10,12
47,1,6:31.0,,J. Ennis enters the game for B. Marjanović,10,12
48,1,6:31.0,,J. Simmons enters the game for J. Redick,10,12
49,1,6:19.0,,J. Ennis misses 2-pt layup from 2 ft,10,12
50,1,6:17.0,Defensive rebound by A. Aminu,,10,12
51,1,6:10.0,J. Nurkić misses 2-pt layup from 4 ft (block by J. Bolden),,10,12
52,1,6:10.0,Offensive rebound by Team,,10,12
53,1,6:01.0,C. McCollum makes 2-pt layup from 2 ft (assist by D. Lillard),,12,12
54,1,5:47.0,,Turnover by J. Bolden (bad pass),12,12
55,1,5:31.0,M. Harkless makes 2-pt layup from 7 ft (assist by D. Lillard),,14,12
56,1,5:29.0,,Philadelphia full timeout,14,12
57,1,5:20.0,Violation by Team (kicked ball),,14,12
58,1,5:06.0,,Turnover by J. Simmons (lost ball; steal by M. Harkless),14,12
59,1,5:02.0,A. Aminu makes 2-pt layup from 8 ft (assist by M. Harkless),,16,12
60,1,5:02.0,Shooting foul by T. Harris (drawn by A. Aminu),,16,12
61,1,5:02.0,A. Aminu makes free throw 1 of 1,,17,12
62,1,4:52.0,,Shooting foul by D. Lillard (drawn by J. Ennis),17,12
63,1,4:52.0,,J. Ennis makes free throw 1 of 2,17,13
64,1,4:52.0,R. Hood enters the game for M. Harkless,,17,13
65,1,4:52.0,,J. Ennis makes free throw 2 of 2,17,14
66,1,4:32.0,R. Hood makes 2-pt jump shot from 16 ft (assist by J. Nurkić),,19,14
67,1,4:21.0,,T. Harris makes 3-pt jump shot from 25 ft (assist by B. Simmons),19,17
68,1,4:03.0,A. Aminu makes 2-pt dunk from 1 ft (assist by J. Nurkić),,21,17
69,1,3:52.0,,Turnover by J. Ennis (bad pass; steal by C. McCollum),21,17
70,1,3:49.0,Personal foul by J. Simmons (drawn by J. Nurkić),,21,17
71,1,3:49.0,E. Freedom enters the game for C. McCollum,,21,17
72,1,3:49.0,J. Layman enters the game for J. Nurkić,,21,17
73,1,3:29.0,R. Hood makes 2-pt jump shot from 21 ft (assist by E. Freedom),,23,17
74,1,3:18.0,,B. Simmons makes 2-pt hook shot from 1 ft,23,19
75,1,3:06.0,Personal foul by J. Ennis (drawn by E. Freedom),,23,19
76,1,3:06.0,S. Curry enters the game for A. Aminu,,23,19
77,1,3:06.0,,J. Butler enters the game for J. Bolden,23,19
78,1,3:06.0,,B. Marjanović enters the game for J. Ennis,23,19
79,1,3:06.0,,T. McConnell enters the game for T. Harris,23,19
80,1,3:06.0,,J. Redick enters the game for B. Simmons,23,19
81,1,3:06.0,,M. Scott enters the game for J. Simmons,23,19
82,1,3:05.0,Turnover by S. Curry (bad pass; steal by T. McConnell),,23,19
83,1,3:03.0,,T. McConnell makes 2-pt layup from 1 ft,23,21
84,1,2:41.0,R. Hood misses 2-pt layup from 10 ft (block by J. Butler),,23,21
85,1,2:41.0,,Defensive rebound by Team,23,21
86,1,2:29.0,,J. Redick misses 3-pt jump shot from 26 ft,23,21
87,1,2:25.0,Defensive rebound by D. Lillard,,23,21
88,1,2:20.0,E. Freedom misses 2-pt layup from 3 ft,,23,21
89,1,2:19.0,Offensive rebound by J. Layman,,23,21
90,1,2:19.0,J. Layman misses 2-pt layup from 3 ft,,23,21
91,1,2:19.0,Offensive rebound by J. Layman,,23,21
92,1,2:14.0,J. Layman misses 2-pt jump shot from 5 ft,,23,21
93,1,2:11.0,Offensive rebound by J. Layman,,23,21
94,1,2:11.0,Shooting foul by B. Marjanović (drawn by J. Layman),,23,21
95,1,2:11.0,J. Layman makes free throw 1 of 2,,24,21
96,1,2:11.0,J. Layman makes free throw 2 of 2,,25,21
97,1,1:56.0,,J. Redick misses 2-pt jump shot from 17 ft,25,21
98,1,1:52.0,Defensive rebound by E. Freedom,,25,21
99,1,1:38.0,E. Freedom misses 2-pt layup from 3 ft,,25,21
100,1,1:36.0,,Defensive rebound by T. McConnell,25,21
101,1,1:32.0,,T. McConnell misses 2-pt jump shot from 5 ft,25,21
102,1,1:30.0,Defensive rebound by E. Freedom,,25,21
103,1,1:24.0,D. Lillard misses 3-pt jump shot from 26 ft,,25,21
104,1,1:24.0,,Defensive rebound by B. Marjanović,25,21
105,1,1:07.0,,Personal foul by J. Layman (drawn by M. Scott),25,21
106,1,1:07.0,,M. Scott misses free throw 1 of 2,25,21
107,1,1:07.0,,Offensive rebound by Team,25,21
108,1,1:07.0,,M. Scott makes free throw 2 of 2,25,22
109,1,0:54.0,D. Lillard misses 3-pt jump shot from 26 ft,,25,22
110,1,0:52.0,,Defensive rebound by J. Butler,25,22
111,1,0:45.0,,Shooting foul by S. Curry (drawn by M. Scott),25,22
112,1,0:45.0,,M. Scott misses free throw 1 of 2,25,22
113,1,0:45.0,,Offensive rebound by Team,25,22
114,1,0:45.0,,M. Scott makes free throw 2 of 2,25,23
115,1,0:36.0,Personal foul by T. McConnell (drawn by D. Lillard),,25,23
116,1,0:36.0,D. Lillard makes free throw 1 of 2,,26,23
117,1,0:36.0,D. Lillard makes free throw 2 of 2,,27,23
118,1,0:25.0,,B. Marjanović makes 2-pt hook shot from 8 ft (assist by T. McConnell),27,25
119,1,0:01.0,R. Hood misses 3-pt jump shot from 28 ft,,27,25
120,1,0:01.0,Offensive rebound by Team,,27,25
121,2,11:46.0,,J. Redick misses 2-pt jump shot from 13 ft,27,25
122,2,11:44.0,Defensive rebound by C. McCollum,,27,25
123,2,11:37.0,E. Freedom misses 2-pt jump shot from 18 ft,,27,25
124,2,11:35.0,Offensive rebound by J. Layman,,27,25
125,2,11:35.0,J. Layman misses 2-pt layup at rim,,27,25
126,2,11:35.0,,Defensive rebound by Team,27,25
127,2,11:26.0,,Personal foul by R. Hood (drawn by T. McConnell),27,25
128,2,11:16.0,,J. Butler makes 2-pt layup from 1 ft,27,27
129,2,10:54.0,Turnover by J. Layman (dbl dribble),,27,27
130,2,10:39.0,,T. McConnell makes 2-pt jump shot from 9 ft (assist by J. Butler),27,29
131,2,10:18.0,C. McCollum misses 2-pt jump shot from 9 ft,,27,29
132,2,10:15.0,Offensive rebound by C. McCollum,,27,29
133,2,10:11.0,J. Layman makes 2-pt dunk from 1 ft (assist by S. Curry),,29,29
134,2,9:59.0,,Shooting foul by E. Freedom (drawn by J. Butler),29,29
135,2,9:59.0,,J. Butler makes free throw 1 of 2,29,30
136,2,9:59.0,,J. Butler makes free throw 2 of 2,29,31
137,2,9:42.0,C. McCollum misses 2-pt jump shot from 18 ft,,29,31
138,2,9:40.0,,Defensive rebound by M. Scott,29,31
139,2,9:32.0,,J. Butler misses 2-pt layup from 5 ft (block by J. Layman),29,31
140,2,9:29.0,Defensive rebound by J. Layman,,29,31
141,2,9:16.0,E. Freedom makes 2-pt hook shot from 4 ft,,31,31
142,2,8:55.0,,B. Marjanović makes 2-pt jump shot at rim (assist by J. Butler),31,33
143,2,8:44.0,R. Hood makes 3-pt jump shot from 26 ft (assist by E. Freedom),,34,33
144,2,8:27.0,,Personal foul by R. Hood (drawn by J. Butler),34,33
145,2,8:27.0,,J. Bolden enters the game for J. Butler,34,33
146,2,8:27.0,,T. Harris enters the game for B. Marjanović,34,33
147,2,8:27.0,,B. Simmons enters the game for T. McConnell,34,33
148,2,8:27.0,,J. Simmons enters the game for J. Redick,34,33
149,2,8:13.0,,T. Harris misses 2-pt jump shot from 5 ft,34,33
150,2,8:10.0,Defensive rebound by C. McCollum,,34,33
151,2,7:59.0,Turnover by C. McCollum (bad pass),,34,33
152,2,7:49.0,,J. Bolden makes 2-pt layup from 2 ft (assist by J. Simmons),34,35
153,2,7:41.0,C. McCollum misses 2-pt layup from 3 ft,,34,35
154,2,7:35.0,Offensive rebound by E. Freedom,,34,35
155,2,7:35.0,E. Freedom misses 2-pt dunk at rim,,34,35
156,2,7:35.0,Offensive rebound by E. Freedom,,34,35
157,2,7:34.0,E. Freedom makes 2-pt layup at rim,,36,35
158,2,7:34.0,M. Harkless enters the game for R. Hood,,36,35
159,2,7:26.0,,M. Scott makes 2-pt jump shot from 10 ft (assist by B. Simmons),36,37
160,2,7:09.0,S. Curry misses 2-pt jump shot from 12 ft,,36,37
161,2,7:08.0,Offensive rebound by E. Freedom,,36,37
162,2,7:06.0,Turnover by E. Freedom (lost ball; steal by T. Harris),,36,37
163,2,7:02.0,,J. Simmons misses 2-pt layup from 1 ft (block by S. Curry),36,37
164,2,7:02.0,,Offensive rebound by Team,36,37
165,2,7:02.0,A. Aminu enters the game for E. Freedom,,36,37
166,2,7:02.0,J. Nurkić enters the game for J. Layman,,36,37
167,2,6:59.0,,T. Harris makes 2-pt jump shot from 15 ft (assist by B. Simmons),36,39
168,2,6:42.0,M. Harkless makes 3-pt jump shot from 26 ft (assist by C. McCollum),,39,39
169,2,6:36.0,,T. Harris makes 2-pt layup at rim (assist by B. Simmons),39,41
170,2,6:36.0,,Shooting foul by A. Aminu (drawn by T. Harris),39,41
171,2,6:36.0,,Philadelphia full timeout,39,41
