,QUARTER,TIME_REMAINING,ATLANTA_ACTION,MIAMI_ACTION,ATLANTA_SCORE,MIAMI_SCORE
0,1,11:42.0,,H. Whiteside misses 2-pt layup from 2 ft (block by J. Collins),0,0
1,1,11:38.0,Defensive rebound by T. Prince,,0,0
2,1,11:33.0,T. Prince makes 2-pt layup at rim,,2,0
3,1,11:22.0,,J. Richardson makes 2-pt layup from 2 ft,2,2
4,1,11:05.0,Turnover by K. Huerter (lost ball; steal by W. Ellington),,2,2
5,1,10:59.0,,W. Ellington makes 3-pt jump shot from 25 ft (assist by J. Richardson),2,5
6,1,10:45.0,T. Young misses 2-pt jump shot from 11 ft,,2,5
7,1,10:43.0,,Defensive rebound by H. Whiteside,2,5
8,1,10:35.0,,W. Ellington makes 3-pt jump shot from 24 ft (assist by J. Johnson),2,8
9,1,10:21.0,J. Collins misses 3-pt jump shot from 23 ft,,2,8
10,1,10:19.0,,Defensive rebound by R. McGruder,2,8
11,1,10:18.0,,Shooting foul by J. Collins (drawn by J. Richardson),2,8
12,1,10:18.0,,J. Richardson misses free throw 1 of 2,2,8
13,1,10:18.0,,Offensive rebound by Team,2,8
14,1,10:18.0,,J. Richardson makes free throw 2 of 2,2,9
15,1,10:05.0,Shooting foul by W. Ellington (drawn by T. Prince),,2,9
16,1,10:05.0,T. Prince makes free throw 1 of 2,,3,9
17,1,10:05.0,T. Prince makes free throw 2 of 2,,4,9
18,1,9:40.0,,J. Johnson misses 3-pt jump shot from 23 ft,4,9
19,1,9:38.0,Defensive rebound by T. Prince,,4,9
20,1,9:30.0,J. Collins makes 2-pt layup from 1 ft (assist by K. Huerter),,6,9
21,1,9:18.0,,R. McGruder makes 2-pt jump shot from 12 ft,6,11
22,1,8:58.0,D. Dedmon makes 3-pt jump shot from 26 ft (assist by T. Young),,9,11
23,1,8:46.0,,J. Johnson misses 2-pt jump shot from 15 ft,9,11
24,1,8:44.0,Defensive rebound by T. Young,,9,11
25,1,8:43.0,K. Huerter makes 2-pt dunk from 1 ft (assist by T. Young),,11,11
26,1,8:30.0,,R. McGruder makes 2-pt jump shot from 6 ft (assist by J. Richardson),11,13
27,1,8:20.0,Offensive foul by D. Dedmon (drawn by J. Richardson),,11,13
28,1,8:20.0,Turnover by D. Dedmon (offensive foul),,11,13
29,1,8:07.0,,J. Richardson misses 2-pt jump shot from 13 ft,11,13
30,1,8:05.0,,Offensive rebound by H. Whiteside,11,13
31,1,8:03.0,,H. Whiteside makes 2-pt layup from 2 ft,11,15
32,1,7:55.0,Personal foul by H. Whiteside (drawn by D. Dedmon),,11,15
33,1,7:46.0,J. Collins makes 2-pt layup from 2 ft (assist by T. Young),,13,15
34,1,7:32.0,,Shooting foul by D. Dedmon (drawn by H. Whiteside),13,15
35,1,7:32.0,,H. Whiteside misses free throw 1 of 2,13,15
36,1,7:32.0,,Offensive rebound by Team,13,15
37,1,7:32.0,A. Len enters the game for D. Dedmon,,13,15
38,1,7:32.0,,H. Whiteside makes free throw 2 of 2,13,16
39,1,7:14.0,J. Collins makes 2-pt dunk at rim (assist by T. Young),,15,16
40,1,6:57.0,,W. Ellington misses 3-pt jump shot from 25 ft,15,16
41,1,6:57.0,Defensive rebound by Team,,15,16
42,1,6:57.0,,Miami full timeout,15,16
43,1,6:57.0,K. Bazemore enters the game for K. Huerter,,15,16
44,1,6:57.0,J. Lin enters the game for T. Prince,,15,16
45,1,6:57.0,,J. Winslow enters the game for J. Johnson,15,16
46,1,6:44.0,Turnover by T. Young (bad pass; steal by H. Whiteside),,15,16
47,1,6:28.0,,Shooting foul by K. Bazemore (drawn by H. Whiteside),15,16
48,1,6:28.0,,H. Whiteside misses free throw 1 of 2,15,16
49,1,6:28.0,,Offensive rebound by Team,15,16
50,1,6:28.0,O. Spellman enters the game for J. Collins,,15,16
51,1,6:28.0,,D. Wade enters the game for R. McGruder,15,16
52,1,6:28.0,,H. Whiteside misses free throw 2 of 2,15,16
53,1,6:24.0,Defensive rebound by A. Len,,15,16
54,1,6:15.0,A. Len makes 2-pt layup at rim (assist by J. Lin),,17,16
55,1,5:58.0,,J. Richardson misses 3-pt jump shot from 23 ft,17,16
56,1,5:55.0,Defensive rebound by T. Young,,17,16
57,1,5:47.0,T. Young makes 2-pt layup from 1 ft,,19,16
58,1,5:38.0,,W. Ellington makes 3-pt jump shot from 25 ft (assist by D. Wade),19,19
59,1,5:26.0,J. Lin misses 3-pt jump shot from 25 ft,,19,19
60,1,5:23.0,,Defensive rebound by J. Richardson,19,19
61,1,5:19.0,,D. Wade makes 2-pt layup from 1 ft (assist by J. Richardson),19,21
62,1,5:13.0,Personal foul by J. Richardson (drawn by T. Young),,19,21
63,1,5:13.0,D. Bembry enters the game for T. Young,,19,21
64,1,5:04.0,A. Len misses 3-pt jump shot from 23 ft,,19,21
65,1,5:01.0,,Defensive rebound by J. Richardson,19,21
66,1,4:52.0,,H. Whiteside makes 2-pt layup from 1 ft (assist by J. Winslow),19,23
67,1,4:52.0,,R. McGruder enters the game for W. Ellington,19,23
68,1,4:26.0,D. Bembry misses 2-pt layup from 1 ft,,19,23
69,1,4:26.0,Offensive rebound by O. Spellman,,19,23
70,1,4:26.0,Personal foul by J. Winslow (drawn by O. Spellman),,19,23
71,1,4:26.0,O. Spellman makes free throw 1 of 2,,20,23
72,1,4:26.0,O. Spellman makes free throw 2 of 2,,21,23
73,1,4:15.0,,J. Richardson makes 2-pt dunk from 1 ft (assist by D. Wade),21,25
74,1,3:55.0,O. Spellman misses 3-pt jump shot from 23 ft,,21,25
75,1,3:52.0,,Defensive rebound by R. McGruder,21,25
76,1,3:51.0,,Personal foul by D. Bembry (drawn by D. Wade),21,25
77,1,3:51.0,,B. Adebayo enters the game for H. Whiteside,21,25
78,1,3:36.0,,R. McGruder misses 2-pt jump shot from 12 ft,21,25
79,1,3:34.0,Defensive rebound by K. Bazemore,,21,25
80,1,3:31.0,Shooting foul by B. Adebayo (drawn by K. Bazemore),,21,25
81,1,3:31.0,K. Bazemore misses free throw 1 of 2,,21,25
82,1,3:31.0,Offensive rebound by Team,,21,25
83,1,3:31.0,J. Collins enters the game for A. Len,,21,25
84,1,3:31.0,K. Bazemore makes free throw 2 of 2,,22,25
85,1,3:23.0,,Shooting foul by J. Lin (drawn by D. Wade),22,25
86,1,3:23.0,,D. Wade misses free throw 1 of 2,22,25
87,1,3:23.0,,Offensive rebound by Team,22,25
88,1,3:23.0,,K. Olynyk enters the game for J. Richardson,22,25
89,1,3:23.0,,D. Wade makes free throw 2 of 2,22,26
90,1,3:07.0,Turnover by K. Bazemore (lost ball; steal by J. Winslow),,22,26
91,1,3:03.0,,Turnover by J. Winslow (bad pass; steal by D. Bembry),22,26
92,1,2:54.0,J. Lin makes 3-pt jump shot from 23 ft (assist by D. Bembry),,25,26
93,1,2:45.0,,Turnover by J. Winslow (bad pass; steal by O. Spellman),25,26
94,1,2:42.0,Turnover by J. Lin (bad pass; steal by R. McGruder),,25,26
95,1,2:38.0,,D. Wade makes 2-pt dunk from 1 ft (assist by R. McGruder),25,28
96,1,2:38.0,Atlanta full timeout,,25,28
97,1,2:38.0,T. Prince enters the game for J. Lin,,25,28
98,1,2:38.0,T. Young enters the game for O. Spellman,,25,28
99,1,2:19.0,Turnover by T. Young (bad pass; steal by K. Olynyk),,25,28
100,1,2:15.0,,Turnover by J. Winslow (bad pass; steal by D. Bembry),25,28
101,1,2:10.0,D. Bembry misses 2-pt layup from 1 ft,,25,28
102,1,2:06.0,,Defensive rebound by K. Olynyk,25,28
103,1,2:02.0,,Shooting foul by T. Prince (drawn by R. McGruder),25,28
104,1,2:02.0,,R. McGruder makes free throw 1 of 2,25,29
105,1,2:02.0,,R. McGruder makes free throw 2 of 2,25,30
106,1,1:52.0,D. Bembry makes 2-pt layup from 1 ft,,27,30
107,1,1:37.0,,J. Winslow misses 2-pt layup from 1 ft,27,30
108,1,1:33.0,,Offensive rebound by B. Adebayo,27,30
109,1,1:33.0,,B. Adebayo makes 2-pt dunk at rim,27,32
110,1,1:27.0,T. Prince misses 3-pt jump shot from 23 ft,,27,32
111,1,1:25.0,,Defensive rebound by J. Winslow,27,32
112,1,1:16.0,,J. Winslow makes 2-pt layup from 1 ft (assist by R. McGruder),27,34
113,1,1:00.0,T. Young makes 3-pt jump shot from 25 ft,,30,34
114,1,0:56.0,,Offensive foul by B. Adebayo (drawn by D. Bembry),30,34
115,1,0:56.0,,Turnover by B. Adebayo (offensive foul),30,34
116,1,0:45.0,T. Young makes 2-pt jump shot from 7 ft,,32,34
117,1,0:45.0,Violation by Team (delay of game),,32,34
118,1,0:41.0,,Shooting foul by J. Collins (drawn by B. Adebayo),32,34
119,1,0:41.0,,B. Adebayo makes free throw 1 of 2,32,35
120,1,0:41.0,A. Len enters the game for J. Collins,,32,35
121,1,0:41.0,,B. Adebayo makes free throw 2 of 2,32,36
122,1,0:32.0,Shooting foul by K. Olynyk (drawn by A. Len),,32,36
123,1,0:32.0,A. Len misses free throw 1 of 2,,32,36
124,1,0:32.0,Offensive rebound by Team,,32,36
125,1,0:32.0,A. Len makes free throw 2 of 2,,33,36
126,1,0:15.0,,Shooting foul by A. Len (drawn by D. Wade),33,36
127,1,0:15.0,,D. Wade makes free throw 1 of 2,33,37
128,1,0:15.0,,J. Johnson enters the game for K. Olynyk,33,37
129,1,0:15.0,,D. Wade makes free throw 2 of 2,33,38
130,1,0:15.0,,H. Whiteside enters the game for B. Adebayo,33,38
131,1,0:00.0,Shooting foul by J. Winslow (drawn by K. Bazemore),,33,38
132,1,0:00.0,K. Bazemore makes free throw 1 of 2,,34,38
133,1,0:00.0,K. Bazemore makes free throw 2 of 2,,35,38
134,2,11:49.0,Turnover by T. Prince (bad pass),,35,38
135,2,11:34.0,,Turnover by B. Adebayo (lost ball; steal by A. Len),35,38
136,2,11:26.0,K. Huerter makes 3-pt jump shot from 27 ft (assist by T. Prince),,38,38
137,2,11:06.0,,R. McGruder misses 2-pt jump shot from 8 ft,38,38
138,2,11:04.0,Defensive rebound by A. Len,,38,38
139,2,10:58.0,O. Spellman makes 3-pt jump shot from 23 ft (assist by T. Young),,41,38
140,2,10:37.0,,J. Winslow makes 3-pt jump shot from 26 ft (assist by R. McGruder),41,41
141,2,10:28.0,A. Len makes 2-pt dunk from 1 ft (assist by T. Young),,43,41
142,2,10:12.0,,D. Wade misses 2-pt layup from 4 ft,43,41
143,2,10:12.0,,Offensive rebound by Team,43,41
144,2,10:12.0,Loose ball foul by A. Len (drawn by K. Olynyk),,43,41
145,2,10:12.0,D. Dedmon enters the game for A. Len,,43,41
146,2,10:05.0,,K. Olynyk makes 3-pt jump shot from 25 ft (assist by R. McGruder),43,44
147,2,9:49.0,T. Prince makes 2-pt layup from 1 ft,,45,44
148,2,9:34.0,,D. Wade makes 2-pt jump shot from 7 ft,45,46
149,2,9:22.0,T. Young misses 2-pt jump shot from 9 ft,,45,46
150,2,9:18.0,,Defensive rebound by B. Adebayo,45,46
151,2,9:12.0,,Turnover by K. Olynyk (out of bounds lost ball),45,46
152,2,9:12.0,,H. Whiteside enters the game for B. Adebayo,45,46
153,2,8:59.0,K. Huerter misses 2-pt layup from 1 ft,,45,46
154,2,8:58.0,,Defensive rebound by H. Whiteside,45,46
155,2,8:45.0,,K. Olynyk misses 3-pt jump shot from 27 ft,45,46
156,2,8:42.0,Defensive rebound by T. Prince,,45,46
157,2,8:32.0,T. Prince misses 2-pt jump shot from 11 ft (block by H. Whiteside),,45,46
158,2,8:28.0,Offensive rebound by T. Prince,,45,46
159,2,8:22.0,T. Prince makes 3-pt jump shot from 22 ft (assist by D. Dedmon),,48,46
160,2,8:16.0,,Miami full timeout,48,46
161,2,8:16.0,J. Lin enters the game for T. Young,,48,46
162,2,8:16.0,,W. Ellington enters the game for R. McGruder,48,46
163,2,8:16.0,,J. Johnson enters the game for K. Olynyk,48,46
164,2,8:16.0,,J. Richardson enters the game for D. Wade,48,46
165,2,8:05.0,,W. Ellington misses 3-pt jump shot from 26 ft,48,46
166,2,8:02.0,Defensive rebound by J. Lin,,48,46
167,2,7:41.0,T. Prince misses 3-pt jump shot from 25 ft,,48,46
168,2,7:39.0,,Defensive rebound by J. Johnson,48,46
169,2,7:31.0,,J. Winslow misses 3-pt jump shot from 25 ft,48,46
170,2,7:29.0,,Offensive rebound by H. Whiteside,48,46
171,2,7:27.0,,Turnover by H. Whiteside (lost ball; steal by O. Spellman),48,46
172,2,7:21.0,Turnover by T. Prince (bad pass; steal by J. Johnson),,48,46
173,2,7:12.0,,W. Ellington misses 2-pt jump shot from 4 ft,48,46
174,2,7:09.0,Defensive rebound by D. Dedmon,,48,46
175,2,7:06.0,K. Huerter misses 3-pt jump shot from 26 ft,,48,46
176,2,7:01.0,,Defensive rebound by W. Ellington,48,46
177,2,6:48.0,,Turnover by H. Whiteside (lost ball; steal by D. Dedmon),48,46
178,2,6:43.0,K. Huerter makes 3-pt jump shot from 23 ft (assist by D. Dedmon),,51,46
179,2,6:26.0,,J. Winslow makes 2-pt layup from 2 ft,51,48
180,2,6:09.0,Turnover by O. Spellman (lost ball; steal by J. Richardson),,51,48
181,2,6:04.0,,W. Ellington misses 2-pt layup from 2 ft (block by T. Prince),51,48
182,2,6:00.0,Defensive rebound by J. Lin,,51,48
183,2,5:44.0,Turnover by J. Lin (lost ball; steal by H. Whiteside),,51,48
184,2,5:44.0,,Personal foul by T. Prince (drawn by J. Richardson),51,48
185,2,5:44.0,K. Bazemore enters the game for K. Huerter,,51,48
186,2,5:44.0,D. Bembry enters the game for T. Prince,,51,48
187,2,5:44.0,J. Collins enters the game for O. Spellman,,51,48
188,2,5:44.0,,D. Jones enters the game for J. Winslow,51,48
189,2,5:31.0,,W. Ellington misses 3-pt jump shot from 23 ft,51,48
190,2,5:25.0,Defensive rebound by D. Dedmon,,51,48
191,2,5:10.0,K. Bazemore misses 3-pt jump shot from 24 ft,,51,48
192,2,5:07.0,,Defensive rebound by W. Ellington,51,48
193,2,4:50.0,,Shooting foul by D. Dedmon (drawn by J. Richardson),51,48
194,2,4:50.0,,J. Richardson makes free throw 1 of 2,51,49
195,2,4:50.0,A. Len enters the game for D. Dedmon,,51,49
196,2,4:50.0,,J. Richardson makes free throw 2 of 2,51,50
197,2,4:37.0,Turnover by J. Lin (bad pass; steal by W. Ellington),,51,50
198,2,4:29.0,,W. Ellington misses 3-pt jump shot from 23 ft,51,50
199,2,4:26.0,Defensive rebound by D. Bembry,,51,50
200,2,4:26.0,Personal foul by W. Ellington (drawn by D. Bembry),,51,50
201,2,4:19.0,D. Bembry misses 3-pt jump shot from 25 ft,,51,50
202,2,4:16.0,Offensive rebound by A. Len,,51,50
203,2,4:07.0,A. Len makes 2-pt hook shot from 7 ft,,53,50
204,2,3:57.0,,J. Johnson misses 3-pt jump shot from 26 ft,53,50
205,2,3:53.0,Defensive rebound by D. Bembry,,53,50
206,2,3:47.0,K. Bazemore misses 3-pt jump shot from 23 ft,,53,50
207,2,3:43.0,,Defensive rebound by H. Whiteside,53,50
208,2,3:24.0,,H. Whiteside misses 2-pt jump shot from 17 ft,53,50
209,2,3:22.0,Defensive rebound by D. Bembry,,53,50
210,2,3:12.0,K. Bazemore makes 2-pt layup from 1 ft,,55,50
211,2,3:12.0,,Miami full timeout,55,50
212,2,3:12.0,,B. Adebayo enters the game for J. Johnson,55,50
213,2,3:12.0,,D. Wade enters the game for H. Whiteside,55,50
214,2,3:01.0,,Turnover by B. Adebayo (out of bounds lost ball),55,50
215,2,2:46.0,D. Bembry makes 2-pt layup from 1 ft,,57,50
216,2,2:33.0,,Turnover by W. Ellington (bad pass; steal by D. Bembry),57,50
217,2,2:27.0,D. Bembry makes 2-pt dunk from 1 ft,,59,50
218,2,2:15.0,,D. Wade misses 2-pt jump shot from 8 ft,59,50
219,2,2:11.0,,Offensive rebound by B. Adebayo,59,50
220,2,2:04.0,,B. Adebayo makes 2-pt jump shot from 5 ft (assist by W. Ellington),59,52
221,2,1:59.0,Shooting foul by B. Adebayo (drawn by J. Lin),,59,52
222,2,1:59.0,J. Lin makes free throw 1 of 2,,60,52
223,2,1:59.0,J. Anderson enters the game for J. Collins,,60,52
224,2,1:59.0,,H. Whiteside enters the game for B. Adebayo,60,52
225,2,1:59.0,J. Lin makes free throw 2 of 2,,61,52
226,2,1:43.0,,Turnover by J. Richardson (bad pass),61,52
227,2,1:25.0,Turnover by K. Bazemore (lost ball; steal by W. Ellington),,61,52
228,2,1:21.0,,Turnover by J. Richardson (lost ball; steal by K. Bazemore),61,52
229,2,1:13.0,Turnover by D. Bembry (bad pass; steal by D. Jones),,61,52
230,2,1:07.0,,D. Jones misses 2-pt layup from 1 ft (block by A. Len),61,52
231,2,1:03.0,Defensive rebound by J. Lin,,61,52
232,2,1:01.0,J. Anderson misses 2-pt layup from 1 ft (block by H. Whiteside),,61,52
233,2,1:01.0,Offensive rebound by Team,,61,52
234,2,1:01.0,Technical foul by E. Spoelstra,,61,52
235,2,1:01.0,J. Lin makes technical free throw,,62,52
236,2,1:01.0,,R. McGruder enters the game for W. Ellington,62,52
237,2,0:53.0,Personal foul by J. Richardson (drawn by J. Lin),,62,52
238,2,0:53.0,J. Lin makes free throw 1 of 2,,63,52
239,2,0:53.0,J. Lin misses free throw 2 of 2,,63,52
240,2,0:50.0,,Defensive rebound by D. Jones,63,52
241,2,0:41.0,,Shooting foul by D. Bembry (drawn by H. Whiteside),63,52
