,QUARTER,TIME_REMAINING,MILWAUKEE_ACTION,CHARLOTTE_ACTION,MILWAUKEE_SCORE,CHARLOTTE_SCORE
0,1,11:47.0,B. Lopez makes 2-pt hook shot from 9 ft (assist by G. Antetokounmpo),,2,0
1,1,11:47.0,Shooting foul by C. Zeller (drawn by B. Lopez),,2,0
2,1,11:47.0,B. Lopez makes free throw 1 of 1,,3,0
3,1,11:35.0,,N. Batum misses 2-pt layup from 1 ft,3,0
4,1,11:33.0,Defensive rebound by K. Middleton,,3,0
5,1,11:31.0,K. Middleton makes 2-pt jump shot from 12 ft,,5,0
6,1,11:18.0,,K. Walker makes 2-pt jump shot from 13 ft,5,2
7,1,11:02.0,M. Brogdon makes 3-pt jump shot from 23 ft (assist by G. Antetokounmpo),,8,2
8,1,10:51.0,,K. Walker misses 3-pt jump shot from 25 ft,8,2
9,1,10:50.0,Defensive rebound by M. Brogdon,,8,2
10,1,10:41.0,Personal foul by J. Lamb (drawn by B. Lopez),,8,2
11,1,10:35.0,Turnover by B. Lopez (bad pass),,8,2
12,1,10:18.0,,K. Walker makes 3-pt jump shot from 25 ft (assist by N. Batum),8,5
13,1,10:00.0,E. Bledsoe makes 3-pt jump shot from 23 ft (assist by M. Brogdon),,11,5
14,1,9:42.0,,M. Williams misses 3-pt jump shot from 23 ft,11,5
15,1,9:40.0,Defensive rebound by K. Middleton,,11,5
16,1,9:37.0,E. Bledsoe makes 3-pt jump shot from 26 ft (assist by K. Middleton),,14,5
17,1,9:36.0,,Charlotte full timeout,14,5
18,1,9:24.0,,J. Lamb makes 3-pt jump shot from 25 ft (assist by M. Williams),14,8
19,1,9:11.0,B. Lopez misses 3-pt jump shot from 23 ft,,14,8
20,1,9:08.0,,Defensive rebound by M. Williams,14,8
21,1,8:55.0,,C. Zeller makes 3-pt jump shot from 26 ft (assist by K. Walker),14,11
22,1,8:35.0,G. Antetokounmpo misses 2-pt layup from 3 ft (block by M. Williams),,14,11
23,1,8:35.0,Offensive rebound by G. Antetokounmpo,,14,11
24,1,8:34.0,Shooting foul by N. Batum (drawn by G. Antetokounmpo),,14,11
25,1,8:34.0,G. Antetokounmpo misses free throw 1 of 2,,14,11
26,1,8:34.0,Offensive rebound by Team,,14,11
27,1,8:34.0,G. Antetokounmpo makes free throw 2 of 2,,15,11
28,1,8:29.0,,Personal foul by B. Lopez (drawn by C. Zeller),15,11
29,1,8:16.0,,J. Lamb misses 2-pt jump shot from 18 ft,15,11
30,1,8:12.0,Defensive rebound by G. Antetokounmpo,,15,11
31,1,8:06.0,Turnover by M. Brogdon (bad pass; steal by N. Batum),,15,11
32,1,8:02.0,,Turnover by N. Batum (lost ball; steal by K. Middleton),15,11
33,1,7:52.0,G. Antetokounmpo makes 2-pt dunk from 1 ft (assist by B. Lopez),,17,11
34,1,7:34.0,,K. Walker misses 2-pt jump shot from 15 ft,17,11
35,1,7:32.0,Defensive rebound by G. Antetokounmpo,,17,11
36,1,7:26.0,G. Antetokounmpo misses 2-pt layup from 2 ft,,17,11
37,1,7:23.0,,Defensive rebound by C. Zeller,17,11
38,1,7:18.0,,K. Walker misses 2-pt layup from 2 ft,17,11
39,1,7:16.0,Defensive rebound by G. Antetokounmpo,,17,11
40,1,7:12.0,M. Brogdon misses 3-pt jump shot from 25 ft,,17,11
41,1,7:09.0,,Defensive rebound by N. Batum,17,11
42,1,7:04.0,,J. Lamb misses 3-pt jump shot from 25 ft,17,11
43,1,7:01.0,Defensive rebound by G. Antetokounmpo,,17,11
44,1,6:46.0,B. Lopez makes 3-pt jump shot from 25 ft,,20,11
45,1,6:26.0,,N. Batum misses 3-pt jump shot from 26 ft,20,11
46,1,6:22.0,Defensive rebound by G. Antetokounmpo,,20,11
47,1,6:19.0,G. Antetokounmpo misses 3-pt jump shot from 27 ft,,20,11
48,1,6:14.0,Offensive rebound by E. Bledsoe,,20,11
49,1,6:12.0,B. Lopez misses 3-pt jump shot from 26 ft,,20,11
50,1,6:09.0,,Defensive rebound by M. Williams,20,11
51,1,5:51.0,,N. Batum misses 2-pt jump shot from 18 ft,20,11
52,1,5:47.0,Defensive rebound by G. Antetokounmpo,,20,11
53,1,5:40.0,Turnover by G. Antetokounmpo (lost ball; steal by J. Lamb),,20,11
54,1,5:32.0,,J. Lamb misses 2-pt layup from 2 ft (block by G. Antetokounmpo),20,11
55,1,5:29.0,Defensive rebound by B. Lopez,,20,11
56,1,5:26.0,Offensive foul by M. Brogdon (drawn by K. Walker),,20,11
57,1,5:26.0,Turnover by M. Brogdon (offensive foul),,20,11
58,1,5:26.0,D. DiVincenzo enters the game for G. Antetokounmpo,,20,11
59,1,5:26.0,E. İlyasova enters the game for M. Brogdon,,20,11
60,1,5:26.0,,W. Hernangómez enters the game for J. Lamb,20,11
61,1,5:26.0,,M. Kidd-Gilchrist enters the game for M. Williams,20,11
62,1,5:26.0,,M. Monk enters the game for C. Zeller,20,11
63,1,5:12.0,,Personal foul by E. Bledsoe (drawn by K. Walker),20,11
64,1,5:12.0,J. Henson enters the game for B. Lopez,,20,11
65,1,4:57.0,,M. Kidd-Gilchrist makes 2-pt layup from 2 ft (assist by M. Monk),20,13
66,1,4:36.0,E. İlyasova makes 3-pt jump shot from 26 ft (assist by E. Bledsoe),,23,13
67,1,4:19.0,,Offensive foul by W. Hernangómez (drawn by J. Henson),23,13
68,1,4:19.0,,Turnover by W. Hernangómez (offensive foul),23,13
69,1,4:10.0,E. Bledsoe makes 2-pt layup from 1 ft,,25,13
70,1,3:56.0,,M. Kidd-Gilchrist misses 2-pt layup from 1 ft (block by J. Henson),25,13
71,1,3:52.0,Defensive rebound by E. İlyasova,,25,13
72,1,3:49.0,K. Middleton makes 3-pt jump shot from 26 ft,,28,13
73,1,3:48.0,,Charlotte full timeout,28,13
74,1,3:48.0,,M. Bridges enters the game for N. Batum,28,13
75,1,3:48.0,,T. Parker enters the game for K. Walker,28,13
76,1,3:28.0,,M. Monk misses 2-pt jump shot from 19 ft,28,13
77,1,3:24.0,Defensive rebound by K. Middleton,,28,13
78,1,3:19.0,K. Middleton misses 2-pt layup from 2 ft (block by M. Kidd-Gilchrist),,28,13
79,1,3:16.0,,Defensive rebound by W. Hernangómez,28,13
80,1,3:13.0,,Flagrant foul type 1 by E. İlyasova (drawn by W. Hernangómez),28,13
81,1,3:13.0,,W. Hernangómez makes flagrant free throw 1 of 2,28,14
82,1,3:13.0,,W. Hernangómez makes flagrant free throw 2 of 2,28,15
83,1,3:13.0,M. Brogdon enters the game for E. Bledsoe,,28,15
84,1,3:06.0,,T. Parker makes 2-pt jump shot from 18 ft,28,17
85,1,2:58.0,Personal foul by T. Parker (drawn by D. DiVincenzo),,28,17
86,1,2:58.0,G. Antetokounmpo enters the game for K. Middleton,,28,17
87,1,2:46.0,M. Brogdon makes 2-pt jump shot from 9 ft,,30,17
88,1,2:33.0,,W. Hernangómez makes 2-pt layup from 1 ft (assist by T. Parker),30,19
89,1,2:28.0,Turnover by M. Brogdon (bad pass; steal by M. Monk),,30,19
90,1,2:19.0,,T. Parker makes 2-pt jump shot from 17 ft,30,21
91,1,1:57.0,Turnover by J. Henson (out of bounds lost ball),,30,21
92,1,1:38.0,,T. Parker misses 2-pt jump shot from 19 ft,30,21
93,1,1:33.0,Defensive rebound by E. İlyasova,,30,21
94,1,1:27.0,Personal foul by M. Bridges (drawn by G. Antetokounmpo),,30,21
95,1,1:27.0,G. Antetokounmpo makes free throw 1 of 2,,31,21
96,1,1:27.0,,K. Walker enters the game for M. Bridges,31,21
97,1,1:27.0,G. Antetokounmpo misses free throw 2 of 2,,31,21
98,1,1:22.0,,Defensive rebound by M. Monk,31,21
99,1,1:13.0,,M. Monk makes 2-pt jump shot from 13 ft,31,23
100,1,0:53.0,G. Antetokounmpo misses 2-pt layup from 5 ft,,31,23
101,1,0:52.0,Offensive rebound by J. Henson,,31,23
102,1,0:52.0,J. Henson misses 2-pt layup from 1 ft,,31,23
103,1,0:52.0,Offensive rebound by Team,,31,23
104,1,0:40.0,D. DiVincenzo makes 3-pt jump shot from 24 ft (assist by G. Antetokounmpo),,34,23
105,1,0:32.0,,K. Walker misses 3-pt jump shot from 25 ft,34,23
106,1,0:30.0,,Offensive rebound by Team,34,23
107,1,0:30.0,Loose ball foul by G. Antetokounmpo (drawn by M. Kidd-Gilchrist),,34,23
108,1,0:22.0,,W. Hernangómez misses 3-pt jump shot from 26 ft,34,23
109,1,0:18.0,Defensive rebound by G. Antetokounmpo,,34,23
110,1,0:02.0,J. Henson makes 2-pt dunk from 2 ft (assist by G. Antetokounmpo),,36,23
111,2,11:45.0,,M. Bridges misses 3-pt jump shot from 26 ft,36,23
112,2,11:40.0,Defensive rebound by J. Henson,,36,23
113,2,11:35.0,D. DiVincenzo makes 3-pt jump shot from 28 ft (assist by G. Antetokounmpo),,39,23
114,2,11:21.0,,M. Monk misses 2-pt jump shot from 20 ft,39,23
115,2,11:18.0,Defensive rebound by J. Henson,,39,23
116,2,11:12.0,M. Brogdon makes 3-pt jump shot from 25 ft (assist by G. Antetokounmpo),,42,23
117,2,10:53.0,,Shooting foul by J. Henson (drawn by M. Bridges),42,23
118,2,10:53.0,,M. Bridges makes free throw 1 of 2,42,24
119,2,10:53.0,C. Wood enters the game for J. Henson,,42,24
120,2,10:53.0,,M. Bridges misses free throw 2 of 2,42,24
121,2,10:50.0,Defensive rebound by G. Antetokounmpo,,42,24
122,2,10:35.0,Shooting foul by M. Williams (drawn by G. Antetokounmpo),,42,24
123,2,10:35.0,G. Antetokounmpo misses free throw 1 of 2,,42,24
124,2,10:35.0,Offensive rebound by Team,,42,24
125,2,10:35.0,G. Antetokounmpo misses free throw 2 of 2,,42,24
126,2,10:32.0,Offensive rebound by T. Snell,,42,24
127,2,10:28.0,M. Brogdon misses 3-pt jump shot from 23 ft,,42,24
128,2,10:25.0,Offensive rebound by G. Antetokounmpo,,42,24
129,2,10:21.0,M. Brogdon makes 2-pt layup from 2 ft (assist by G. Antetokounmpo),,44,24
130,2,9:58.0,,M. Monk makes 3-pt jump shot from 26 ft (assist by T. Parker),44,27
131,2,9:38.0,G. Antetokounmpo misses 3-pt jump shot from 26 ft,,44,27
132,2,9:34.0,Offensive rebound by D. DiVincenzo,,44,27
133,2,9:31.0,D. DiVincenzo misses 3-pt jump shot from 25 ft,,44,27
134,2,9:29.0,,Defensive rebound by M. Williams,44,27
135,2,9:26.0,,T. Parker makes 2-pt layup from 2 ft,44,29
136,2,9:06.0,M. Brogdon misses 3-pt jump shot from 23 ft,,44,29
137,2,9:03.0,,Defensive rebound by T. Parker,44,29
138,2,8:58.0,,T. Parker misses 2-pt layup from 1 ft,44,29
139,2,8:55.0,Defensive rebound by C. Wood,,44,29
140,2,8:52.0,G. Antetokounmpo makes 2-pt layup from 1 ft,,46,29
141,2,8:52.0,,Charlotte full timeout,46,29
142,2,8:52.0,E. Bledsoe enters the game for M. Brogdon,,46,29
143,2,8:52.0,K. Middleton enters the game for D. DiVincenzo,,46,29
144,2,8:52.0,,N. Batum enters the game for M. Bridges,46,29
145,2,8:52.0,,M. Kidd-Gilchrist enters the game for M. Monk,46,29
146,2,8:52.0,,J. Lamb enters the game for T. Parker,46,29
147,2,8:52.0,,K. Walker enters the game for C. Zeller,46,29
148,2,8:42.0,,Personal foul by G. Antetokounmpo (drawn by M. Williams),46,29
149,2,8:33.0,,M. Williams misses 3-pt jump shot from 25 ft,46,29
150,2,8:30.0,,Offensive rebound by M. Kidd-Gilchrist,46,29
151,2,8:27.0,,M. Williams misses 3-pt jump shot from 25 ft,46,29
152,2,8:24.0,Defensive rebound by K. Middleton,,46,29
153,2,8:15.0,C. Wood makes 3-pt jump shot from 26 ft (assist by K. Middleton),,49,29
154,2,8:00.0,,K. Walker makes 2-pt layup from 2 ft,49,31
155,2,7:43.0,Turnover by G. Antetokounmpo (bad pass; steal by N. Batum),,49,31
156,2,7:38.0,,J. Lamb makes 3-pt jump shot from 24 ft (assist by M. Kidd-Gilchrist),49,34
157,2,7:21.0,G. Antetokounmpo makes 2-pt dunk from 2 ft (assist by K. Middleton),,51,34
158,2,6:58.0,,K. Walker makes 3-pt jump shot from 27 ft (assist by J. Lamb),51,37
159,2,6:57.0,Milwaukee full timeout,,51,37
160,2,6:57.0,E. İlyasova enters the game for G. Antetokounmpo,,51,37
161,2,6:43.0,K. Middleton misses 3-pt jump shot from 26 ft,,51,37
162,2,6:39.0,,Defensive rebound by M. Williams,51,37
163,2,6:33.0,,K. Walker misses 2-pt layup from 2 ft (block by E. Bledsoe),51,37
164,2,6:33.0,,Offensive rebound by M. Kidd-Gilchrist,51,37
165,2,6:33.0,,Shooting foul by E. İlyasova (drawn by M. Kidd-Gilchrist),51,37
166,2,6:33.0,,M. Kidd-Gilchrist misses free throw 1 of 2,51,37
167,2,6:33.0,,Offensive rebound by Team,51,37
168,2,6:33.0,,M. Kidd-Gilchrist makes free throw 2 of 2,51,38
169,2,6:26.0,Personal foul by M. Kidd-Gilchrist (drawn by T. Snell),,51,38
170,2,6:26.0,,M. Monk enters the game for M. Williams,51,38
171,2,6:16.0,E. İlyasova makes 2-pt jump shot from 9 ft (assist by K. Middleton),,53,38
172,2,5:56.0,,Offensive foul by M. Kidd-Gilchrist (drawn by E. İlyasova),53,38
173,2,5:56.0,,Turnover by M. Kidd-Gilchrist (offensive foul),53,38
174,2,5:56.0,B. Lopez enters the game for C. Wood,,53,38
175,2,5:46.0,T. Snell misses 3-pt jump shot from 27 ft,,53,38
176,2,5:43.0,Offensive rebound by Team,,53,38
177,2,5:40.0,E. İlyasova makes 2-pt layup from 1 ft (assist by T. Snell),,55,38
178,2,5:24.0,,J. Lamb misses 3-pt jump shot from 26 ft,55,38
179,2,5:20.0,Defensive rebound by E. İlyasova,,55,38
180,2,5:14.0,E. Bledsoe misses 2-pt jump shot from 7 ft,,55,38
181,2,5:11.0,,Defensive rebound by N. Batum,55,38
182,2,5:08.0,,M. Kidd-Gilchrist misses 2-pt jump shot from 14 ft,55,38
183,2,5:04.0,,Offensive rebound by K. Walker,55,38
184,2,5:02.0,,N. Batum misses 3-pt jump shot from 26 ft,55,38
185,2,4:57.0,Defensive rebound by E. Bledsoe,,55,38
186,2,4:53.0,Offensive foul by K. Middleton (drawn by K. Walker),,55,38
187,2,4:53.0,Turnover by K. Middleton (offensive foul),,55,38
188,2,4:53.0,,C. Zeller enters the game for M. Kidd-Gilchrist,55,38
189,2,4:40.0,,J. Lamb misses 2-pt jump shot from 11 ft,55,38
190,2,4:38.0,,Offensive rebound by J. Lamb,55,38
191,2,4:37.0,,J. Lamb misses 2-pt layup from 2 ft,55,38
192,2,4:37.0,,Offensive rebound by J. Lamb,55,38
193,2,4:33.0,,J. Lamb makes 2-pt layup from 3 ft,55,40
194,2,4:18.0,Shooting foul by M. Monk (drawn by B. Lopez),,55,40
195,2,4:18.0,B. Lopez makes free throw 1 of 3,,56,40
196,2,4:18.0,B. Lopez makes free throw 2 of 3,,57,40
197,2,4:18.0,D. DiVincenzo enters the game for T. Snell,,57,40
198,2,4:18.0,B. Lopez makes free throw 3 of 3,,58,40
199,2,4:07.0,,M. Monk makes 3-pt jump shot from 25 ft (assist by K. Walker),58,43
200,2,3:57.0,Offensive foul by B. Lopez (drawn by J. Lamb),,58,43
201,2,3:57.0,Turnover by B. Lopez (offensive foul),,58,43
202,2,3:45.0,,K. Walker makes 2-pt jump shot from 12 ft,58,45
203,2,3:45.0,Milwaukee full timeout,,58,45
204,2,3:45.0,G. Antetokounmpo enters the game for E. İlyasova,,58,45
205,2,3:34.0,K. Middleton makes 3-pt jump shot from 23 ft (assist by E. Bledsoe),,61,45
206,2,3:20.0,,M. Monk misses 3-pt jump shot from 25 ft,61,45
207,2,3:17.0,Defensive rebound by E. Bledsoe,,61,45
208,2,3:08.0,Turnover by G. Antetokounmpo (traveling),,61,45
209,2,3:08.0,M. Brogdon enters the game for E. Bledsoe,,61,45
210,2,3:08.0,E. İlyasova enters the game for K. Middleton,,61,45
211,2,2:56.0,,Turnover by K. Walker (bad pass; steal by B. Lopez),61,45
212,2,2:52.0,D. DiVincenzo makes 2-pt layup from 2 ft,,63,45
213,2,2:35.0,,K. Walker misses 3-pt jump shot from 25 ft,63,45
214,2,2:32.0,Defensive rebound by G. Antetokounmpo,,63,45
215,2,2:22.0,D. DiVincenzo misses 3-pt jump shot from 27 ft,,63,45
216,2,2:20.0,,Defensive rebound by N. Batum,63,45
217,2,2:12.0,,Personal foul by G. Antetokounmpo (drawn by J. Lamb),63,45
218,2,2:04.0,,K. Walker makes 2-pt layup from 4 ft (assist by M. Monk),63,47
219,2,1:49.0,E. İlyasova makes 2-pt layup from 2 ft (assist by M. Brogdon),,65,47
220,2,1:40.0,,Shooting foul by B. Lopez (drawn by C. Zeller),65,47
221,2,1:40.0,,C. Zeller makes free throw 1 of 2,65,48
222,2,1:40.0,E. Bledsoe enters the game for G. Antetokounmpo,,65,48
223,2,1:40.0,J. Henson enters the game for B. Lopez,,65,48
224,2,1:40.0,,C. Zeller makes free throw 2 of 2,65,49
225,2,1:27.0,E. Bledsoe misses 2-pt jump shot from 14 ft,,65,49
226,2,1:22.0,Offensive rebound by E. İlyasova,,65,49
227,2,1:22.0,E. İlyasova misses 2-pt layup from 1 ft,,65,49
228,2,1:22.0,Offensive rebound by J. Henson,,65,49
229,2,1:19.0,J. Henson misses 2-pt layup from 1 ft,,65,49
230,2,1:18.0,,Defensive rebound by M. Monk,65,49
231,2,1:11.0,,J. Lamb makes 2-pt jump shot from 11 ft (assist by K. Walker),65,51
232,2,1:03.0,Turnover by E. Bledsoe (bad pass; steal by C. Zeller),,65,51
233,2,0:59.0,,M. Monk misses 3-pt jump shot from 27 ft,65,51
234,2,0:56.0,Defensive rebound by M. Brogdon,,65,51
235,2,0:51.0,Turnover by J. Henson (bad pass),,65,51
236,2,0:51.0,,M. Kidd-Gilchrist enters the game for C. Zeller,65,51
237,2,0:51.0,Violation by Team (delay of game),,65,51
238,2,0:38.0,,M. Kidd-Gilchrist misses 2-pt jump shot from 19 ft,65,51
239,2,0:35.0,Defensive rebound by J. Henson,,65,51
240,2,0:22.0,E. İlyasova makes 2-pt jump shot from 5 ft (assist by D. DiVincenzo),,67,51
241,2,0:02.0,,K. Walker makes 3-pt jump shot from 26 ft,67,54
242,2,0:02.0,,Shooting foul by E. Bledsoe (drawn by K. Walker),67,54
243,2,0:02.0,,K. Walker misses free throw 1 of 1,67,54
244,2,0:02.0,Defensive rebound by J. Henson,,67,54
245,3,11:43.0,,J. Lamb misses 2-pt jump shot from 10 ft,67,54
246,3,11:41.0,Defensive rebound by G. Antetokounmpo,,67,54
247,3,11:21.0,G. Antetokounmpo makes 2-pt layup from 5 ft (assist by E. Bledsoe),,69,54
248,3,11:10.0,,N. Batum misses 2-pt jump shot from 21 ft,69,54
249,3,11:10.0,Defensive rebound by G. Antetokounmpo,,69,54
250,3,10:59.0,G. Antetokounmpo misses 2-pt layup from 7 ft,,69,54
251,3,10:58.0,Offensive rebound by G. Antetokounmpo,,69,54
252,3,10:57.0,G. Antetokounmpo misses 2-pt layup from 6 ft (block by M. Williams),,69,54
253,3,10:48.0,,Defensive rebound by K. Walker,69,54
254,3,10:44.0,,N. Batum makes 2-pt layup from 1 ft (assist by K. Walker),69,56
255,3,10:31.0,Offensive foul by G. Antetokounmpo (drawn by N. Batum),,69,56
256,3,10:31.0,Turnover by G. Antetokounmpo (offensive foul),,69,56
257,3,10:22.0,,M. Williams misses 3-pt jump shot from 28 ft,69,56
258,3,10:19.0,Defensive rebound by M. Brogdon,,69,56
