,QUARTER,TIME_REMAINING,ORLANDO_ACTION,MIAMI_ACTION,ORLANDO_SCORE,MIAMI_SCORE
0,1,11:44.0,J. Isaac misses 3-pt jump shot from 26 ft,,0,0
1,1,11:41.0,,Defensive rebound by B. Adebayo,0,0
2,1,11:32.0,,J. Richardson makes 3-pt jump shot from 26 ft (assist by D. Waiters),0,3
3,1,11:17.0,A. Gordon misses 3-pt jump shot from 23 ft,,0,3
4,1,11:13.0,,Defensive rebound by D. Jones,0,3
5,1,11:07.0,,B. Adebayo makes 2-pt dunk from 1 ft (assist by J. Richardson),0,5
6,1,10:49.0,E. Fournier makes 3-pt jump shot from 24 ft (assist by J. Isaac),,3,5
7,1,10:24.0,,D. Jones makes 2-pt layup from 2 ft (assist by J. Richardson),3,7
8,1,10:09.0,J. Isaac misses 3-pt jump shot from 23 ft,,3,7
9,1,10:03.0,Offensive rebound by A. Gordon,,3,7
10,1,10:03.0,A. Gordon misses 2-pt layup from 1 ft,,3,7
11,1,10:03.0,Offensive rebound by A. Gordon,,3,7
12,1,10:00.0,E. Fournier misses 3-pt jump shot from 26 ft,,3,7
13,1,9:58.0,,Defensive rebound by K. Olynyk,3,7
14,1,9:48.0,,Offensive foul by K. Olynyk (drawn by D. Augustin),3,7
15,1,9:48.0,,Turnover by K. Olynyk (offensive foul),3,7
16,1,9:32.0,E. Fournier misses 2-pt layup from 1 ft (block by D. Jones),,3,7
17,1,9:32.0,Offensive rebound by Team,,3,7
18,1,9:22.0,D. Augustin misses 3-pt jump shot from 26 ft,,3,7
19,1,9:22.0,,Defensive rebound by Team,3,7
20,1,9:07.0,,B. Adebayo misses 2-pt jump shot from 13 ft,3,7
21,1,9:04.0,,Offensive rebound by B. Adebayo,3,7
22,1,8:59.0,,D. Waiters misses 3-pt jump shot from 24 ft,3,7
23,1,8:57.0,Defensive rebound by N. Vučević,,3,7
24,1,8:48.0,A. Gordon misses 2-pt layup from 2 ft,,3,7
25,1,8:46.0,,Defensive rebound by D. Jones,3,7
26,1,8:40.0,,D. Waiters makes 2-pt layup from 1 ft,3,9
27,1,8:40.0,,Shooting foul by J. Isaac (drawn by D. Waiters),3,9
28,1,8:40.0,,D. Waiters makes free throw 1 of 1,3,10
29,1,8:31.0,Turnover by J. Isaac (bad pass; steal by B. Adebayo),,3,10
30,1,8:18.0,,K. Olynyk misses 2-pt jump shot from 21 ft,3,10
31,1,8:16.0,,Offensive rebound by B. Adebayo,3,10
32,1,8:08.0,,D. Jones misses 2-pt jump shot from 10 ft,3,10
33,1,8:06.0,Defensive rebound by A. Gordon,,3,10
34,1,8:00.0,A. Gordon makes 2-pt dunk from 1 ft,,5,10
35,1,7:49.0,,J. Richardson makes 2-pt dunk from 1 ft (assist by B. Adebayo),5,12
36,1,7:33.0,Turnover by N. Vučević (lost ball; steal by J. Richardson),,5,12
37,1,7:17.0,,D. Waiters makes 2-pt layup from 1 ft,5,14
38,1,7:12.0,Orlando full timeout,,5,14
39,1,7:00.0,J. Isaac makes 2-pt hook shot from 4 ft (assist by E. Fournier),,7,14
40,1,6:46.0,,Offensive foul by B. Adebayo (drawn by D. Augustin),7,14
41,1,6:46.0,,Turnover by B. Adebayo (offensive foul),7,14
42,1,6:35.0,N. Vučević makes 2-pt hook shot from 7 ft (assist by D. Augustin),,9,14
43,1,6:09.0,,B. Adebayo makes 2-pt jump shot from 12 ft,9,16
44,1,5:58.0,Personal foul by D. Waiters (drawn by E. Fournier),,9,16
45,1,5:58.0,W. Iwundu enters the game for A. Gordon,,9,16
46,1,5:58.0,,D. Wade enters the game for J. Richardson,9,16
47,1,5:51.0,J. Isaac misses 3-pt jump shot from 25 ft,,9,16
48,1,5:49.0,,Defensive rebound by D. Jones,9,16
49,1,5:47.0,,D. Jones misses 2-pt layup from 2 ft,9,16
50,1,5:45.0,,Offensive rebound by D. Jones,9,16
51,1,5:44.0,,D. Jones misses 2-pt layup at rim,9,16
52,1,5:43.0,,Offensive rebound by D. Jones,9,16
53,1,5:42.0,,D. Jones makes 2-pt layup at rim,9,18
54,1,5:24.0,N. Vučević misses 2-pt jump shot from 6 ft,,9,18
55,1,5:21.0,Offensive rebound by N. Vučević,,9,18
56,1,5:21.0,N. Vučević misses 2-pt layup from 1 ft,,9,18
57,1,5:21.0,Offensive rebound by D. Augustin,,9,18
58,1,5:13.0,D. Augustin makes 2-pt layup from 1 ft,,11,18
59,1,5:11.0,,Personal foul by J. Isaac (drawn by K. Olynyk),11,18
60,1,5:11.0,,J. Johnson enters the game for B. Adebayo,11,18
61,1,5:04.0,,K. Olynyk misses 3-pt jump shot from 26 ft,11,18
62,1,5:00.0,Defensive rebound by E. Fournier,,11,18
63,1,4:52.0,J. Isaac misses 3-pt jump shot from 24 ft,,11,18
64,1,4:48.0,,Defensive rebound by D. Jones,11,18
65,1,4:36.0,,D. Waiters misses 3-pt jump shot from 23 ft,11,18
66,1,4:34.0,Defensive rebound by N. Vučević,,11,18
67,1,4:28.0,Shooting foul by D. Wade (drawn by D. Augustin),,11,18
68,1,4:28.0,D. Augustin makes free throw 1 of 2,,12,18
69,1,4:28.0,T. Ross enters the game for E. Fournier,,12,18
70,1,4:28.0,,G. Dragić enters the game for D. Waiters,12,18
71,1,4:28.0,D. Augustin makes free throw 2 of 2,,13,18
72,1,4:16.0,,J. Johnson misses 2-pt jump shot from 11 ft,13,18
73,1,4:13.0,Defensive rebound by N. Vučević,,13,18
74,1,4:07.0,N. Vučević makes 2-pt layup from 2 ft (assist by D. Augustin),,15,18
75,1,3:51.0,,D. Wade misses 2-pt layup from 1 ft (block by N. Vučević),15,18
76,1,3:51.0,,Offensive rebound by Team,15,18
77,1,3:51.0,M. Carter-Williams enters the game for D. Augustin,,15,18
78,1,3:42.0,,D. Wade misses 2-pt jump shot from 15 ft,15,18
79,1,3:39.0,Defensive rebound by N. Vučević,,15,18
