,QUARTER,TIME_REMAINING,MEMPHIS_ACTION,NEW ORLEANS_ACTION,MEMPHIS_SCORE,NEW ORLEANS_SCORE
0,1,11:40.0,,Turnover by A. Davis (discontinued dribble),0,0
1,1,11:24.0,J. Jackson makes 2-pt layup from 2 ft (assist by M. Gasol),,2,0
2,1,11:07.0,,J. Holiday misses 2-pt layup from 7 ft (block by G. Temple),2,0
3,1,11:06.0,,Offensive rebound by J. Holiday,2,0
4,1,11:02.0,,J. Holiday misses 2-pt layup from 4 ft,2,0
5,1,11:01.0,Defensive rebound by M. Gasol,,2,0
6,1,10:53.0,M. Gasol misses 3-pt jump shot from 26 ft,,2,0
7,1,10:48.0,,Defensive rebound by J. Randle,2,0
8,1,10:39.0,,E. Payton misses 2-pt layup from 2 ft,2,0
9,1,10:37.0,Defensive rebound by G. Temple,,2,0
10,1,10:22.0,Turnover by M. Gasol (bad pass),,2,0
11,1,10:09.0,,A. Davis makes 2-pt layup from 2 ft (assist by E. Payton),2,2
12,1,10:00.0,M. Conley makes 2-pt jump shot from 2 ft,,4,2
13,1,9:51.0,,J. Holiday makes 2-pt layup from 1 ft (assist by E. Payton),4,4
14,1,9:34.0,K. Anderson makes 2-pt layup from 2 ft (assist by M. Conley),,6,4
15,1,9:21.0,,A. Davis makes 2-pt jump shot from 8 ft (assist by D. Miller),6,6
16,1,9:03.0,K. Anderson misses 2-pt jump shot from 12 ft (block by D. Miller),,6,6
17,1,9:00.0,Offensive rebound by K. Anderson,,6,6
18,1,8:58.0,Turnover by G. Temple (lost ball; steal by J. Holiday),,6,6
19,1,8:54.0,,A. Davis makes 2-pt dunk at rim (assist by J. Holiday),6,8
20,1,8:24.0,G. Temple misses 2-pt layup from 5 ft (block by A. Davis),,6,8
21,1,8:20.0,,Defensive rebound by A. Davis,6,8
22,1,8:15.0,,E. Payton makes 2-pt layup from 2 ft,6,10
23,1,8:03.0,G. Temple makes 3-pt jump shot from 25 ft (assist by M. Conley),,9,10
24,1,7:49.0,,Personal foul by K. Anderson (drawn by A. Davis),9,10
25,1,7:41.0,,D. Miller misses 3-pt jump shot from 27 ft,9,10
26,1,7:40.0,Defensive rebound by K. Anderson,,9,10
27,1,7:32.0,M. Gasol misses 3-pt jump shot from 25 ft,,9,10
28,1,7:27.0,,Defensive rebound by J. Randle,9,10
29,1,7:17.0,,J. Randle misses 3-pt jump shot from 25 ft,9,10
30,1,7:15.0,Defensive rebound by Team,,9,10
31,1,6:57.0,Personal foul by D. Miller (drawn by J. Jackson),,9,10
32,1,6:57.0,,New Orleans full timeout,9,10
33,1,6:47.0,M. Gasol misses 2-pt hook shot from 8 ft (block by A. Davis),,9,10
34,1,6:44.0,,Defensive rebound by E. Payton,9,10
35,1,6:43.0,,A. Davis makes 2-pt layup from 1 ft (assist by E. Payton),9,12
36,1,6:43.0,,Shooting foul by J. Jackson (drawn by A. Davis),9,12
37,1,6:43.0,,A. Davis makes free throw 1 of 1,9,13
38,1,6:24.0,G. Temple misses 3-pt jump shot from 25 ft,,9,13
39,1,6:20.0,,Defensive rebound by J. Holiday,9,13
40,1,6:15.0,,A. Davis makes 2-pt dunk from 2 ft (assist by J. Randle),9,15
41,1,5:57.0,J. Jackson makes 2-pt hook shot from 6 ft (assist by M. Conley),,11,15
42,1,5:43.0,,Turnover by A. Davis (bad pass),11,15
43,1,5:43.0,,K. Williams enters the game for D. Miller,11,15
44,1,5:30.0,J. Jackson makes 2-pt layup from 2 ft (assist by M. Conley),,13,15
45,1,5:25.0,,Turnover by J. Holiday (bad pass),13,15
46,1,5:12.0,M. Gasol makes 2-pt layup from 1 ft (assist by M. Conley),,15,15
47,1,5:12.0,Shooting foul by K. Williams (drawn by M. Gasol),,15,15
48,1,5:12.0,O. Casspi enters the game for K. Anderson,,15,15
49,1,5:12.0,M. Gasol makes free throw 1 of 1,,16,15
50,1,4:55.0,,A. Davis makes 2-pt layup from 4 ft,16,17
51,1,4:41.0,M. Conley misses 3-pt jump shot from 25 ft,,16,17
52,1,4:37.0,,Defensive rebound by A. Davis,16,17
53,1,4:18.0,,J. Randle makes 2-pt layup from 2 ft,16,19
54,1,4:18.0,,Shooting foul by M. Gasol (drawn by J. Randle),16,19
55,1,4:18.0,J. Carter enters the game for M. Conley,,16,19
56,1,4:18.0,J. Green enters the game for J. Jackson,,16,19
57,1,4:18.0,,F. Jackson enters the game for J. Holiday,16,19
58,1,4:18.0,,J. Randle makes free throw 1 of 1,16,20
59,1,4:00.0,M. Gasol makes 2-pt layup from 2 ft,,18,20
60,1,3:46.0,,A. Davis makes 2-pt jump shot from 8 ft,18,22
61,1,3:35.0,,Violation by Team (kicked ball),18,22
62,1,3:28.0,J. Green makes 2-pt jump shot from 15 ft (assist by G. Temple),,20,22
63,1,3:28.0,Shooting foul by J. Randle (drawn by J. Green),,20,22
64,1,3:28.0,J. Noah enters the game for M. Gasol,,20,22
65,1,3:28.0,,J. Okafor enters the game for J. Randle,20,22
66,1,3:28.0,J. Green makes free throw 1 of 1,,21,22
67,1,3:14.0,,A. Davis misses 2-pt jump shot from 10 ft,21,22
68,1,3:11.0,Defensive rebound by J. Green,,21,22
69,1,2:53.0,G. Temple makes 2-pt jump shot from 18 ft,,23,22
70,1,2:44.0,Memphis full timeout,,23,22
71,1,2:30.0,,Turnover by E. Payton (lost ball; steal by J. Noah),23,22
72,1,2:25.0,O. Casspi makes 2-pt dunk from 1 ft (assist by J. Noah),,25,22
73,1,2:14.0,,Turnover by E. Payton (bad pass; steal by J. Noah),25,22
74,1,2:09.0,J. Noah makes 2-pt dunk from 1 ft (assist by J. Carter),,27,22
75,1,1:58.0,,E. Payton makes 2-pt layup from 3 ft,27,24
76,1,1:58.0,,Shooting foul by J. Noah (drawn by E. Payton),27,24
77,1,1:58.0,,E. Payton makes free throw 1 of 1,27,25
78,1,1:45.0,G. Temple misses 2-pt jump shot from 17 ft,,27,25
79,1,1:45.0,,Defensive rebound by A. Davis,27,25
80,1,1:24.0,,A. Davis makes 2-pt jump shot from 13 ft (assist by K. Williams),27,27
81,1,1:10.0,Turnover by J. Green (bad pass; steal by E. Payton),,27,27
82,1,1:03.0,,Turnover by E. Payton (bad pass; steal by O. Casspi),27,27
83,1,0:50.0,Turnover by J. Noah (lost ball; steal by E. Payton),,27,27
84,1,0:45.0,,J. Okafor makes 2-pt layup from 4 ft (assist by K. Williams),27,29
85,1,0:30.0,J. Carter misses 3-pt jump shot from 24 ft,,27,29
86,1,0:26.0,,Defensive rebound by A. Davis,27,29
87,1,0:17.0,,A. Davis makes 2-pt dunk from 1 ft,27,31
88,1,0:17.0,,Shooting foul by J. Carter (drawn by A. Davis),27,31
89,1,0:17.0,M. Conley enters the game for J. Carter,,27,31
90,1,0:17.0,J. Holiday enters the game for G. Temple,,27,31
91,1,0:17.0,,J. Holiday enters the game for E. Payton,27,31
92,1,0:17.0,,A. Davis misses free throw 1 of 1,27,31
93,1,0:14.0,Defensive rebound by J. Noah,,27,31
94,1,0:00.0,J. Green misses 3-pt jump shot from 23 ft,,27,31
95,1,0:00.0,Offensive rebound by Team,,27,31
96,2,11:43.0,M. Conley misses 2-pt jump shot from 10 ft,,27,31
97,2,11:41.0,Offensive rebound by M. Conley,,27,31
98,2,11:35.0,J. Noah makes 2-pt layup from 2 ft,,29,31
99,2,11:14.0,,J. Holiday makes 3-pt jump shot from 26 ft,29,34
100,2,10:56.0,,Violation by Team (kicked ball),29,34
101,2,10:45.0,J. Green makes 2-pt jump shot from 16 ft (assist by M. Conley),,31,34
102,2,10:31.0,,D. Miller misses 3-pt jump shot from 26 ft,31,34
103,2,10:28.0,Defensive rebound by M. Conley,,31,34
104,2,10:25.0,O. Casspi makes 2-pt dunk at rim (assist by M. Conley),,33,34
105,2,10:07.0,,D. Miller misses 2-pt jump shot from 17 ft,33,34
106,2,10:04.0,Defensive rebound by J. Green,,33,34
107,2,9:45.0,J. Holiday misses 3-pt jump shot from 25 ft,,33,34
108,2,9:39.0,,Defensive rebound by J. Holiday,33,34
109,2,9:36.0,,J. Okafor misses 2-pt dunk from 2 ft (block by J. Holiday),33,34
110,2,9:36.0,,Offensive rebound by Team,33,34
111,2,9:36.0,J. Jackson enters the game for J. Noah,,33,34
112,2,9:22.0,,Turnover by J. Okafor (bad pass; steal by M. Conley),33,34
113,2,9:17.0,O. Casspi makes 3-pt jump shot from 24 ft (assist by M. Conley),,36,34
114,2,9:10.0,,New Orleans full timeout,36,34
115,2,8:56.0,,Offensive foul by J. Randle (drawn by J. Green),36,34
116,2,8:56.0,,Turnover by J. Randle (offensive foul),36,34
117,2,8:44.0,J. Holiday misses 2-pt jump shot from 18 ft,,36,34
118,2,8:40.0,,Defensive rebound by J. Randle,36,34
119,2,8:31.0,,J. Randle makes 2-pt jump shot from 10 ft,36,36
120,2,8:17.0,Turnover by M. Conley (bad pass; steal by J. Holiday),,36,36
121,2,8:09.0,,J. Randle misses 2-pt jump shot from 13 ft,36,36
122,2,8:07.0,Defensive rebound by J. Holiday,,36,36
123,2,8:03.0,Turnover by J. Holiday (bad pass),,36,36
124,2,7:55.0,,D. Miller makes 3-pt jump shot from 26 ft (assist by J. Holiday),36,39
125,2,7:34.0,J. Green misses 2-pt jump shot from 17 ft,,36,39
126,2,7:31.0,,Defensive rebound by J. Randle,36,39
127,2,7:27.0,,T. Frazier makes 2-pt layup from 2 ft (assist by J. Randle),36,41
128,2,7:27.0,Memphis full timeout,,36,41
129,2,7:27.0,K. Anderson enters the game for O. Casspi,,36,41
130,2,7:13.0,J. Green makes 2-pt jump shot from 15 ft (assist by K. Anderson),,38,41
131,2,6:54.0,,Turnover by J. Randle (traveling),38,41
132,2,6:54.0,J. Carter enters the game for M. Conley,,38,41
133,2,6:54.0,M. Gasol enters the game for J. Green,,38,41
134,2,6:54.0,,A. Davis enters the game for J. Okafor,38,41
135,2,6:38.0,J. Jackson makes 2-pt hook shot from 5 ft (assist by M. Gasol),,40,41
136,2,6:30.0,,J. Randle makes 2-pt layup from 2 ft,40,43
137,2,6:30.0,,Shooting foul by J. Jackson (drawn by J. Randle),40,43
138,2,6:30.0,,J. Randle makes free throw 1 of 1,40,44
139,2,6:09.0,K. Anderson makes 3-pt jump shot from 23 ft (assist by J. Carter),,43,44
140,2,5:56.0,,A. Davis misses 2-pt jump shot from 13 ft,43,44
141,2,5:54.0,Defensive rebound by M. Gasol,,43,44
142,2,5:43.0,J. Carter misses 3-pt jump shot from 23 ft,,43,44
143,2,5:38.0,,Defensive rebound by A. Davis,43,44
144,2,5:31.0,,Shooting foul by M. Gasol (drawn by A. Davis),43,44
145,2,5:31.0,,A. Davis makes free throw 1 of 2,43,45
146,2,5:31.0,G. Temple enters the game for J. Holiday,,43,45
147,2,5:31.0,,I. Clark enters the game for J. Holiday,43,45
148,2,5:31.0,,A. Davis makes free throw 2 of 2,43,46
149,2,5:06.0,M. Gasol misses 3-pt jump shot from 28 ft,,43,46
150,2,5:03.0,,Defensive rebound by T. Frazier,43,46
151,2,4:57.0,,J. Randle misses 2-pt layup from 2 ft,43,46
152,2,4:57.0,Defensive rebound by Team,,43,46
153,2,4:57.0,J. Green enters the game for J. Jackson,,43,46
154,2,4:35.0,M. Gasol makes 2-pt layup from 2 ft (assist by J. Carter),,45,46
155,2,4:21.0,,A. Davis misses 2-pt jump shot from 20 ft,45,46
156,2,4:19.0,Defensive rebound by J. Carter,,45,46
157,2,4:11.0,Personal foul by D. Miller (drawn by M. Gasol),,45,46
158,2,4:07.0,G. Temple misses 3-pt jump shot from 25 ft,,45,46
159,2,4:02.0,,Defensive rebound by J. Randle,45,46
160,2,3:59.0,,Personal foul by J. Green (drawn by J. Randle),45,46
161,2,3:59.0,M. Conley enters the game for J. Carter,,45,46
162,2,3:59.0,,J. Holiday enters the game for T. Frazier,45,46
163,2,3:59.0,,E. Payton enters the game for D. Miller,45,46
164,2,3:53.0,,Loose ball foul by E. Payton (drawn by M. Conley),45,46
165,2,3:53.0,,Turnover by E. Payton (turnover),45,46
166,2,3:31.0,Turnover by K. Anderson (bad pass),,45,46
167,2,3:14.0,,Personal foul by G. Temple (drawn by A. Davis),45,46
168,2,3:07.0,,J. Holiday misses 2-pt layup from 5 ft (block by M. Gasol),45,46
169,2,3:05.0,Defensive rebound by G. Temple,,45,46
170,2,3:01.0,M. Gasol misses 3-pt jump shot from 26 ft,,45,46
171,2,2:55.0,,Defensive rebound by J. Randle,45,46
172,2,2:45.0,,Shooting foul by J. Green (drawn by J. Randle),45,46
173,2,2:45.0,,J. Randle makes free throw 1 of 2,45,47
174,2,2:45.0,,J. Randle misses free throw 2 of 2,45,47
175,2,2:42.0,Defensive rebound by M. Gasol,,45,47
176,2,2:31.0,Personal foul by I. Clark (drawn by G. Temple),,45,47
177,2,2:21.0,Shooting foul by I. Clark (drawn by M. Conley),,45,47
178,2,2:21.0,M. Conley misses free throw 1 of 2,,45,47
179,2,2:21.0,Offensive rebound by Team,,45,47
180,2,2:21.0,M. Conley makes free throw 2 of 2,,46,47
181,2,2:00.0,,A. Davis misses 2-pt jump shot from 16 ft,46,47
182,2,1:56.0,Defensive rebound by K. Anderson,,46,47
183,2,1:51.0,G. Temple misses 3-pt jump shot from 23 ft,,46,47
184,2,1:47.0,,Defensive rebound by A. Davis,46,47
185,2,1:42.0,,E. Payton makes 2-pt layup from 2 ft (assist by I. Clark),46,49
186,2,1:25.0,J. Green makes 3-pt jump shot from 24 ft (assist by M. Conley),,49,49
187,2,1:10.0,,J. Holiday misses 3-pt jump shot from 26 ft,49,49
188,2,1:07.0,Defensive rebound by J. Green,,49,49
189,2,0:59.0,K. Anderson misses 3-pt jump shot from 24 ft,,49,49
190,2,0:56.0,,Defensive rebound by E. Payton,49,49
191,2,0:40.0,,E. Payton makes 2-pt jump shot from 9 ft,49,51
192,2,0:29.0,Shooting foul by A. Davis (drawn by M. Conley),,49,51
193,2,0:29.0,M. Conley makes free throw 1 of 3,,50,51
194,2,0:29.0,M. Conley makes free throw 2 of 3,,51,51
195,2,0:29.0,J. Jackson enters the game for J. Green,,51,51
196,2,0:29.0,M. Conley misses free throw 3 of 3,,51,51
197,2,0:27.0,,Defensive rebound by J. Randle,51,51
198,2,0:10.0,,Turnover by J. Randle (bad pass; steal by M. Conley),51,51
199,2,0:09.0,Turnover by K. Anderson (traveling),,51,51
200,2,0:09.0,J. Carter enters the game for J. Jackson,,51,51
201,2,0:09.0,,D. Miller enters the game for J. Randle,51,51
202,2,0:02.0,,A. Davis makes 2-pt dunk from 1 ft (assist by J. Holiday),51,53
203,2,0:00.0,M. Conley misses 3-pt jump shot from 52 ft,,51,53
204,2,0:00.0,Offensive rebound by Team,,51,53
205,3,11:52.0,M. Conley makes 3-pt jump shot from 26 ft (assist by K. Anderson),,54,53
206,3,11:41.0,,Personal foul by G. Temple (drawn by J. Holiday),54,53
207,3,11:27.0,,E. Payton misses 2-pt layup from 3 ft (block by G. Temple),54,53
208,3,11:27.0,,Offensive rebound by J. Randle,54,53
209,3,11:27.0,,J. Randle misses 2-pt layup from 3 ft (block by K. Anderson),54,53
210,3,11:27.0,,Offensive rebound by Team,54,53
211,3,11:12.0,,E. Payton misses 2-pt hook shot from 3 ft,54,53
212,3,11:08.0,Defensive rebound by G. Temple,,54,53
213,3,11:04.0,Offensive foul by J. Jackson (drawn by D. Miller),,54,53
214,3,11:04.0,Turnover by J. Jackson (offensive foul),,54,53
215,3,10:49.0,,J. Holiday makes 2-pt jump shot from 14 ft,54,55
216,3,10:34.0,G. Temple makes 3-pt jump shot from 23 ft (assist by M. Gasol),,57,55
217,3,10:08.0,,E. Payton misses 2-pt layup from 2 ft,57,55
218,3,10:06.0,Defensive rebound by M. Gasol,,57,55
219,3,10:06.0,Personal foul by D. Miller (drawn by M. Conley),,57,55
220,3,9:51.0,M. Conley makes 3-pt jump shot from 23 ft (assist by K. Anderson),,60,55
221,3,9:42.0,,Personal foul by G. Temple (drawn by J. Holiday),60,55
222,3,9:42.0,,New Orleans full timeout,60,55
223,3,9:26.0,,D. Miller makes 2-pt jump shot from 14 ft (assist by A. Davis),60,57
224,3,9:10.0,Turnover by M. Gasol (bad pass; steal by E. Payton),,60,57
225,3,9:05.0,,J. Randle makes 2-pt dunk at rim (assist by E. Payton),60,59
226,3,8:38.0,J. Jackson misses 2-pt jump shot from 15 ft,,60,59
227,3,8:38.0,,Defensive rebound by E. Payton,60,59
228,3,8:26.0,,Shooting foul by J. Jackson (drawn by D. Miller),60,59
229,3,8:26.0,,D. Miller misses free throw 1 of 3,60,59
230,3,8:26.0,,Offensive rebound by Team,60,59
231,3,8:26.0,,D. Miller makes free throw 2 of 3,60,60
232,3,8:26.0,J. Green enters the game for J. Jackson,,60,60
233,3,8:26.0,,D. Miller makes free throw 3 of 3,60,61
234,3,8:14.0,Turnover by M. Conley (bad pass; steal by D. Miller),,60,61
235,3,8:10.0,,Shooting foul by M. Gasol (drawn by A. Davis),60,61
236,3,8:10.0,,A. Davis misses free throw 1 of 2,60,61
237,3,8:10.0,,Offensive rebound by Team,60,61
238,3,8:10.0,,A. Davis makes free throw 2 of 2,60,62
239,3,7:56.0,Turnover by M. Conley (bad pass; steal by J. Holiday),,60,62
240,3,7:53.0,,A. Davis makes 2-pt dunk from 1 ft (assist by J. Holiday),60,64
241,3,7:53.0,Memphis full timeout,,60,64
242,3,7:37.0,J. Green misses 3-pt jump shot from 27 ft,,60,64
243,3,7:34.0,,Defensive rebound by A. Davis,60,64
