,QUARTER,TIME_REMAINING,LA CLIPPERS_ACTION,BROOKLYN_ACTION,LA CLIPPERS_SCORE,BROOKLYN_SCORE
0,1,11:44.0,,A. Crabbe makes 3-pt jump shot from 26 ft (assist by J. Harris),0,3
1,1,11:25.0,T. Harris misses 3-pt jump shot from 25 ft,,0,3
2,1,11:24.0,Offensive rebound by Team,,0,3
3,1,11:15.0,M. Gortat makes 2-pt layup from 1 ft (assist by P. Beverley),,2,3
4,1,11:06.0,,A. Crabbe makes 3-pt jump shot from 25 ft (assist by D. Russell),2,6
5,1,10:53.0,T. Harris misses 2-pt jump shot from 14 ft,,2,6
6,1,10:50.0,,Defensive rebound by D. Russell,2,6
7,1,10:31.0,,A. Crabbe misses 2-pt layup from 4 ft,2,6
8,1,10:29.0,,Offensive rebound by J. Allen,2,6
9,1,10:29.0,,J. Allen makes 2-pt hook shot from 1 ft,2,8
10,1,10:29.0,,Shooting foul by M. Gortat (drawn by J. Allen),2,8
11,1,10:29.0,LA Clippers full timeout,,2,8
12,1,10:29.0,,J. Allen makes free throw 1 of 1,2,9
13,1,10:20.0,M. Gortat makes 2-pt layup from 3 ft (assist by D. Gallinari),,4,9
14,1,10:07.0,,J. Harris makes 2-pt layup from 3 ft (assist by J. Dudley),4,11
15,1,9:49.0,D. Gallinari makes 3-pt jump shot from 23 ft (assist by T. Harris),,7,11
16,1,9:37.0,,D. Russell misses 2-pt jump shot from 7 ft,7,11
17,1,9:37.0,,Offensive rebound by Team,7,11
18,1,9:37.0,Loose ball foul by S. Gilgeous-Alexander (drawn by J. Allen),,7,11
19,1,9:24.0,,J. Allen makes 2-pt dunk from 1 ft (assist by A. Crabbe),7,13
20,1,9:04.0,P. Beverley makes 3-pt jump shot from 26 ft,,10,13
21,1,8:58.0,,Personal foul by P. Beverley (drawn by J. Harris),10,13
22,1,8:51.0,,D. Russell makes 3-pt jump shot from 25 ft (assist by J. Allen),10,16
23,1,8:39.0,S. Gilgeous-Alexander makes 2-pt jump shot from 19 ft,,12,16
24,1,8:27.0,,J. Allen makes 2-pt jump shot from 10 ft (assist by D. Russell),12,18
25,1,8:14.0,T. Harris makes 2-pt jump shot from 12 ft,,14,18
26,1,7:59.0,,D. Russell makes 2-pt jump shot from 9 ft (assist by J. Harris),14,20
27,1,7:54.0,Personal foul by A. Crabbe (drawn by P. Beverley),,14,20
28,1,7:47.0,T. Harris makes 2-pt jump shot from 16 ft,,16,20
29,1,7:31.0,,D. Russell makes 2-pt jump shot from 12 ft,16,22
30,1,7:29.0,S. Gilgeous-Alexander makes 2-pt jump shot from 9 ft,,18,22
31,1,7:02.0,,Turnover by D. Russell (lost ball; steal by D. Gallinari),18,22
32,1,6:55.0,D. Gallinari makes 2-pt dunk from 2 ft (assist by P. Beverley),,20,22
33,1,6:46.0,,Offensive foul by J. Allen (drawn by T. Harris),20,22
34,1,6:46.0,,Turnover by J. Allen (offensive foul),20,22
35,1,6:38.0,Offensive foul by M. Gortat (drawn by J. Dudley),,20,22
36,1,6:38.0,Turnover by M. Gortat (offensive foul),,20,22
37,1,6:24.0,,A. Crabbe misses 2-pt layup from 7 ft,20,22
38,1,6:21.0,,Offensive rebound by J. Allen,20,22
39,1,6:20.0,,J. Allen misses 2-pt layup from 1 ft,20,22
40,1,6:19.0,,Offensive rebound by J. Allen,20,22
41,1,6:17.0,,J. Allen misses 2-pt layup from 1 ft,20,22
42,1,6:16.0,,Offensive rebound by J. Allen,20,22
43,1,6:15.0,,J. Allen makes 2-pt layup from 2 ft,20,24
44,1,6:10.0,M. Gortat makes 2-pt hook shot from 8 ft (assist by S. Gilgeous-Alexander),,22,24
45,1,6:10.0,,Brooklyn full timeout,22,24
46,1,6:10.0,M. Harrell enters the game for M. Gortat,,22,24
47,1,6:10.0,,S. Dinwiddie enters the game for J. Harris,22,24
48,1,6:10.0,,Technical foul by D. Russell,22,24
49,1,6:10.0,D. Gallinari makes technical free throw,,23,24
50,1,5:55.0,,A. Crabbe misses 3-pt jump shot from 25 ft,23,24
