,QUARTER,TIME_REMAINING,BOSTON_ACTION,INDIANA_ACTION,BOSTON_SCORE,INDIANA_SCORE
0,1,11:49.0,A. Baynes misses 3-pt jump shot from 28 ft,,0,0
1,1,11:46.0,,Defensive rebound by M. Turner,0,0
2,1,11:33.0,,Shooting foul by A. Horford (drawn by M. Turner),0,0
3,1,11:33.0,,M. Turner misses free throw 1 of 2,0,0
4,1,11:33.0,,Offensive rebound by Team,0,0
5,1,11:33.0,,M. Turner makes free throw 2 of 2,0,1
6,1,11:22.0,Turnover by A. Baynes (bad pass; steal by T. Young),,0,1
7,1,11:08.0,,B. Bogdanović makes 2-pt layup from 1 ft,0,3
8,1,10:49.0,J. Tatum makes 2-pt jump shot from 13 ft,,2,3
9,1,10:37.0,,T. Young misses 2-pt jump shot from 8 ft,2,3
10,1,10:34.0,Defensive rebound by J. Brown,,2,3
11,1,10:26.0,A. Baynes makes 2-pt layup from 2 ft (assist by K. Irving),,4,3
12,1,10:20.0,,Turnover by D. Collison (bad pass; steal by A. Baynes),4,3
13,1,10:17.0,K. Irving makes 3-pt jump shot from 28 ft (assist by J. Brown),,7,3
14,1,9:56.0,,T. Young misses 2-pt hook shot from 8 ft,7,3
15,1,9:54.0,Defensive rebound by A. Horford,,7,3
16,1,9:34.0,J. Tatum makes 2-pt jump shot from 21 ft,,9,3
17,1,9:17.0,,D. Collison misses 2-pt jump shot from 15 ft,9,3
18,1,9:13.0,Defensive rebound by K. Irving,,9,3
19,1,9:12.0,Personal foul by D. Collison (drawn by J. Tatum),,9,3
20,1,9:09.0,K. Irving misses 2-pt jump shot from 19 ft,,9,3
21,1,9:07.0,,Defensive rebound by D. Collison,9,3
22,1,8:59.0,,M. Turner misses 3-pt jump shot from 26 ft,9,3
23,1,8:54.0,Defensive rebound by J. Tatum,,9,3
24,1,8:47.0,Turnover by J. Tatum (bad pass; steal by W. Matthews),,9,3
25,1,8:41.0,,W. Matthews makes 2-pt layup from 1 ft,9,5
26,1,8:24.0,J. Brown makes 3-pt jump shot from 23 ft (assist by K. Irving),,12,5
27,1,8:21.0,,Indiana full timeout,12,5
