,QUARTER,TIME_REMAINING,OKLAHOMA CITY_ACTION,DENVER_ACTION,OKLAHOMA CITY_SCORE,DENVER_SCORE
0,1,11:46.0,P. George misses 3-pt jump shot from 24 ft,,0,0
1,1,11:44.0,,Defensive rebound by P. Millsap,0,0
2,1,11:30.0,,M. Beasley makes 3-pt jump shot from 25 ft (assist by N. Jokić),0,3
3,1,11:10.0,S. Adams makes 2-pt hook shot from 4 ft (assist by P. George),,2,3
4,1,10:49.0,,N. Jokić makes 2-pt layup from 2 ft,2,5
5,1,10:43.0,Personal foul by W. Barton (drawn by P. George),,2,5
6,1,10:37.0,R. Westbrook makes 2-pt layup from 1 ft,,4,5
7,1,10:22.0,,P. Millsap makes 2-pt layup from 1 ft (assist by N. Jokić),4,7
8,1,10:10.0,S. Adams misses 2-pt layup from 6 ft (block by N. Jokić),,4,7
9,1,10:07.0,Offensive rebound by R. Westbrook,,4,7
10,1,10:05.0,R. Westbrook misses 3-pt jump shot from 22 ft,,4,7
11,1,10:03.0,Offensive rebound by R. Westbrook,,4,7
12,1,10:00.0,R. Westbrook makes 2-pt layup from 1 ft,,6,7
13,1,9:46.0,,Personal foul by R. Westbrook (drawn by J. Murray),6,7
14,1,9:44.0,,M. Beasley misses 3-pt jump shot from 25 ft,6,7
15,1,9:42.0,Defensive rebound by P. George,,6,7
16,1,9:32.0,J. Grant makes 2-pt layup from 2 ft (assist by P. George),,8,7
17,1,9:22.0,,N. Jokić misses 2-pt layup from 1 ft (block by S. Adams),8,7
18,1,9:22.0,,Offensive rebound by Team,8,7
19,1,9:20.0,,M. Beasley misses 2-pt jump shot from 20 ft,8,7
20,1,9:16.0,,Offensive rebound by M. Beasley,8,7
21,1,9:15.0,,M. Beasley misses 2-pt jump shot from 9 ft,8,7
22,1,9:13.0,Defensive rebound by R. Westbrook,,8,7
23,1,9:09.0,Shooting foul by M. Beasley (drawn by R. Westbrook),,8,7
24,1,9:09.0,R. Westbrook makes free throw 1 of 2,,9,7
25,1,9:09.0,R. Westbrook misses free throw 2 of 2,,9,7
26,1,9:06.0,,Defensive rebound by P. Millsap,9,7
27,1,8:59.0,,Personal foul by T. Ferguson (drawn by J. Murray),9,7
28,1,8:48.0,,J. Murray misses 3-pt jump shot from 26 ft,9,7
29,1,8:44.0,Defensive rebound by P. George,,9,7
30,1,8:42.0,Turnover by P. George (bad pass),,9,7
31,1,8:30.0,,J. Murray misses 2-pt layup from 5 ft,9,7
32,1,8:28.0,,Offensive rebound by J. Murray,9,7
33,1,8:26.0,,Turnover by P. Millsap (bad pass; steal by P. George),9,7
34,1,8:23.0,P. George makes 2-pt dunk from 1 ft (assist by R. Westbrook),,11,7
35,1,8:15.0,,W. Barton misses 2-pt jump shot from 12 ft,11,7
36,1,8:12.0,Defensive rebound by R. Westbrook,,11,7
37,1,8:08.0,R. Westbrook misses 2-pt jump shot from 17 ft,,11,7
38,1,8:05.0,Offensive rebound by S. Adams,,11,7
39,1,7:57.0,S. Adams makes 2-pt hook shot from 10 ft (assist by T. Ferguson),,13,7
40,1,7:54.0,,Denver full timeout,13,7
41,1,7:42.0,,Shooting foul by S. Adams (drawn by N. Jokić),13,7
42,1,7:42.0,,N. Jokić makes free throw 1 of 2,13,8
43,1,7:42.0,,N. Jokić makes free throw 2 of 2,13,9
44,1,7:28.0,Turnover by R. Westbrook (lost ball; steal by P. Millsap),,13,9
45,1,7:17.0,,N. Jokić makes 3-pt jump shot from 24 ft (assist by J. Murray),13,12
46,1,7:07.0,Offensive foul by P. George (drawn by W. Barton),,13,12
47,1,7:07.0,Turnover by P. George (offensive foul),,13,12
48,1,6:56.0,,W. Barton makes 2-pt layup from 4 ft (assist by J. Murray),13,14
49,1,6:41.0,T. Ferguson misses 3-pt jump shot from 22 ft,,13,14
50,1,6:41.0,,Defensive rebound by M. Beasley,13,14
51,1,6:34.0,,J. Murray makes 2-pt layup from 2 ft (assist by M. Beasley),13,16
52,1,6:17.0,S. Adams makes 2-pt dunk from 1 ft (assist by P. George),,15,16
53,1,5:59.0,,W. Barton makes 2-pt jump shot from 7 ft (assist by N. Jokić),15,18
54,1,5:48.0,Turnover by R. Westbrook (bad pass; steal by P. Millsap),,15,18
55,1,5:44.0,,W. Barton misses 3-pt jump shot from 25 ft,15,18
56,1,5:42.0,,Offensive rebound by J. Murray,15,18
57,1,5:37.0,,Personal foul by J. Grant (drawn by P. Millsap),15,18
58,1,5:24.0,,W. Barton makes 2-pt layup from 1 ft (assist by N. Jokić),15,20
59,1,5:24.0,Oklahoma City full timeout,,15,20
60,1,5:24.0,D. Schröder enters the game for P. George,,15,20
61,1,5:24.0,,M. Plumlee enters the game for P. Millsap,15,20
62,1,5:11.0,J. Grant makes 3-pt jump shot from 23 ft (assist by D. Schröder),,18,20
63,1,4:56.0,,M. Plumlee makes 2-pt dunk from 1 ft (assist by W. Barton),18,22
64,1,4:30.0,S. Adams misses 2-pt hook shot from 6 ft,,18,22
65,1,4:28.0,,Defensive rebound by M. Plumlee,18,22
66,1,4:22.0,,J. Murray misses 3-pt jump shot from 25 ft,18,22
67,1,4:18.0,Defensive rebound by J. Grant,,18,22
68,1,4:09.0,D. Schröder makes 2-pt layup from 2 ft (assist by S. Adams),,20,22
69,1,3:50.0,,N. Jokić misses 3-pt jump shot from 23 ft,20,22
70,1,3:46.0,Defensive rebound by R. Westbrook,,20,22
71,1,3:43.0,S. Adams makes 2-pt layup from 1 ft (assist by R. Westbrook),,22,22
72,1,3:31.0,,W. Barton makes 2-pt dunk from 1 ft (assist by N. Jokić),22,24
73,1,3:18.0,S. Adams makes 2-pt jump shot from 6 ft (assist by R. Westbrook),,24,24
74,1,3:06.0,,W. Barton misses 2-pt layup from 3 ft (block by J. Grant),24,24
75,1,3:06.0,,Offensive rebound by Team,24,24
76,1,3:06.0,P. George enters the game for T. Ferguson,,24,24
77,1,3:06.0,M. Morris enters the game for J. Grant,,24,24
78,1,3:06.0,A. Nader enters the game for R. Westbrook,,24,24
79,1,3:06.0,,G. Harris enters the game for M. Beasley,24,24
80,1,3:06.0,,P. Millsap enters the game for N. Jokić,24,24
81,1,3:06.0,,M. Morris enters the game for J. Murray,24,24
82,1,3:02.0,,G. Harris misses 2-pt jump shot from 16 ft,24,24
83,1,2:58.0,,Offensive rebound by Team,24,24
84,1,2:52.0,,W. Barton misses 3-pt jump shot from 25 ft,24,24
85,1,2:48.0,Defensive rebound by D. Schröder,,24,24
86,1,2:39.0,D. Schröder misses 3-pt jump shot from 26 ft,,24,24
87,1,2:37.0,,Defensive rebound by M. Morris,24,24
88,1,2:37.0,N. Noel enters the game for S. Adams,,24,24
89,1,2:37.0,,I. Thomas enters the game for W. Barton,24,24
90,1,2:25.0,Violation by Team (kicked ball),,24,24
91,1,2:23.0,,Personal foul by D. Schröder (drawn by I. Thomas),24,24
92,1,2:23.0,,I. Thomas misses free throw 1 of 2,24,24
93,1,2:23.0,,Offensive rebound by Team,24,24
94,1,2:23.0,,I. Thomas makes free throw 2 of 2,24,25
95,1,2:16.0,Personal foul by P. Millsap (drawn by N. Noel),,24,25
96,1,2:03.0,M. Morris misses 2-pt jump shot from 13 ft,,24,25
97,1,2:01.0,,Defensive rebound by I. Thomas,24,25
98,1,1:48.0,,P. Millsap misses 3-pt jump shot from 23 ft,24,25
99,1,1:45.0,Defensive rebound by A. Nader,,24,25
100,1,1:39.0,D. Schröder makes 2-pt jump shot from 20 ft,,26,25
101,1,1:21.0,,G. Harris misses 3-pt jump shot from 26 ft,26,25
102,1,1:19.0,,Offensive rebound by P. Millsap,26,25
103,1,1:09.0,,Turnover by P. Millsap (bad pass; steal by D. Schröder),26,25
104,1,1:01.0,Turnover by D. Schröder (bad pass; steal by G. Harris),,26,25
105,1,0:53.0,,I. Thomas makes 3-pt jump shot from 25 ft,26,28
106,1,0:53.0,,Shooting foul by D. Schröder (drawn by I. Thomas),26,28
107,1,0:53.0,,I. Thomas misses free throw 1 of 1,26,28
108,1,0:50.0,Defensive rebound by N. Noel,,26,28
109,1,0:37.0,P. George misses 3-pt jump shot from 25 ft,,26,28
110,1,0:36.0,,Defensive rebound by P. Millsap,26,28
111,1,0:29.0,,Personal foul by M. Morris (drawn by G. Harris),26,28
112,1,0:29.0,,G. Harris misses free throw 1 of 2,26,28
113,1,0:29.0,,Offensive rebound by Team,26,28
114,1,0:29.0,,G. Harris makes free throw 2 of 2,26,29
115,1,0:17.0,M. Morris misses 3-pt jump shot from 25 ft,,26,29
116,1,0:14.0,,Defensive rebound by M. Plumlee,26,29
117,2,11:50.0,,I. Thomas misses 2-pt layup from 3 ft (block by A. Nader),26,29
118,2,11:47.0,Defensive rebound by M. Morris,,26,29
119,2,11:47.0,Turnover by M. Morris (bad pass; steal by M. Plumlee),,26,29
120,2,11:47.0,,Shooting foul by M. Morris (drawn by P. Millsap),26,29
121,2,11:47.0,,P. Millsap misses free throw 1 of 2,26,29
122,2,11:47.0,,Offensive rebound by Team,26,29
123,2,11:47.0,,P. Millsap makes free throw 2 of 2,26,30
124,2,11:34.0,Personal foul by P. Millsap (drawn by N. Noel),,26,30
125,2,11:34.0,R. Felton enters the game for A. Nader,,26,30
126,2,11:34.0,,T. Craig enters the game for P. Millsap,26,30
127,2,11:27.0,D. Schröder misses 2-pt layup from 2 ft (block by T. Craig),,26,30
128,2,11:27.0,Offensive rebound by Team,,26,30
129,2,11:19.0,M. Morris misses 3-pt jump shot from 26 ft (block by T. Craig),,26,30
130,2,11:17.0,,Defensive rebound by M. Plumlee,26,30
131,2,11:14.0,,Offensive foul by M. Plumlee (drawn by N. Noel),26,30
132,2,11:14.0,,Turnover by M. Plumlee (offensive foul),26,30
133,2,11:06.0,Personal foul by G. Harris (drawn by P. George),,26,30
134,2,10:54.0,Personal foul by T. Craig (drawn by P. George),,26,30
135,2,10:41.0,D. Schröder makes 2-pt jump shot from 6 ft,,28,30
136,2,10:31.0,,Turnover by M. Plumlee (bad pass; steal by P. George),28,30
137,2,10:24.0,P. George misses 3-pt jump shot from 25 ft,,28,30
138,2,10:24.0,Offensive rebound by Team,,28,30
139,2,10:24.0,,Loose ball foul by G. Harris (drawn by M. Morris),28,30
140,2,10:24.0,Oklahoma City full timeout,,28,30
141,2,10:12.0,M. Morris makes 3-pt jump shot from 25 ft (assist by D. Schröder),,31,30
