,QUARTER,TIME_REMAINING,PHOENIX_ACTION,ORLANDO_ACTION,PHOENIX_SCORE,ORLANDO_SCORE
0,1,11:41.0,,A. Gordon makes 2-pt jump shot from 19 ft,0,2
1,1,11:16.0,M. Bridges misses 2-pt jump shot from 17 ft,,0,2
2,1,11:09.0,Offensive rebound by M. Bridges,,0,2
3,1,11:09.0,M. Bridges misses 2-pt layup from 1 ft,,0,2
4,1,11:08.0,,Defensive rebound by N. Vučević,0,2
5,1,11:00.0,,J. Isaac misses 2-pt layup from 1 ft,0,2
6,1,10:54.0,,Offensive rebound by N. Vučević,0,2
7,1,10:54.0,,N. Vučević makes 2-pt layup at rim,0,4
8,1,10:44.0,D. Booker makes 2-pt jump shot from 13 ft (assist by D. Ayton),,2,4
9,1,10:27.0,,Turnover by E. Fournier (bad pass; steal by T. Warren),2,4
10,1,10:23.0,D. Ayton makes 2-pt dunk from 1 ft (assist by D. Booker),,4,4
11,1,10:08.0,,Personal foul by T. Warren (drawn by A. Gordon),4,4
12,1,10:03.0,,Shooting foul by D. Booker (drawn by J. Isaac),4,4
13,1,10:03.0,,J. Isaac misses free throw 1 of 2,4,4
14,1,10:03.0,,Offensive rebound by Team,4,4
15,1,10:03.0,,J. Isaac makes free throw 2 of 2,4,5
16,1,9:53.0,Def 3 sec tech foul by Team,,4,5
17,1,9:53.0,D. Booker misses technical free throw,,4,5
18,1,9:53.0,Offensive rebound by Team,,4,5
19,1,9:45.0,D. Booker misses 2-pt jump shot from 17 ft,,4,5
20,1,9:43.0,,Defensive rebound by A. Gordon,4,5
21,1,9:35.0,,Turnover by N. Vučević (lost ball; steal by M. Bridges),4,5
22,1,9:28.0,T. Warren makes 3-pt jump shot from 25 ft (assist by D. Melton),,7,5
23,1,9:13.0,,E. Fournier makes 3-pt jump shot from 23 ft (assist by D. Augustin),7,8
24,1,8:55.0,Turnover by D. Booker (bad pass; steal by N. Vučević),,7,8
25,1,8:48.0,,J. Isaac makes 2-pt layup from 1 ft,7,10
26,1,8:30.0,Shooting foul by J. Isaac (drawn by T. Warren),,7,10
27,1,8:30.0,T. Warren makes free throw 1 of 2,,8,10
28,1,8:30.0,T. Warren makes free throw 2 of 2,,9,10
29,1,8:09.0,,N. Vučević misses 2-pt jump shot from 15 ft,9,10
30,1,8:09.0,,Offensive rebound by J. Isaac,9,10
31,1,8:05.0,,J. Isaac misses 2-pt layup at rim,9,10
32,1,8:04.0,Defensive rebound by D. Melton,,9,10
33,1,8:00.0,M. Bridges misses 3-pt jump shot from 23 ft,,9,10
34,1,7:58.0,,Defensive rebound by E. Fournier,9,10
