,QUARTER,TIME_REMAINING,BROOKLYN_ACTION,LA LAKERS_ACTION,BROOKLYN_SCORE,LA LAKERS_SCORE
0,1,11:43.0,,J. McGee makes 2-pt hook shot from 1 ft (assist by L. James),0,2
1,1,11:22.0,D. Carroll misses 3-pt jump shot from 26 ft,,0,2
2,1,11:20.0,Offensive rebound by J. Allen,,0,2
3,1,11:20.0,J. Allen makes 2-pt dunk from 2 ft,,2,2
4,1,11:09.0,,K. Kuzma misses 2-pt layup from 2 ft,2,2
5,1,11:08.0,Defensive rebound by J. Allen,,2,2
6,1,11:06.0,D. Russell misses 2-pt layup from 1 ft,,2,2
7,1,11:06.0,Offensive rebound by J. Allen,,2,2
8,1,11:00.0,J. Allen makes 2-pt dunk from 1 ft,,4,2
9,1,10:54.0,,Personal foul by R. Kurucs (drawn by L. James),4,2
10,1,10:45.0,,L. James misses 2-pt jump shot from 4 ft,4,2
11,1,10:43.0,Defensive rebound by R. Kurucs,,4,2
12,1,10:34.0,J. Allen misses 2-pt layup from 1 ft (block by J. McGee),,4,2
13,1,10:31.0,,Defensive rebound by J. McGee,4,2
14,1,10:22.0,,J. McGee makes 2-pt layup from 2 ft (assist by L. James),4,4
15,1,10:12.0,Turnover by D. Russell (lost ball; steal by R. Bullock),,4,4
16,1,10:07.0,,K. Kuzma misses 3-pt jump shot from 26 ft,4,4
17,1,10:03.0,Defensive rebound by J. Harris,,4,4
18,1,9:55.0,Turnover by J. Allen (lost ball; steal by R. Rondo),,4,4
19,1,9:45.0,,J. McGee makes 2-pt layup from 1 ft (assist by R. Rondo),4,6
20,1,9:34.0,Personal foul by R. Bullock (drawn by J. Harris),,4,6
21,1,9:22.0,J. Harris misses 2-pt jump shot from 10 ft,,4,6
22,1,9:20.0,,Defensive rebound by J. McGee,4,6
23,1,9:13.0,,Personal foul by D. Russell (drawn by K. Kuzma),4,6
24,1,9:01.0,,L. James misses 2-pt jump shot from 9 ft,4,6
25,1,9:01.0,,Offensive rebound by J. McGee,4,6
26,1,8:59.0,,J. McGee misses 2-pt layup from 2 ft,4,6
27,1,8:58.0,,Offensive rebound by J. McGee,4,6
28,1,8:50.0,,J. McGee makes 2-pt layup at rim,4,8
29,1,8:46.0,R. Kurucs makes 3-pt jump shot from 23 ft (assist by D. Russell),,7,8
30,1,8:23.0,,K. Kuzma misses 3-pt jump shot from 27 ft,7,8
31,1,8:21.0,Defensive rebound by D. Carroll,,7,8
32,1,8:15.0,D. Carroll misses 3-pt jump shot from 28 ft,,7,8
33,1,8:14.0,,Defensive rebound by J. McGee,7,8
34,1,8:07.0,,K. Kuzma misses 2-pt layup from 2 ft,7,8
35,1,8:05.0,Defensive rebound by J. Allen,,7,8
36,1,8:01.0,J. Harris makes 3-pt jump shot from 23 ft (assist by R. Kurucs),,10,8
37,1,7:36.0,,J. McGee makes 2-pt dunk from 3 ft (assist by L. James),10,10
38,1,7:21.0,D. Russell makes 2-pt layup from 2 ft,,12,10
39,1,7:07.0,,R. Rondo misses 3-pt jump shot from 25 ft,12,10
40,1,7:04.0,Defensive rebound by J. Allen,,12,10
41,1,6:59.0,D. Carroll misses 3-pt jump shot from 25 ft,,12,10
42,1,6:58.0,,Defensive rebound by Team,12,10
43,1,6:58.0,,LA Lakers full timeout,12,10
44,1,6:58.0,S. Dinwiddie enters the game for D. Carroll,,12,10
45,1,6:58.0,,A. Caruso enters the game for R. Rondo,12,10
46,1,6:48.0,,Personal foul by J. Harris (drawn by J. McGee),12,10
47,1,6:42.0,,K. Kuzma makes 3-pt jump shot from 25 ft (assist by L. James),12,13
48,1,6:33.0,D. Russell misses 2-pt jump shot from 13 ft,,12,13
49,1,6:31.0,,Defensive rebound by A. Caruso,12,13
50,1,6:25.0,,L. James misses 2-pt jump shot from 15 ft,12,13
51,1,6:22.0,Defensive rebound by J. Allen,,12,13
52,1,6:14.0,Shooting foul by J. McGee (drawn by J. Allen),,12,13
53,1,6:14.0,J. Allen misses free throw 1 of 2,,12,13
54,1,6:14.0,Offensive rebound by Team,,12,13
55,1,6:14.0,J. Allen makes free throw 2 of 2,,13,13
56,1,6:05.0,,Offensive foul by J. McGee (drawn by S. Dinwiddie),13,13
57,1,6:05.0,,Turnover by J. McGee (offensive foul),13,13
58,1,6:05.0,,T. Chandler enters the game for J. McGee,13,13
59,1,5:58.0,R. Kurucs misses 2-pt dunk from 2 ft,,13,13
60,1,5:55.0,,Defensive rebound by R. Bullock,13,13
61,1,5:51.0,,K. Kuzma misses 2-pt jump shot from 2 ft,13,13
62,1,5:51.0,,Offensive rebound by Team,13,13
63,1,5:51.0,Loose ball foul by D. Russell (drawn by T. Chandler),,13,13
64,1,5:42.0,,T. Chandler makes 2-pt hook shot from 8 ft (assist by A. Caruso),13,15
65,1,5:27.0,Shooting foul by L. James (drawn by J. Allen),,13,15
66,1,5:27.0,J. Allen makes free throw 1 of 2,,14,15
67,1,5:27.0,J. Allen makes free throw 2 of 2,,15,15
68,1,5:17.0,,A. Caruso misses 2-pt hook shot from 2 ft,15,15
69,1,5:14.0,,Offensive rebound by L. James,15,15
70,1,5:13.0,,L. James makes 2-pt layup from 1 ft,15,17
71,1,4:59.0,R. Kurucs misses 3-pt jump shot from 28 ft,,15,17
72,1,4:57.0,,Defensive rebound by A. Caruso,15,17
73,1,4:51.0,,R. Bullock misses 3-pt jump shot from 28 ft,15,17
74,1,4:49.0,Defensive rebound by J. Allen,,15,17
75,1,4:35.0,D. Russell misses 3-pt jump shot from 26 ft,,15,17
76,1,4:33.0,,Defensive rebound by R. Bullock,15,17
77,1,4:29.0,,K. Kuzma misses 2-pt layup from 6 ft (block by S. Dinwiddie),15,17
78,1,4:29.0,,Offensive rebound by Team,15,17
79,1,4:29.0,J. Dudley enters the game for R. Kurucs,,15,17
80,1,4:29.0,C. LeVert enters the game for D. Russell,,15,17
81,1,4:29.0,,K. Caldwell-Pope enters the game for R. Bullock,15,17
82,1,4:29.0,,R. Rondo enters the game for L. James,15,17
83,1,4:21.0,,K. Kuzma misses 3-pt jump shot from 27 ft,15,17
84,1,4:19.0,Defensive rebound by J. Allen,,15,17
85,1,4:12.0,J. Harris misses 3-pt jump shot from 26 ft,,15,17
86,1,4:09.0,,Defensive rebound by T. Chandler,15,17
87,1,4:01.0,,A. Caruso misses 2-pt jump shot from 20 ft,15,17
88,1,3:59.0,Defensive rebound by J. Allen,,15,17
89,1,3:51.0,J. Harris makes 3-pt jump shot from 25 ft (assist by J. Dudley),,18,17
90,1,3:42.0,,Turnover by K. Kuzma (bad pass; steal by S. Dinwiddie),18,17
91,1,3:33.0,J. Allen makes 2-pt layup from 2 ft (assist by C. LeVert),,20,17
92,1,3:33.0,,LA Lakers full timeout,20,17
93,1,3:33.0,D. Carroll enters the game for J. Allen,,20,17
94,1,3:33.0,E. Davis enters the game for J. Harris,,20,17
95,1,3:04.0,,K. Kuzma makes 3-pt jump shot from 30 ft,20,20
96,1,2:49.0,D. Carroll misses 3-pt jump shot from 26 ft,,20,20
97,1,2:47.0,,Defensive rebound by R. Rondo,20,20
98,1,2:42.0,,K. Caldwell-Pope makes 3-pt jump shot from 27 ft (assist by R. Rondo),20,23
99,1,2:41.0,Brooklyn full timeout,,20,23
100,1,2:17.0,Turnover by Team (shot clock),,20,23
101,1,2:09.0,,K. Caldwell-Pope misses 3-pt jump shot from 26 ft,20,23
102,1,2:07.0,Defensive rebound by E. Davis,,20,23
103,1,2:01.0,S. Dinwiddie misses 3-pt jump shot from 26 ft,,20,23
104,1,1:55.0,Offensive rebound by E. Davis,,20,23
105,1,1:53.0,C. LeVert misses 3-pt jump shot from 27 ft,,20,23
106,1,1:50.0,,Defensive rebound by A. Caruso,20,23
107,1,1:44.0,,K. Kuzma misses 3-pt jump shot from 27 ft,20,23
108,1,1:43.0,Defensive rebound by C. LeVert,,20,23
109,1,1:33.0,E. Davis misses 2-pt dunk from 3 ft,,20,23
110,1,1:30.0,Offensive rebound by E. Davis,,20,23
111,1,1:18.0,S. Dinwiddie misses 3-pt jump shot from 24 ft,,20,23
112,1,1:16.0,,Defensive rebound by R. Rondo,20,23
113,1,0:55.0,,K. Kuzma misses 3-pt jump shot from 24 ft,20,23
114,1,0:53.0,Defensive rebound by E. Davis,,20,23
115,1,0:39.0,D. Carroll misses 2-pt jump shot from 1 ft,,20,23
116,1,0:38.0,,Defensive rebound by T. Chandler,20,23
117,1,0:27.0,,R. Rondo misses 2-pt layup from 2 ft,20,23
118,1,0:25.0,Defensive rebound by E. Davis,,20,23
119,1,0:17.0,S. Dinwiddie misses 2-pt jump shot from 5 ft,,20,23
120,1,0:15.0,,Defensive rebound by T. Chandler,20,23
121,2,11:39.0,D. Russell misses 3-pt jump shot from 27 ft,,20,23
122,2,11:37.0,,Defensive rebound by Team,20,23
123,2,11:18.0,,A. Caruso misses 3-pt jump shot from 26 ft,20,23
124,2,11:16.0,,Offensive rebound by L. James,20,23
125,2,11:15.0,,L. James misses 2-pt layup from 1 ft (block by C. LeVert),20,23
126,2,11:15.0,,Offensive rebound by L. James,20,23
127,2,11:09.0,,L. James makes 2-pt layup from 2 ft,20,25
128,2,10:53.0,Turnover by D. Russell (bad pass; steal by K. Caldwell-Pope),,20,25
129,2,10:50.0,,L. James makes 2-pt dunk from 3 ft,20,27
130,2,10:41.0,E. Davis makes 2-pt layup from 3 ft (assist by D. Russell),,22,27
131,2,10:41.0,,Violation by Team (def goaltending),22,27
132,2,10:32.0,,Turnover by A. Caruso (bad pass; steal by D. Russell),22,27
133,2,10:28.0,Offensive foul by C. LeVert (drawn by A. Caruso),,22,27
134,2,10:28.0,Turnover by C. LeVert (offensive foul),,22,27
135,2,10:17.0,,J. McGee makes 2-pt dunk from 2 ft (assist by L. James),22,29
136,2,10:06.0,D. Russell misses 2-pt layup from 3 ft,,22,29
137,2,10:00.0,Offensive rebound by E. Davis,,22,29
138,2,10:00.0,E. Davis makes 2-pt dunk from 1 ft,,24,29
139,2,9:51.0,,L. James misses 2-pt layup from 2 ft,24,29
140,2,9:49.0,,Offensive rebound by J. McGee,24,29
141,2,9:47.0,,R. Bullock misses 3-pt jump shot from 24 ft,24,29
142,2,9:44.0,Defensive rebound by C. LeVert,,24,29
143,2,9:27.0,E. Davis makes 2-pt layup from 1 ft (assist by C. LeVert),,26,29
144,2,9:06.0,,Offensive foul by L. James (drawn by J. Dudley),26,29
145,2,9:06.0,,Turnover by L. James (offensive foul),26,29
